"","ACTB","ACTN4","ANO1","ANP32B","ANXA10","ANXA2","ATP1B3","B4GALT1","BIRC3","BTG2","CALU","CHCHD2","CHPF","CLTB","COX6B1","CYP27A1","DDIT4","FLNC","FSCN1","FURIN","GANAB","HERPUD1","HNRNPF","JOSD1","JUP","KRT16","KRT18","KRT6A","KRT8","LRP10","MAFK","MMP14","MYBL2","MYL12A","NDRG1","ORMDL3","PLSCR1","PRKCD","SERBP1","SERP1","SET","SFN","SHC1","SPINT1","SREBF2","TIMP1","TMEM45A","TMPRSS11E","TNNT1","TNS4","TPM2","TPM4","TUBA4A","YWHAG","YWHAZ","class"
"GSM748130",102.956848013995,40.6531871416676,22.4986116794816,142.318321373963,102.631257438677,19.1924681612908,95.5724385331042,25.3696492494524,20.7868246332162,62.0820292683866,45.5779750179491,252.213619782528,55.9021871305282,95.0029227636819,286.742690774286,64.6603280617321,110.769406948256,14.7783156914897,38.9752023654488,41.9308649641336,46.0360333395745,25.3603053181854,67.167379917757,52.5452367792514,41.2236729339033,44.8514859654535,90.0905714277191,49.153849060714,39.2999319848286,37.295680999626,28.5799581307097,36.9150699726551,53.4423688248584,65.6174123964468,31.5385766526488,57.0163268764875,45.6917232382782,59.9552760512578,32.2869700954116,40.9994103991017,59.8781414083873,153.767908462314,40.8960210136415,68.6269973661776,25.8737828701566,165.526842855067,22.7609379439427,54.9092665149899,71.0851157626076,25.4947224252598,47.0152016590982,18.8470984618958,51.032316636186,75.0902916124814,33.9268224045199,0
"GSM748131",102.053732262306,38.0245776757949,22.0532614937454,131.738223900401,55.212273195125,19.3413683386383,91.443727927318,26.9877336867227,29.7959796072382,62.6713998249527,45.8664533218896,250.885903013614,52.6640725094426,88.8624402171608,276.585426769029,68.5425908697514,129.789532199636,14.8123145156415,45.0452295431464,39.3227152322529,43.6337792128989,23.2641256468365,67.4982391236032,51.1813558400629,34.8621606898783,44.215904936914,88.7353036530483,39.0782409712083,37.9003551139618,34.4363815647884,27.8244804644536,34.6698392129166,55.8771603475996,72.0820089451834,28.039852390433,55.5217425490403,53.972417400786,58.6867528349511,31.5555415080713,40.4547644783335,59.8092930721293,170.084080501397,40.5437419893076,66.5898988219777,24.5968679851381,191.14515243784,24.9868484797288,54.6214221265259,97.0155491056765,26.907266500846,45.1640739235917,18.6401120463979,57.2932741557524,72.9912053090043,32.6581334750623,0
"GSM748135",101.895978179103,38.2387603912732,22.3691274248221,141.175481596041,57.8506786554936,20.1586279940319,95.1283203694263,27.9512010893189,22.5517356624579,67.5752049000047,48.8593529096802,248.754177733493,55.2770446684184,88.2440932179702,283.943485550026,58.974067370843,99.5677965790748,14.1109074406838,40.8019368435017,46.8396143765079,52.4394398304861,25.3679346904526,68.7657760630233,50.0291863252148,36.6975865093877,40.6769846774379,91.6475907278494,49.4163623139569,39.8334726264097,38.3056778617828,30.2292348816096,36.0203107868765,49.8193384721666,63.9746782004856,26.2031904030803,58.0446361294972,46.4624332652563,58.4834532268415,31.9137442101577,42.9061694193161,60.7643318033666,171.801799053936,60.2729617970209,67.8150084506861,26.8148442035502,184.188421401481,29.2312384403381,48.0895647809649,57.6367929279075,26.9353123902159,55.0840978629835,18.4422759365769,55.0740638192441,74.6246394161296,34.0443046079053,1
"GSM748138",103.340614467071,43.3481925000289,23.4009580643629,139.070969498631,59.486565622464,18.7314979252207,96.7831297596798,26.0979848853399,27.4898322843379,61.818374841574,55.135186424791,258.54726088036,55.5655844151508,93.5864495205479,309.092739115089,65.8442926943191,109.706081057309,15.4494002503065,45.5093440860833,44.1356062241847,51.3009221412795,25.5213197632447,68.7809608579211,56.7311145901872,36.1382978736802,51.5051921368689,91.1464046411043,38.0138743813011,37.8236686963556,36.2584063950908,29.5138883549451,40.3232540176108,66.2765309491191,65.0311032948033,28.0790828657221,56.8882952871595,51.3261318469345,59.3722815441488,29.7932298525171,39.6954454868033,62.3174605290698,154.528514436524,45.9387985701517,68.6042074763477,23.4995500896751,204.153052401189,31.309422471541,39.090129643712,90.2474999937668,26.8731749204908,46.0425372993605,17.9411781453027,53.6395513648799,77.0497699134892,33.4386138681908,0
"GSM748139",99.1265802199847,37.1187677797635,23.1631717182116,132.197331661057,54.7785603177001,20.0961044906784,98.7576647298071,26.4546883340569,27.168627932379,77.7215765629622,55.8202174237302,254.339514458206,58.0864344749225,84.9672032294322,289.7847406898,62.663023412976,126.805984965632,17.2866660683178,46.8138698752462,39.1138572026713,49.8399285729569,25.2692794517931,72.3844677342504,52.5841920910978,36.1209751107226,48.5057259778088,84.9305408560757,49.6401106587651,37.670876234824,33.6572803117066,28.9600426505399,42.2521134775163,67.1470928891841,63.4421064925931,27.0971445682736,52.7189820952992,48.6608767090093,56.2648632109857,31.8434488827985,40.8673630815918,59.3754844871191,150.291704283527,42.2877540462862,58.6310872528858,23.3945442480889,187.77660706614,36.9625238538344,43.3394353992832,51.7232819083249,27.4900274921127,60.8672410494791,17.6026814521914,56.9476102357491,71.910893393218,31.9517246748814,1
"GSM748140",102.307463318845,38.9464023008899,22.0182046898125,133.92906449008,61.1708399750372,19.483256242265,96.492167369641,27.7469918347575,19.3311026163311,66.2677096337374,55.5276996465534,263.370208991877,53.4676110221717,84.7917958753719,290.939996179108,57.6325333020965,102.951989770129,16.281057547563,47.420588397832,42.9455524064055,51.7689730469454,24.8997731360389,70.3332822255518,48.3629541144006,41.7647238795769,52.2053404048551,91.1561048988174,47.3422003921033,36.3881015696725,33.6660775166673,33.0069489156615,38.6625928221951,73.3428177373062,62.5104595459996,27.6969916887653,54.597266776128,47.5900467446394,55.1528694517944,31.1589298510302,42.4564373078882,63.0884739659552,143.467478615706,48.5424220571863,66.4320757188491,22.1494297159271,187.323879626214,41.5749636436023,51.1615800753089,81.5875163795746,28.2710474894532,48.2687466985641,17.1437765348776,55.9702634251638,78.4561651491342,34.6995828753052,0
"GSM748142",100.689958295571,37.9469815569729,24.4555574278938,140.61250168881,55.8078701900342,18.9560405752322,86.3801244434427,25.926300147018,27.6900111427326,63.6485608292689,48.6377633134598,257.723872616334,54.0990886015572,89.0795990753663,268.05254277052,63.775357807029,132.770224419848,14.9590310687831,43.0366880851974,39.3548640219045,53.6732963728295,24.6422651454267,66.211811974176,49.2224970395554,35.8063942894138,43.3679252990978,93.6885654788288,34.3641476402999,39.1367816200481,37.9698962952701,27.6374289146648,36.8555316764011,49.094333430148,63.4684109826156,25.0404368759772,54.0985332675262,48.4396234849933,58.0392634838053,32.1413245332806,39.6735532813384,59.2620194377353,150.902025597559,43.1295519815716,66.2647519172801,23.7801353536312,204.087543589464,30.6170838780313,41.3723977411024,57.232039806672,27.0310885138475,52.5431039485031,17.6746915329039,56.3844220873037,70.0788811379528,31.5210543739096,1
"GSM748143",102.847279994524,36.464051133488,23.9694548959661,133.088850974497,58.9877982559613,19.7679852186122,104.011710254887,26.739908642274,23.4002435273285,65.3644633689391,60.0384548915519,257.269532300477,58.2967932635949,89.1407876569273,273.328419332535,66.5469497109509,101.805305939384,15.7585879795784,46.3566477005758,37.6564542292903,53.0691582854791,24.2597973570017,69.5589964442805,55.6080189469154,39.0682960529543,45.5366196511456,86.2763771186391,40.6096048171445,37.6521570317337,34.3926198309943,28.3877409507086,41.781403347776,69.9450130054081,63.127606534441,30.5843820873466,58.2961459786284,51.2987411459317,60.0037521627455,30.7347756733363,42.057376310664,61.8238765185502,158.398359005509,44.280188766264,63.7242511353589,24.1041602184735,203.464580276453,35.2405593392358,42.232300234298,106.272620613566,26.2522665606547,52.6890386252828,16.7115613791556,61.1048680963851,78.8272167849578,34.5772213427443,1
"GSM748146",101.83594164077,39.254934859169,26.876500768428,132.727632357365,54.733293334022,20.7572340355196,101.933854967032,28.5976407946884,28.9074239674602,62.5466855437232,53.6301994756202,261.75064458923,54.4788653681284,90.2775499250772,283.716801465751,63.5434045983352,126.720987150342,15.1267416899576,53.4133487947318,41.8717882798378,48.5524626603512,25.6063499761043,68.4033385838686,58.0666781334752,34.9912162655158,49.7994774642079,93.8673731251551,57.4418382316577,41.695477106579,34.4870032295347,29.2848477528479,44.434039557184,57.6483385339627,63.6948240703307,27.321314189782,54.624042113454,52.5190091186545,58.8356123738512,29.4091754452841,40.5423083082148,58.6949981718031,168.01759423347,40.8531525216249,63.7581242881597,24.4593202739698,202.664029069094,32.5971682066401,81.0649029062948,66.0419217412155,30.7127108965195,54.39175537576,17.2006194678579,59.0984697719044,76.3158232831375,33.5061279772079,0
"GSM748147",100.284191665281,37.4429549090134,22.0721066024276,131.691864868599,54.4187481322343,19.5552871436355,84.2891896759643,28.2206749113472,23.4698633989116,64.1545642144477,48.3046324332628,249.060287576455,54.3278598891542,84.6753996824418,279.398354943775,66.5427460223754,94.1647118914027,14.8802979969957,41.2345276841713,42.5612620502836,49.6151017051414,25.9641669294395,68.4076545335933,50.3422512832685,34.4590539632267,43.4756842047846,91.2172206784977,47.1587971168316,38.3776270213036,34.9512213666581,30.8700823220008,36.8948730279161,52.3870575435862,63.2465149888486,26.6289648290321,57.7622289939073,41.1806357332973,54.5214931782376,29.8259248596877,40.6669961581718,58.3782699517142,150.509789628328,44.3503374240467,63.2574283342233,25.0451418118458,182.663049341902,28.344077318182,58.1779245581241,58.3511125841441,26.0022044296228,48.0822195673911,18.4657914290875,50.6617608609647,70.7998238314827,34.5347253778914,1
