"","AGRN","AMBP","CA9","CDC42EP5","CKAP4","COL1A1","CPXM2","CTSL","CYP4B1","EIF6","ERRFI1","GPD1L","GPI","HSP90AA1","HTATIP2","IER3","MAOB","MARVELD1","MUC13","PCNA","PFDN2","PFN1","PKM","PRR15","PSMB8","PSMD2","PSMD8","PYGB","SEMA3C","SERPINB5","SERPINH1","TIMM23","TM4SF1","TNNC2","TSKU","TXN","class"
"GSM748078",0.00180496712616333,-0.00529006215849586,-0.00162773034006321,-0.211107874055098,-0.00502245706253927,0.00116895313788619,0.012460541614094,-0.0123891899786367,0.00381216410323035,0.0109116566460603,-0.00595730693060893,0.0451425172695651,-0.0296789679269806,-0.0027131909495259,-0.00619190513588206,-0.0702951512263803,0.00846740635072713,-0.0737889257162931,0.000582148115075665,0.000465506926248159,0.0391707821316565,-0.0186901292134413,-0.00125502190837892,-0.0378060947906967,-0.00447447451178562,-0.00723311735725587,0.073042132201904,-0.00614472876834336,-0.012034467048162,-0.00229717258923841,-0.0292567879985753,0.0509463144796012,-0.0185507138485076,0.0613107218020634,-0.00809074134496,-0.000626867616477543,1
"GSM748079",0.00188265045902357,-0.00427925799374579,-0.0010912382628633,-0.200942950194371,-0.00450009159643825,0.00135830620488122,0.0115704323993343,-0.0148076660821546,0.00374285153753326,0.0117024839825008,-0.00578850787685874,0.043342367747584,-0.0320263420341573,-0.00270028222576301,-0.00663552265565412,-0.0614108537574053,0.0080495346300929,-0.0754964667164035,0.000520972309343693,0.000505549389600493,0.0416006412421882,-0.0193783919505766,-0.0012967276500902,-0.0330113364710958,-0.00453958463333664,-0.00744253872022607,0.0776437806505309,-0.00537019022133106,-0.0136885043354477,-0.00243348092679505,-0.0340087440838625,0.0549549918925864,-0.0172577101977353,0.0693660161016083,-0.00788830220487441,-0.000647954504923292,0
"GSM748080",0.00183944877303403,-0.00574448947700821,-0.0014249036096938,-0.199483441962673,-0.00488772973482493,0.00134478166665944,0.0120976052613923,-0.0138719149283786,0.00463625574027212,0.0119808251582292,-0.00637068257834241,0.0368992563524217,-0.034278628856378,-0.00281502969499265,-0.0074181114716243,-0.0633607804856851,0.00791324700627536,-0.0758717233500016,0.00116270764024543,0.00050537156720564,0.0403528908572501,-0.0193463899996262,-0.00135661967219061,-0.0442926815999676,-0.0048502931582147,-0.00777738567196033,0.0812070447545504,-0.00551902073861452,-0.0136799082020044,-0.00230910500291097,-0.0330692091971937,0.0541231050236817,-0.0184644302326073,0.0687762277547103,-0.00855263519860935,-0.000650500353614182,1
"GSM748081",0.00206928351425499,-0.00639224643399146,-0.00140391460710683,-0.175950308756948,-0.00585545116875509,0.00126434602760817,0.0134821055185892,-0.0140277787235991,0.0029409116101198,0.0116465759166075,-0.0067571048295822,0.0357897478475531,-0.0324063221274391,-0.00291068809021061,-0.00753779256192242,-0.0658203042875085,0.00792412606951518,-0.0757906500250763,0.00100265162616969,0.000489140734197219,0.0433096892512616,-0.0194872382173598,-0.0014217007624777,-0.042592009847115,-0.00424054872358652,-0.00825322204332446,0.0695551203059518,-0.00639949654224608,-0.0108037348434413,-0.00272556980768505,-0.0307232607606739,0.0528462915528848,-0.0196723909768681,0.0841493145823995,-0.00985637989315896,-0.000663115941106753,1
"GSM748083",0.00194940890978837,-0.00541308684157192,-0.00113664121501359,-0.239522366455545,-0.00460839701372871,0.00131381782880775,0.0125190903319693,-0.013920912588331,0.00388144243054293,0.0120856365720315,-0.00646175380636825,0.0405794102669271,-0.032459318494905,-0.00279074439410206,-0.00759864539716047,-0.0652029966660297,0.0077136062639078,-0.0788306996549124,0.000947241534057035,0.000479243021146033,0.0420777150206234,-0.0185295368317328,-0.00131256509391749,-0.0499104583939557,-0.00460692883746768,-0.00743333807390948,0.0770207128641422,-0.00567811517829599,-0.0133586996150613,-0.00231104565820209,-0.0327907548456077,0.0553447328640265,-0.0187229893456032,0.0708801905167439,-0.00862267049210672,-0.000683419819487756,0
"GSM748085",0.0019501847981707,-0.00553348522295449,-0.00121862885040061,-0.159714040790103,-0.00437618303856725,0.00127419760556256,0.0123057190494332,-0.0127601783004022,0.00506171772267572,0.0116959300026613,-0.00599350209092998,0.0456448805104145,-0.0305951027883765,-0.00275378978613134,-0.00755289681515093,-0.0600875149340285,0.00830706863250235,-0.0791160291986051,0.000820507791065787,0.000477469995890903,0.0426332677528988,-0.0185548013253504,-0.00127444476815618,-0.0284856132096072,-0.00421582681943132,-0.00756303032574638,0.076591259916524,-0.00622421683850225,-0.0109571912404192,-0.00275216420802372,-0.0313137790722403,0.0551041224356374,-0.0186740934358825,0.072892062697692,-0.00912141141879305,-0.000678671816329767,1
"GSM748086",0.00205036480013665,-0.00461422350014593,-0.00117656592389223,-0.156864386024555,-0.0042365855456986,0.00122395855833703,0.0132909321306106,-0.0112615804623268,0.00526717301631834,0.0106287209317438,-0.00609451579310949,0.0498234016995295,-0.0304120702796413,-0.00275564322246952,-0.00651436157115025,-0.0671397164214782,0.0084445466489211,-0.0651494476748328,0.000527244169989628,0.000483211666401184,0.0437344414314822,-0.0185377564008955,-0.00124175080662155,-0.037365368455349,-0.00428750007633375,-0.00739785897698225,0.0717679539919057,-0.00659843141216572,-0.0131587845271979,-0.00238857471921866,-0.0309269558607416,0.0509875441990409,-0.0164566625250274,0.0631148310832265,-0.00657373605873877,-0.000653725248764221,1
"GSM748087",0.0019012885494802,-0.00469157649744559,-0.0011800631312694,-0.198442484888292,-0.00474007635044546,0.00127553075064188,0.0125015357555372,-0.0123334157591561,0.00406554513087334,0.0113796113930676,-0.00593854480999774,0.0495702727186216,-0.0291709385821145,-0.00282791722690724,-0.00632569766240608,-0.0625428847174522,0.00798254079249921,-0.0709365748702902,0.000517573887111352,0.000462713033072979,0.0410403796236795,-0.0193115828995869,-0.00117447911254705,-0.0327432237855705,-0.00396655944260388,-0.007484735489976,0.0735042629545134,-0.00571913590530304,-0.0127223789642766,-0.00278872518049065,-0.0324787169285207,0.0514665852729894,-0.0187238615711721,0.0635077278724164,-0.00717114347451996,-0.000660007507588201,1
"GSM748089",0.00184886580664197,-0.00447709945181303,-0.00120253230456192,-0.181528736660966,-0.00436300085928606,0.00133087065053573,0.0122356341221536,-0.0142394232903063,0.00384790518375246,0.0109886481230038,-0.00689352955381804,0.0398784738267255,-0.0304595601731941,-0.00271012410368609,-0.00673216942533266,-0.0590696876399176,0.00797097779533058,-0.0731328431382979,0.00048194165296588,0.000520422234834593,0.0425461683358657,-0.0188807719920653,-0.00123627147753701,-0.0307550742487848,-0.00487313147761597,-0.00756154507705456,0.0781627125794275,-0.00538269087291987,-0.0137027427515119,-0.0023679362289966,-0.0306819907827377,0.0541263863844496,-0.0146629584820719,0.14888485842564,-0.00771699736648159,-0.000672418499743578,0
"GSM748090",0.00203866411248343,-0.0100131735897371,-0.00117004067522652,-0.187454654018453,-0.00496362023860559,0.00129039591643253,0.0128734591711198,-0.0128571223157922,0.00330524681113681,0.0114516974735441,-0.00516456189567106,0.0408047908743674,-0.0296271985535945,-0.00288601350305121,-0.00765775128553593,-0.0568597401895314,0.00767082817689595,-0.0785333480464073,0.000730824530884396,0.000483101034441807,0.0416238863144046,-0.0189075636989772,-0.0012359841293484,-0.0299927334455604,-0.00416758370528572,-0.00711721145456686,0.0713177057152577,-0.00597422689497232,-0.0102728537811265,-0.00251067132118209,-0.0295257554435618,0.0545627047544275,-0.0177130025284901,0.0752591878828027,-0.00941810603235925,-0.000691970171249553,1
