"","AGRN","APOL1","C4BPA","CCT7","CD79A","CMAS","COL6A1","CYP24A1","CYP4B1","EIF6","ERRFI1","FUCA1","FXYD5","GAA","GAPDH","GFRA3","GOLM1","HMGA1","HSP90AA1","IER3","IGFBP1","ITGB4","KLF4","KLK12","KRT7","LAMB3","MARVELD1","MRPL15","MRPL51","NME4","NPC2","PFN1","PLAUR","PLP2","PMEPA1","PRR15","PSMB7","PSMD8","PYGB","RHOV","SERPINE1","SPRR1B","TCN1","TNNC2","TOMM22","TPX2","class"
"GSM748078",0.000601052962768657,-0.0136591785606174,-0.00387963100011486,0.00481847104164322,0.0118498186320904,-0.00246788139319916,0.00119438161673655,-0.00143402105317145,0.00259411416244388,0.0247644995930034,-0.00250023567691375,0.0383060602390875,-0.0255430107065124,-0.00575893830575188,-0.00746935803359844,-0.0129748039469627,-0.00601654007367283,0.00152034516210565,-0.00341742700455897,-0.0957552603879141,-0.00635499153813565,0.00790062917797359,-0.0152578919365134,0.00702845586089295,-0.00529304058383893,-5.98283593167675e-05,-0.0242121507823988,0.0598019163138181,0.101007269851372,-0.00204168373560208,0.0101195937474326,-0.0138752958931598,0.0129860865350539,-0.00240798988646476,-0.0122842950295695,-0.00396368935444451,-0.0327880018108475,0.0258715980119785,-0.00213390983690402,0.00262603395944045,-0.00306415877007934,0.0137233515885852,-0.0164674515188693,0.0324991558014642,-0.0417525597610543,0.00103083477409606,1
"GSM748079",0.000626921465688506,-0.0135497606304395,-0.00307282806504113,0.00496031889420614,0.0134383485018708,-0.0025741199178601,0.00118124813300733,-0.00125128904649182,0.0025469481162189,0.0265593180964328,-0.00242939201864141,0.0381239140693582,-0.0262389951648718,-0.00579708090174854,-0.00775121406804354,-0.0141134714424066,-0.0055468250458263,0.00161391285071517,-0.00340116769144671,-0.0836531708033037,-0.0059306332394104,0.0067352965751292,-0.0172592642594019,0.00646777800722204,-0.00543494603041825,-4.24407502571582e-05,-0.0247724413647656,0.0641189172710763,0.101611907433166,-0.0022170022007876,0.00995677890485054,-0.0143862527207413,0.0169832889740071,-0.00242825646235773,-0.0142627562506486,-0.00346099441560589,-0.0334992385621088,0.0275015066039982,-0.00186493206964343,0.00248115393983345,-0.00394551758895794,0.0133356393333018,-0.00873194325762592,0.0367690494966114,-0.0431261541837378,0.00148280486248053,0
"GSM748080",0.000612535330348853,-0.0144133575385873,-0.00285564785908793,0.00498124920728723,0.0106089267011118,-0.00261112350952744,0.00131513627004729,-0.00266407826957815,0.00315489479226778,0.0271910260172947,-0.00267372624143716,0.0382828594018726,-0.0248890225682465,-0.00536177361410696,-0.00786140484176584,-0.0124462128825529,-0.00549557649672947,0.00169316257639958,-0.00354569902276295,-0.0863093389506981,-0.00631843776577285,0.00793486997832285,-0.018774741170137,0.00718271984296711,-0.00562727155196902,-6.58004613825611e-05,-0.0248955732589702,0.0681656423811269,0.102691773810524,-0.00219324919242721,0.00957649179162962,-0.0143624949107485,0.015392091369019,-0.00258337312819019,-0.0168066936033016,-0.0046437599945074,-0.0329803004126547,0.0287636183979814,-0.00191661716703924,0.00253593283939056,-0.0048592163393633,0.0129943908055499,-0.0148294030777058,0.0364564186416428,-0.0404372931269827,0.0013742361301073,1
"GSM748081",0.000689070160349696,-0.0142477760754163,-0.00317459320007013,0.00510802516703082,0.0106298742736643,-0.00249113452514744,0.00113557380924022,-0.00331187123275058,0.00200124135575451,0.0264324322055024,-0.00283590467376519,0.0359982090212323,-0.0310666529754268,-0.0060690569119604,-0.00769277110888435,-0.0146743171550806,-0.0057318128080349,0.00191602325533483,-0.00366618651852427,-0.0896596744712154,-0.00903509144591778,0.0083128038239164,-0.0155603567524502,0.00939744588463387,-0.00600354505490784,-6.65261966780443e-05,-0.0248689708989485,0.0692008484343339,0.0961529399080338,-0.00239747765688161,0.00925044454834937,-0.0144670586981231,0.0145284821085031,-0.002463490636246,-0.012191583833476,-0.0044654571425597,-0.0305287785899233,0.0246364948281655,-0.00222238428050484,0.00312327825618078,-0.00302632125084237,0.0123342868217556,-0.0090312938315813,0.0446052762847718,-0.0385278559465179,0.00153805298159667,1
"GSM748083",0.00064915198946947,-0.0132973474293561,-0.0031284211399024,0.00504696780501406,0.00999019673028678,-0.00247184407998535,0.00122676985267463,-0.00302335229153476,0.00264125691001859,0.0274289002740314,-0.00271194813198315,0.0379627079251192,-0.0247746183298994,-0.00559038924159223,-0.00776491294838404,-0.0124330755906901,-0.00605213325029518,0.00163971603821509,-0.00351511022727406,-0.0888187850072496,-0.00690889371924714,0.00718557192824884,-0.0179628497039403,0.00650229921692769,-0.00541013925161321,-5.58418577521927e-05,-0.0258664937563291,0.0654756182287203,0.0982862450343374,-0.00233083893877437,0.00965797712790278,-0.0137560743089243,0.0147470453283476,-0.00252883757086316,-0.0161887000610877,-0.0052327423318065,-0.0349429783105798,0.0272808153561153,-0.0019718666666725,0.00287514621676814,-0.00422141798513426,0.0142273741482687,-0.0204686505945681,0.0375716724111964,-0.0389966764223795,0.00126293571047616,0
"GSM748085",0.00064941035983213,-0.0113870448177099,-0.00334718676293993,0.00505344235449166,0.0117079516125185,-0.00271840808213251,0.00112756371494092,-0.00240647524128992,0.00344441458319162,0.0265444435419694,-0.00251542650596124,0.0348941753356885,-0.0216621161754014,-0.00540565397565733,-0.00766364186516275,-0.015393874416195,-0.00614101612706963,0.00157520019503527,-0.00346856367836859,-0.0818505336170518,-0.00731993179543502,0.00754604405881337,-0.0170948878811705,0.00997400334159991,-0.0056708030642663,-6.01869400194729e-05,-0.0259601181297361,0.0654680658333304,0.10371970509209,-0.00222086626662259,0.00911740942926993,-0.0137748303228893,0.0154197683747416,-0.00242650044898013,-0.0138468097375994,-0.00298650581232548,-0.0311089825926477,0.0271287026823626,-0.00216151404552303,0.00269666764857488,-0.00522907674777331,0.0167921098879025,-0.00920242664394615,0.0386381114538218,-0.0410758877372711,0.001044235759681,1
"GSM748086",0.000682770239975652,-0.0122267686572907,-0.00384777628475084,0.00488454669947953,0.0114837368832407,-0.00223392077768351,0.00109013652344833,-0.00138816264823109,0.00358422348767602,0.0241223641584571,-0.00255782117606774,0.037855437443062,-0.0268595084903516,-0.00537857759908438,-0.00749279536000043,-0.015040502352154,-0.00571779433776208,0.00140070209474403,-0.00347089819278763,-0.0914569627655442,-0.00641359731415258,0.00761185438808795,-0.0186508979011429,0.00679357821657742,-0.00559689584628406,-5.92818804941085e-05,-0.0213773033714834,0.0599819598098933,0.0978765778782341,-0.00213469519452434,0.010766839496248,-0.0137621764044714,0.0131369387872995,-0.00253839364864023,-0.0148603682884624,-0.00391748245861694,-0.0322102969505196,0.025420282785397,-0.00229146936006307,0.00237951995872191,-0.00418102159443093,0.012947547404546,-0.00880321140692305,0.0334554653487678,-0.0446425632930923,0.00100189293091547,1
"GSM748087",0.000633127938552706,-0.0122096334690141,-0.00410415837393709,0.00482104254461049,0.00956415825521173,-0.00238994417636907,0.00109320105606855,-0.00128937999172,0.00276653573048347,0.0258265441127042,-0.00249236135989886,0.0408014476894896,-0.0264607918544723,-0.00573530148859626,-0.0074090768407777,-0.0166513153056328,-0.00654516907283469,0.00149814263459026,-0.00356193164346911,-0.0851952105806617,-0.00631008153711377,0.00761088317912141,-0.0148285515696531,0.00711398150983921,-0.00553397952839065,-5.93893751486288e-05,-0.0232762169942684,0.0584904990071198,0.0999328126541631,-0.00226812240176291,0.0107246611455869,-0.0143366545964995,0.0120571201289652,-0.00223837870977659,-0.0128989190968993,-0.00343288478398983,-0.0323013392758167,0.0260352851977172,-0.00198611213399536,0.00220135296101608,-0.00323488177377089,0.012294850971945,-0.00895709067749726,0.0336637293128914,-0.0407092326425311,0.00110772650183595,1
"GSM748089",0.000615671196852181,-0.0133769651586147,-0.00300947801467421,0.00504471925247343,0.0135540428553397,-0.00275892195071711,0.0012464770381061,-0.00239087466707355,0.00261843537230073,0.0249392352414276,-0.0028931610761498,0.0372832835055628,-0.0246035978278219,-0.0057811237812175,-0.00778971616770718,-0.0120737979895493,-0.00562673982653439,0.00161265030612043,-0.00341356412797314,-0.0804640607824796,-0.00658729958850376,0.00625005334068031,-0.0190143378958592,0.00674120543263429,-0.00528862057002921,-5.46699651373993e-05,-0.0239968722680428,0.0651660442631601,0.106029891681243,-0.00221157202701526,0.0098777842482691,-0.0140168264804069,0.0158907787275725,-0.00253760240778099,-0.0122367154594324,-0.00322444201311839,-0.0347184440183662,0.0276853128245352,-0.00186927323170261,0.0027851874802635,-0.00406992091635542,0.0246373551712627,-0.0089775900799453,0.0789198376439756,-0.0417208158313214,0.00142119053987244,0
"GSM748090",0.000678873918054626,-0.0120533330211268,-0.00324375333735021,0.00499876039754655,0.0121962577703522,-0.00263013433580881,0.0010989646276717,-0.00231409947486639,0.00224916539030333,0.0259901467413909,-0.00216752671258894,0.034037593266479,-0.0214886285982502,-0.00588347839460163,-0.00770187567771579,-0.0157892019674921,-0.00555278404514403,0.00175211420460132,-0.00363510739359219,-0.0774536953466923,-0.00695753522783296,0.00689162956745915,-0.016176464215714,0.00682020123818656,-0.00558419450894953,-6.30600507910686e-05,-0.0257689246169139,0.0656914831176229,0.104800682190151,-0.00224552698985263,0.00981391131599882,-0.0140367162766004,0.0120547844179297,-0.00236414059777868,-0.00958371588914953,-0.00314451621959415,-0.0318876079795886,0.02526080438481,-0.00207469882230701,0.00251661126389025,-0.00323824011839578,0.0123671630426253,-0.00933894580442937,0.0398928605080059,-0.0421964564953754,0.00113270997794228,1
