"","AGRN","AMBP","ANGPTL4","BEX4","C16orf89","C4BPA","CCL20","CCT7","CDC42EP5","COL5A1","EIF5A","FUCA1","GAPDH","GHITM","GJB2","GPI","GTF3C6","HSP90AA1","HSPD1","IGFBP1","KLF4","LAMC2","MAOB","MDFI","PCNA","PERP","PFDN2","PLAUR","PLP2","PRPF19","PSMB7","PTGES","PTTG1","PTTG1IP","S100A11","S100A16","SEMA4B","SLC6A14","SMS","TCN1","TK1","TM4SF1","TOMM22","TPI1","TSKU","class"
"GSM748078",0.000368699015355991,-0.00247296315334424,-0.0158424834749339,0.0723155409554636,0.00384343475725323,-0.00621619974310741,-0.00768906520527059,0.037787613285306,-0.204013316543538,-0.00138328308766172,-0.00144457700676843,0.0259579602623519,-0.00926577123398573,0.00275039064074587,0.0187826691141216,-0.0137165200023525,-0.190746794709242,-0.0054382815035629,-0.00123486509431131,-0.0141827744270201,-0.000393949780190485,-0.00325297908346814,0.00510244446180898,0.00649782992830261,0.0278487341525636,-0.00106892606911302,0.00903671547838923,0.00115073359721254,0.00142908803642874,-0.0284123733507688,-0.0373688417365481,-0.00721092459968261,-0.0879813517518352,0.00189537255687503,0.0112833732966558,-0.0151940725289491,-0.00781147633990367,-0.00492317989890171,-0.0009467170425495,-0.0201249297466964,0.00218851841104245,-0.0143319163228414,-0.0236884003788219,0.0224848428829929,-0.00774871564228501,1
"GSM748079",0.000384567320058039,-0.00200043913003776,-0.016567643348164,0.0706388427233657,0.00245593229692945,-0.00492348706048499,-0.00485654099651862,0.0389000183929998,-0.194189998306255,-0.00178746780466166,-0.00181664569558009,0.0258345295830739,-0.00961541487462248,0.00289407408658275,0.0293701595790081,-0.0148013893944861,-0.188076347619806,-0.00541240744052042,-0.0012575675690048,-0.0132357113206513,-0.000445624034403445,-0.00252864591253814,0.00485063568372741,0.00667843607821151,0.0302442557953897,-0.000965047007416404,0.0095972849702274,0.00150493693083019,0.00144111579506295,-0.0286051191494549,-0.0381794459858838,-0.00671625583462188,-0.102677841077768,0.00192946143445919,0.0111971514956384,-0.0158021212406034,-0.00723590183327018,-0.00452969253794348,-0.000955927512037038,-0.0106713382098317,0.00296810056569219,-0.0133329671568239,-0.0244677119905855,0.0226577239028691,-0.00755483435693541,0
"GSM748080",0.000375742550423638,-0.00268539582065218,-0.0190097386323287,0.0682204015772675,0.00278254165549857,-0.00457550666224239,-0.00524030544507472,0.0390641589616186,-0.192779538766534,-0.00177780075570419,-0.00159184908457975,0.0259422383006905,-0.00975210701025369,0.00303091073786299,0.0285915290706103,-0.0158423129644711,-0.194169488658548,-0.00564240564230612,-0.00126358632927602,-0.0141011954186505,-0.000484752755353364,-0.00409039947958151,0.00476850899669281,0.0059232638562905,0.0302336176537823,-0.000993085632508295,0.00930942844546264,0.0013639364424289,0.00153317406019019,-0.0273346953682605,-0.0375880065413613,-0.00676823391106111,-0.0958273931042747,0.00193482226828544,0.0114506713552592,-0.0166818163261526,-0.00844479390065489,-0.0053953488803286,-0.000966172952745401,-0.0181230650524341,0.0030868799040273,-0.0142652552998094,-0.0229421811575071,0.023850533473653,-0.00819108352629573,1
"GSM748081",0.000422690686793794,-0.00298820494442955,-0.0212524489033909,0.0687110586600903,0.00262767827917162,-0.00508654184744947,-0.00470472306908441,0.0400583666468495,-0.170037267425637,-0.00144390196099816,-0.00211319879352707,0.0243940534071286,-0.00954291612876368,0.00280564072429264,0.0272058707444356,-0.0149770021234333,-0.188512427945384,-0.00583414197456289,-0.00128222177220746,-0.0201640967003622,-0.000401759243532437,-0.00426481259092859,0.0047750647014362,0.00782374463282402,0.0292626156599576,-0.00101642938884454,0.00999156304578368,0.00128740960054649,0.00146202648769509,-0.0291767271802613,-0.0347939804968394,-0.00752826514222804,-0.0969008673228099,0.0019143397031073,0.0120548358908719,-0.0171476609709141,-0.00917299059344773,-0.00534422559876528,-0.00096667239159201,-0.0110371755868892,0.0031662737294176,-0.0151985019904437,-0.0218588580585662,0.0234628746591267,-0.0094397140877579,1
"GSM748083",0.000398204008896797,-0.00253047391580482,-0.0189871912149146,0.0670193758334496,0.00291224772568146,-0.00501256193839501,-0.00584010437641377,0.0395795400721601,-0.231472902589123,-0.00172332577601334,-0.00174411851833452,0.025725288834741,-0.00963240839546133,0.00312351540016538,0.0228301770843768,-0.0150014950820897,-0.196539111696923,-0.00559372852923199,-0.00132783208930907,-0.0154189475426248,-0.000463790196044543,-0.00338089560843179,0.0046482058296956,0.00866280986471127,0.0286704896056744,-0.00103211077636237,0.00970734608627632,0.00130677710125665,0.00150080842901619,-0.027660200379179,-0.0398248918560109,-0.00789873198329339,-0.0890074362663003,0.00191860737454553,0.0113756222703113,-0.0158402899207953,-0.00856316348682959,-0.0067005100329169,-0.000921943273816815,-0.0250148090463996,0.00232290457524516,-0.0144650129804155,-0.0221248443166916,0.0228224193915807,-0.00825815816767864,0
"GSM748085",0.00039836249892049,-0.00258675695217769,-0.0136767033269641,0.0632326053257537,0.00333132719612309,-0.00536308259607775,-0.00576692849463375,0.0396303150523855,-0.154346640578904,-0.001485258706591,-0.00168806932764921,0.0236459090571544,-0.0095067811748186,0.00321750735809972,0.0174899605616871,-0.0141399236120099,-0.185418891562075,-0.00551965723652269,-0.00130181829978193,-0.0163362831961038,-0.000441379933164413,-0.00292953191998738,0.00500582522936776,0.00689650867123549,0.0285644191990021,-0.000992939446589452,0.00983551232911367,0.00136638897963242,0.00144007364047424,-0.0285650746143346,-0.0354552452996718,-0.00654740249367386,-0.0808231368087076,0.0018081499695451,0.0108842050489353,-0.0164140998849723,-0.00858427408995435,-0.00615361522526943,-0.000919098263364344,-0.011246317591786,0.00251230283671838,-0.0144272369631491,-0.0233044891188594,0.0229722862091813,-0.00873581546202157,1
"GSM748086",0.000418826178035644,-0.00215702658216032,-0.0150413561496918,0.0740632142903796,0.00337846136049697,-0.00616516002477938,-0.00525163534550316,0.0383057945474349,-0.15159275220631,-0.0013527270566107,-0.00162510745228499,0.0256525973887091,-0.00929484533965857,0.00285709953312358,0.0212310762654816,-0.0140553327639278,-0.179375760776963,-0.00552337223806273,-0.00129282587861916,-0.0143135680710998,-0.000481555195113634,-0.00276650403613922,0.00508866924493057,0.00584996982700625,0.0289079119519911,-0.00104539482381757,0.0100895535476986,0.00116410103892838,0.00150647974703258,-0.0270088460218988,-0.0367104252334453,-0.00668028616619825,-0.126029654863316,0.00190890967698904,0.011900385441385,-0.0150430502066681,-0.00737670535860003,-0.00783666336181461,-0.000869116280031905,-0.0107584352628358,0.00241100490487301,-0.0127140934946236,-0.0253280498076213,0.0223551099799457,-0.00629583980685937,1
"GSM748087",0.000388374506072602,-0.00219318704802849,-0.0159418036847658,0.0800127880541183,0.00377038889968438,-0.00657595225653795,-0.0043046157870182,0.0378077796324416,-0.191773564422496,-0.00148584823722392,-0.00172024154593639,0.0276489503530168,-0.00919099215124845,0.00278220576136214,0.0169388667139828,-0.0134817276508199,-0.18380326192979,-0.00566823722870807,-0.00124246493553423,-0.0140825463763314,-0.000382864464875939,-0.00252791235083736,0.00481026531274882,0.00706128636003556,0.0276815908000181,-0.00105784089531452,0.00946803238540773,0.00106841527511585,0.0013284276039194,-0.0272387019470789,-0.0368141871602922,-0.00674319289937554,-0.0818170271117741,0.00189453983162819,0.0119351357984255,-0.0150661302865622,-0.00766946063279332,-0.00525863170787944,-0.000926251696352707,-0.0109464916543321,0.00220097374264612,-0.0144656868447191,-0.0230964665991662,0.0220237650865832,-0.00686799259114834,1
"GSM748089",0.000377666159429305,-0.00209292474199195,-0.0168119447966536,0.0711308030735214,0.00262066686207157,-0.00482198344666063,-0.0049911408771234,0.0395619063802435,-0.17542822492967,-0.00161438328021705,-0.00178654224882082,0.0252648793858434,-0.00966317689726307,0.00309057208420036,0.02717910662837,-0.014077280834239,-0.185733709150602,-0.0054321343612072,-0.00129132106777257,-0.0147012287249023,-0.000490939001646452,-0.00290741230563278,0.00480329747059963,0.00654262365617972,0.031134016805725,-0.00104139947738774,0.0098154184579365,0.0014081265297538,0.00150601016331372,-0.0278329636808783,-0.0395689876847666,-0.00653206677218858,-0.113466256494599,0.0017994527749843,0.0110242354173478,-0.0158592764922153,-0.00720637641295297,-0.00561133723075996,-0.000957488263067886,-0.0109715440453256,0.00327709502097852,-0.0113283130625865,-0.0236703903952086,0.0235494883571003,-0.00739077121064778,0
"GSM748090",0.000416436089067153,-0.00468089194295974,-0.0139938806857068,0.0729393873948847,0.00328871608597761,-0.00519735476434311,-0.00691413839562754,0.0392014859435524,-0.181154994047473,-0.00144803687499667,-0.00191020815041439,0.0230654493811866,-0.0095542103861278,0.00328800317781247,0.0144412724242388,-0.0136925941149259,-0.192824176030409,-0.00578468458160626,-0.0013668615204623,-0.0155275033982735,-0.000417666775237107,-0.00272696527261165,0.00462242782824871,0.00624874495151457,0.0289012934467622,-0.00103903547572953,0.0096026476179067,0.00106820830120152,0.00140306446622214,-0.0287415362043864,-0.0363426531089219,-0.00649964014675305,-0.0845049234169861,0.00178174050952853,0.010932468621724,-0.0155264720431974,-0.00706826701330125,-0.00532977015996543,-0.000931051534536366,-0.0114131581323915,0.00244889475842176,-0.0136847170485044,-0.0239402461010872,0.0227655556935251,-0.00901996769172476,1
