"","ACTB","ACTN4","ANO1","ANP32B","ANXA10","ANXA2","ATP1B3","B4GALT1","BIRC3","BTG2","CALU","CHCHD2","CHPF","CLTB","COX6B1","CYP27A1","DDIT4","FLNC","FSCN1","FURIN","GANAB","HERPUD1","HNRNPF","JOSD1","JUP","KRT16","KRT18","KRT6A","KRT8","LRP10","MAFK","MMP14","MYBL2","MYL12A","NDRG1","ORMDL3","PLSCR1","PRKCD","SERBP1","SERP1","SET","SFN","SHC1","SPINT1","SREBF2","TIMP1","TMEM45A","TMPRSS11E","TNNT1","TNS4","TPM2","TPM4","TUBA4A","YWHAG","YWHAZ","class"
"GSM748078",0.000547718544529888,0.00727349608635991,-0.00947398776787346,-0.184872308018837,-0.0243927358881135,-9.74818907345731e-05,0.0355531606103414,-0.00327260345381337,-0.0191687985636197,0.000732484640691981,0.0137388414028466,0.00637107326969715,-0.0150845179892092,0.000671349756204329,0.00460676191297894,0.00187578875146451,-0.0104355944060329,-0.000826766938933576,-0.013639403802866,-0.0041464820732129,-0.00162918265186105,0.0109648778586603,-0.0151325418247097,-0.024144565151961,0.0030023899312935,0.0236564381207571,0.00925360790351638,-0.00284080776671568,-0.00540543987953156,-0.00580930961522554,-0.0139838362666537,3.13231807909327e-05,0.0117687397659487,-0.000431371013553436,-0.00288112397527669,0.0139909795639454,-0.0210540776369635,0.091818018387292,-0.00161597454824346,0.0114752633031979,0.0217117709150513,0.00829206710983145,-0.000200482574563491,0.00643142054689748,-0.0110093328705545,-0.0125677491124233,0.00759985032474533,-0.000728504629676765,-0.0146974356336026,-0.00740169025913055,-0.0270623345374262,0.010883149134491,-0.00102819700397909,-0.0119792509979857,0.00261561572315854,1
"GSM748079",0.000537209970338016,0.00696444916064796,-0.009950875222227,-0.1757532275116,-0.0126027044698454,-9.54565525561964e-05,0.0407619629124902,-0.00347558127884505,-0.0172189702357788,0.000812179975115584,0.016327633383883,0.00639575597073107,-0.0147717696780383,0.000675602239391303,0.00463153907017097,0.00195186763538089,-0.0101359403370633,-0.000857808747881421,-0.0135464121380853,-0.00412889281863605,-0.00160083276371077,0.0104096420793136,-0.0159124165952871,-0.0238378535918981,0.00266997893655095,0.0232016366765104,0.00954917033774238,-0.00275384179105912,-0.00557470048928908,-0.00555006098836354,-0.0145520780907041,3.38750078365335e-05,0.0137343043700081,-0.000444834606828264,-0.00256358874519882,0.0119985994596608,-0.0218796729347199,0.0852602648205061,-0.00162295820650214,0.0108978541911484,0.0219286627453847,0.00893836755799488,-0.000214333843852851,0.0057825686083456,-0.0100426948801245,-0.0134197136276488,0.00824317058083353,-0.000692283011510879,-0.0186616162305824,-0.00759188562063022,-0.0288477579609187,0.0110021358286906,-0.00098371395849327,-0.012307642731772,0.00277566990069561,0
"GSM748080",0.000551769087837395,0.00704881146203822,-0.0109654158182974,-0.173296941625532,-0.0213966223339888,-9.58892587519635e-05,0.038410442452835,-0.00319091610831117,-0.0191447592562751,0.000787745509921312,0.0155837735633194,0.00641347498884784,-0.0154042976462454,0.000800049354238725,0.00482962050962585,0.00177242295680305,-0.0113272141353851,-0.000928318431571685,-0.0141856836903925,-0.00448811727101302,-0.00159627093583825,0.0107773257097252,-0.0155024312758856,-0.0237385824458244,0.00405640530577956,0.0277152113226524,0.0100110243363936,-0.00366144272015563,-0.00630263242017971,-0.00589747716745256,-0.01373814570975,3.22672539233575e-05,0.0136689542491119,-0.000453401483157538,-0.00278825109566348,0.012929556902177,-0.022569998692625,0.0794677027565616,-0.00164681004784482,0.0107245398830292,0.0214047062663845,0.00990881016630274,-0.000230863908083935,0.00627880427758099,-0.00898492599498589,-0.0134953461352799,0.00978447557843959,-0.000843695426419855,-0.0142124032675694,-0.00735706408062948,-0.0306738435693413,0.0106267475889351,-0.00106555610294766,-0.0126292023375719,0.00269094094434093,1
"GSM748081",0.000544804148007291,0.0071468204446645,-0.00940514360361907,-0.168059124128813,-0.0230066858163501,-9.31969783026667e-05,0.039164559815397,-0.00334088768180233,-0.0126177578523659,0.000641052904636323,0.0164980814443381,0.00645112400302178,-0.0178384819859464,0.000658723735399659,0.00553486785701487,0.00166711832240916,-0.0104179613208455,-0.00108612013429858,-0.0175700604078692,-0.00525107444668806,-0.00172430062511829,0.0107612636266102,-0.014795954744846,-0.0213704081360454,0.0037348113477269,0.0336179085232428,0.010115943820689,-0.00430819963734509,-0.00627763785987043,-0.00581134260062668,-0.0141011329224516,3.13337790144336e-05,0.0152873042810439,-0.00042788194190279,-0.00288507717859935,0.0123913924512281,-0.02119537502925,0.0799388634722411,-0.00167905976580685,0.0110335282914327,0.0220880940560634,0.00989437945539112,-0.000234450839490707,0.00738945887822738,-0.00917237563076944,-0.0130237180912648,0.00851877230379778,-0.00149804133224306,-0.0208043139831374,-0.00787064113248468,-0.0234510403490596,0.0118102196959865,-0.00102716508846053,-0.012303150145486,0.00298965870027317,1
"GSM748083",0.000544166733984383,0.00726965721818585,-0.0102602382630654,-0.183928468544925,-0.0185182322897801,-8.9322736506911e-05,0.0386024112497324,-0.00338970067873885,-0.015871261336096,0.000715677949641623,0.0156943145668446,0.00635633922347295,-0.015385565629002,0.00080881717945366,0.00469251005564731,0.00203393180463963,-0.0105456490116746,-0.000984743585937767,-0.0140074322394536,-0.00474404439145419,-0.00157540218474562,0.00956621389306248,-0.0155139565107375,-0.0232565764245327,0.00313772879009763,0.0233261054154483,0.00918470001249679,-0.00284056837971989,-0.00553578382553293,-0.00608855254006648,-0.0135299646144609,3.18432517451214e-05,0.01189518100492,-0.000451794883306656,-0.00297590093038598,0.0120349343081103,-0.0202230284499269,0.0825433305618287,-0.00168492686860857,0.00993800492689436,0.0234502817104201,0.00926904486477086,-0.000258767484075235,0.0063932546449427,-0.00932719903994477,-0.0133903399469206,0.0077078563738241,-0.0010552076941142,-0.0157067998607018,-0.00804416441274933,-0.0318337554073885,0.010177130367261,-0.000989474964394178,-0.0128271561783874,0.00267764031506589,0
"GSM748085",0.000532394717770759,0.00644501033902774,-0.0100088426136029,-0.167104638730854,-0.0156431276780342,-9.78561404684186e-05,0.0374750085236497,-0.00374405038512893,-0.0139576772260275,0.000968776349447063,0.0148916080575024,0.00620276591254108,-0.0157678743700817,0.000730843266686129,0.00459037144515049,0.00163455166583204,-0.0108401304927759,-0.00114035161465735,-0.0124928815872115,-0.00503938923142257,-0.0015635384106094,0.0108990044916233,-0.0155133513921356,-0.0232736679428884,0.00339929871384897,0.0255028302184227,0.00929674215718451,-0.00388665164655576,-0.00554898582186486,-0.00572858014665482,-0.0152558662779874,3.10790221889626e-05,0.0124574886296229,-0.000445146700410382,-0.00263663882089118,0.0125559172806759,-0.0183861720152116,0.0820041913563951,-0.00167353412613415,0.0112971181665064,0.0202203069950866,0.00983094056390469,-0.000230281047283927,0.00630835990579783,-0.0101448897633579,-0.0125462097810818,0.00796691023776319,-0.000832940960083167,-0.0157058860393589,-0.00785264873966814,-0.0256284413056807,0.0119855555678766,-0.000987878692626149,-0.0121351626221187,0.0027460707701061,1
"GSM748086",0.000541115811335664,0.00727456178767714,-0.00960369304659715,-0.180864100465324,-0.0126156373058083,-9.81067533349715e-05,0.0355152742632041,-0.00386344718445188,-0.0156506161472573,0.000958668883394837,0.013345305883278,0.00616719076008706,-0.0138786431183217,0.000667421679089694,0.00442244673117017,0.00195679215501832,-0.00877890331876743,-0.000848905611370486,-0.0110757125586321,-0.00421374746096264,-0.00163481996102006,0.0105725070869769,-0.0149809705002271,-0.025065621773845,0.00277624164916135,0.0326143593790589,0.00914517240904955,-0.00294864196759247,-0.00532451390592274,-0.00594752057341725,-0.0150873374858355,2.95619534785263e-05,0.0109652014500413,-0.000430111616943538,-0.00259472369518609,0.0117737222918294,-0.0208378840932647,0.0852695501893011,-0.00165895639371417,0.0108236001685488,0.0224088334117804,0.00942027202373593,-0.000239794138971914,0.0065053901693008,-0.0117462781361182,-0.011939383113037,0.00566212516537512,-0.000734242209475395,-0.0149465799691413,-0.00749568590236543,-0.0226120625413672,0.0110555582738352,-0.00100280223046647,-0.0114539335100309,0.00261986517782229,1
"GSM748087",0.000552078992556753,0.00701710360004339,-0.00850024728047925,-0.181156081271764,-0.0146605459259063,-9.18388819178576e-05,0.0366408281946982,-0.00340596091619323,-0.0159219045874902,0.000741371704018488,0.0150942335055587,0.00651729443969545,-0.0134582777846926,0.000671649711918294,0.00450585727792566,0.00176113226653621,-0.00799302161631319,-0.0008029578434312,-0.0123148078534426,-0.00429411410766299,-0.00155811868038291,0.010472951185241,-0.0149658983490438,-0.0236785032453653,0.00291603084533349,0.0277907411680316,0.00946712449929455,-0.00260109320942533,-0.00523724674424904,-0.00579239951596882,-0.0145504524221337,3.04132988437081e-05,0.0121025259163154,-0.000425753919622142,-0.00246563543045146,0.013084151288768,-0.0206721336918438,0.0913118157203121,-0.00163708307034764,0.0115686585024258,0.0226456662020088,0.00899778720853424,-0.000225860756317529,0.00629569180448329,-0.00945958514742124,-0.0125645147865743,0.00609126530470282,-0.000773902541255634,-0.023054306180864,-0.00800256149278157,-0.0269696955834965,0.0115344810947697,-0.000955214912696626,-0.0123674626980679,0.00270540689073892,1
"GSM748089",0.000534269366325526,0.0066477441302239,-0.0103182022948426,-0.17866401970485,-0.0150482569783613,-9.30049785242623e-05,0.0400737099119992,-0.00353947155584685,-0.018149567286207,0.000821721123672902,0.0155917557246518,0.0063769973921921,-0.0140563734929725,0.00067975534426348,0.00445118410125304,0.0019033143777441,-0.0106716515232707,-0.000835093486242248,-0.0120823156207586,-0.00398679674037406,-0.00152346876747239,0.0110454240739733,-0.0158654322240075,-0.0237118027175784,0.00270692785602424,0.0257204842104813,0.00912135631433599,-0.00260629469119053,-0.00526115216002438,-0.00547621695767807,-0.0146310929645656,3.04045758150894e-05,0.0132141050134139,-0.000435473734517048,-0.00272034568844025,0.0124512868871929,-0.0221243775034944,0.0852396387334758,-0.00162028077977616,0.0108433933196037,0.0219006084460876,0.00891826491435077,-0.000230556967556452,0.00565360583315104,-0.00981480319468763,-0.0130325887889727,0.00805063575492462,-0.00141457280755163,-0.0230878688452007,-0.00739467415189491,-0.0247763380722837,0.0108034192697849,-0.000993324086958143,-0.0122846014806163,0.00280653348091904,0
"GSM748090",0.000540504988089571,0.00640486528912216,-0.00905508401995871,-0.166588137171148,-0.0175357974246611,-9.74016686794789e-05,0.0362869390505413,-0.00337036414167596,-0.0145005856291488,0.000745845923056687,0.0138514310116004,0.00613557676662303,-0.016352910074748,0.000619532597834334,0.00429604141646325,0.00198821295800274,-0.0084927411199211,-0.000937982992714285,-0.0120734211347832,-0.00452395226886305,-0.00162886622531454,0.0106417643859221,-0.0149914524706151,-0.0239810069196035,0.0030300523949489,0.0238543562421232,0.00961258877975051,-0.00288527010116181,-0.00555296371816094,-0.00619111523443234,-0.013812709364837,3.10172910292938e-05,0.0110901278916152,-0.000441853467901769,-0.00273074937336194,0.0129741804886084,-0.0185445409034771,0.082195323829433,-0.00156105619102194,0.0110127534295848,0.021059130141498,0.00893575567213333,-0.000252890307871699,0.00572799251423878,-0.0102767825541289,-0.0123513757084859,0.00678439923704354,-0.00111082072987915,-0.0149054817224821,-0.00739699574842417,-0.0258651223873027,0.01136035050223,-0.00098337161605863,-0.0115810832513558,0.00292194499278732,1
