"","APOL1","C16orf89","CCL20","CCT2","CCT6A","COL6A1","CXCL17","CYP24A1","FKBP4","GHITM","GJB2","GOLM1","GPD1L","GPI","HMGA1","ICMT","IER3","IFI35","IGFBP1","LAMB3","LAMC2","MARVELD1","MDFI","MRPS12","MT2A","MUC13","PFDN2","PFKP","PLAUR","PMEPA1","RHOC","RHOV","RTCB","S100A10","SELENBP1","SLC7A8","SPRR1B","STIP1","TCN1","TK1","TM4SF1","TNNC2","TOMM22","TPI1","XRCC6","class"
"GSM748078",-0.016039139037774,0.0175995767277275,-0.0299385413272936,0.00289751806916155,-0.00208769513313803,5.75695405532489e-05,-0.00798888237245037,-0.00275335178022935,-0.00400789569410909,0.0107397744147878,0.0146551667660798,-0.00652416779852558,0.00484775878337332,-0.016158260212715,-0.000483770804495589,0.0283704512902882,-0.0753454472969052,0.0112857837284183,-0.0148707725886159,0.00323701643134709,-0.00438129897723416,-0.0531069642099501,0.00319652892258026,0.0250065010441353,-0.0177354615511402,0.00381248703461524,0.0337311634249868,-0.00321076299059886,0.0180480396222116,-0.00495394161738063,0.00819223440147668,0.00426271292624012,0.0171220286829314,-0.00599665363780783,-0.0083598781974798,0.00139969735684661,0.0236158397538534,-0.00706369463551408,-0.0134001556779591,0.011969242265961,-0.0128992447682925,0.060104033295608,-0.0284653624368916,0.00130585295772175,-0.0395035221186141,1
"GSM748079",-0.0159106562459603,0.0112460264393311,-0.0189096788036475,0.0031851989966012,-0.00197807430735773,5.69365028259763e-05,-0.00701995614282864,-0.00240250233155248,-0.00408924904872037,0.0113008320960374,0.0229160501077627,-0.00601482195828602,0.0046544445602329,-0.0174362521473965,-0.000513543856774538,0.0315743275580188,-0.0658228649417871,0.0120545137540559,-0.0138777680002438,0.00229625895662187,-0.00340572547997423,-0.0543359063296463,0.00328537593583696,0.0284934854582979,-0.0187794744207954,0.00341184678491698,0.035823589725834,-0.00311887757600946,0.0236033443555886,-0.00575180436472471,0.00858981854502219,0.00402753625226281,0.016904482943536,-0.00588124170605551,-0.00638866246283613,0.0013340258905552,0.0229486448319514,-0.0078075620979415,-0.00710549527892745,0.016232860807227,-0.0120001542689287,0.0680007871186804,-0.0294018286872663,0.00131589337438439,-0.0375085848824316,0
"GSM748080",-0.0169247253439595,0.0127416122445235,-0.0204039238771796,0.00320876197464845,-0.0019968477291828,6.33899498875457e-05,-0.00765168115038276,-0.00511508853373604,-0.00398822927991034,0.0118351542918206,0.0223085241017199,-0.00595924946485217,0.00396253255028371,-0.0186624752639364,-0.000538760961749111,0.0311789139504599,-0.0679128825173279,0.0125828376451753,-0.0147852362298653,0.00356013731812089,-0.00550918484150319,-0.0546059839926097,0.00291387808570313,0.0235844894619828,-0.0176606250181561,0.00761457039658646,0.0347491135510547,-0.0036159833361714,0.0213919007968171,-0.00677770915559639,0.00926013743634249,0.00411645616983959,0.0158289770543596,-0.00607165992079433,-0.00666883203822126,0.00138143979161286,0.0223614070500142,-0.00786419740715551,-0.0120672169354659,0.0168824777670616,-0.0128392474285631,0.067422606705901,-0.0275686619314793,0.00138516821495645,-0.0365574034761025,1
"GSM748081",-0.0167302931459989,0.0120324731421002,-0.0183185526818924,0.00302067842070689,-0.00196385979804971,5.47349871650625e-05,-0.00681038857546817,-0.00635886518849734,-0.0042377258139028,0.0109555159261571,0.0212273649902266,-0.00621541751429399,0.00384338479501818,-0.0176431264982163,-0.000609674786205668,0.0335005817727553,-0.0705491087399443,0.010932179026922,-0.0211422453363343,0.00359940326328662,-0.00574409443260528,-0.0545476343402277,0.00384879664097903,0.0241592956912627,-0.0151419891992901,0.00656636382737578,0.0372953034511674,-0.00369071843213177,0.0201916582056542,-0.00491655356608268,0.00891018112218817,0.00506986535608372,0.0145768085455762,-0.00619108501459529,-0.00598290803772601,0.00166607298474169,0.0212254666201899,-0.00804036598382163,-0.00734908757301692,0.0173166911260735,-0.0136792033158651,0.0824931277402269,-0.0262668777605574,0.00136265414126821,-0.0368128269906685,1
"GSM748083",-0.0156142628421272,0.0133355528415189,-0.0227393319683545,0.00298496109394091,-0.00212820049846004,5.91306629249911e-05,-0.00742332487211173,-0.00580490251223844,-0.00383658127630843,0.0121967586283651,0.0178132325303608,-0.00656276404386314,0.00435773644103433,-0.0176719795600193,-0.000521754379678492,0.0314002691059466,-0.0698874511711268,0.0113088112955283,-0.0161669117450913,0.00302132656093303,-0.0045535842965105,-0.0567356023221565,0.00426156464372048,0.0267524610966305,-0.0180421600506169,0.00620348322655327,0.0362344126073401,-0.00394151385696797,0.0204954169740147,-0.00652848818518851,0.00919451934300082,0.0046670847111434,0.0157677543340633,-0.0060455957384347,-0.00647549299898141,0.00138423887768465,0.0244831873492988,-0.00771448518037379,-0.0166560748134387,0.0127042146328461,-0.0130190365899314,0.0694851602721474,-0.0265865023497949,0.00132545839968507,-0.035987967434855,0
"GSM748085",-0.0133711111726148,0.0152545710533238,-0.0224544105764367,0.00310238146015417,-0.00187998593675352,5.43488982951933e-05,-0.00764729785427937,-0.00462048508634503,-0.00431902719681601,0.0125637801016295,0.0136465316620507,-0.00665914614975648,0.00490170650185631,-0.016657035827716,-0.000501225566790645,0.0315256728083152,-0.0644044519526525,0.0105859065901363,-0.0171287468190756,0.00325641745855019,-0.00394566176894424,-0.0569409581491704,0.00339265411309226,0.0251817565507988,-0.0151179144589261,0.00537350415509378,0.0367128161260801,-0.0032122852609617,0.0214303662494043,-0.0055840637872932,0.00833267605590312,0.0043773691509317,0.0152647483544065,-0.00591075275914254,-0.00774208268270834,0.00142688750274178,0.0288967147479958,-0.0075725104147613,-0.00748834447774612,0.0137400540687342,-0.0129850368035724,0.071457435740386,-0.0280040322928687,0.00133416221976718,-0.0382219953814133,1
"GSM748086",-0.0143571475844385,0.0154704043885534,-0.0204480385625354,0.00280598422028312,-0.00191751120935845,5.25448968033468e-05,-0.00760556828813555,-0.00266530263994528,-0.00409422056269862,0.0111564532004158,0.0165655350367674,-0.0062002162771679,0.00535042899278618,-0.0165573865774184,-0.000445700618598006,0.0287860835300865,-0.0719633129299711,0.0112409152509403,-0.0150079109565111,0.00320744916678339,-0.00372608645584292,-0.0468890060721049,0.00287782197357882,0.024847596720826,-0.0164336877911638,0.00345292118982583,0.037661070597659,-0.00275355741832981,0.018257693810044,-0.005992805996324,0.00838045055165978,0.00386255876464428,0.0162329715291701,-0.00627931918727994,-0.00883346929620144,0.00146018706306658,0.0222807965486732,-0.00757129210037325,-0.00716348872705555,0.0131860447987274,-0.0114431455152111,0.0618726349547764,-0.0304356607480408,0.00129831845565564,-0.0396586568215688,1
"GSM748087",-0.0143370267795169,0.0172650904527883,-0.0167606743079024,0.00300491651055865,-0.00211966431914092,5.26926081650124e-05,-0.00774584763158491,-0.00247563777933595,-0.00392989345249218,0.0108640066650493,0.013216541004557,-0.00709739830168306,0.00532324601064995,-0.0158816714051042,-0.000476706004431977,0.0284497698163162,-0.0670362257149078,0.0111812912280011,-0.0147656825333195,0.00321326517054713,-0.00340473747696318,-0.0510540857756534,0.00347371450615535,0.0254914789643669,-0.0175668057200375,0.0033895905233859,0.0353411312405491,-0.00281236303522221,0.0167569637881229,-0.00520180376485099,0.0085319060410537,0.00357334896161803,0.0163850207489836,-0.00588081219324165,-0.00859905840242546,0.00140943673475776,0.021157603408811,-0.00734767295622975,-0.00728870580627041,0.0120373618123697,-0.0130196430922578,0.0622577989359712,-0.0277540603098133,0.00127907492741419,-0.0375652892944486,1
"GSM748089",-0.0157077530782921,0.0120003669711838,-0.0194337638491706,0.00330949594890193,-0.00194661414103158,6.0080554982094e-05,-0.00587216048660952,-0.00459053164270747,-0.00449376686696011,0.0120681209807896,0.0212064823040702,-0.00610147931160498,0.00428246436960148,-0.0165832417237088,-0.000513142117597452,0.0299953317841035,-0.063313499711881,0.0135008551447859,-0.0154143768037905,0.00295792125125746,-0.00391586980248459,-0.0526347720259586,0.00321856465578493,0.0254964812333077,-0.0184704162583048,0.0031562350814013,0.036637812143257,-0.00368379180017238,0.0220849755874382,-0.00493475399513027,0.00866482714479894,0.00452105907901173,0.0157946382642229,-0.00592899926566152,-0.00644973247181588,0.00130590824043887,0.0423972109092697,-0.0082193037144178,-0.00730538690496951,0.0179227846733,-0.0101958928390657,0.145954577356246,-0.028443720590974,0.00136768440784675,-0.0361344019874799,0
"GSM748090",-0.0141534927108901,0.0150594493588437,-0.0269212462859896,0.00323355498476955,-0.00183522883407718,5.29704139889546e-05,-0.00774406983982079,-0.00444312159480509,-0.00421232933314509,0.0128390534354186,0.0112677944974545,-0.00602128373049798,0.00438193958444338,-0.0161300751690747,-0.000557519252505916,0.0286225559146954,-0.0609447804439507,0.010698558916054,-0.0162807335823363,0.00341186726334082,-0.00367283337927539,-0.0565215940400552,0.00307399457784231,0.0257529806796354,-0.0147808267305057,0.00478616863375634,0.0358436067713738,-0.00366752077664809,0.0167537176211424,-0.00386486720468106,0.00806048344186039,0.00408509239811668,0.0162473343612206,-0.00578059316397626,-0.00758557016872346,0.00162847959271835,0.0212820416892435,-0.00815524309870385,-0.00759943501300005,0.0133932684776594,-0.0123167419357697,0.0737779722918897,-0.0287679949341401,0.0013221559248277,-0.0380542926767625,1
"GSM748091",-0.013591322921783,0.00944567660496118,-0.03335317050633,0.00350763690177875,-0.0019673374373733,4.77843220462593e-05,-0.00732674661729822,-0.00612316806486911,-0.00467197493138783,0.011587367671874,0.0197625949641,-0.006473657887057,0.00467037904276512,-0.0191142057825044,-0.000606515239245324,0.0307017417682276,-0.0633909421458473,0.0121461729203205,-0.0158036677468822,0.00284748525415753,-0.00498809282547138,-0.0490285231328475,0.00347635810562669,0.0372741737232537,-0.0165066086916758,0.00364947116554279,0.0385849231832474,-0.00354410821288947,0.0196662681857755,-0.00441823722915022,0.00856818604106156,0.0042414422924168,0.0155309372329557,-0.00577321494764027,-0.00606676555727369,0.00128455972882399,0.0227139749654594,-0.00830491893476554,-0.0126435055703749,0.0176137879805129,-0.0122136984730443,0.0610934109483165,-0.0308738766472639,0.00139103872241322,-0.0380458031006267,1
"GSM748092",-0.0142776174267146,0.00932714175089168,-0.0296243097541288,0.00347034615503748,-0.00197435770587377,5.19594191644653e-05,-0.00740734031363889,-0.00261405116658146,-0.00427862943281891,0.0115430036226633,0.0150950653700875,-0.00631051146652171,0.00400830391373568,-0.0167498141457884,-0.000565175937662739,0.031749528581457,-0.06200032963339,0.012113018611193,-0.0154701769709047,0.00297095784310677,-0.00349277969450945,-0.0470913284408144,0.00439829703637205,0.0275127947716166,-0.0180737502337297,0.00666045758722527,0.0393723217602909,-0.0038140475803736,0.0196062408491623,-0.00572482701477194,0.00798778776326935,0.00410395487444555,0.0158765073894554,-0.00507494626561164,-0.00511463529834697,0.00137039483462312,0.0205621518730192,-0.0085516296602441,-0.00675874621560835,0.0154720791676495,-0.011677011233609,0.0713049332828595,-0.0296747971866303,0.00126019448059634,-0.0376084146124491,1
"GSM748094",-0.0146644392505225,0.0140783563046403,-0.020278948296813,0.00278905490811568,-0.00199075391186678,5.71365255132059e-05,-0.00746544673668138,-0.00290754492609329,-0.00389741651329783,0.011017531314855,0.0255006206567509,-0.00672446727065889,0.00492185334140811,-0.0175996433874008,-0.000504991039231986,0.0302077048901821,-0.0757566684783888,0.0113594516448913,-0.0140956316071141,0.00317510444748383,-0.00449848008309372,-0.05115695186127,0.00304898364632929,0.0243723441819798,-0.0179792666303796,0.00333296587323881,0.0343804717139317,-0.00329906837428397,0.0227646303132785,-0.00493278986667659,0.00896481611352666,0.00590272870871612,0.0164819555270576,-0.0059969285356684,-0.00681568087550018,0.0014764514058732,0.0281336520394411,-0.00727429591802692,-0.00680890624381623,0.014020957301169,-0.0122273717661868,0.0841357148254588,-0.0277806599156414,0.00135725391026529,-0.0368237180177689,1
"GSM748100",-0.0135676224555966,0.00912710073414145,-0.0374019135486839,0.00259585593406807,-0.00211552508775533,5.99550748680642e-05,-0.0077781249416745,-0.00314424009680209,-0.00387253086619746,0.00945648452012945,0.0194510270214086,-0.00672680621054519,0.00424711036346387,-0.0176719909400932,-0.000575548516276796,0.0311079773865995,-0.0642147172463056,0.0104672251211908,-0.0147914329986622,0.00334413633695591,-0.00447777368075842,-0.0458716735451412,0.00359343861316577,0.026135041009634,-0.0166514613293771,0.00328052591902988,0.0391800896004551,-0.00408649010838301,0.018679383963728,-0.00454402611415499,0.00827866605011071,0.00445316171278432,0.0148741195017311,-0.0062874209354523,-0.00550391079567631,0.00122354068467503,0.0238844727886518,-0.00661942627624827,-0.00749643058173352,0.0143306156982543,-0.0120433755396072,0.0968981359567856,-0.0236199016723568,0.00128117353518885,-0.0340069562911686,0
"GSM748101",-0.0151643461135065,0.0124347144802686,-0.0275437701345167,0.00295182795351107,-0.00196012787999421,5.75162286978417e-05,-0.00703053723647049,-0.00384646563839645,-0.00383376461590741,0.011261236268906,0.0214013579931366,-0.00626721808690658,0.00447681805845047,-0.0162437723401253,-0.000489904618416666,0.0286045039584081,-0.0624775706447863,0.0125939793249333,-0.0163674687472947,0.00295181756429169,-0.00481580051415335,-0.051533538218247,0.00326067548001009,0.0256999392999923,-0.0176387074090979,0.00353437471971691,0.0351266729184622,-0.00363709383631827,0.0203695919706817,-0.00529541322459263,0.0090535746002272,0.00437628971018391,0.0159727983615159,-0.00589569362707677,-0.00628072806830957,0.00123296604306476,0.050443505597968,-0.00695237672494673,-0.0133830066712326,0.0142807703628681,-0.0122214699574021,0.0666297920830287,-0.0292524717076681,0.00132656418682573,-0.0369386438722065,1
"GSM748102",-0.0143923294868939,0.0107186403663257,-0.0292012008224526,0.00327335496155648,-0.00197886703779197,5.98003151530352e-05,-0.00665790464699235,-0.00515729029319428,-0.00405916763131068,0.011572013477827,0.0205831864549712,-0.00640619487014003,0.00450866025463166,-0.0176548104953526,-0.00056536674307229,0.0311793419302028,-0.0684601283890849,0.0120554397996848,-0.014333301688928,0.00239727634961035,-0.00247743431306828,-0.0536679377780355,0.00344385406430759,0.0271574199244017,-0.0176683328967438,0.00359394932573364,0.0351612113406811,-0.00309392846714515,0.0194124946429824,-0.0049777806182114,0.00829376747514772,0.00465119920316056,0.0165697993275717,-0.00579887447604099,-0.00638570128129433,0.00124740477193506,0.0213449898105011,-0.00777676544988524,-0.00706927197534595,0.014189633288073,-0.0108801776538226,0.0720565889934134,-0.0293520485006839,0.00131351278146534,-0.0374974547046389,1
"GSM748103",-0.0139185056541346,0.0149568022643792,-0.0181446546436666,0.00377411909331137,-0.00203339860046953,5.94261991790599e-05,-0.00780546384007901,-0.00312946978509279,-0.00367529700374338,0.0106532977031305,0.0173982214808229,-0.0061575200302551,0.00488086750252077,-0.0163552938242373,-0.000467505726987822,0.029463821550697,-0.0694384051688661,0.0107847390186222,-0.0151620779875586,0.00255741089932436,-0.00437156319494538,-0.0533332464489656,0.00331903016059696,0.0257552057519612,-0.0183174939965532,0.00353511689751558,0.0343941740889772,-0.00309587895494036,0.0216394018540428,-0.00585466941111785,0.00886165882170044,0.00426429739769744,0.0162398009179902,-0.00581051476826352,-0.00750594672334492,0.00142108165295627,0.0288181826582155,-0.00696328700220944,-0.0106851712889082,0.0128621242844284,-0.0126675131652993,0.0682453394757649,-0.0283845707673393,0.00129808415760644,-0.0367086315463464,1
"GSM748104",-0.0136525927072127,0.0170877391841886,-0.0221195918716375,0.00292354728612795,-0.00195741844570105,5.99628214968585e-05,-0.00763359464985303,-0.00263039625002628,-0.00372361230618069,0.0119813597425874,0.0135619815553899,-0.00613864262039889,0.00531807620410694,-0.0163514169857298,-0.000528848450858798,0.0321495192121733,-0.0666137110910932,0.0110868582361681,-0.0143963157422888,0.0027373736550244,-0.00366028768491559,-0.0514681734935315,0.00342075046109424,0.0261523810436637,-0.0169577807701473,0.00340336624899941,0.0369266450682883,-0.00300079904960189,0.017435995155599,-0.00486913014070621,0.00861231275292493,0.00376708576287799,0.01598863727253,-0.00587561000400274,-0.00760129613442229,0.00138367372119801,0.0214389342868443,-0.00825371515968292,-0.012130788840976,0.0138555141098409,-0.0123810615916831,0.109559407815618,-0.0294280660974848,0.00126913793351769,-0.0382517068590188,1
"GSM748108",-0.0158052639207166,0.0142795677742645,-0.0292494480725677,0.00302278178251811,-0.00201839902406999,6.04682538134914e-05,-0.00732200148660984,-0.00558840339011433,-0.00399581621399,0.0112836762780641,0.0173600249997147,-0.00641985889883937,0.00444823873993632,-0.0169064803954404,-0.000517984697730243,0.0304906604853966,-0.0604825739508264,0.0124456515293542,-0.0145947965087084,0.00301394559647924,-0.0044260673666461,-0.0548251059641383,0.00324482691154501,0.0274933487154585,-0.0191799331710155,0.00347355585986165,0.0345617046203228,-0.0033589102759545,0.0223095827170275,-0.0058716334793003,0.00880219841038424,0.00391001798288183,0.0155715879929411,-0.00595517007181114,-0.00682890390244055,0.00135524629441073,0.0409588180742103,-0.00766143617346676,-0.00766193414169041,0.0157400663912414,-0.0119511356892621,0.0971132336276907,-0.0273215669659749,0.00139446821134735,-0.0359946508139041,1
"GSM748111",-0.0164137916526441,0.0106429906233041,-0.0231993562062675,0.00319669489604945,-0.0026527090519398,6.56202268531782e-05,-0.00667796132993949,-0.00243125186949862,-0.00402747138874763,0.0113445608865173,0.0146246838213778,-0.00623605560380182,0.00444756856988296,-0.0176397785981016,-0.000603382221516552,0.0323595424025187,-0.0690481075039285,0.0120545403279483,-0.0151077941137455,0.00280869676610692,-0.00430795459715131,-0.0549653096376019,0.00350130187293217,0.0266638552180873,-0.0191355536225315,0.00332915582905935,0.0386266391355645,-0.00373954399796131,0.0217139776479964,-0.00655397164751125,0.00903129165204539,0.00436468206750107,0.0170039830570431,-0.0061912066249045,-0.00574789303753709,0.00129168973939032,0.0207695370265576,-0.00782155348859371,-0.00690687200339237,0.0173273434293568,-0.013296330992144,0.0625404511779703,-0.0304499915703704,0.00137128293942941,-0.0378950214683561,0
