exp(coef)	exp(-coef)	lower95%	upper95%	p-value
ABCG4	0.739810786200704	1.35169697259416	0.486396419442662	1.12525499263759	0.157206801792914
ABCG5	0.987400244923498	1.01276053468822	0.654270338902303	1.49014739887294	0.951855065184177
ABCG8	0.99072211303153	1.00936477226705	0.659134997449458	1.48911878302278	0.964244793527997
ABHD1	1.02852722295898	0.972264007872435	0.674871189382023	1.56751134884924	0.895910807675314
ABHD10	0.82450897606207	1.21284307270503	0.549690735429148	1.23672277480934	0.350279515223533
ABHD11	0.991608314217719	1.00846270211934	0.666707400419616	1.47484045955818	0.9668103894055
ABHD12	0.828967889282198	1.20631934352234	0.534250014798486	1.28626624693718	0.401421397159039
ABHD12B	0.924014627802423	1.08223394945412	0.608957990417936	1.402072139339	0.710129357997645
ABHD13	0.979916563289533	1.02049504770391	0.651771890721128	1.47327076340582	0.922315780420979
ABHD14A	1.38338600712283	0.722864041454203	0.91072379770172	2.10135811706331	0.128317140154206
ABHD14A-ACY1	1.177913497768	0.848958774897204	0.78123164474051	1.77601639355623	0.433233674763546
ABHD14B	0.886316968592453	1.12826453225654	0.57178037680512	1.37388025312148	0.588634624935534
ABHD15	0.557305804898165	1.79434700161203	0.362644396882168	0.856458180089046	0.00695287090558156
ABHD16A	1.17723931186878	0.849444959846416	0.771312747111447	1.79679695765359	0.448695943085471
ABHD16B	NA	NA	NA	NA	NA
ABHD17A	0.831203996012524	1.20307410069878	0.548552118969665	1.25949761033627	0.382633878483556
ABHD17B	0.83531196404639	1.1971575208331	0.547563358290378	1.27427459619936	0.403774598157319
ABHD17C	0.797350679505071	1.25415331761016	0.513842571801433	1.23728188553611	0.312003560435845
ABHD18	0.980198109485588	1.02020192685824	0.641955061818097	1.49665979908009	0.926205620800499
ABHD2	0.64301490546613	1.5551739026564	0.42095474076233	0.982215256449763	0.0406625837395393
ABHD3	0.748682977725476	1.33567882501888	0.495586208190618	1.13103672352458	0.168875499639019
ABHD4	0.742481189636168	1.34683546729315	0.480951079804046	1.14622534414133	0.177999120928272
ABHD5	0.788902399900097	1.26758392435697	0.514447390186997	1.20977773128931	0.276904969776419
ABHD6	1.33859153180254	0.747053881816664	0.894144314418487	2.00395759400292	0.154846032636089
ABHD8	0.859869571764827	1.16296707411982	0.544006853943459	1.35912934752082	0.517412081979592
ABI1	0.865607645778188	1.15525781787774	0.571363186594197	1.31138409685786	0.495809490406578
ABI2	1.10606089283174	0.904109354630377	0.734128052201882	1.6664268515315	0.629603295145181
ABI3	1.10679726724188	0.903507832551831	0.718896655989343	1.70400040196076	0.644749224975663
ABI3BP	1.42006690915641	0.704192171194279	0.917848786626253	2.19708306625696	0.113599404226468
ABITRAM	0.82822205037257	1.20740567043603	0.545728974360614	1.25694584116047	0.375744387669796
ABL1	0.618110767886405	1.61783300332956	0.403528340396705	0.946800715413247	0.0266069943394275
ABL2	0.673804774126284	1.48410940141629	0.442056518899637	1.02704711778823	0.0656122053120362
ABLIM1	0.958939669493179	1.04281847108121	0.626231640787399	1.46841077619691	0.847093210383978
ABLIM2	0.995641512404879	1.00437756716732	0.65028783895578	1.52440498167041	0.983965677552137
ABLIM3	0.729574507510141	1.37066192651489	0.485932938636729	1.09537534850376	0.127446496104734
ABO	0.920459631849417	1.08641374960765	0.612601735948019	1.38302894710742	0.689712903082418
ABR	0.867933817238666	1.15216158206798	0.570601855630251	1.32020094865346	0.50800004185129
ABRA	1.5591053941332	0.641393457916909	1.03655847721567	2.34507717938375	0.0316600655750872
ABRACL	0.897934084608498	1.11366749201419	0.584891817753174	1.37852094323869	0.622488670936116
ABRAXAS1	1.30513731283726	0.766202904601727	0.859709982961276	1.98134654606748	0.210728761995879
ABRAXAS2	0.832865164615032	1.20067454191366	0.546209481525714	1.26996034651692	0.395307925665431
ABT1	0.950376409025729	1.05221467042216	0.621442001068559	1.4534185286472	0.814315426299744
ABTB1	1.05488587721737	0.947969843560569	0.684998708211747	1.62450556564943	0.808383289322418
ABTB2	0.544524368249646	1.83646510295667	0.359093002092449	0.825710292013265	0.00399934779716586
AC000093.1	1.13106328152113	0.884123829619092	0.746558750134939	1.71360143669084	0.560795730025696
AC000120.2	1.48815992739588	0.671970788616715	0.474890071253968	4.66343708483754	0.466372026206292
AC000120.3	NA	NA	NA	NA	NA
AC001226.2	0.649346038150918	1.54001093599894	0.429227999232909	0.98234569509874	0.0398314864689639
