exp(coef)	exp(-coef)	lower95%	upper95%	p-value
ABCA3	1.21748842939611	0.821363042025797	0.839537909145656	1.76558802117921	0.299812621633679
ABCA4	0.894758204315467	1.11762037517728	0.608717044862573	1.31521246356849	0.571166916138742
ABCA5	1.2933995500849	0.773156291831368	0.87045090719289	1.9218572608014	0.20258916038955
ABCA6	1.40997754654682	0.709231152261328	0.971090094709505	2.04722166624601	0.0704813300659588
ABCA7	1.3409094218932	0.745762527783663	0.906307670149972	1.98391576827813	0.14153366743203
ABCA8	1.19967870488837	0.833556514694531	0.825858137553602	1.74270728775041	0.338939815284083
ABCA9	1.11784342471723	0.894579668215128	0.76712859212151	1.62889759945959	0.562003907334151
ABCB1	1.77678945178934	0.562812886463804	1.20942235471938	2.61032115345873	0.00311735397673552
ABCB10	1.07344965227782	0.931576062163736	0.731344206713043	1.57558389797636	0.717353174152543
ABCB11	0.960758331055978	1.04084447428199	0.656022788912787	1.40704955116457	0.837048255791737
ABCB4	1.38759751692777	0.720670070247791	0.9536586513065	2.01898956859073	0.0861814188133733
ABCB5	1.04339050114063	0.958413938891339	0.708705270735641	1.53613043789057	0.829602601600341
ABCB6	1.16309448025504	0.859775381085741	0.789537554251639	1.71339382492322	0.444310020976006
ABCB7	0.837441895868101	1.19411269597802	0.571883746025578	1.22631379861562	0.361312016651383
ABCB8	1.28578956478581	0.777732241252544	0.86383843226387	1.9138472463877	0.214287117811993
ABCB9	0.861724811638445	1.16046327840862	0.588007730076412	1.26285695410299	0.44517672889102
ABCC1	0.931247113766969	1.07382883148482	0.639659908878985	1.35575354162672	0.709954950737151
ABCC10	1.29147182648591	0.774310348465747	0.879331175319859	1.89678192405739	0.191830874140994
ABCC11	1.10265098898334	0.906905276457435	0.749051222435405	1.62317231063699	0.620369089038178
ABCC12	0.722235730002823	1.38458948852626	0.519861817327987	1.00339057862296	0.0555648539110262
ABCC2	1.02514926899411	0.975467700407385	0.698803935065995	1.50389969343821	0.89891173085895
ABCC3	0.569071946176429	1.75724705236123	0.387634162774181	0.835434311587459	0.00357062687155978
ABCC4	1.08755896384947	0.919490375455549	0.7539084133753	1.568870275043	0.653467052781599
ABCC5	0.890699649581872	1.12271291503195	0.604992659390952	1.31133139129975	0.557041099637807
ABCC6	1.03320857902902	0.96785878504781	0.707326903378724	1.50923139312231	0.865843418616566
ABCC8	0.971950087044804	1.02885941709258	0.680440829435284	1.38834551196821	0.875789578013552
ABCC9	1.18424784174113	0.844417836159833	0.813218066004742	1.72455951152019	0.377203081619075
ABCD1	0.92843257999974	1.07708413248518	0.635190854572534	1.35705205671619	0.701396925923819
ABCD2	1.63027049723355	0.61339514006843	1.12172436425055	2.36937163785851	0.00995541937103221
ABCD3	0.979057311566466	1.02139066649737	0.665631246809645	1.44006643907731	0.914390873577503
ABCD4	0.776700555145583	1.28749747038943	0.536046368151596	1.12539471994492	0.180815048700194
ABCE1	0.752991628935167	1.32803601205253	0.512730088669334	1.10583795602466	0.147310542830384
ABCF1	0.785169111389272	1.27361097818865	0.542535274038335	1.13631419555636	0.199222784967687
ABCF2	0.919859204487521	1.08712289350535	0.62393010456097	1.35614702655805	0.673119626202179
ABCF2-H2BE1	NA	NA	NA	NA	NA
ABCF3	0.88858912592419	1.12537951548747	0.607476144600171	1.29978871060099	0.542442282298858
ABCG1	1.21491852650987	0.823100461619204	0.824483012903432	1.79024552714442	0.324629689319525
ABCG2	0.905571190547979	1.10427541251051	0.621473874188799	1.31953926819674	0.605382570150643
ABCG4	1.29171201498031	0.774166368666347	0.861853784487781	1.9359663549382	0.213251384278162
ABCG5	0.934761064743862	1.0697920973784	0.629655889046381	1.38770757704565	0.737768052209364
ABCG8	1.15728610003584	0.86409056495972	0.794471030637984	1.68578974649416	0.446412848555338
ABHD1	0.761376010080766	1.31341149019644	0.517180462410237	1.12087263703841	0.164971252837324
ABHD10	1.34297005027383	0.7446182435685	0.889738436355267	2.02707726477531	0.159388881992647
ABHD11	0.737348612731804	1.35621059392124	0.496211110224878	1.09566868918176	0.129976531184946
ABHD12	1.15043640786763	0.869235355523505	0.786903003858603	1.68191495274198	0.469638276154725
ABHD12B	0.588768247557428	1.69846115878126	0.39552951825356	0.876415117795634	0.00832888274631567
ABHD13	0.850780910333889	1.17539073556264	0.588511963077965	1.22992938597693	0.389925039942844
ABHD14A	1.15507287310586	0.865746242755328	0.796219303582231	1.67566063292164	0.447170552261872
ABHD14A-ACY1	1.15149979397953	0.868432634750236	0.817360877817305	1.62223543054293	0.416332488813041
ABHD14B	1.26351446936452	0.791443251538658	0.851836048017903	1.87415033445492	0.243620413824997
ABHD15	1.08096695799481	0.925097656874727	0.743446684906462	1.5717193821687	0.683488302031412
ABHD16A	1.06662946180102	0.937532700729532	0.735825929438708	1.5461515601248	0.733482822985283
ABHD16B	NA	NA	NA	NA	NA
ABHD17A	1.24798131023477	0.801294051280209	0.853865830137179	1.82400711648699	0.251804540944902
ABHD17B	1.48385036396098	0.673922400996423	1.02002044048	2.15859586263879	0.0380941139273569
ABHD17C	1.10671072401632	0.903578485596437	0.739619850501651	1.65599750442337	0.621796726256973
ABHD18	1.28752193952928	0.776685794080995	0.863827689786502	1.91903172862975	0.213679181309803
ABHD2	1.15718630338017	0.864165084808709	0.787488843003501	1.70044331755022	0.45715381893305
ABHD3	1.12888416464279	0.885830478733328	0.758997994237679	1.67902875482724	0.549450667972163
ABHD4	0.80421042446804	1.24345565485733	0.548683947243038	1.17873761401769	0.262363272630895
ABHD5	1.18152909481792	0.846360876245801	0.799010231917998	1.74717537540185	0.402833045567098
ABHD6	1.08991871761901	0.9174996115165	0.750609153750254	1.58261167623798	0.650854544297497
ABHD8	1.21505261387535	0.823009628209061	0.829132350824144	1.7805997474563	0.317577452007766
ABI1	1.25025656293206	0.799835833418729	0.853798790290265	1.83080778625052	0.250451410058236
ABI2	0.804286758556762	1.24333763966776	0.544726153692545	1.18752732103048	0.271882325917621
ABI3	1.56239538645273	0.640042852578056	1.06601539565216	2.28991002715809	0.0215854656594367
ABI3BP	1.36426725192681	0.732994212525194	0.921317568686242	2.02017762163588	0.120349723789322
ABITRAM	0.679255714901617	1.47219961210755	0.457257914515841	1.00903300211881	0.0541284211187673
ABL1	1.21594767990545	0.822403806122443	0.828274480165735	1.78507100686189	0.31747509187423
ABL2	0.700758031719368	1.42702609850424	0.479023232640302	1.02513152924243	0.0661316906667875
ABLIM1	1.50655389048026	0.663766498044897	1.01570474617217	2.23461063214968	0.0403836717793086
