exp(coef)	exp(-coef)	lower95%	upper95%	p-value
ABL2	0.881695301200672	1.13417866539407	0.599526773835701	1.29666703487772	0.522093009329168
ABLIM1	1.0153795795882	0.984853369225296	0.681646309445451	1.51250828524761	0.940161627421842
ABLIM2	0.733750806556915	1.36286051213006	0.487157959450299	1.10516565659819	0.137338697913828
ABLIM3	0.526938183777749	1.89775581042686	0.354154629815873	0.7840186916866	0.00137646209319181
ABO	0.905602071302912	1.10423775705512	0.606104581787342	1.3530917537856	0.628113952639926
ABR	0.518257958338036	1.92954104015465	0.347166070026157	0.773668093084307	0.00113902970099279
ABRA	0.797524103712304	1.25388059789693	0.561832271336717	1.13208999990127	0.208788855940984
ABRACL	1.10625350626186	0.903951937182194	0.751113073084764	1.62931103713934	0.609241234651972
ABRAXAS1	0.796468505324639	1.25554242674342	0.533530173792961	1.18899007241572	0.264444451798039
ABRAXAS2	1.25838432252857	0.794669785769919	0.834434297319886	1.8977301247945	0.272667533152931
ABT1	1.1483197773316	0.870837566103532	0.778923214697828	1.69289897403102	0.483984542079464
ABTB1	0.617176222290118	1.62028277157108	0.413823263795167	0.920456926145265	0.0176958762359063
ABTB2	0.8488662688203	1.17804186210595	0.579241313734812	1.24399611225036	0.400293877920966
AC000093.1	0.946811010969826	1.05617698612915	0.642362299734164	1.39555370989968	0.782515460261798
AC000120.2	0.954228043170219	1.04796752428037	0.423086520231036	2.15216300882202	0.910754944107368
AC000120.3	NA	NA	NA	NA	NA
AC001226.2	0.827184195096469	1.2089205837442	0.560088930011082	1.22165187696864	0.340297846119825
AC002094.3	NA	NA	NA	NA	NA
AC002310.4	NA	NA	NA	NA	NA
AC002456.2	0.939573373763927	1.06431283380669	0.347876083485174	2.53767984232165	0.903092559972369
AC002985.1	NA	NA	NA	NA	NA
AC002996.1	NA	NA	NA	NA	NA
AC003002.1	NA	NA	NA	NA	NA
AC003002.2	0.776613841914767	1.287641226603	0.523943824927373	1.15113306190262	0.206848409500052
AC003002.3	0.892076618953393	1.12097994584056	0.605296936267191	1.31472777475291	0.563726944016277
AC003005.1	NA	NA	NA	NA	NA
AC003006.1	NA	NA	NA	NA	NA
AC003688.1	NA	NA	NA	NA	NA
AC004076.1	0.842066255169001	1.18755500990751	0.584225224134729	1.21370243666649	0.358210509785893
AC004080.3	NA	NA	NA	NA	NA
AC004223.3	0.812900820512178	1.23016237007848	0.400404409542367	1.65035081592789	0.578412239614128
