,SERPINE1,ROMO1,OST4,PSMC3,PPP1R14B,STIP1,FDCSP,EMC7,RPS4X,ZMAT2,TCEAL8,RNASE7,SPINK7,POMP,S100A10,SMIM14,EIF3D,LMO4,TUBB6,LAMTOR1,RPL12,GSTO1,GSTP1,SPINK5,TOMM34,HSP90AB1,CCL26,ARSI,RNF181,EPHX3,INPP1,SBDS,TMED10,class
TCGA-UF-A71E,0.002351340937205425,0.019627632170492498,-0.07278255652800092,-0.051154891085145274,0.03194247939183079,-0.036859785807356014,-0.00010732815382084247,-0.010640882527988466,-0.03410485812167282,-0.09138901705198803,-0.11979875608475275,-0.022029247367231303,0.005735431123700698,-0.05809196944546034,-0.12972789299805434,0.013688529927274672,0.02353832627192659,0.04483364628613763,-0.016546688535063185,-0.002123412469188323,-0.11526268493492463,0.10972656000610165,0.03488805106600133,-0.0013887261117577526,-0.015492966812825493,0.04735810060245533,-0.0021468549931915304,-0.0003620961255356281,-0.0634262815816874,0.0001557215888384555,0.0014669646766582722,-0.030796124026778796,0.012527684255914282,1
TCGA-BA-5152,0.0020604484599464346,0.010612174584692014,-0.10482514892233889,-0.07730065187108263,0.03897210996172976,-0.08346087244227171,-0.03476243632244729,-0.010111364106262715,-0.025742914721281106,-0.10237464693975461,-0.10799641208435141,-0.006859916806588327,0.2814449221216505,-0.0845753066919276,-0.086071248198691,0.0324177511801764,0.02371141865625775,0.035481122900696015,-0.028818038961219303,-0.00464251376123179,-0.09323409670076738,0.060856611670092764,0.027300964341636525,-0.0014203542441867118,-0.027093516709426904,0.07612589658936095,-0.0018668747457897472,-0.059684561170768445,-0.07367236870246624,0.0025476732271009937,0.0062803005266132556,-0.032016951710812265,0.019278157454011607,1
TCGA-UF-A7JV,0.019897935367662396,0.03814675901943541,-0.20410845446172668,-0.06746859236465115,0.10688792535940408,-0.0849049287795123,-1.4491322205217243e-05,-0.010538720686258453,-0.04359629010992908,-0.08611276877378811,-0.09127328372963904,-0.11340967974274559,0.00023317330617995383,-0.09573603058487563,-0.1842643946263247,0.0067634927440979944,0.029027341850449955,0.029353140716739685,-0.027828161620508603,-0.0026363013585079284,-0.10419518178627846,0.14179803213658806,0.020372408624472767,-0.0020743646801024782,-0.09652789262283425,0.09759703211622821,-0.004158654149683375,-0.03395350185024943,-0.05942663376931881,0.0019798185788706645,0.0034668461279668506,-0.04359426837594503,0.024588180624260082,0
TCGA-CX-A4AQ,0.003334180905182772,0.026171869064999763,-0.10415149175881444,-0.11467824557716437,0.042846717545468156,-0.11747939637334874,-0.037305856331271744,-0.009353605794307815,-0.037535694726489245,-0.07489578695887784,-0.09465224381567092,-0.0024838018198445493,0.00011100834432969093,-0.10335807940461875,-0.02892780262683798,0.008566048587003189,0.039781041617474526,0.09331910240672153,-0.007847981685318165,-0.0036088773026262946,-0.13556353449240752,0.08180769641769498,0.022355821348387254,-0.00031993908647102504,-0.03425090817138351,0.13725250402831474,-0.002042655824499389,-0.002396532017056485,-0.07873443483171097,0.008503646035150464,0.007241751342762276,-0.016373312096018888,0.01185771911451933,1
TCGA-CQ-A4CD,0.007551027078709158,0.022610344442853914,-0.09034662912354584,-0.058444828594778606,0.07452108710814057,-0.05505207823443712,-1.674162966322431e-05,-0.004386665455767146,-0.029539731948869125,-0.07500684414094635,-0.07316443706126378,-0.030500137879215704,0.00017139353665978664,-0.08452747038742292,-0.2226958566952823,0.003420280094727418,0.02259859004834369,0.026441350677273892,-0.027893223319297722,-0.007541409338685864,-0.14741389503042765,0.06629382173334775,0.06808922494517294,-0.0002700690375218452,-0.033489693288881135,0.07501444639543645,-0.0002816018440688461,-0.014665289684549493,-0.060372853205606564,0.0007352553562316687,0.003327161171240686,-0.042196985503565626,0.022353530958509164,1
TCGA-CV-7103,0.003257631546248643,0.019410856857539946,-0.2055143176536591,-0.06031768470506057,0.07554917912305772,-0.06486295409089166,-9.075235071207545e-07,-0.010989844925155179,-0.02306169366431741,-0.06790656421766646,-0.12595104296992554,-0.0031441729958127658,0.0003577090492533382,-0.04619120711691011,-0.06864572257148639,0.011187481659653506,0.020736737191696632,0.08349632402730545,-0.015914392169935714,-0.004574477596636406,-0.07735593907345961,0.11437942124322548,0.019893649558413082,-0.0008394265787561389,-0.03827497903042366,0.046439184106912036,-0.0058954305114413165,-0.004531233436219155,-0.07696143257943065,0.007453092258023069,0.002304277495532585,-0.04366495093528097,0.026480147448988096,1
TCGA-BB-A5HY,0.006641788484084394,0.036092293295756826,-0.15598826091820023,-0.04866663521343819,0.07022424900801442,-0.08015626573316031,-2.1458778427207454e-06,-0.014587299012467858,-0.04660665677246064,-0.10048507504317508,-0.1073119475141108,-0.09237644283319993,0.0005438386182215469,-0.07636854827201707,-0.09440032320586478,0.005390487147341791,0.028319590719718065,0.030065856838845443,-0.018122581529242843,-0.002299429754222265,-0.1282028780444392,0.08250679549286855,0.014060741436447846,-5.421843755647714e-05,-0.05996886816793905,0.15429922232926785,-0.018264830893798722,-0.011869182808262838,-0.07638727340475857,0.00011108391980490795,0.0019314999956637306,-0.10845880425318513,0.019848820325520683,0
TCGA-CN-6998,0.008195496647473063,0.010919859343679244,-0.07038605758919454,-0.037271049273016964,0.027825670462539424,-0.03954739618830654,-2.0978018466020557e-05,-0.004647155869998461,-0.012665673996470141,-0.0676573048359792,-0.03344536721680584,-0.22315542576518207,0.013377621153479813,-0.053711427800438596,-0.09688202319032273,0.009469524945882763,0.017546639231684594,0.0202853878698757,-0.024994224344313143,-0.001502319558689298,-0.07316399169159067,0.03429277533062162,0.01688633701292829,-0.019974438172024322,-0.013694777163656248,0.05166437303456119,-0.0003593921527545309,-0.013753530252349534,-0.03852286686404641,0.00010722867658609182,0.0025172233043501417,-0.032023853374855166,0.01685931524092234,0
TCGA-CR-7386,0.009323778247852433,0.011904067043134407,-0.11042464360502792,-0.05444627707013334,0.037560813874528746,-0.045685647535077666,-2.089414586161737e-06,-0.011521591564902898,-0.017896697659336557,-0.09359153074785359,-0.0789861662519393,-0.053303691198017644,0.01894258845864744,-0.061214917237148544,-0.06473789505768836,0.022727405408294956,0.019621707680545844,0.05208660748758906,-0.009240179901920225,-0.0029308732606623386,-0.07243855924919834,0.04568178423730539,0.019742852035468536,-0.0069640466696126325,-0.023239623163662303,0.07073424842472728,-0.001082392609597957,-0.018886232916808146,-0.05612769678485342,0.010208948618940134,0.004011688762699973,-0.03620012697237167,0.028089337454670887,1
TCGA-CN-4742,0.005690751445977127,0.016557983880690522,-0.0960944982291532,-0.09476584516311236,0.05795809641878732,-0.046052741068202147,-1.565539720815951e-05,-0.007938022794106062,-0.02408037037101404,-0.050710866484074475,-0.07709332595892823,-0.19723959170305128,6.57775574650388e-05,-0.06868648306202271,-0.05928679564695978,0.006743136841996345,0.02702989851687058,0.020779674608983716,-0.03369701810221314,-0.0053779376055821315,-0.050301967374388745,0.040747684792062006,0.023843641784935223,-0.01172387383855585,-0.03282368431182407,0.03723366519323373,-0.0004323176714390265,-0.015259173930969818,-0.04477242399587803,0.0007256928411889189,0.0023356090927724345,-0.03901531837978744,0.027549590127941323,0
TCGA-CV-A461,0.0011982194874832208,0.01728652704582006,-0.0897326945639415,-0.06220067869632121,0.05097876841816332,-0.05626254987778387,-6.929083135008359e-07,-0.013275550972089807,-0.019063446700344815,-0.08698316395630101,-0.08549825290145559,-0.004692666340394611,0.0013462783333886847,-0.05597139032324941,-0.0829021579254812,0.0182583892372906,0.020017041833286776,0.15820582969311073,-0.009541558843979052,-0.003285071110997305,-0.08683198946412417,0.0914828577145716,0.0236025608601004,-0.005577273069602077,-0.03596716539965408,0.07561112256684814,-0.023334915033038257,-0.0009531793819377767,-0.06926712404065477,0.03000996914530767,0.010815790400688042,-0.041944532681275994,0.019971389898714196,1
TCGA-BB-4223,0.002589860608117274,0.024190127647900586,-0.0918917875217313,-0.06750571855548315,0.028210204749226395,-0.03565951297722335,-0.00037708656980759347,-0.006276233429940132,-0.05090783990969843,-0.0938882681070051,-0.060937916268226346,-0.0014615899205271407,0.00013755179684738503,-0.03486719804219285,-0.026604750605000404,0.01156422869575082,0.03443011417011841,0.12843173854870338,-0.009543691552372573,-0.0023753703220128286,-0.11153366473160232,0.04283499090476947,0.015239745048287715,-0.0027361681105026944,-0.02382011112302143,0.06036710797366665,-0.0018677550411232958,-0.0006542914382282612,-0.04168358034349815,0.027373247359152458,0.019594076267438126,-0.023610566247613162,0.02181306563360061,1
TCGA-P3-A5QF,0.00031359350164604727,0.018627124475618533,-0.08096279265650311,-0.06711092129404642,0.04868199976489675,-0.0686365468513945,-4.024240450482307e-06,-0.011652571693050362,-0.024595929113484846,-0.07952545743311097,-0.050019171998121004,-0.045787789882159625,0.011406107379875742,-0.04887347809660071,-0.07751585029314799,0.02300758404482205,0.03849514535447915,0.09371218503604187,-0.005341654724902719,-0.002306722609230977,-0.07506593494308757,0.05384845014540597,0.017791318074592194,-0.007894913039778496,-0.037823421139201646,0.04242504841428854,-0.0012823123129801666,-0.0003381018039639901,-0.06211891426575872,0.04768796014617617,0.006905184836579817,-0.07305451054148472,0.018590283981224684,0
TCGA-CV-A45Y,0.0036547666601300472,0.013375958254576457,-0.09043010268208852,-0.03430175509241963,0.03614362391428006,-0.024691231177426613,-0.0046982722202163355,-0.009138703938975076,-0.02057133606202886,-0.05244572210191727,-0.07868062553734846,-0.024920297838682826,0.0,-0.03674997081285176,-0.05223378032426554,0.009892154185317194,0.038116701279386364,0.05635049345982602,-0.008538838276951424,-0.0022027136943026503,-0.07034560921771538,0.04700658256119435,0.011145286790878119,-0.0008731265904626927,-0.020554228619062594,0.038292250175786614,-0.00334141576081691,-0.014978678328795587,-0.03651742687849415,0.0020975546830531377,0.003727551301430246,-0.028066158915187836,0.020501054033625732,1
