,TNFRSF12A,RSL1D1,BTG1,GSTP1,EMD,TGFB1,CAMK2N1,CIAO2B,SBDS,HBEGF,ZMAT2,NQO1,RPN2,ADGRG1,SURF4,BRMS1,PDAP1,SERPINE1,TCEAL8,BCAM,DAD1,PSMB7,TOMM7,AREG,PPP1R14B,BEX3,JCHAIN,MRPL41,MT1X,HSP90AB1,CDKN2A,TRIB3,EEF1A2,SMS,IL1A,PSMC3,SPINK6,FAU,TCEAL9,COX8A,CXCL13,CTNNAL1,F3,HSP90AA1,class
TCGA-CR-7377,-0.10960613820248533,-0.0020882523020401243,0.08039922918433157,0.05367308623748695,-0.002078591811619351,-0.047467184342945,-0.04860032329201808,-0.012047290513372983,-0.02859998961690006,-0.010991648546952901,-0.052078773025472536,-0.006916029019703333,0.010058681463744784,-0.022881165132692397,0.008218798235417477,0.041189127375588504,-0.020744291460029783,0.045907137585293925,-0.008177378862198553,-0.017830723361513503,-0.08680562425369433,-0.06608295230485679,-0.004689495092484813,0.0005629421858279137,0.0028820779082258945,-0.0554388838837049,0.01426808693494514,0.015511867261448108,-0.022402294234862098,0.06396050142809971,0.0022343957406516066,-0.0037630260896703463,-0.012024818566752306,-0.0056111164076255845,-0.0018873650454063098,-0.048646482877023015,0.001725881318790031,-0.010750169515294108,-0.005092228453570247,-0.013684502344717681,0.015130856731444686,0.019217481731757042,-0.005618618126735249,-0.0030383761313858646,0
TCGA-CR-7371,-0.022359217615308218,-0.002327683412135417,0.09656562949313136,0.022391477188946907,-0.0022139927540074746,-0.03171895070336263,-0.005646025489629527,-0.011213358525379524,-0.03197791308241912,-0.013471931924590359,-0.03383089070343039,-0.006527825132761712,0.011756972222209967,-0.03833492298996288,0.00833617166629458,0.013352076565763054,-0.026577352743359074,0.008118863445562279,-0.009353458178511763,-0.009280476928015568,-0.06938422106850076,-0.058483869140433124,-0.004515503527197824,0.0001744664949821071,0.00268088790875117,-0.09686517942957518,0.04894396184396054,0.019486077017005964,-0.017519691974133427,0.05664955566397745,0.0026404749076147523,-0.006149673541305165,-0.012433987654029555,-0.010989200218014064,-0.00428850783178231,-0.05327854894840163,0.0004108529623927542,-0.008942784738336164,-0.005304531700718923,-0.01916019567180702,0.007185515605916169,0.01639867886199976,-0.0028183902707366,-0.004350646926161356,0
TCGA-WA-A7GZ,-0.09848969120143757,-0.004067045190161094,0.09340547717081657,0.02296133856522675,-0.00559847565830377,-0.04686264007557642,-0.017478342822074812,-0.015550938087293718,-0.04364473122326642,-0.004262930909420862,-0.02712475591143276,-0.00040309092193420405,0.022676085716137554,-0.06692165881099518,0.008985079825342475,0.026953940764118264,-0.04451236092338176,0.015619675390704394,-0.010539900714334511,-0.0437353018593861,-0.041888015038872545,-0.11729604132462397,-0.005069858614458383,0.00028855828092750317,0.004299418325148067,-0.07773065839630879,0.00010495783823614806,0.025045084093810666,-0.026335570192415166,0.08612421298997652,0.0009279457720738913,-0.014812774472348206,-0.005639887191483897,-0.008383358737055908,-0.008658933325127712,-0.08521633943617905,0.0123634319414207,-0.013205117993142992,-0.0062745087215979965,-0.016721159811313405,0.0021996056649514137,0.0313961764815715,-0.0075423127089966025,-0.0038850025967646458,0
TCGA-CV-7097,-0.06488565950165516,-0.003849703841886048,0.1163868433289765,0.019802638221235496,-0.0025723431460692556,-0.02923709682669315,-0.049549912107619595,-0.01280945162598067,-0.04326009631159274,-0.02607265572576655,-0.07768320728320426,-0.004141615048382295,0.03246984171589338,-0.03303823223172223,0.005306721331038151,0.041475753008775415,-0.03228906743362266,0.02475509220051854,-0.004120509579724898,-0.0027802447213323795,-0.06595298325684683,-0.05883085320433191,-0.004927680641230037,0.0004835476071012964,0.0024809219189924187,-0.0739256252471273,0.0009321150364290567,0.013091010492508775,-0.0191587476446781,0.11938331767956686,0.00020825276197637002,-0.0079807467141049,-0.016260943899552807,-0.011951594580629641,-0.06514752034578701,-0.04998663965104556,0.002109469104025815,-0.00928808338938911,-0.0067732904365038985,-0.01349090730330768,0.002453602002152512,0.022347500792535578,-0.014009292219638208,-0.003994594012527402,0
TCGA-HL-7533,-0.09141337058296306,-0.0022096526052613327,0.12084021776484022,0.04264283656981924,-0.002624968416197358,-0.01524650579055641,-0.0036841126824622805,-0.013718095134820415,-0.034287448578931186,-0.0054268374838413605,-0.05364687471780132,-0.008241728023716968,0.010237733400343448,-0.01901078104500897,0.00497422629956187,0.00999501219367056,-0.042376167458013696,0.03132857580579611,-0.006035474759226648,-0.0037404349585977146,-0.06592981598177086,-0.1002247659599469,-0.005305137337533274,0.000167687838468604,0.006199100254590153,-0.06600936414415928,0.0004151871689998988,0.019264067448220096,-0.05450560131092875,0.08245938362436156,0.28238114201641473,-0.009352005780713057,-7.633862463176293e-05,-0.011136105173337352,-0.007974951577182197,-0.05256583907535167,0.39330514711748243,-0.012384098831286024,-0.004803617702996966,-0.018829992866103585,0.006504479234193974,0.02145086522246315,-0.001156708197333306,-0.0035601326535048567,1
TCGA-CR-5250,-0.023771874766397114,-0.001938459890647532,0.13893266486685488,0.017228143778417918,-0.0016206035028480806,-0.0221039026950605,-0.009273578270719148,-0.012021948365501925,-0.020390335247694923,-0.007803054998293802,-0.045758796085927665,-0.006782037943020874,0.009295661380942604,-0.038893760917282146,0.007422245742278287,0.010452144696588662,-0.02109873681733542,0.0016564077798501098,-0.007678493085414653,-0.022484991323679687,-0.055845197283840166,-0.07607778099104272,-0.003716753430255742,2.7165617661760112e-05,0.0014346223282302398,-0.037857668001723646,0.02249358012895857,0.012277413323821892,-0.0035698041170222753,0.053191862326745186,0.14214965866234228,-0.002698638971809258,-0.0012750703835016392,-0.0028854148556774115,-0.007065570562230626,-0.04400334511603292,0.0,-0.00854342603580309,-0.005717543907203968,-0.014807578005987001,0.0019933012501002385,0.011674178593410226,-0.0033932195881063994,-0.0010765538198947036,1
TCGA-CV-A45O,-0.012165118760732606,-0.00043811781604704897,0.11557067481895979,0.014282834097724385,-0.0008448538419395165,-0.012881920869168593,-0.0011668462035044343,-0.0023659445190879424,-0.020127261914551834,-0.006629319589808098,-0.019512724179156667,-0.0014976527961021024,0.0025107792813872333,-0.01754852573585226,0.0024431414876316397,0.006245364012434797,-0.007866621847092387,0.0011005194641208647,-0.0003768160116400591,-0.0010910217850325068,-0.025209065644416974,-0.02477347267700855,-0.0014571049470745534,0.0001834749047736426,0.000853936536097509,-0.06660558049565961,3.905140431513109e-05,0.0040125227209564865,-0.005686804783970676,0.010293099892319885,0.004838378398802779,-0.0019787345124727086,-0.0003468654821546348,-0.0012846206710088065,-0.006394419291397402,-0.01737950523487465,0.075291534073811,-0.003098429877105037,-0.007314192576301973,-0.0048225642510666515,0.0012263195646716768,0.0010398174500652274,-0.016279417069658856,-0.0005852701593014577,1
TCGA-CQ-6220,-0.05352699935694,-0.0018328974822414568,0.030272861129314477,0.030305947182192008,-0.002702007380063204,-0.01847879961859836,-0.0061648889024700235,-0.01385380313359283,-0.022912059920377113,-0.017596625038771546,-0.06294726273450156,-0.006891928788393651,0.024067125174636834,-0.02588124242672212,0.004538835999382134,0.019748769143327013,-0.019294053472180005,0.004566308814915902,-0.004627869041634077,-0.01763583948791265,-0.06850871826829029,-0.07458571393338248,-0.0040052511283211415,0.0002788802028696604,0.00262352282095371,-0.09035195728044053,0.0003911287145557556,0.017632960418889853,-0.020643586717542295,0.05863618241349413,0.0734251496988781,-0.005393468498737518,-0.0005762526528623349,-0.0032258448875573283,-0.008654575804599008,-0.05021651423634545,0.0020119385912187484,-0.007768792092456565,-0.007384009159977702,-0.01571911963861298,0.0025183165647828664,0.018196495458652318,-0.004921396804099401,-0.002793729068429996,1
TCGA-CN-6020,-0.07645262976149164,-0.0021599455932311763,0.06459569531214344,0.043918290782495706,-0.0025671980565013628,-0.03118855330328277,-0.02694538963880441,-0.013340640577661647,-0.050539243086037924,-0.03121660597826882,-0.05034973724988873,-0.01263187428193373,0.014764089705220576,-0.031769738364586186,0.006995012059196533,0.01690274005190347,-0.0374195611832444,0.018167208162674003,-0.0056713205759347084,-0.00939058066742277,-0.04636807602123503,-0.052862457891921254,-0.005201207237150193,0.00042526936315274565,0.00362730252594593,-0.07895366811169717,0.005498171010504902,0.01460262333829234,-0.007734013558411591,0.08147815356217428,0.00032362863340069627,-0.005011758090502908,-0.0004748143637115682,-0.0058611455698491695,-0.055500156114065245,-0.04227912129524991,0.0005170421101808897,-0.011012291932390025,-0.008175219352410635,-0.02294071105561979,0.006745886900964224,0.005247818086002928,-0.020408065705868915,-0.0013562127445997578,0
TCGA-CV-7427,-0.02951065124497243,-0.0020457613125241456,0.08820291803545252,0.02389016014253267,-0.0012846105413375647,-0.03560848167789461,-0.01012001193121172,-0.0057165828983154815,-0.041560789627977254,-0.018404615087884588,-0.05235688363098448,-0.009296386745175342,0.007459580171221634,-0.02740272412132264,0.007523348201224181,0.013668964780824026,-0.01886767736332216,0.00734080300568636,-0.005744905278373207,-0.0020147599625959436,-0.04206263798708577,-0.0922367109149265,-0.004963015355451438,0.0005044657846188748,0.00199891342759646,-0.06574298315776746,0.0015943929208764988,0.01688663584803858,-0.007387944528005616,0.04960896140395902,0.0012558272616150798,-0.004671528304305832,-0.0028016943574119334,-0.0055711611614919785,-0.014516539606777623,-0.039556011830132305,0.03522794211148111,-0.00786491414677294,-0.00790118181417209,-0.010707120466366071,0.006245668532947083,0.005210598471352151,-0.02180682018296208,-0.0022267709138805184,1
TCGA-CN-6021,-0.009703604079939435,-0.002095937782472328,0.10068198694946186,0.031638050489826236,-0.001239450304264687,-0.00890179925198612,-0.0019628952372159033,-0.00811633288635595,-0.0312980155647331,-0.024963846988184702,-0.03186977545764515,-0.008203384982599472,0.008059594715773643,-0.0311671256596422,0.006895508893322208,0.010447401001654446,-0.022858134491163005,0.0013229798759069166,-0.007763093578516017,-0.0035057180139313323,-0.10758147519286028,-0.07781359088292426,-0.0034534672201938185,3.558471937894518e-05,0.0015001407784889236,-0.09627685506159622,0.019986763224012948,0.01805758745545103,-0.004632037925332942,0.08695707801534881,0.07135524345862812,-0.0035123686476592783,-0.000435568290639694,-0.004633357694333667,-0.0032343789233708832,-0.04906409385468561,0.0008266286005107862,-0.006498428536000108,-0.004670114848741669,-0.014305531364644877,0.003403731605737919,0.010734774409833454,-0.0022505088395769427,-0.0046724220376943544,0
TCGA-CN-4738,-0.06953501866295055,-0.002145463068856797,0.10727412298620934,0.029767502698982047,-0.0024134414198925575,-0.0423225522382951,-0.052028021731780984,-0.009957416021501792,-0.033252684502197094,-0.02049000127751513,-0.05336649053797693,-0.004459062829488471,0.009718836215438046,-0.024325016114910617,0.008345224688271344,0.018141862054059776,-0.02477692749401455,0.0341120255125898,-0.004835240570372407,-0.011436152007445603,-0.04975240552826725,-0.06216197138355117,-0.004212278545698091,0.0002039538444548623,0.0053763809929838965,-0.04961045940783737,0.015046480201718766,0.014906071163383982,-0.018392180956481114,0.06932427708191381,0.059885564825535614,-0.003508821228087555,-0.0005094934859907835,-0.006337066391703001,-0.00305698686971096,-0.04763216263964586,0.0005290264814406434,-0.010742449676404977,-0.003860200146017889,-0.019917357153716366,0.007529344410016163,0.00808486181369374,-0.011319017957983058,-0.00452838225129686,0
TCGA-CR-6474,-0.07021518462742521,-0.001618388025278375,0.0913208121148912,0.031775253898080995,-0.0028468166128498085,-0.05293778003627631,-0.05219798213019858,-0.011458292775321986,-0.02180818753705814,-0.013127781817124408,-0.04029032519349421,-0.005716722339891585,0.0155722540053872,-0.029689648080073742,0.007756259990956074,0.02424737317260891,-0.02331521275007362,0.03688460863529923,-0.010479981046644023,-0.008532508866343992,-0.08273097507828382,-0.04265863052734097,-0.009220058383177304,0.00045332991580364796,0.004611521952468832,-0.16031467431789823,0.006076634315201248,0.01098566806217649,-0.016948109020137686,0.08940324135950145,0.01889694891019309,-0.0042717179939382255,-0.008201946586165578,-0.015784073452711083,-0.016655728370601225,-0.048095244279198014,0.0002485804733059181,-0.010816092597659758,-0.014742524997463435,-0.016424835770354928,0.016612884407200407,0.011710571761423238,-0.004510405798569542,-0.004834698092530915,0
TCGA-DQ-7590,-0.02554978673735616,-0.0025722937031328057,0.1499610922200055,0.008694530024076495,-0.0023657463066501408,-0.028661414810870967,-0.005410172104377037,-0.008085906370452898,-0.023227160622830454,-0.0059810569014536385,-0.08493220166488186,-0.0007544653088550717,0.0113467748288536,-0.00787874329305372,0.006197549815200218,0.007741412673222869,-0.025130038769800044,0.003917080401237255,-0.009424452076072877,-0.003614428572776634,-0.13032372226176794,-0.07427657482049053,-0.005636974603082167,1.932872392164415e-05,0.0011611101941002438,-0.06790708536553412,0.001370293072696958,0.02504646924388285,-0.00784800497559595,0.0665181805456412,0.0887486019397955,-0.0020869106536172406,-0.0018382162588858554,-0.004703712931993608,-0.003938639901469206,-0.05879902493351626,3.3491775916622194e-05,-0.007751867219336466,-0.008952138546410953,-0.014542496516954165,0.01467579828690894,0.027756416941,-0.0019763139936512337,-0.0016685560958994942,1
TCGA-CR-7365,-0.04573218222664836,-0.002180296341580884,0.062356308143559996,0.03255345587316626,-0.0018516738626278223,-0.062197852326189774,-0.06318821656379534,-0.011015641956611914,-0.026494282155346247,-0.0060029163693298415,-0.038226129586189185,-0.008569840448243273,0.012377961156274908,-0.045220348637504536,0.011423412312110783,0.01537608438254644,-0.022887045682462696,0.030529730757081198,-0.005996904882104681,-0.018624097216498207,-0.03504479895749533,-0.0873971829624678,-0.005327562325983489,0.000521215559568923,0.0029835852601745464,-0.06757703766006182,0.0018147400383762718,0.02007028190982122,-0.03612913707916244,0.06119714443545665,0.0002573663909536694,-0.004263736299901849,-0.012779108041165856,-0.010168060402155081,-0.006888737165048741,-0.045140681690855715,0.0010070534563345844,-0.008418616678948094,-0.007439871834048357,-0.013846609833010653,0.0024394917549368195,0.049096626861856674,-0.0038081232515074443,-0.0029674833822457406,1
TCGA-CR-5248,-0.0039868723103365315,-0.0017034608671331756,0.11958753059702881,0.024392101427033113,-0.0034315863987124306,-0.016403993415629755,-0.004600649744283991,-0.012885087577378227,-0.01290805533206512,-0.004017439044964267,-0.054014669085422774,-0.0076101544901682385,0.007753686979500515,-0.011057331091516446,0.0038421114242569755,0.011027509490408422,-0.020537673300210366,0.0010153258168841938,-0.0032677549202149185,-0.0006458836054987233,-0.05989484937262251,-0.051076145704774034,-0.004372647927941755,9.423765482493349e-07,0.002110691653681299,-0.03583555071722043,0.06982998214353688,0.019569999975503075,-0.008566879533623882,0.026675818603515533,0.1485087761036405,-0.001140072120655521,-0.0001705737556217504,-0.003790154648233815,-0.0006473152611035672,-0.030259234646124577,0.0,-0.012141405734357229,-0.0029890215087077826,-0.02142827950099861,0.014266957737212801,0.0016023029349184177,-0.00030260774644361106,-0.001261367901011871,1
TCGA-CV-7263,-0.015195894704400461,-0.0028177141876338852,0.03951715146231292,0.020205790319767557,-0.002638502527773882,-0.02385323776616192,-0.010130467793872422,-0.019075927256182592,-0.027633482041479935,-0.00464687194189273,-0.06658477176602084,-0.019488882960613286,0.011906052904070564,-0.03686911295099251,0.006538039087704627,0.01016371865113299,-0.03419811981386818,0.002871056600559998,-0.008958301995502849,-0.01727588070773355,-0.06912902438448114,-0.06269096195796703,-0.0059010904300565385,1.9379392797697284e-05,0.0025570844783828167,-0.05806047340528676,0.009009903770325308,0.020788289443629822,-0.010503950800389048,0.05359194416302062,0.030951052290333906,-0.0068423475242701355,-0.01651743573756653,-0.00458491266682302,-0.00030647894385209024,-0.041079257079294516,0.005953419558540286,-0.010395464627076181,-0.005399245821982136,-0.023718050835651747,0.014035214460490032,0.00972305614545224,-0.0002902860750725607,-0.0018924099807068563,0
TCGA-CV-7104,-0.08148953614498884,-0.00213393358622484,0.08806865071056957,0.01762884402394364,-0.0020179542056266925,-0.08648196839362761,-0.05346328185929339,-0.011465090527565386,-0.03425530413791831,-0.017010365031258533,-0.06642890950238592,-0.0029754665612130465,0.010776640854456489,-0.03825092816452708,0.004571569235600818,0.02074502335830675,-0.018695599122312112,0.03741279808864507,-0.006684792796654175,-0.01724772826637907,-0.05760780202867664,-0.06953078238133822,-0.0034391104145409974,0.0001790057162667396,0.00218554223551166,-0.13111918372712458,0.0033945785468750124,0.012287894768697998,-0.017254253956727906,0.09723956716514849,0.009627094412997228,-0.0019238502880761068,-0.03777558917600052,-0.006338568255564761,-0.0010472388118489488,-0.05049117983526171,3.207064631736045e-05,-0.008284747895248584,-0.007468101063535926,-0.01327763376620549,0.005063938300462486,0.0199547901964489,-0.01106941749950366,-0.0027022506068532324,0
TCGA-MZ-A6I9,-0.0035380519433925823,-0.001904101123776073,0.06062978918860589,0.045334320224019516,-0.0029920468477974372,-0.023790802806585267,-0.011838773301336456,-0.018625044224028872,-0.02250411244339423,-0.004650465279077858,-0.06317038781971861,-0.015519353654056095,0.008992889422098077,-0.018930627621146,0.003915194001669387,0.0197562212845438,-0.03230058073989245,0.001007509502016557,-0.006983485327386332,-0.00395140836868782,-0.07399909884437764,-0.07782459616417743,-0.00607914458503311,4.5229556072243594e-05,0.0037338403818915422,-0.04758519240793774,0.013079682679419568,0.05336240673443308,-0.014165827224265463,0.05445416585063728,0.12281301930278538,-0.005278802192240174,-0.0016928906865080733,-0.005894713644012197,-0.0035701687104374097,-0.06821454324808995,4.3014809313737e-05,-0.013413280960225791,-0.004025256082385785,-0.022096285049362306,0.004217359129476825,0.007312724526410356,-0.002714827225389639,-0.0014823515737555232,0
