,PIR,IFITM2,RPL31,RGCC,EIF3D,GPX3,THYN1,FSTL3,ACOT7,MSMB,PPDPF,AGPAT2,ICAM1,A2M,KLK7,POLE4,RPL36AL,S100A11,RPS21,CYBA,UPP1,MT-ND3,FASN,H2AZ1,PYGB,KLF5,CD59,PFDN2,CCL21,AREG,SERPINA1,MFSD1,class
TCGA-96-7544,0.027381672291613268,-0.0031697141450095574,-0.0021681374009680228,-0.017752634962772736,0.07762340036729921,-5.013617913413862e-05,-0.0020603624689653245,-0.00934243598884546,-0.002309603329618849,0.005003820989914225,-0.008577872613434073,0.004281683524954756,-0.00026225007441705575,0.0317777392841284,-0.00015429005015104387,0.00943434380627989,0.035504678905492075,-0.0021717157733690314,0.04858399610536596,-0.06739340249300096,-0.02309072850323282,0.013285030305037577,-0.025649664302480554,-0.048013376913967454,-0.014432291427016481,-0.019126476948410184,-0.018125341464297874,0.0009122072507482909,-0.0018850719466331671,0.005529825374664607,-0.014351247438117377,0.07047899457781287,1
TCGA-21-1083,0.03159879669794631,-0.0058227807586717995,-0.003106042347906451,-0.01045821599201644,0.13601994293560857,-4.65252763470075e-05,-0.002728075980305512,-0.01008865784024573,-0.001539793548474018,8.370068968234743e-05,-0.011135814185940118,0.00961917292853613,-0.0003909766016235917,0.024124131650829574,-9.48052608816074e-06,0.009405221850138196,0.033099785634533654,-0.0004720426920007128,0.06070563591269477,-0.13440763850523274,-0.011204237794171578,0.013832950456219751,-0.14170352590696955,-0.028388492287284232,-0.024270097272986006,-0.000754526165234972,-0.010440959940427801,0.0019765682338932044,-0.011032553224085221,0.0018592698111140223,-0.018287149161098665,0.02855309691693566,1
TCGA-33-4587,0.024716178186275427,-0.001862449688826954,-0.0016740866641236217,-0.017367752427646935,0.09067761925899419,-3.5414780733652685e-05,-0.002974376719515552,-0.003590056805569691,-0.004142057457105048,0.0032101083251234253,-0.02635992726122474,0.025243889014406034,-0.00020054198793776406,0.02024547654956988,-0.003327400084123355,0.015057242581313881,0.021542188786733082,-0.0002592448546398226,0.05501391897843941,-0.04216057943436241,-0.008768448331602195,0.011448584864697789,-0.08903025458999762,-0.05057101024997305,-0.05862839390861611,-0.006745336169175834,-0.014897065084509432,0.002979003822022123,-0.003821127152937793,0.00041270039217199166,-0.006990511178767561,0.02265435521797809,1
TCGA-39-5011,0.009892630013817244,-0.00433491149167619,-0.0037789701687096894,-0.01863915399359844,0.05747847983010062,-0.0003957220839227404,-0.00588956288039088,-0.030352849164322716,-0.002258419757566565,0.0002779039937690631,-0.03897630827547533,0.17501852807847396,-0.0036859929985814427,0.013152381699454697,-0.008724332870086934,0.021100931286544247,0.05228625494623979,-0.0005974871048200441,0.0877720196737389,-0.24569446811551152,-0.03239323277959395,0.007211230717089912,-0.04623988872710982,-0.02919061324490882,-0.05682803213234809,-0.0019997002519741816,-0.02141272331195959,0.0015849641428915568,-0.010997225430009847,0.023363175757234036,-0.04394043895857611,0.026568255129261635,1
TCGA-66-2727,0.11825420143807014,-0.003265780232803585,-0.001950443407867118,-0.01061594899063938,0.07464338083895038,-9.625748165729132e-05,-0.0016915660525570696,-0.009583581297466783,-0.0061777511733075085,0.00021478423160261603,-0.017385170382332036,0.021728757069459453,-0.0004716019400521731,0.01513418504294021,-8.744131736196627e-05,0.014534238626821789,0.025296467328922823,-0.0011617295363955174,0.045345573505341984,-0.12148442681186582,-0.032940741290645205,0.0071038505879493586,-0.0790417533297098,-0.06096687134774667,-0.045659403390710215,-0.007457748159209732,-0.023809219480977306,0.0023277018683501094,-0.004743678779014175,0.0030655815487561806,-0.06181955765398805,0.03553724021600158,0
TCGA-77-6842,0.015586611839222674,-0.006504752859835828,-0.002844090717536955,-0.016607474868342492,0.12307164746416392,-6.715755432443253e-05,-0.002029146371290866,-0.09047423650821858,-0.003881465695254798,0.002658308331832721,-0.01808155833805017,0.006113344376474278,-0.00357032286235254,0.05030492329048939,-0.00019124205415978202,0.010559166066984288,0.03570885164913194,-0.0006600989940239307,0.03804575279994177,-0.12990469259972634,-0.033812861320034464,0.007977423547732995,-0.06761950765083663,-0.021881656903266038,-0.0353063296601174,-0.004341864780760378,-0.03129267035992595,0.0014123280925435631,-0.02200253305471984,0.00619867816757338,-0.059517848629811514,0.021381135922990433,0
TCGA-18-5595,0.05881058698585436,-0.0028727843153438797,-0.003039354853915304,-0.019052774424680306,0.1070473774634937,-6.736882291064982e-05,-0.001450871117080296,-0.005398405681439957,-0.007646969598636504,0.0007646908779175449,-0.018156849607787243,0.015620525867249201,-0.00040984694544369117,0.026780347256180503,-0.002247810687767823,0.011684754135154794,0.03575041692963434,-0.0010626001626324987,0.054861352665110025,-0.039319857556669294,-0.011588893693765511,0.007726153324952698,-0.19640903760081735,-0.07929354869623617,-0.020376517557182033,-0.023701024663872177,-0.012989034387338961,0.0016748267245944811,-0.0034691942250951653,0.005478879799865648,-0.041892533621974724,0.03261873600999193,0
TCGA-63-A5MJ,0.03668777538752855,-0.003478138336769946,-0.003453547365513784,-0.02392955531560702,0.07706075839466969,-4.711300522257745e-05,-0.0007363152733282313,-0.009423391422170803,-0.004984933527216358,0.027907786889404408,-0.019602462455593588,0.03953888444582296,-0.0002565352481872174,0.015441213986817418,-0.0005151232826134594,0.01848420971971466,0.039883700375938844,-0.0016748042658538398,0.08984394119381071,-0.032829360214716774,-0.029000014330659685,0.013691033212508853,-0.1137309933142804,-0.046899264490857795,-0.040772252183912096,-0.009277727396208425,-0.01275604985511226,0.0029156651369950373,-0.00020825283240487967,0.007636737913609331,-0.005567063929994107,0.02860849980513624,1
TCGA-21-5784,0.02579007218585336,-0.010756129852909026,-0.0018080845112466873,-0.05652513830861184,0.07751636536071588,-0.0001689240411611356,-0.0018902379191720567,-0.02030377412523521,-0.002531926039373765,0.01580293118346048,-0.030062446238667214,0.011328209893283328,-0.0006237763364405436,0.03421745184181891,-0.00014326618260667093,0.011719258015988852,0.024838705778008615,-0.002966767185996761,0.05071949050342201,-0.18911473956607308,-0.046645843969694484,0.011758947277994947,-0.022589660662162968,-0.018658456202529768,-0.018516844173909572,-0.01195105802018454,-0.04608734185848376,0.0023776234264255855,-0.012628617036095935,0.0065584836325626415,-0.0743063455253096,0.06247856049794035,1
TCGA-22-0940,0.012514227601409359,-0.00876505457480073,-0.002168068124420515,-0.02282116871347595,0.044276419956113144,-0.00022613539751498084,-0.0011982598705046648,-0.026634681762308755,-0.0025338319789387524,6.52835872816194e-05,-0.018542571524601575,0.018545981451674652,-0.0007952653762877592,0.019725071610267028,-0.002886886337050212,0.010829177016075971,0.02641873645026342,-0.0014372345277003148,0.04326637730582257,-0.177563186005242,-0.023092259689640078,0.007565749678291114,-0.03304101156733,-0.04987577210834112,-0.021228710210736492,-0.006530514928081816,-0.032574937635527476,0.0017756921939650371,-0.0047191898502450666,0.005196636067223,-0.029017362973417535,0.04092126814090321,0
