,CTTN,BOLA1,TM9SF2,FASN,RPS29,MFSD1,SELENOT,RPL27,S100A11,RPL32,FSTL3,FGA,ATP6V1F,GTF3C6,SOD1,PHPT1,STEAP1,RPL37,GOLIM4,SNRPG,SERPINE1,CDKN1A,BAG4,RGCC,RPS18,PDGFRB,GPI,EIF3D,THYN1,TNFRSF12A,CD14,A2M,EPHA2,FLII,H2AZ1,COLCA2,class
TCGA-22-5485,-0.005285606607309493,0.047181859539984584,-0.05156761239504286,-0.08778829968837301,0.003355606348266881,0.046248594059337095,0.009798831863945163,0.013762068997896152,0.0019175344679064994,-0.02453290367073192,-0.004677394039154744,-2.3431926645306362e-05,0.1160198373156592,0.03240018752166688,0.002851822113653655,-0.03937277457979826,-0.007147925312220757,0.05417244017939355,0.0570169587501073,-0.001898578092809308,0.005332094570654017,-0.07928174687853978,0.0006446122814127098,-0.014972519425342785,-0.016959222516171858,0.0043488991993538865,-0.005712109106905894,0.13212085956610317,-0.0034432969504753948,-0.011339437406403842,-0.016754034951906253,-0.01837079878469364,-0.015732235435493964,-0.024983037706030182,-0.030291486985503983,0.003922091443373241,0
TCGA-58-A46L,-0.004381319878092639,0.05513688094540019,-0.07236258997006838,-0.08017504362827901,0.004328171117763547,0.041823332558444545,0.005554365108880053,0.017217919997949322,0.0023446917896978725,-0.05141741385359497,-0.004911273734263016,-7.596660793632727e-07,0.06528973256636783,0.01415141629009437,0.0010660495949604758,-0.03874299580152605,-0.0072629197137807355,0.06102267712084298,0.05575184699891142,-0.0017528055225223672,0.005502234829386606,-0.06972346449958751,0.0008722573189854948,-0.00600825800584901,-0.023873581600854295,0.009369819326494114,-0.002130787093351109,0.12392052563731883,-0.0024390404882393205,-0.009134158335810173,-0.010010070686479218,-0.01083322529299807,-0.02612344949015526,-0.01149720004078216,-0.02306503139316406,0.0011844488149411246,1
TCGA-22-1005,-0.001814891935848268,0.010538726168306178,-0.03380556372307979,-0.013283036245538846,0.0019430089404888409,0.01721106487468487,0.0031889431688830313,0.007849449695451002,0.0003661799956982959,-0.025621349308257577,-0.006014157799847074,-0.00011989222082510166,0.03653242346996175,0.013117996872483854,0.00046419201230522763,-0.01942814756211825,-0.004677129288024745,0.028256057292227323,0.007741582922445244,-0.0005638318450795598,0.00543028774515695,-0.023072505683246834,0.00027119717446303537,-0.012130610721171898,-0.011725365989820317,0.006528019580250693,-0.0004046745525971648,0.029241185435582677,-0.0013803869817517454,-0.010731442815914236,-0.007325085467072464,-0.017632405854579064,-0.009386924826101975,-0.006239225930235306,-0.008732211746231561,0.0001774006340462264,1
TCGA-60-2726,-0.028319453466181928,0.04804383804443704,-0.034224628496680974,-0.07903301428998122,0.006538426161415893,0.024756125277891568,0.009401145601475615,0.023374792634133848,0.0015413623298176531,-0.06317228667060128,-0.014723308408426807,-7.111358617695407e-08,0.11100735085444349,0.025429688133420853,0.0018976873543666162,-0.06953050588259485,-0.01448698009059364,0.11439650437185771,0.03817065627133387,-0.0030802239954548075,0.020943658850118348,-0.046112507634336865,0.001237973302552587,-0.012304455287114435,-0.04683821064711025,0.006296463145320274,-0.0006176985467421716,0.048321090151794664,-0.0027065876644097563,-0.009029895911971965,-0.002280315740637902,-0.0018330347442529742,-0.016803582385436944,-0.007654435494656553,-0.030032867513338685,0.0007634435270644836,0
TCGA-77-8008,-0.005504972269494189,0.015801644862221822,-0.07489088268808679,-0.042070494447554264,0.0019652794490857997,0.059104992212405165,0.005021804040983805,0.007410708891879949,0.0013323327563701116,-0.01876179366862421,-0.03665283755765418,-1.1517517977443167e-06,0.05617187138430454,0.019366869969116695,0.0004379740757107897,-0.031137487552521458,-0.014492461815244275,0.0371003056064576,0.038398525143676476,-0.000573537820531231,0.04342682217690404,-0.17342835183638858,0.0028689677965498994,-0.010049558037014076,-0.009388917655310016,0.05804821893951343,-0.0007775855353070665,0.06816504667221486,-0.0013544839225075546,-0.06057493955847429,-0.039407601340412865,-0.013512232133305472,-0.045790228408840186,-0.01905611707236596,-0.011969958018076534,0.00024371062264959707,1
TCGA-63-A5MW,-0.010073259710813645,0.031311226654067006,-0.05546617229056231,-0.07605054854873626,0.005190232428537177,0.07948799084682642,0.005283618674786505,0.021445439795904173,0.0003683744687899338,-0.04874079431986222,-0.028964187481652495,-0.0,0.04436515555221846,0.02701583591724911,0.0013094683170516003,-0.035673977219503446,-0.021967045709741416,0.26169362966981785,0.08892616551608187,-0.0018069489255856431,0.009067667888224325,-0.03165034985567087,0.0009199054911538714,-0.015275143463415738,-0.028646452763159115,0.018958459841227397,-0.00040324519914214466,0.13579017736763832,-0.003955922149966258,-0.04698291857150294,-0.008967733123081585,-0.012435580365836295,-0.025157366345801204,-0.010513092686620729,-0.022636065054896105,0.0005428694299363715,1
TCGA-18-3421,-0.0013607060209346866,0.05192030401303717,-0.03357936689175687,-0.009839706769888974,0.017347615206180944,0.024851020813669803,0.018267974141797507,0.04816264613075076,0.0009490901699350086,-0.11539414785180355,-0.005020518855905626,-1.2214238923095758e-06,0.1570258522066329,0.02030149377537479,0.0014507536830636021,-0.05817932107388609,-0.029655138428805655,0.0818176658682749,0.01202215378290193,-0.003870909829580622,0.010300504357540942,-0.0741983725770133,0.0028107034733939225,-0.00827201384604141,-0.10379034833599159,0.0025975795106059924,-0.0011210286853439299,0.10653871971135268,-0.004025734582669613,-0.013893427999354032,-0.008258361644808792,-0.004104974101551238,-0.01739475190569146,-0.003846004158334718,-0.10016410457822997,0.0006380382602970755,1
TCGA-58-8392,-0.006297854017361408,0.031781915002563665,-0.05045411056979832,-0.06273998735991257,0.0036474252034236552,0.04227257206292662,0.005870173234610949,0.015552627698045367,0.0021670923914396366,-0.027101733953787142,-0.0029433825584169516,-1.919057782649573e-05,0.1187240284440274,0.032868899996790484,0.0012535149760204477,-0.030898622341737857,-0.011145146720562037,0.08075660073933502,0.13473241525662744,-0.002799784373912949,0.007318666895770842,-0.08863289763100259,0.0019905511788583384,-0.007690252966763945,-0.017486004006596143,0.004020265533333769,-0.00487449432144134,0.10061845622966008,-0.0034211501137490267,-0.008857040533216573,-0.005580383972614898,-0.008229277654706192,-0.044304763242201894,-0.018450576773774333,-0.029939665692431727,0.0020511766177686956,0
TCGA-85-A4JC,-0.005346859557637071,0.02834135419925552,-0.06817858756469419,-0.0548748627202809,0.0032063238172904155,0.086097075524804,0.005027237057716524,0.019027809573887867,0.0027074584719467996,-0.038457281259661615,-0.006147146647159537,-9.081397153678594e-08,0.07263316602826347,0.024922201928342866,0.0007880933991565382,-0.03623462581933629,-0.00862290949615245,0.16044238477504066,0.014658366738527242,-0.0016548604991230204,0.029433277420083212,-0.09972673097547483,0.0006311604136940992,-0.006035030321705622,-0.014574437257025957,0.008739701468466086,-0.0004509523871707918,0.10596428101635563,-0.003338482226421969,-0.0445354268214741,-0.008204050814941424,-0.007034121379086371,-0.060113200633813646,-0.01229674969321631,-0.01758247535510248,0.000567480688191478,0
TCGA-56-7222,-0.003720146108725943,0.012266401094655786,-0.05241376745693851,-0.09206203316858841,0.005077211287127534,0.020577837340859544,0.006564067833407453,0.025733721386945248,0.0011589120296470552,-0.033474620231694945,-0.01323652747191131,-9.984731897007469e-06,0.04864473910996211,0.029761491455355168,0.0009388883218316074,-0.033833849780618534,-0.014415265210322959,0.12169488381987945,0.05127582110607629,-0.0021340084439786682,0.0898096478327086,-0.08326504738795246,0.002070047803989516,-0.016803173039957594,-0.042028076418985365,0.007550340168778735,-0.0013096975894812144,0.11836667831058369,-0.0014591560836601392,-0.09049044188780046,-0.002907804637860017,-0.004770323502762499,-0.06669142646356016,-0.024614289681279745,-0.021752749754794055,0.0006201913449997773,0
TCGA-63-7020,-0.009265587731325022,0.01646492133435298,-0.06390195947381558,-0.06058055835216805,0.004378414939700616,0.03844848387645895,0.005535062386004634,0.007381849825476448,0.0014798528719555202,-0.025758058129895404,-0.009996867986448981,-1.0453697168012248e-05,0.06396966566966754,0.018282219102231836,0.000765682791280114,-0.025507894768277174,-0.012154758585105573,0.050511046330345435,0.032483950212536035,-0.0008362682265494988,0.03199476533007718,-0.08634079270930053,0.001397708514540259,-0.009986368632886858,-0.01543509009101334,0.008741559064056395,-0.0026301189248284372,0.09654844125427249,-0.0029668269423153205,-0.05350301439924354,-0.014729377736153045,-0.016576587086409682,-0.061611751515674926,-0.017648989839435483,-0.015925227998328757,0.0024152766497444016,1
TCGA-77-8139,-0.00404873520487553,0.05367863110320849,-0.045874915463190814,-0.04619693366807252,0.0029561016423601694,0.03784435409017471,0.005615125116180104,0.010456674925417788,0.0010756031836447245,-0.018131827523011596,-0.007182796795947815,-0.0,0.03369209638279994,0.03095251207951035,0.001261236445762302,-0.016837429939586698,-0.006801288888995395,0.0494054639927028,0.09738190943142727,-0.0010509945436197627,0.010722425068793687,-0.1680411996571557,0.003039629157232325,-0.0032116249800407714,-0.026741293701976122,0.012646046379924955,-0.0005833106609037899,0.06676681616005865,-0.003684383212572261,-0.04379729528762739,-0.008216419276110186,-0.008417017579691486,-0.03948207282218977,-0.014988266273835177,-0.026311956202995004,0.0011707788372665982,1
TCGA-43-2576,-0.0050789532882004745,0.05432389633082985,-0.07811775300991515,-0.026387006874912373,0.003584280369867635,0.02405645097420142,0.003498163019159185,0.012316855134277691,0.0011195956611065796,-0.02761507871124495,-0.01472598657277004,-0.001161218553655522,0.09856675549472155,0.038729943650985005,0.00054859534097816,-0.03776685295865221,-0.007281957830503893,0.03828339244353621,0.008415300571348398,-0.0013432394559838201,0.009341616284835288,-0.02635110342825142,0.0011538267118141078,-0.006003554950887309,-0.015793105229008328,0.0096111995842579,-0.0006129740590394869,0.059202755666581355,-0.002593938179197044,-0.05432695082221695,-0.029056555943422678,-0.013797144573146411,-0.01279809225344666,-0.008066567604557864,-0.011455166683875535,0.00028028752673737995,1
TCGA-56-7579,-0.007478730799665145,0.0362320143226843,-0.040369310147755,-0.10012909266164995,0.004597542043731352,0.0339967583469717,0.004833490267815479,0.017308359497100356,0.0016266130738044275,-0.024023599805479235,-0.0023099767049413623,-4.8289968991783e-07,0.12445780953505035,0.03348170553014288,0.0012386603195799013,-0.0426538430901837,-0.00950753803866152,0.0447645352143232,0.0407236582088504,-0.0014401290648915852,0.005694980896326436,-0.07584745898791015,0.006459849106045483,-0.006576443201102699,-0.014161429717898646,0.008172366769091284,-0.0005039815441501729,0.08990183106083431,-0.0020200853129882785,-0.013878424175125347,-0.014802727763054021,-0.007309703944359077,-0.07937800109570892,-0.010965653153007902,-0.0585195706425907,0.0002815414910977047,1
TCGA-56-1622,-0.0028950924266405156,0.020762255557691036,-0.1456174433730727,-0.0584654864556279,0.004128302596565423,0.032583853234480244,0.004418620357040628,0.014741659352379194,0.0012433548482090526,-0.024221514031879738,-0.008707671622300633,-3.646973777588387e-07,0.03564643822278405,0.04437537293233429,0.0026864257041636836,-0.02463858515164354,-0.039035187214163845,0.040023999670027025,0.08389969599152151,-0.0019252756019302942,0.01924775961374606,-0.07973893873015156,0.004834856370935847,-0.02254935155319453,-0.015900502733993467,0.006597411492446365,-0.0006595948521634381,0.13973035952998414,-0.0021544291526768623,-0.028539538411146374,-0.0036960835302760264,-0.006205042856053807,-0.10603454896024962,-0.015759527766051627,-0.03350498378662058,0.0007936887942061196,0
TCGA-22-4609,-0.004101634195131508,0.012781208730162669,-0.07743757786017894,-0.12027504887394548,0.0031778055692748483,0.04878315575163895,0.005472434160314109,0.008039995746321625,0.0009987215521304934,-0.02486564051014299,-0.016012864525994396,-0.0001267364229974296,0.05849660471051672,0.019789087139736997,0.0004931405932677195,-0.044359228489386934,-0.00795575750271951,0.05852707523191915,0.04934164036620679,-0.0008556597088081558,0.030039865176049046,-0.08626349391770075,0.0006443022837055564,-0.02416561605640592,-0.009608433532495186,0.01913437771592886,-0.0008874631277130452,0.05845135279296425,-0.0016349609339456105,-0.034083564700055156,-0.0257784833636452,-0.045898058592867455,-0.04055299934754727,-0.010419578107388664,-0.021740964965281197,0.00017586408616808197,0
TCGA-34-A5IX,-0.005629226235116386,0.023633974991962934,-0.08063756015188844,-0.02489216711116428,0.0019003308395110195,0.03681521344684113,0.006466616809095918,0.009436858200358434,0.0027664000384058133,-0.026311729201727262,-0.007488787065312678,-1.8667316371450442e-06,0.09332023945787021,0.025759817695399468,0.0006883160290139612,-0.025943548017960723,-0.01193686438081797,0.06784741144712247,0.027391427452168656,-0.0013071007845017774,0.017086659803161403,-0.05007955627767114,0.0008517923883837399,-0.00513451462778507,-0.014598538994734327,0.0026068139040693545,-0.0006097551378030055,0.10761464419274654,-0.0015879461686029,-0.051187896011654965,-0.010847776644216382,-0.0021761719044817453,-0.061545797408828144,-0.010078183097063606,-0.028836847356124358,5.9837059898314e-05,1
