,LSM1,RPL36AL,COLCA2,XAGE2,ADAM8,RPS21,RBM38,FASN,UPP1,MFSD1,LAMB3,SOD1,TRIB1,LMO4,COL5A1,KLK7,ELN,RPS27A,MT-ND3,SERPINA1,RPL32,PHPT1,DBI,EIF3D,AGPAT2,class
TCGA-77-7337,0.0038820242256533723,0.08981307387512227,0.0006419506446020954,-0.0,-0.008500230798084379,0.013273927478039314,0.0007554072139352704,-0.03700331881591526,-0.027413149911607655,0.03303985136375485,-0.01933211396292825,0.0541350907380555,-0.04745332168161889,0.0031164257849381864,0.036453679638916686,-0.018460433998307484,-0.00905571680667549,0.08540163635883656,0.025573865908532598,-0.007747452644446432,-0.030476096582772016,-0.03977698166967876,-0.0012269405781407893,0.0641210282394876,0.007051632970107446,1
TCGA-56-7580,0.0009392106530164683,0.09962778724308197,0.00045143570047982955,-0.0,-0.00421794973916082,0.009340971647773616,0.00044194144542728246,-0.03830028550242661,-0.012837887975229615,0.019690201229486268,-0.024825790125065503,0.019675962211415234,-0.033718840152607156,0.007757012987239005,0.018648606734109757,-2.9835722930361524e-05,-0.0011648394674868441,0.12477623936192762,0.04782902567461139,-0.007041346571374005,-0.059582652278945915,-0.07302444742041038,-0.0016507045744828428,0.20673848506829598,0.01046754089252407,1
TCGA-39-5028,0.0009493082822097478,0.0977722042364825,0.00013216654096688817,-1.554330357890291e-05,-0.006098759393320368,0.01634097871944654,0.0007578784874112082,-0.011780292727384692,-0.03695731328016585,0.019896973584207705,-0.03633765328375999,0.022169882412795786,-0.022328019131106613,0.004361568715372717,0.016039233463515917,-0.2273407497986222,-0.0033176796816152096,0.1296755477907534,0.006543200902131539,-0.036849343935827665,-0.05376981214642101,-0.04373322902720111,-0.00047656893979616864,0.0755546622287219,0.011249971272376326,0
TCGA-34-5232,0.0015882611342725322,0.06878998139933597,0.0003180791799240081,-1.4123156258291024e-06,-0.010134292560000317,0.009848346963632057,0.0005772742120643622,-0.05209012594821472,-0.013631417517630872,0.051123550681696675,-0.016321721919230398,0.03468979604919316,-0.038696043321496294,0.0159717325198128,0.003492177052955329,-0.00010983275503739335,-0.004105028297790907,0.06631128515886074,0.018582823052402823,-0.016321015713087878,-0.041090759091222055,-0.05757461699671812,-0.0019243349088790174,0.08255573540952792,0.011479223352033231,1
TCGA-18-3411,0.0019642891151878173,0.11175047533116221,0.0018216774954876833,-0.0,-0.003556718563881617,0.012995112575217986,0.000434602596217278,-0.02909374921783773,-0.027079757970512524,0.02309527917597328,-0.010372979608969633,0.036071804992299304,-0.018837429266698315,0.01124840797438504,0.005481992696360263,-0.0048065815823983195,-0.02196667686273591,0.07852900388089977,0.012982188706277922,-0.009315847097224038,-0.07016058897462081,-0.12008522175490415,-0.001289970111847268,0.1251496391644619,0.019914418807032503,1
TCGA-NK-A5CT,0.001887642380949014,0.06243920204519995,0.0001901603144434447,-1.3346078098176798e-05,-0.05296953013373635,0.009412786130083943,0.0009195011610934344,-0.05638339339206258,-0.06101913581205865,0.02025213160088141,-0.05280084474726324,0.016425410036485108,-0.01781411153325021,0.002746451364659688,0.037288915599606114,-0.005097013697798558,-0.0004868393002606575,0.09105146216139155,0.014071928101425454,-0.15325985327090907,-0.06068955119421526,-0.0704799947532193,-0.000853603668862143,0.05250638272725401,0.017464100562393,1
TCGA-L3-A524,0.0013455522275181405,0.09906718157636565,0.0008172953191303443,-0.0,-0.014309470352508461,0.010336083115161468,0.0007147283864942695,-0.19318111702556054,-0.03786937348628294,0.01598979223804348,-0.005989432886589916,0.05362861599165827,-0.060409526175351884,0.003937351599619427,0.0077318910360452365,-3.26794402721616e-05,-0.002997619499567825,0.11488136870454588,0.014665179947898814,-0.004685045238566417,-0.06813036197463947,-0.07713968854579722,-0.0010000100361098956,0.08211632993744708,0.03830089435935339,0
TCGA-43-5668,0.0009515652369234883,0.053290831915367806,0.0006736702992077675,-2.315571090777105e-06,-0.010143078149042488,0.007212256319648075,0.000926460989146736,-0.4560140619400475,-0.024438441002164836,0.022991209789367636,-0.00018488410512964952,0.018804838955560062,-0.03661314778367664,0.002255181157315566,0.006261810157288309,-7.943761230208755e-05,-0.0014505435490196862,0.04450346384486734,0.031457802241718465,-0.027757913218877623,-0.03090975039899983,-0.10452390236023104,-0.0009818765583796268,0.048132033579063045,0.023046996780520686,0
TCGA-77-6843,0.0010404768290409366,0.04623060193649421,0.0010630852091915379,-2.3225325972506927e-06,-0.001898496432099709,0.007747477974859422,0.0010353275275412287,-0.08062488369538628,-0.016113617827673555,0.007837850318262157,-0.027075860561957706,0.06012763829157783,-0.011389630540375832,0.030566559549802162,0.0025515200668680474,-0.017923437603878056,-0.00030568120201400267,0.06302902061062,0.01958547406297074,-0.0069019813612479315,-0.03042398746839841,-0.049022280540701645,-0.0007289978427033279,0.11195328205307428,0.019764281849447115,1
TCGA-18-4083,0.0013613440085121415,0.027026208791530087,0.00406017095414272,-1.9012744367677174e-05,-0.008695363354705235,0.01232507576741425,0.0006116984962418234,-0.0908456966941782,-0.01870896993467929,0.01333181283344157,-0.004393596702562467,0.02023882402167014,-0.017594467765741327,0.016211068471752306,0.02047635721906725,-0.0006351745701971497,-0.0043160526174112444,0.07554264172898642,0.030830626770423537,-0.009284002959301027,-0.042016532975304915,-0.03326873243305745,-0.0010339177171887072,0.05824802709780981,0.0069441480654769145,0
TCGA-77-8128,0.004999403163013872,0.06035097017639755,0.0006474592256131178,-0.0,-0.002755380363350948,0.01299508195989253,0.0008265757249746266,-0.061412027424892525,-0.014564602000449803,0.016413049597833157,-0.0038378615610258817,0.058998405236374174,-0.009458273329055645,0.026066536751903763,0.052045109761712775,-0.001722686671008827,-0.02598122557075155,0.07951809612503977,0.02044147469829033,-0.0019211766257146224,-0.053666942989548994,-0.06509648602731055,-0.002271896649423466,0.16137230756066248,0.033787350677408984,1
TCGA-NC-A5HI,0.00366820019803355,0.1324032242560268,0.00030346843715657563,-1.719492098976159e-06,-0.00364573045286151,0.012130171802160875,0.0003239714574924948,-0.051044865135351905,-0.033410977531268336,0.0307227010467979,-0.012474470225205479,0.060581396392054086,-0.009055097054820735,0.01679469442394295,0.0014258421420974372,-1.1794434220908539e-05,-0.011594913962570369,0.0865726173543992,0.030347924372519517,-0.004053673965515966,-0.033214469850594945,-0.05649636858373086,-0.0033277437002461213,0.08279722123680201,0.01679934743468104,1
