"","ACTB","ANO1","ARF1","BCAP31","BSG","CALM3","CFL1","CHCHD2","CHD3","CHMP4B","CHPF","CLIC1","CSRP1","DDIT4","DHCR7","EHD2","EIF1","FABP4","FMOD","FOSL1","FSCN1","FST","GRHL3","IL12RB2","KIAA1217","KRT18","LMAN2","LYZ","MBNL1","MORF4L2","MYL2","OSR2","PLS3","PPIB","PSMB5","RALB","RPL22L1","SDF2L1","SFRP1","SLC25A39","SLC25A5","TBC1D2","TMEM14C","TPM2","VDAC1","VDAC2","YWHAB","ZNF385A","class"
"GSM1607694",70.6147445077702,33.9209059786152,42.7348751833528,87.1805849267,46.4545115094849,62.3126940704392,41.5049294494539,216.547825032316,14.0596011154394,109.422015766804,52.8130806087406,115.340470700649,19.5662758315051,89.0150411835471,43.2963502988513,43.7776211065464,63.6214297348478,140.262217177749,54.5561624900721,78.024507056073,65.7893086600782,59.9444627366555,39.1845662722198,31.378745222045,15.1878770717226,41.3416043267668,65.4244344299361,133.71006803125,13.0527012613191,77.9884436859408,98.0138877348006,45.0543266629154,50.7173640608006,85.4020960791904,120.777959879484,66.2141642370087,57.7302759305286,200.708646905124,42.3046784582002,63.8213066422488,168.577277364248,44.5291484494163,157.2596675299,49.8835100303626,70.231380906048,47.8822278738613,29.1762773146308,45.6139579504314,1
"GSM1607695",76.9940967027976,31.2096345982372,41.9302556637108,79.8251875526513,44.9545903006256,58.2229378138792,39.9889246422286,209.332372435362,13.7133236961077,108.266123803917,48.500664977594,112.904344037242,18.3009170983721,100.858801579364,39.5017622901606,39.2616953821182,65.611634278722,109.456568909637,48.3526684610641,84.806913859059,64.806297153386,57.5002115657971,52.2135806739793,31.7723807314029,15.2523445255779,41.4120477135031,59.8395431105432,129.811941013412,13.3884712347592,75.0892687043586,104.628434186941,44.7045132222453,52.6866638010992,74.2276273234233,113.942088528599,71.9729922907346,61.3490558485676,177.812303860965,39.1227402712765,61.9022716825571,170.361461595439,49.0895229683818,151.339059632806,44.0588477157683,73.6494819191867,47.3212128687457,29.0048918977147,49.3334622232253,1
"GSM1607696",79.1112055621191,32.5256266016967,41.0468222005725,81.2808540596096,52.6096125313808,60.7233941325754,42.174444562611,234.397220720189,14.0018728668496,106.309155191752,55.0568721561198,110.951870799142,16.6748780532723,97.149686797042,41.0983406917236,44.6224365810895,62.7313198633493,160.440089380854,47.273452162699,81.1710338241335,69.3635144263876,62.758557460568,47.8238062920363,34.8968982720856,14.6749014587291,41.1972392278295,60.4836283266451,94.3616583350221,13.2800281636399,78.4666335703183,98.0439912859377,45.7187303133504,54.7497928570985,76.7600785970861,120.81539581921,72.6305698504165,58.1529778264664,175.587060934732,35.8190522978097,62.1899138449138,170.485755986445,49.0783790472765,147.151229292535,46.0704625422913,73.3810020789839,47.1331777440597,29.9149126793204,49.6105802551784,1
"GSM1607697",75.8765765701008,24.6300604864588,42.3435171385442,85.0227211483582,52.2560321779131,61.5546452978498,42.6657248648862,213.634772274258,14.0618628767946,109.440374349789,53.6619951271997,117.42831885892,19.7487689659439,109.204122589542,43.8579707069875,42.8118310763361,63.973872441432,106.695307458112,50.3898624917536,81.3507245957551,64.3536812390602,62.1381444691709,39.5543561414228,33.8908440651085,15.0836321244582,42.5719464323766,64.9650926977017,96.4406387187026,13.3092070238191,72.6144532403938,102.124781372434,45.9245443842767,46.3104856463359,78.3490831187143,123.409314099861,67.4804156800128,56.022230867529,196.469847284792,29.42130628877,63.1040349136187,166.792531841346,47.1770553986424,152.378973301743,54.2004676845149,70.0960659232472,48.9620372464505,28.9448365599185,49.7156154416972,1
"GSM1607698",79.5858128924206,31.1242117189388,40.7455644583349,83.4868243815211,50.5609850264812,60.2581655283455,40.6773542191202,216.049110596532,13.9444882410065,108.26427105395,48.3388396599281,117.124963625514,17.0639108221418,103.824178669895,38.4000838825612,45.9780502023183,62.3458755214735,112.412394860752,45.2626057152586,88.8452655971741,69.2460911744153,72.2717794255912,43.5984208832979,36.2801927833767,14.3320312690211,41.0491260542475,62.0272048239126,88.6154020890003,13.5157523635056,75.2219926783477,102.383955893598,45.4455508667083,51.7297755211708,81.3286679081369,122.568992602456,73.2349966453348,59.011750275071,189.321229980264,35.6873925566515,63.1211458697839,162.812431152826,51.0522529770938,146.053030447218,45.0830104376902,70.6010470326436,48.5367076917201,29.9894450830263,49.8357861212908,1
"GSM1607699",77.9002463772053,33.8248702074907,42.3489157937067,83.2083538906433,52.4368420885015,58.3708831235115,41.2368659901421,211.887152116333,14.0964676767697,111.314398634486,48.6060086931033,118.900529497895,17.9410846614504,87.7009585578969,38.8326299838382,42.6270034340227,66.7410825810533,124.975281493907,45.5725942382543,83.395610456029,66.6294161254707,63.3541712064503,45.34317658157,35.9244519381004,15.2361608633178,41.4665946456135,62.4890800030763,98.5967952696388,13.2824404275034,69.1106955874973,127.174286306303,45.0555507701937,46.2029582854218,76.0043982763973,124.541288072232,70.5488525427452,58.0464249609094,191.113838250557,30.2384651495742,67.3254741967309,165.038485783745,48.4352707949826,149.960770445684,48.7797989023432,69.7634679382487,48.0176836601964,28.6666905698862,51.2660075907971,1
"GSM1607700",76.6179500308188,34.2102841492172,41.2801868116538,88.9021691804986,52.6685298739382,64.1938173598272,41.422192219779,210.803736502312,13.9650998596587,99.6371897196399,54.6499458877149,120.263385193807,18.2745791347134,115.193034449841,42.5380741125865,45.9749874657918,60.8629785343993,111.185863201133,43.6228986707946,86.1334149441459,69.8762709732789,80.199541229682,42.7083190961411,32.0777748174259,14.0731245955714,41.5924431467158,61.8444422296708,84.8337584856268,13.3771375411183,77.2565992541088,101.396516602519,45.6480886086885,53.0495271001012,77.9188222788025,118.854664716346,71.6158911269288,57.8214876256713,195.195816688337,31.6273135161395,65.9181400001638,170.214286499834,49.5862818170324,147.86128585393,41.7177673591098,74.9882332802696,46.9400675107171,27.7945422863489,51.6541441570153,0
"GSM1607701",69.0833247093766,29.4577358116328,44.8139126013495,83.4405310805897,48.7607220470828,60.4284103555111,39.3806858242296,212.504850541833,14.4029270420709,108.749324179562,52.7748979423553,111.095178642981,19.53936497449,88.519446191151,40.8219320345788,39.5844910925398,63.6827455596379,125.911814468177,54.875557952991,72.74676604074,57.074137112097,56.7016317996757,36.1456568802549,32.152660701936,16.4518044665179,41.5630246200171,62.9574500710862,129.179802812699,13.2828183352709,73.7043552050125,99.3158866586348,44.8218142581167,44.472569440118,80.7795068156354,112.163174865177,70.7254020617868,57.8452220065052,207.635284646858,44.1503126996725,61.3337511008528,166.129529147296,42.8579989013815,155.799197110139,47.2613587077331,71.0279878412537,47.9872491039182,28.7337421008745,44.3842842068471,1
"GSM1607702",76.6449001292324,24.357803043329,43.4178304297832,83.1709385092718,46.8727087960598,63.9712269021225,40.4378513327973,211.699782566065,14.2505024829127,114.366841253235,45.6298530606838,112.577854428876,19.0183377007246,108.562524454919,38.4250008717653,40.6774481224235,64.8187116202436,102.086380808728,45.4050073749863,75.1012905004627,65.2695199895912,70.1920388096858,40.3466035954549,32.3648236216605,16.1786128131615,41.8416941744766,63.6896955587891,102.48538719928,13.2287454739572,70.8214521777165,98.0977149493474,45.5331298907228,47.7517622805986,74.0901034389764,114.536201316767,63.8571216238362,57.7001801125919,187.409098808511,29.4781345548955,59.6358531770316,168.708187640354,44.9192385982837,155.422302860036,46.7764191110489,70.0899877020525,47.1987739394953,28.6177454470076,46.9325562141563,1
"GSM1607703",77.2366744921293,35.9601895484715,43.5071491256887,89.5401770501725,51.2147455980132,61.6989095492076,40.7133840084019,213.072902582046,14.1949220806969,107.846400648477,51.5151540511993,114.30241564651,18.2959109596757,106.593207771231,42.667907226443,45.9243597750516,62.8332552698756,125.479479107662,46.7847905121411,80.6544182616125,69.4879710275901,72.9123216347402,48.6729750125894,32.1480592553072,16.1843745279648,41.7339681872472,63.1471168539421,86.165983883586,13.4232792604018,73.9686147087406,100.592120155093,45.4077248706127,51.7926301251817,78.7500255018921,118.194609329973,76.7959828455218,59.0115473273639,194.126250292447,32.0015996929002,64.4033059450266,172.769315633679,45.4240877304564,152.563511907879,49.4990924111981,71.9085653347272,47.2133338818668,28.0800853698343,49.3961653499067,1
