,ACTB,ANO1,ARF1,BCAP31,BSG,CALM3,CFL1,CHCHD2,CHD3,CHMP4B,CHPF,CLIC1,CSRP1,DDIT4,DHCR7,EHD2,EIF1,FABP4,FMOD,FOSL1,FSCN1,FST,GRHL3,IL12RB2,KIAA1217,KRT18,LMAN2,LYZ,MBNL1,MORF4L2,MYL2,OSR2,PLS3,PPIB,PSMB5,RALB,RPL22L1,SDF2L1,SFRP1,SLC25A39,SLC25A5,TBC1D2,TMEM14C,TPM2,VDAC1,VDAC2,YWHAB,ZNF385A,class
GSM1607702,-0.003816916,-0.007129675,0.005953974,-0.033821628,6.42E-06,-0.000365915,0.006681789,-0.001608918,0.01074572,0.009492448,0.005640215,0.000905126,-0.008638471,-0.025791742,-0.0004611,-0.004807871,0.003934496,0.000412429,0.012828277,-0.007382457,0.012647014,0.003067392,0.015709515,0.003774709,0.007483498,-0.001468643,-0.002089022,0.000150654,0.020682733,-0.026053017,0.020463281,0.003282939,0.002144054,-0.010669419,-0.023135511,-0.015135415,-0.01136959,0.0347657,0.010459461,-0.019572845,0.000997065,-0.005570839,-0.016536933,-0.016138987,-0.003904012,0.002888565,-0.013642165,-0.019248168,1
GSM1607703,-0.003846386,-0.010525763,0.005966222,-0.036411692,7.02E-06,-0.000352918,0.006727317,-0.001619354,0.010703809,0.008951251,0.006367685,0.000918991,-0.008310332,-0.025323881,-0.000512015,-0.00542803,0.003813979,0.000506937,0.013218107,-0.007928329,0.013464406,0.003186268,0.018951504,0.003749428,0.007486163,-0.001464862,-0.002071225,0.000126664,0.020986881,-0.02721076,0.020983617,0.003273897,0.002325489,-0.011340476,-0.023874484,-0.018202184,-0.011627989,0.036011778,0.01135484,-0.021137551,0.001021067,-0.00563345,-0.016232758,-0.017078375,-0.004005307,0.002889456,-0.013385861,-0.020258553,1
GSM1607705,-0.003854424,-0.009688339,0.005673386,-0.032087647,7.31E-06,-0.000332294,0.00687311,-0.001658924,0.010552799,0.008633394,0.006702568,0.000912003,-0.007993262,-0.024848256,-0.000528566,-0.004991254,0.003921195,0.000499894,0.013558118,-0.008235782,0.013032072,0.002877554,0.018009124,0.003711167,0.006571272,-0.001458861,-0.001954355,0.000150393,0.02121989,-0.028328735,0.020845935,0.003309253,0.002278298,-0.010879604,-0.024423892,-0.01694853,-0.012165175,0.035659293,0.012177354,-0.02030757,0.001016617,-0.005874813,-0.015630058,-0.015066794,-0.004103536,0.00289488,-0.013261123,-0.021483757,1
GSM1607706,-0.003875991,-0.007821799,0.00576551,-0.032905211,6.68E-06,-0.00036011,0.006693746,-0.001590439,0.010560009,0.008555466,0.005768005,0.000913349,-0.008082842,-0.021963069,-0.000421582,-0.004721502,0.004090808,0.000427476,0.013760627,-0.007432436,0.012321532,0.002488434,0.015874573,0.00376751,0.006896946,-0.00149101,-0.002046674,0.000165369,0.021038586,-0.027321691,0.020492209,0.003259983,0.002015252,-0.010868711,-0.023450246,-0.015666876,-0.011832577,0.034523837,0.011126718,-0.019740584,0.001017915,-0.005282814,-0.016438787,-0.014888435,-0.004104764,0.002903988,-0.013456473,-0.02071721,1
GSM1607707,-0.003986332,-0.008539679,0.005737227,-0.034013335,7.10E-06,-0.000349248,0.006676527,-0.001697257,0.010480912,0.009349522,0.005769741,0.000966887,-0.008362624,-0.024832707,-0.000562752,-0.004930629,0.004049892,0.00043291,0.013134662,-0.007468956,0.012701552,0.00266363,0.018833289,0.003935883,0.007180306,-0.001476289,-0.002105187,0.000123664,0.021413105,-0.027943821,0.020689843,0.003295698,0.00225971,-0.010754417,-0.025472493,-0.017063489,-0.011222826,0.033216414,0.010808718,-0.020514347,0.001017892,-0.005957643,-0.016348399,-0.015869465,-0.003896583,0.003003618,-0.013860133,-0.021387279,1
GSM1607708,-0.003949729,-0.00833274,0.005608597,-0.033067726,7.14E-06,-0.000351801,0.006740384,-0.001635104,0.010359398,0.008658925,0.006186927,0.000966733,-0.00830399,-0.026816531,-0.000440454,-0.00513574,0.00393006,0.00042664,0.01350464,-0.00864783,0.012885714,0.003334599,0.017446055,0.004088225,0.007366712,-0.001470598,-0.002047278,0.000126701,0.021052594,-0.028380685,0.020680884,0.003174827,0.002348453,-0.011219766,-0.023331328,-0.017045347,-0.012198438,0.036378104,0.010758902,-0.020210558,0.001023125,-0.00631017,-0.016946795,-0.018286203,-0.003875371,0.002957088,-0.013755842,-0.021610864,1
GSM1607709,-0.003987837,-0.008448624,0.005565339,-0.033690219,7.18E-06,-0.000345234,0.007058961,-0.001596518,0.010711732,0.009060111,0.006935389,0.00093627,-0.009155821,-0.02392643,-0.00044561,-0.005675526,0.003978057,0.000507255,0.014599816,-0.008357417,0.013139976,0.002940547,0.0150588,0.00373984,0.007111439,-0.001449876,-0.002044769,0.000151015,0.020547412,-0.027591491,0.0267591,0.00328027,0.002200508,-0.011862012,-0.024013956,-0.017009631,-0.011115444,0.033653088,0.01370464,-0.020208074,0.000965097,-0.00590123,-0.015922717,-0.019370343,-0.004028641,0.002879801,-0.013589786,-0.01990964,1
GSM1607710,-0.004045921,-0.009821541,0.005798147,-0.033557005,7.09E-06,-0.000341874,0.00678815,-0.001656089,0.010413324,0.008901408,0.006421893,0.000944887,-0.008049703,-0.026694278,-0.000486737,-0.005070035,0.003829058,0.000453399,0.013601014,-0.008531243,0.01364808,0.003504988,0.017871955,0.004369364,0.006665442,-0.001443409,-0.00199713,0.000138176,0.021162519,-0.028421443,0.020538229,0.003296956,0.00242172,-0.010896784,-0.024448542,-0.017029671,-0.011066801,0.035509601,0.011448469,-0.01977771,0.001008843,-0.006002955,-0.015760507,-0.017526744,-0.004155313,0.002940151,-0.013870921,-0.02129941,1
GSM1607711,-0.003937416,-0.011250297,0.005781638,-0.034965037,7.04E-06,-0.000365141,0.006652828,-0.001643333,0.010724967,0.008455189,0.00591537,0.000858555,-0.009151308,-0.026303944,-0.00049434,-0.004749853,0.004002678,0.00043053,0.012513323,-0.00748755,0.012841563,0.002867882,0.013679207,0.003771546,0.007113371,-0.001468265,-0.002030025,0.000149947,0.020825414,-0.028709328,0.020659273,0.00328769,0.002218012,-0.010502169,-0.023179021,-0.015422583,-0.011234076,0.035496978,0.016941663,-0.01995296,0.001034488,-0.005095038,-0.01597629,-0.017122984,-0.004105156,0.002885798,-0.013836722,-0.019359212,1
GSM1607712,-0.003722677,-0.009034194,0.0058572,-0.034779258,6.48E-06,-0.000332283,0.006427694,-0.001592464,0.01069745,0.008990418,0.006161902,0.000901582,-0.00818924,-0.021927914,-0.00049437,-0.004724219,0.003755052,0.000466116,0.012529142,-0.007459724,0.011551039,0.002251903,0.019882372,0.003740393,0.007117558,-0.001452329,-0.002126412,0.000201956,0.020461174,-0.026633002,0.026393181,0.003257566,0.002292137,-0.010968024,-0.022850719,-0.017027029,-0.011559088,0.034316695,0.013016917,-0.020748764,0.000965591,-0.006147685,-0.015631366,-0.015573874,-0.004125979,0.002908023,-0.014052356,-0.022245925,1
