,ARSI,CCL26,EIF3D,GSTO1,GSTP1,HSP90AB1,INPP1,LMO4,POMP,PPP1R14B,PSMC3,RNASE7,RNF181,ROMO1,RPL12,RPS4X,S100A10,SBDS,SERPINE1,SPINK5,SPINK7,STIP1,TCEAL8,TMED10,TOMM34,TUBB6,ZMAT2,class
GSM1607871,-0.010023234,-0.088521478,0.006717365,0.027051776,0.001297192,0.00294358,0.007642093,0.038116868,-0.052527264,0.023563874,-0.025304203,-0.119655809,-0.06775293,0.025561505,-0.011553917,-0.001932028,-0.007449571,-0.026209034,0.000717308,-0.001675818,0.059388089,-0.013209229,-0.165149036,0.003521602,-0.039709478,-0.004094042,-0.051416567,0
GSM1607872,-0.010041296,-0.091055909,0.006885428,0.028458363,0.00143276,0.003035525,0.006749518,0.031637889,-0.051999972,0.026273955,-0.025484548,-0.168427295,-0.068159137,0.026737968,-0.011463008,-0.00185166,-0.00821401,-0.026422523,0.000962014,-0.001439653,0.047893613,-0.014906093,-0.154965642,0.003389374,-0.040231431,-0.004847151,-0.052431724,0
GSM1607877,-0.010066446,-0.08931479,0.006540555,0.026721973,0.001371258,0.002895438,0.007544288,0.035939629,-0.050017031,0.023915947,-0.023789082,-0.13688456,-0.06431052,0.025050017,-0.010874834,-0.001956038,-0.008409269,-0.028109674,0.000824432,-0.001810287,0.052944656,-0.01309109,-0.157794083,0.003762509,-0.038522069,-0.00457197,-0.050745741,0
GSM1607883,-0.01077983,-0.091213691,0.007003587,0.029507786,0.001303555,0.003083299,0.006669506,0.032310257,-0.052737671,0.027649946,-0.025875657,-0.145890923,-0.065248329,0.028563147,-0.011144451,-0.001816167,-0.008713857,-0.02834945,0.001073214,-0.001316219,0.039956353,-0.015029772,-0.163641572,0.003569825,-0.042974899,-0.004812851,-0.052655507,0
GSM1607885,-0.01002983,-0.089728204,0.006688089,0.026291014,0.001413693,0.00306291,0.007253163,0.033890721,-0.050986823,0.025901522,-0.024332535,-0.150632824,-0.064875584,0.025130582,-0.011017262,-0.001841812,-0.008401848,-0.030793258,0.000929822,-0.001752891,0.067558299,-0.014392902,-0.149695437,0.003451199,-0.038788697,-0.004793478,-0.052490166,0
GSM1607890,-0.009935033,-0.090284764,0.006618479,0.026969856,0.001372693,0.002978368,0.006757118,0.031975286,-0.051506129,0.024206942,-0.024714592,-0.15695373,-0.066398252,0.025143692,-0.011100475,-0.001989885,-0.007983168,-0.028949078,0.000932074,-0.002028228,0.057308629,-0.013891024,-0.160907084,0.003646113,-0.038563097,-0.004807836,-0.052998255,0
GSM1607891,-0.009864684,-0.090302493,0.006438386,0.026691306,0.001287766,0.002804907,0.00667469,0.036729288,-0.051665775,0.023239203,-0.024396097,-0.148334428,-0.06676153,0.025470863,-0.011006118,-0.001881934,-0.007804996,-0.027354879,0.000709152,-0.001644436,0.059632861,-0.012865887,-0.152246503,0.003571666,-0.039164416,-0.004130754,-0.050239851,0
GSM1607892,-0.010508271,-0.089564412,0.006553305,0.0285907,0.001417269,0.003020291,0.007991301,0.035874479,-0.054153084,0.024823954,-0.024693927,-0.130442378,-0.06470983,0.026218801,-0.011160374,-0.001924246,-0.008317695,-0.027787381,0.000851748,-0.0015873,0.043888216,-0.01420648,-0.154382329,0.003585078,-0.041091045,-0.004526362,-0.051046935,0
GSM1607897,-0.009982848,-0.089415075,0.0068583,0.028038724,0.001381031,0.003034358,0.006901123,0.032459767,-0.052238845,0.025245237,-0.025727615,-0.138918609,-0.06908808,0.02668966,-0.011669152,-0.00191894,-0.008325426,-0.026649095,0.000824058,-0.00172544,0.055138881,-0.01422043,-0.16575328,0.003385614,-0.04237674,-0.004435245,-0.055262568,0
GSM1607901,-0.010075215,-0.091892852,0.006579396,0.027179116,0.001330524,0.00291111,0.006711789,0.034902343,-0.051930011,0.024117206,-0.023719854,-0.135622584,-0.063099272,0.025042951,-0.011136152,-0.001956353,-0.007892125,-0.029186926,0.000868004,-0.00145113,0.041996845,-0.013204992,-0.167560344,0.003397541,-0.038689048,-0.004282117,-0.050670604,0
GSM1607902,-0.010263568,-0.091359752,0.006436989,0.026348145,0.00139146,0.002891688,0.007786656,0.038321961,-0.04877521,0.023477999,-0.023290003,-0.142506095,-0.064043549,0.025282913,-0.011091812,-0.001853516,-0.007923491,-0.027216126,0.000711169,-0.001735541,0.058237686,-0.013074175,-0.141878126,0.003463491,-0.038779892,-0.004032591,-0.051159451,0
GSM1607907,-0.010062235,-0.092459683,0.006817043,0.02965483,0.001290232,0.003091157,0.006431457,0.031833306,-0.053165807,0.025532793,-0.025734693,-0.126116822,-0.069016863,0.026772516,-0.011217447,-0.001885798,-0.007766372,-0.028227936,0.000988935,-0.001307506,0.039101507,-0.014345741,-0.158398659,0.003233534,-0.042306475,-0.004650266,-0.052002251,0
GSM1607908,-0.01001019,-0.088977328,0.006835072,0.026682184,0.001437598,0.003087858,0.006993362,0.035054067,-0.053759089,0.026057138,-0.02448024,-0.135468753,-0.067469902,0.024907376,-0.011469401,-0.001868081,-0.008424699,-0.031953367,0.000852956,-0.001588447,0.054707969,-0.014635452,-0.153959778,0.003430116,-0.041248007,-0.004608854,-0.050347087,0
GSM1607915,-0.010031027,-0.089161237,0.006653683,0.026930831,0.001315161,0.003059985,0.008140831,0.037863762,-0.053953259,0.022194492,-0.024525117,-0.145493523,-0.068094911,0.025390456,-0.011570908,-0.002027014,-0.007718558,-0.028612422,0.000757119,-0.001667495,0.063455091,-0.012922079,-0.167220085,0.003522338,-0.039616912,-0.004215132,-0.050515431,0
GSM1607916,-0.009991492,-0.089800396,0.006765173,0.028623724,0.001384264,0.00277137,0.007188663,0.032077371,-0.053578874,0.025197256,-0.024729053,-0.173172618,-0.069323063,0.026514067,-0.011662432,-0.00200209,-0.008319202,-0.029635283,0.000837654,-0.002167225,0.068098859,-0.013252217,-0.168951634,0.003393796,-0.037086265,-0.004714581,-0.053632695,0
GSM1607917,-0.010070034,-0.103302251,0.006693553,0.026592212,0.001402011,0.002925522,0.006884095,0.040166972,-0.050492877,0.024596511,-0.024014881,-0.120310847,-0.064120928,0.025214663,-0.011270634,-0.001995648,-0.008062769,-0.028244049,0.000749964,-0.001482003,0.043201959,-0.013385093,-0.168227259,0.003536793,-0.038800527,-0.004243185,-0.048954423,0
GSM1607918,-0.010088622,-0.089331134,0.006710926,0.025628862,0.001250295,0.00283656,0.006428293,0.035743951,-0.051169786,0.023027638,-0.02325612,-0.113003504,-0.063340782,0.024335119,-0.011553823,-0.002022057,-0.007159176,-0.028869745,0.000750683,-0.001387427,0.042675294,-0.013142562,-0.161373666,0.003788987,-0.038505258,-0.003890807,-0.05125292,0
GSM1607921,-0.009923359,-0.087794843,0.006904126,0.028548726,0.001407128,0.002948589,0.006949552,0.032119162,-0.05471416,0.026574234,-0.025324146,-0.157913637,-0.069279276,0.026057741,-0.011501553,-0.001982523,-0.008309401,-0.030902559,0.000822447,-0.001728553,0.063130376,-0.014010168,-0.160839158,0.003481665,-0.039142181,-0.004666472,-0.051731771,0
GSM1607924,-0.00997321,-0.08926941,0.006724617,0.026976363,0.001381062,0.002922899,0.007463449,0.029953991,-0.052240274,0.025245263,-0.024314921,-0.153185207,-0.066155752,0.026550189,-0.011589685,-0.002053062,-0.00832838,-0.030289373,0.000847383,-0.001622117,0.059240717,-0.013328616,-0.155657328,0.003475682,-0.038355226,-0.004866193,-0.051137939,0
GSM1607926,-0.010372966,-0.09029048,0.006418951,0.028832903,0.00136588,0.003086414,0.006784606,0.033728291,-0.055242891,0.025248662,-0.025120596,-0.129861768,-0.064529032,0.025453849,-0.010730535,-0.001905226,-0.008329601,-0.0299953,0.001005451,-0.001378789,0.040715721,-0.014020786,-0.166393948,0.003355507,-0.041554821,-0.004652826,-0.050720992,0
GSM1607927,-0.010007941,-0.087572967,0.006653986,0.028180487,0.001318641,0.002982664,0.008542436,0.036008,-0.053228901,0.023426484,-0.02564151,-0.108161573,-0.064676347,0.024924965,-0.010996639,-0.00194302,-0.007246501,-0.026567054,0.000739419,-0.001504397,0.04062414,-0.013456233,-0.158425487,0.003343655,-0.040271899,-0.003662708,-0.049820472,0
GSM1607928,-0.010067288,-0.086970526,0.006705454,0.026126897,0.001437513,0.002997224,0.007079065,0.033879747,-0.051794917,0.024907934,-0.023834622,-0.162188336,-0.067904021,0.024698996,-0.011401526,-0.001880633,-0.008284135,-0.029571108,0.000814516,-0.001761238,0.056865059,-0.013656811,-0.156745265,0.003667824,-0.039590714,-0.004452896,-0.051949351,0
GSM1607932,-0.010376597,-0.093447514,0.006556397,0.028851445,0.001422788,0.002947474,0.006859804,0.034884303,-0.051973857,0.02576628,-0.025457233,-0.152537894,-0.071691847,0.025578714,-0.010815392,-0.001896879,-0.008512213,-0.027324848,0.000979679,-0.00139025,0.041046781,-0.014175993,-0.172823431,0.003493673,-0.0404047,-0.004995896,-0.051590352,0
GSM1607942,-0.010012001,-0.090554267,0.006459262,0.028985443,0.00143405,0.002906241,0.00697488,0.029833105,-0.053202641,0.026554762,-0.025587035,-0.143321392,-0.066481396,0.026125924,-0.011244839,-0.001883225,-0.008696257,-0.028918573,0.000975306,-0.001497683,0.049705642,-0.013937,-0.166713657,0.003739453,-0.041098614,-0.005038667,-0.051844936,0
GSM1607952,-0.009997139,-0.088511012,0.006609761,0.02630298,0.001357917,0.003036247,0.006517469,0.041905643,-0.0523622,0.024582022,-0.024337312,-0.119543679,-0.065859994,0.025145805,-0.011097588,-0.001836832,-0.007657865,-0.028153067,0.000868527,-0.001385949,0.042498989,-0.013898817,-0.155253921,0.003548946,-0.04215557,-0.004145867,-0.049819831,0
