,ALDH3A1,BANF1,BTG1,CDC42EP4,CHGB,CTNNAL1,CXCL13,F3,FTH1,G6PD,GSTO1,GSTP1,HK1,KIAA1522,LAMC2,LMO4,MME,MT2A,NDUFA4,PGK1,PRPF19,PSMA7,PSMC3,PSMD2,RAN,RNASE7,ROMO1,RPL12,RPL36AL,RPS21,S100A10,SERPINE1,SOD1,SPP1,TCEAL8,TMBIM6,TMSB10,TNFRSF12A,TPI1,TRMT112,class
GSM1607829,0.00136623,0.010608861,0.026361947,0.008146859,-0.004210722,0.030239723,0.028851697,-0.002749413,-0.040237776,-0.004938655,0.017933906,0.002043437,-0.003695725,0.010652086,0.000749886,0.006221304,-0.003769334,-0.003304483,-0.003406299,-0.00940503,0.001139574,-0.029321221,-0.033085945,-0.00017474,0.01258092,-0.115249152,0.071869729,-0.014336391,-0.000375721,0.016713277,-0.007378755,0.002429069,-0.015543686,0.005777053,-0.11878373,-0.004849158,-0.000159316,-0.022995823,-0.00010668,0.014870364,0
GSM1607832,0.001679874,0.01066229,0.027124095,0.008156357,-0.003779382,0.023204554,0.027889733,-0.002242717,-0.039171411,-0.004866936,0.017387752,0.001975314,-0.003589319,0.011459404,0.000575338,0.006549836,-0.003895571,-0.002713929,-0.003301317,-0.00888741,0.001183246,-0.028924108,-0.0322402,-0.00016407,0.011719943,-0.081526372,0.073662685,-0.01381628,-0.000352287,0.015193816,-0.006726118,0.002008214,-0.015467621,0.004479351,-0.124444662,-0.004931614,-0.000156715,-0.019423046,-0.000106112,0.014209426,0
GSM1607841,0.001545558,0.009783795,0.025682494,0.008382086,-0.00488092,0.029142098,0.03352639,-0.002961875,-0.040593026,-0.004976358,0.018589466,0.001985691,-0.003667017,0.010519185,0.000648261,0.005851469,-0.003893774,-0.003383949,-0.003266977,-0.009236147,0.0011679,-0.029864483,-0.033050678,-0.00016347,0.012472148,-0.105991778,0.073626807,-0.014282578,-0.00035957,0.016820398,-0.00717676,0.002402347,-0.016186683,0.006126834,-0.115655761,-0.004764563,-0.000158737,-0.021174746,-0.000103445,0.013783853,0
GSM1607843,0.001535941,0.010368011,0.028277734,0.00885713,-0.003896121,0.029080389,0.035862112,-0.00216008,-0.044291476,-0.004818077,0.018073663,0.002062419,-0.003624925,0.010650138,0.000593157,0.007485177,-0.003586674,-0.002954807,-0.003462985,-0.009313188,0.001221149,-0.029236197,-0.03281355,-0.000164813,0.013030085,-0.080765448,0.070446224,-0.013603056,-0.000356863,0.015422308,-0.006707579,0.002158914,-0.016741269,0.003965117,-0.124546792,-0.00494062,-0.000158842,-0.020411225,-0.000100967,0.01451825,0
GSM1607849,0.001301306,0.009935035,0.026819737,0.006914414,-0.005448412,0.027430576,0.026408906,-0.002519345,-0.046280471,-0.005029663,0.018959409,0.001849308,-0.003704303,0.009853558,0.000505582,0.006197345,-0.004460066,-0.00357602,-0.003387385,-0.009374788,0.001124283,-0.029904161,-0.031819683,-0.000162071,0.012457799,-0.083824903,0.067908468,-0.014020871,-0.000360285,0.01541842,-0.006984758,0.002614866,-0.015578413,0.005268898,-0.129458322,-0.004790176,-0.000155637,-0.020176359,-0.000106855,0.013346296,0
GSM1607850,0.001401076,0.009577974,0.025444666,0.007111437,-0.003940535,0.031082491,0.034350233,-0.002499084,-0.04001478,-0.004799238,0.018313417,0.001924011,-0.003668435,0.010564847,0.000733602,0.006237257,-0.004294644,-0.003288564,-0.003322848,-0.009612767,0.001122771,-0.029461941,-0.031905944,-0.000163424,0.012686766,-0.086201193,0.06975068,-0.014410568,-0.000373613,0.015274592,-0.007200783,0.002416922,-0.016603309,0.005638357,-0.12198622,-0.004802203,-0.000150291,-0.021017719,-0.000105131,0.013328826,0
GSM1607851,0.001920706,0.010323402,0.025337036,0.007902573,-0.004054946,0.02804148,0.028046275,-0.002502589,-0.039193288,-0.005269827,0.017829247,0.002066295,-0.003746134,0.010890757,0.000703493,0.006039338,-0.00359671,-0.003197821,-0.003429653,-0.009986645,0.001220786,-0.0290705,-0.031350098,-0.000175457,0.013337607,-0.106361532,0.072617787,-0.014251834,-0.000395705,0.014515746,-0.007255946,0.002148721,-0.016150762,0.004353441,-0.133420319,-0.004807831,-0.000155611,-0.022274168,-0.000114749,0.014065154,0
GSM1607855,0.002368595,0.009928999,0.026568484,0.00780369,-0.004407912,0.028533625,0.029653737,-0.002355103,-0.03789766,-0.005652289,0.01893164,0.00205516,-0.003721105,0.011317394,0.000493339,0.006916077,-0.003434657,-0.002580609,-0.003372368,-0.009277016,0.001185628,-0.029624524,-0.031632896,-0.000170703,0.01255839,-0.098155487,0.071744649,-0.014316047,-0.00037383,0.015886531,-0.006818651,0.001759745,-0.016309009,0.00372683,-0.129395146,-0.004838603,-0.000148998,-0.017220108,-0.000108107,0.013720308,0
GSM1607856,0.001736828,0.009833146,0.025015325,0.007551181,-0.003969098,0.023837263,0.032327736,-0.002203627,-0.03934657,-0.004865663,0.017775011,0.001938028,-0.003582504,0.010395631,0.000552061,0.006353955,-0.003742327,-0.003169791,-0.003378578,-0.010128553,0.001162874,-0.029052086,-0.031755372,-0.000159251,0.012803001,-0.088553506,0.069832874,-0.014203945,-0.000380268,0.016111527,-0.006812873,0.002044842,-0.016365687,0.004710154,-0.133156494,-0.004496332,-0.000155275,-0.019652359,-0.000107271,0.013722784,0
GSM1607861,0.001866796,0.010314253,0.025260839,0.007968746,-0.003977657,0.02671856,0.034251002,-0.002209997,-0.039617077,-0.005029111,0.017370278,0.001994209,-0.003719311,0.010364244,0.000656487,0.006497354,-0.003607313,-0.003296825,-0.003362787,-0.009390704,0.001192953,-0.028456632,-0.031854674,-0.000160495,0.012647039,-0.104211593,0.070508189,-0.014376454,-0.0003733,0.014691242,-0.00730328,0.002662142,-0.015977522,0.005071415,-0.119452268,-0.004779634,-0.000156625,-0.021778874,-0.000103995,0.013336619,0
