,ALDH3A1,APRT,ARL4D,CALML5,CAMK2N1,CCL19,CDKN2A,CHGB,F2RL1,F3,FTH1,FXYD5,GAPDH,HSP90AA1,HSP90AB1,IL1A,KIAA1522,KLF3,LYPLA2,MME,NQO1,PGK1,PLA2G4A,POLR2L,PSMB3,PSMB7,RAN,RBP1,RNASE7,RPS21,SERPINE1,SOD1,SPINK6,TMBIM6,TNFRSF1A,TOMM22,TPI1,TRMT112,USP14,class
GSM1607830,0.003140714,-0.012542213,-0.036860343,0.00320936,-0.024326194,0.003497088,0.05797702,-0.00292069,0.005150071,-0.003919286,-0.041083101,-0.004849692,-0.003729323,-2.89E-05,0.002562643,-0.004037011,0.016010818,0.000970033,-0.015951783,-0.002585771,-0.003597291,-0.006645228,0.051423811,0.003599581,-0.014525629,-0.022147903,0.000277438,-0.006349475,-0.100273722,-0.004318212,0.001706286,-0.0258622,0.032062251,-0.009340776,0.001441175,0.009785907,0.006444482,0.008719758,-0.003039191,1
GSM1607831,0.002949346,-0.012335251,-0.040381263,0.003579397,-0.025083733,0.004327385,0.046166659,-0.002885077,0.005255046,-0.00404639,-0.036077928,-0.004877843,-0.003452031,-2.78E-05,0.002466454,-0.003921788,0.015362561,0.000989071,-0.016574391,-0.002528274,-0.003118888,-0.006510273,0.048379974,0.003735665,-0.012966256,-0.020905338,0.000286035,-0.005710522,-0.112418318,-0.004285439,0.001300257,-0.02487873,0.032865763,-0.009022093,0.00136331,0.009957331,0.005906644,0.008526084,-0.003017458,1
GSM1607833,0.002626453,-0.01268179,-0.037493239,0.003374135,-0.023684265,0.00345069,0.051407811,-0.002920181,0.005558381,-0.003643201,-0.039537103,-0.005485141,-0.003569307,-2.93E-05,0.002557136,-0.005589732,0.014086731,0.00100742,-0.017159069,-0.003033423,-0.00348694,-0.006686875,0.052876218,0.003704155,-0.013093447,-0.022855313,0.000285972,-0.007033272,-0.131347288,-0.004437257,0.001614518,-0.024308378,0.045986605,-0.009212352,0.001370044,0.010572906,0.006021282,0.008896118,-0.002966591,1
GSM1607834,0.002570648,-0.01231432,-0.035331885,0.003282688,-0.025750592,0.005685042,0.046375793,-0.00300393,0.0043686,-0.003356766,-0.037701199,-0.006033174,-0.00335603,-2.76E-05,0.002428014,-0.00391741,0.01333877,0.0009682,-0.016150645,-0.002742575,-0.00282136,-0.006370168,0.045193013,0.003527571,-0.013267092,-0.020843231,0.000276701,-0.004769744,-0.111399964,-0.004088655,0.001226004,-0.024124054,0.032482568,-0.009284717,0.001263632,0.010233212,0.005736178,0.008943283,-0.002886727,1
GSM1607835,0.001652442,-0.013265928,-0.038301831,0.002940729,-0.031313513,0.003347595,0.056192833,-0.003023321,0.005734559,-0.003962824,-0.038574298,-0.005719979,-0.003682151,-2.99E-05,0.002620433,-0.005261558,0.014438552,0.00097765,-0.016713522,-0.002815989,-0.003248386,-0.006814867,0.043181907,0.00383292,-0.013767798,-0.023224523,0.000300933,-0.007272088,-0.122942171,-0.004626372,0.001896357,-0.024800906,0.033829986,-0.009295292,0.001368029,0.010245572,0.006219654,0.00936098,-0.003228119,1
GSM1607836,0.002693494,-0.012868598,-0.036370013,0.004116691,-0.027552407,0.003590413,0.052454059,-0.002873091,0.005467538,-0.003904829,-0.040837787,-0.005949236,-0.003632228,-2.86E-05,0.002484242,-0.004440699,0.015199793,0.000992122,-0.016851443,-0.002902627,-0.002975834,-0.006421284,0.054572087,0.003850509,-0.014219372,-0.023621753,0.0002866,-0.006171471,-0.120903909,-0.004777512,0.001420463,-0.025252862,0.035030691,-0.009175401,0.001340018,0.010858034,0.006312787,0.009409032,-0.002889175,1
GSM1607837,0.002091912,-0.012474358,-0.03537587,0.002844814,-0.0270015,0.003250137,0.044912655,-0.003168837,0.005595575,-0.003405659,-0.040460159,-0.005727201,-0.003500132,-2.81E-05,0.002670204,-0.004048007,0.013707493,0.00098017,-0.016091032,-0.00326693,-0.002926268,-0.006771256,0.046097433,0.003447821,-0.01320834,-0.022120913,0.000289135,-0.006244029,-0.086858697,-0.004225065,0.001614612,-0.024671658,0.033887658,-0.009305213,0.001408073,0.01027593,0.006042422,0.00877618,-0.002867857,1
GSM1607838,0.002485078,-0.011534197,-0.036839804,0.004058808,-0.027338348,0.003281166,0.063736692,-0.002964972,0.005465706,-0.003442349,-0.042672948,-0.005388244,-0.00337838,-2.76E-05,0.002462417,-0.004378165,0.014720091,0.000981137,-0.015819431,-0.002764201,-0.003124272,-0.006646965,0.046682925,0.003569603,-0.01365182,-0.02226907,0.00027735,-0.006102104,-0.107874149,-0.004255992,0.001593359,-0.025024948,0.038900171,-0.009318189,0.001371884,0.010123614,0.005755094,0.008886903,-0.003101815,1
GSM1607839,0.002953686,-0.011862915,-0.036073361,0.003562759,-0.025126761,0.004121002,0.055760151,-0.003110262,0.005703125,-0.003449644,-0.047308657,-0.005135069,-0.003387008,-2.81E-05,0.002631831,-0.00380028,0.014491519,0.000965345,-0.015566459,-0.002705116,-0.003532366,-0.006377391,0.044839201,0.00344816,-0.013056265,-0.021607634,0.000284587,-0.006846829,-0.095045363,-0.00417811,0.001403387,-0.02534132,0.03362831,-0.009620306,0.00130081,0.01046477,0.005691766,0.009190133,-0.003128373,1
GSM1607840,0.00276656,-0.012067274,-0.039685295,0.003548721,-0.029916134,0.003413558,0.046893719,-0.00293262,0.005332606,-0.004407828,-0.040708652,-0.0053005,-0.003398076,-2.81E-05,0.002391807,-0.005008094,0.014524142,0.000974058,-0.016047996,-0.00318429,-0.003039066,-0.006502555,0.047703891,0.003711354,-0.013683981,-0.02151985,0.000280391,-0.006551936,-0.133335918,-0.004195936,0.001558778,-0.02563121,0.032779565,-0.009477561,0.001363499,0.010261323,0.005826717,0.008893661,-0.00309698,1
GSM1607842,0.002883821,-0.012421667,-0.037367848,0.003188578,-0.02893959,0.003756559,0.056134762,-0.002938113,0.005452608,-0.003393052,-0.039630101,-0.005013105,-0.003520116,-2.76E-05,0.002579348,-0.004101378,0.014213634,0.000976318,-0.015550443,-0.002516715,-0.003485104,-0.006460714,0.045046925,0.003482547,-0.013635477,-0.021853514,0.00028776,-0.006919398,-0.122370528,-0.004218449,0.001479555,-0.026054698,0.03279946,-0.009158625,0.001325135,0.009866206,0.006152325,0.009059479,-0.002989822,1
GSM1607844,0.002865095,-0.011879451,-0.035921022,0.002949376,-0.024349282,0.004714557,0.048569405,-0.003048772,0.005386289,-0.004421199,-0.040331422,-0.005420587,-0.003233414,-2.76E-05,0.0024624,-0.003257792,0.015275322,0.000974038,-0.015785279,-0.002661899,-0.003256016,-0.006287626,0.04505022,0.00356085,-0.012695313,-0.020686732,0.000265106,-0.005827726,-0.09177704,-0.003937794,0.001260219,-0.024863786,0.032720276,-0.009740513,0.001309754,0.009962133,0.005523824,0.00844427,-0.002893218,1
GSM1607845,0.002145969,-0.011866628,-0.036032451,0.002990007,-0.024256771,0.003394497,0.046497877,-0.002940261,0.004559073,-0.003188379,-0.038579905,-0.005718226,-0.003523623,-2.76E-05,0.002671998,-0.003964054,0.013836556,0.000963346,-0.015948562,-0.002668882,-0.002545461,-0.006533785,0.04664491,0.003337765,-0.013950995,-0.020621056,0.000291481,-0.005714428,-0.095133384,-0.004703202,0.001408255,-0.026574152,0.032422105,-0.0092756,0.001233999,0.010579056,0.005880768,0.009111276,-0.002855235,1
GSM1607846,0.00280205,-0.012198372,-0.039440626,0.003755418,-0.026580997,0.003588268,0.04917308,-0.002944916,0.006074972,-0.004007364,-0.036839453,-0.005399274,-0.003449751,-2.76E-05,0.002456214,-0.004846004,0.014645897,0.000968389,-0.016545381,-0.00256886,-0.003207112,-0.00657146,0.04752027,0.003717981,-0.012868739,-0.021582917,0.000297969,-0.005989214,-0.120033415,-0.00447629,0.001512708,-0.024111948,0.032484477,-0.009050367,0.001336546,0.01015551,0.005940471,0.008876724,-0.003086313,1
