,ANXA10,ANXA2,ANXA5,APLP2,CAPG,CCNB1,CYP27A1,CYP2C9,DYNLL1,G6PC,GDI2,IRAK1,ITGA5,NT5DC2,PLOD2,PSMB5,SLC2A2,TAGLN2,TFDP1,TMEM106C,YBX1,class
TCGA-DD-A4NV,0.07547816962825582,0.042602017849043695,0.017352925814812487,-0.03126755484864008,0.0015284047444988188,-0.006226816236822847,0.061113247016452946,0.03345377772565013,-0.012761722801798457,0.02488795350051832,-0.0474228442841144,-0.019608056927569895,0.009236069243975086,-0.00022788487780019522,-0.015128343066104848,-0.012876311023513672,0.08526020600102784,-0.033025432930895146,-0.0036539199907614597,-0.01199475124830884,-0.13026047882032343,1
TCGA-YA-A8S7,0.004339172617679913,0.34954532879323896,0.0703512979747334,-0.04681826729340472,0.033814775141630636,-0.06771185577979962,0.012603445089663259,0.004547248836902267,-0.03230640662255657,0.00039646172417188654,-0.10156230997984284,-0.027051869248742783,0.04867161461436689,-0.0002104464728872386,-0.0406055771096089,-0.03440265993919339,0.01026763610952522,-0.11017002411895055,-0.006450468267667438,-0.036072322811820746,-0.4221693839605342,0
TCGA-DD-A4NQ,0.008942768514790103,0.061598436965543575,0.016818952050195953,-0.03072992109951777,0.010582210253191298,-0.0366137664528398,0.014212498424800716,0.0036969689920475,-0.014519538216828847,0.0014317941893684462,-0.043327370911991875,-0.01613644598700267,0.02813656246538536,-0.0004446736252134144,-0.0454476488044608,-0.016639811051206377,0.005903271194488143,-0.052422949672555494,-0.003948484654981978,-0.031640746571798724,-0.27451382649231576,0
TCGA-DD-AAVS,0.012784153042635126,0.0778680320712907,0.007697290450638114,-0.027455233967712232,0.029961662061427488,-0.02667536493000255,0.1337663288406124,0.05937058511557459,-0.01299785904789704,0.017514299271679176,-0.06031607240325065,-0.010881947848686463,0.01645820350143058,-0.0005951249931179205,-0.008704849426645137,-0.01969489924509008,0.11282738253303876,-0.035891874446800864,-0.005221360681494873,-0.03533857090689453,-0.11282972076169862,1
TCGA-DD-A3A6,3.264184195638625e-05,0.09219130071992171,0.009401189576841084,-0.01709414668983673,0.0019928318744905156,-0.0029462334402326905,0.002819575403618223,5.023759533506864e-05,-0.007311920250279703,7.193398011637098e-06,-0.012052759589135148,-0.0015604198004023429,0.005862850838643267,-0.0008010722131359195,-0.005429290246366243,-0.0125861653163801,7.900677016227309e-05,-0.008489562760822897,-0.002653387727988608,-0.010466022953449722,-0.05044149787497835,1
TCGA-FV-A23B,0.008961403596205503,0.027392017503648544,0.014754812006728714,-0.028884304178729787,0.0040737741391428176,-0.024024939565757797,0.060067313566850716,0.007521303688558882,-0.011160377265558305,0.01076262970683936,-0.04330416728465996,-0.006334800706597367,0.028250378621766138,-0.0007061166973449062,-0.01237917196279823,-0.017392968558631188,0.06873489043296117,-0.04399044771640984,-0.008320962047414646,-0.028161042874495945,-0.08100103733933778,1
TCGA-DD-A39Y,0.009892061485715755,0.23625073515412406,0.02359119423398637,-0.02877088841667018,0.0026377075104263435,-0.09307134341562921,0.00752229470553533,0.0022554575830453266,-0.02862397330761929,0.00042380867281356795,-0.03800094510991112,-0.011921758468661335,0.014326813179578747,-7.077583166350342e-05,-0.024228292388672773,-0.034546932164459206,0.02056620349216243,-0.061001425227453145,-0.00981969954997748,-0.06360033142320916,-0.6226824569421284,0
TCGA-DD-A1EH,0.005765791628258838,0.11753695978347585,0.013154906246000093,-0.05470498468852431,0.0025099744824718844,-0.02100589759782313,0.05865096393113196,0.0013517204759865406,-0.013185381588927387,0.0023421696845774237,-0.08918960551783958,-0.00660909957130787,0.035032973513204314,-0.001326527187584381,-0.0200634070060025,-0.0207293309013321,0.07850204345510849,-0.049143934096243465,-0.0057090982243643,-0.025034422800616317,-0.14507761656442078,1
TCGA-BC-A110,0.04176024306856855,0.05465724513338926,0.01988834432748156,-0.018182252332012632,0.003233357999989471,-0.0013324485450711319,0.0533663568783489,0.031106550643356854,-0.006695265492781739,0.004243432215831335,-0.03788814233303896,-0.002111733250418762,0.012974307314226566,-0.00013214655281064866,-0.012579469505723185,-0.011337135438398075,0.04033890666580799,-0.03795179478108695,-0.003096193753082087,-0.006763556322238024,-0.1102933368513728,1
TCGA-ED-A5KG,0.0007315182939927456,0.08130535782828162,0.03168532076133279,-0.04280582454954803,0.03444185500227993,-0.025003318216072264,0.02600262039352475,0.00010822757290766488,-0.01905682466906141,0.004484379188698488,-0.10293152288066025,-0.0104026065367354,0.027804262024065926,-0.001284825497561547,-0.011296747342270146,-0.020522709125522277,0.026789028686855728,-0.04962408157365644,-0.009907705742605846,-0.03178089009077555,-0.21149777842931983,1
