,H2AZ1,NUDC,HSP90AB1,MARCKSL1,HTATIP2,ZWINT,RTL8C,SPP2,TPI1,SRM,FAM50A,ADH1C,NPM1,S100A16,LAPTM4B,H2AX,CDC20,GSR,PPIA,RPN2,TIMM23,BRK1,LAGE3,class
TCGA-DD-AADD,-0.05188957218011729,-0.05074029121216718,0.05987024494473955,-0.03563454705252469,-0.06286693386962817,-0.10195319148914816,0.007288428395798146,0.003567265756591795,0.03969595714562003,-0.05858650433700357,-0.008099027563094307,0.002359445851969386,-0.022321078714943737,0.0032280497264610937,-0.004231154431561001,-0.01573531702972265,-0.03360190220376043,-0.03876094603160375,-0.06137230878391362,0.05407279891615048,-0.062047029744989,0.03707097038278227,-0.0010229634083184277,1
TCGA-DD-A3A4,-0.007306757476067005,-0.033113928472519094,0.026980087721512704,-0.014736248139868397,-0.21308295788696346,-0.007579513567551051,0.006044132824080539,0.00032990750170540275,0.02421296538342629,-0.05841163111025689,-0.003953859606528805,0.054057865219852626,-0.009550726059895789,0.00894196173457394,-0.0008507887217376102,-0.0034380174511944622,-0.0014510256004583088,-0.03237944283074988,-0.05756602279855458,0.03318519715817322,-0.059870212501902983,0.029044112405278967,-0.0005299844105895306,0
TCGA-DD-AACE,-0.009123980446355633,-0.02708757023561403,0.04323336881590582,-0.0025780495346744126,-0.06540495045935783,-0.008609751265752152,0.00135288684279735,0.0014816301563998137,0.024032104145469548,-0.020930231405904012,-0.0043116497505716,0.06749433340638981,-0.010370230462491107,0.0021739133577259435,-0.0019048920137356633,-0.0030858262763981056,-0.0029202993759158318,-0.03231967223773012,-0.03836906083817433,0.01638761456538834,-0.03506019362489667,0.015595148414366072,-0.0005301818675708051,1
TCGA-DD-A73A,-0.016087017298612536,-0.025448941235677362,0.02356105558317953,-0.00419659609831913,-0.11672497313486323,-0.01145544673509302,0.004798262954257955,0.002136423101690648,0.029385787819808974,-0.019294003741807536,-0.0027359012303262114,0.08994303517217153,-0.01693000307735367,0.011007347100453448,-0.0005594780912470099,-0.007149024280764565,-0.0034945255123494216,-0.021677898096456205,-0.04148835560660705,0.01374828203015871,-0.03388116071271434,0.021884149970032348,-0.00034012162481495225,1
TCGA-DD-A4NN,-0.03241754000079387,-0.03905639188226102,0.12198147563993732,-0.06378779705939701,-0.026592453841142765,-0.04603344596546686,0.008029499225277664,0.015821502062936706,0.04326645801364434,-0.029982789310983915,-0.007994741272011828,0.02351436659614012,-0.03442924357460591,0.01782188983347064,-0.005401616538393998,-0.01831514592058105,-0.01721698414717479,-0.03184179103528463,-0.04898141363923414,0.0486568936764937,-0.08062277381223971,0.04197064290809023,-0.0006960378335620431,1
TCGA-G3-A25U,-0.03554231438267799,-0.020986845599120698,0.023317188766644136,-0.0029479348533105075,-0.06259785653113144,-0.018645259446421918,0.004148847336872334,0.0028701784176771764,0.03373073886855654,-0.02527286445131543,-0.0048060320645138144,0.276174606846373,-0.01431703398376805,0.014876081775966193,-0.0028874418408882997,-0.005294440342399129,-0.010991103904213895,-0.027740190037245326,-0.0504458634653649,0.019358323131531078,-0.02552641507207922,0.025397617751999228,-0.0006419958323570547,1
TCGA-UB-A7MD,-0.030799217219086832,-0.0642939211311209,0.057502642941372174,-0.00862085064436654,-0.37492039333872196,-0.010128084760980005,0.011701376594137987,0.0006663078453252306,0.06250066579942751,-0.06188980914175561,-0.014266591489800463,0.06902354231969955,-0.025565851974102115,0.017141151107920423,-0.0033763236921969574,-0.011869616219073016,-0.011906173846361966,-0.05628076162086726,-0.05653118612219638,0.02785721549758213,-0.03848391168662736,0.034024853277649016,-0.0018357891480250221,0
TCGA-2Y-A9HA,-0.030167581328027254,-0.07074541100771423,0.0683425261320124,-0.013871619900798538,-0.1646228679655782,-0.03041063085051444,0.0059899219041337605,0.0015094787790097084,0.047091131006014336,-0.03287924711156376,-0.007521321351033045,0.03919626242102282,-0.02713892576486177,0.016895245746671627,-0.0015114617404238823,-0.011442503569119676,-0.00981071732509809,-0.033113475616374,-0.0499721813336471,0.04054267071347087,-0.09896780139003863,0.027388052076074317,-0.0010648499577561644,0
TCGA-BC-A112,-0.06139614816027917,-0.03508821122194875,0.06910546353883076,-0.04010167079563983,-0.11826906887164398,-0.04909610163279737,0.010760927616314035,6.226228924775991e-05,0.055829397612249185,-0.037027586492741946,-0.007956846651384138,0.09306358029591523,-0.12520261006889222,0.03266736748262655,-0.001531545402624928,-0.01384775876458478,-0.013549058731187006,-0.13612264868505344,-0.09736692146543309,0.0293385855094386,-0.061541746302872846,0.03226444929047061,-0.0010622455001731551,0
TCGA-2Y-A9H1,-0.016187948806977725,-0.08150486676075663,0.022376362259918497,-0.004781236492047213,-0.07434372719052705,-0.0019914308518691475,0.0043627683286977395,0.0030023644426656238,0.03816908151398994,-0.04776173106073748,-0.0007436438876402415,0.045191972001537524,-0.014499520325317766,0.009468529490450456,-0.00045359456784786344,-0.007998049782987902,-0.0011794572739075107,-0.012452017851308901,-0.03696132546237872,0.017344311478556088,-0.03472297496466192,0.030916375905544913,-0.0016430434903238378,1
TCGA-CC-A8HS,-0.05697254805849047,-0.03886064969235377,0.04504541582995166,-0.0185860554452082,-0.07603895198620293,-0.08366569656467937,0.010463229962552383,0.00399930448498407,0.013813685798715142,-0.03332140806068276,-0.0053174757189674,0.007852385184472566,-0.021453841791404506,0.017624980970846332,-0.004830796235040642,-0.08459227448983844,-0.01910959868615574,-0.039873507003572194,-0.0405157479457465,0.04195078106174807,-0.1180641335708797,0.027937750928386747,-0.0006921538547403758,0
TCGA-2Y-A9GX,-0.02490533806737707,-0.023741119474562228,0.04001851853668462,-0.014271573316304407,-0.15747122052820334,-0.019989559314418513,0.008578660997870444,0.002757695547229703,0.019493863618368832,-0.02262320246320831,-0.006580761926852908,0.09926129665008938,-0.02067374151919691,0.013468987343323737,-0.002873657802226575,-0.009972768071488681,-0.0042023181519022556,-0.04058848578610841,-0.040691786176753224,0.019827987824066688,-0.04300664273028581,0.023595795004001757,-0.0007015646544679132,1
