,SLC17A2,PRDX1,PPIA,G6PD,GSR,KIAA2013,ALAD,BAMBI,HTATIP2,SRM,HSP90AB1,SEC61A1,GAPDH,ENO1,NCL,CDC20,DNAJC1,LDHD,DDOST,PAGE1,SF3B5,TPI1,FTCD,DDIT3,RTN3,PSMA7,class
TCGA-RG-A7D4,0.004899039189307215,-0.04806417414456422,-0.12211112333448805,-0.0021766408957422656,-0.006555660118621213,-0.007201129494288393,0.03206510577869514,-0.0006138448962930107,-0.05838109847005038,-0.04792449339129649,0.08852167092425396,-0.08203737310901484,-0.13851863760110952,0.024597368481337634,-0.049299347213464594,-0.05981407540984471,-0.0534201628777607,0.004115342431000521,0.08649949321141095,-0.00022466081649989957,-0.017321725458340338,0.13932697849575473,-0.002132598091022725,0.0006551761065869239,-0.0052946111551263105,-0.009731919544107638,1
TCGA-2Y-A9H7,0.003135638363975866,-0.006924474517783318,-0.08644641960611125,-0.0004471566780634542,-0.0026851642018808903,-0.005082383399872873,0.04989780021535395,-0.0005950435443363396,-0.03704028383765121,-0.024853921605828954,0.022594117287566558,-0.12254019342778875,-0.0714706094359555,0.009124272999380751,-0.030278800124229184,-0.021128864543440953,-0.08738770052783686,0.010695997136831505,0.0455501822312229,-3.0902810919144546e-06,-0.007000930954868111,0.11559943410620237,-0.017016498389579596,0.0014332870821953665,-0.007358289544979207,-0.004377504964592523,1
TCGA-DD-A11D,0.0005055666111349218,-0.02798937875108711,-0.08382676487191108,-0.00020808830759645226,-0.01332476341531637,-0.012274758141684725,0.07399640889395573,-0.0005210565837547283,-0.15387904933790317,-0.016662205580384015,0.024019853974002154,-0.14705861823240193,-0.11254330109465038,0.020942786346584072,-0.02020194308506433,-0.003623727786806673,-0.0783695307170623,0.024227612181459395,0.06840415934136522,-0.0,-0.01047797949780734,0.12627716323758806,-0.008045573499393104,0.0005005050868219062,-0.008458138105141504,-0.007003887285698881,1
TCGA-DD-A4NB,0.0008942421238043912,-0.03846491347862766,-0.08460220599720761,-0.0015590799919343048,-0.012536358504375173,-0.008650904984992191,0.04808535312870608,-0.0006612319522286603,-0.10978403687049887,-0.04586198412895851,0.030719936992749323,-0.14668548503374607,-0.18451074210535715,0.022774371011134185,-0.021961772313593593,-0.004903966945019809,-0.08483234131530348,0.02398508125179701,0.06016409538563277,-0.0,-0.008363529666285622,0.09561756840751831,-0.009199908754348025,0.0005017246227933791,-0.006295973896509649,-0.01204895961902418,1
TCGA-DD-AADJ,0.0007138295356160603,-0.015301441240899487,-0.09622353765233037,-0.001118548679765508,-0.011931039745948524,-0.0058873982493055565,0.05663331660007377,-0.00024052687970648116,-0.07284319501523545,-0.016262207292347095,0.019651333675992536,-0.10785357575597541,-0.08184637493564711,0.00980191958377217,-0.02355931165002473,-0.01016596687496363,-0.07889128227420063,0.016682045267527916,0.03759513415650221,-4.927863492614999e-06,-0.01178689475998424,0.1234234702534287,-0.008567205151817876,0.0015458261124472077,-0.004855666742426375,-0.006759034900138274,1
TCGA-MI-A75G,0.0011806642477286827,-0.03488404206061052,-0.10738430182133706,-0.0004986744498770103,-0.010153290594490468,-0.012722421658122167,0.050597200599461364,-0.0013238220931369392,-0.10360450366300429,-0.05264290059676624,0.03488955942349706,-0.10603661372075197,-0.0883699517824311,0.021120020406952003,-0.027431514128418807,-0.005586761162733481,-0.0837745889860871,0.027464495802677156,0.04803200345937993,-0.00022910418677047712,-0.008177340017409768,0.14034791327777404,-0.030380932375817186,0.0007238902182135183,-0.0060655418994444744,-0.027562905277676963,1
TCGA-CC-5262,0.0017511774317342246,-0.033311522327503,-0.15409339281041234,-0.0025341839480978825,-0.013641367483848305,-0.01049427955578708,0.022836615158888546,-0.0029144203912379,-0.17092769719762976,-0.045023878695244886,0.029010466120963262,-0.18961668470118787,-0.17270956862624343,0.024398406545236322,-0.03824789214503325,-0.06426930768042642,-0.12261291131067842,0.014071552256137189,0.1224678537827914,-4.9719480110166036e-05,-0.02121272579113149,0.24857445712871146,-0.0036546819960371637,0.0020511152915376686,-0.012126537431767767,-0.008962644388514648,0
TCGA-DD-AAW1,0.0021105873193490395,-0.029567454756709324,-0.057531900503683814,-0.00040761268204275703,-0.007178500826334194,-0.010135853077750858,0.09596219968144631,-0.001001477829306063,-0.07333625415171065,-0.018762727222241177,0.023982473708873894,-0.09165792682374714,-0.07467139324601921,0.015066481542335357,-0.026706733767270896,-0.0024644242146123147,-0.11542986766639032,0.02281988636753655,0.06334588848146837,-0.0,-0.007212731289457336,0.10220920173105438,-0.004952064529532679,0.00048018680242314904,-0.005116321363604818,-0.0077769805121076195,1
TCGA-DD-A4NP,0.0038564806798928406,-0.017442343569344425,-0.04756001108343461,-0.00018485326044353996,-0.00439436576534639,-0.010596341538605687,0.06506424704222068,-0.0006216091265246938,-0.027660591061946873,-0.03043899176871203,0.012154319380734755,-0.07845440555468394,-0.08218344531821785,0.00826214251021398,-0.01722986274541836,-0.000502548117020614,-0.03902557715930496,0.060534846652240744,0.05550886498731922,-0.0,-0.01210191018289728,0.08411609175984977,-0.01202867088423125,0.00040988635351746637,-0.00490264210890926,-0.006909947868030884,1
TCGA-DD-AACL,0.000836969452282607,-0.05121805548097292,-0.14318919234740454,-0.0055758561184396215,-0.014233321201562227,-0.01938369394870921,0.015428870159001143,-0.007502310654470535,-0.06786659186289555,-0.13836708749037072,0.031441486852618085,-0.24439767912352875,-0.25512125160079785,0.08246895096595049,-0.04305487867740131,-0.17688724498519962,-0.08558553466661514,0.004260749754975958,0.13843278744000756,-0.001584991204670757,-0.018258769067675602,0.2056900608324565,-0.0012740739342311982,0.001780641650399207,-0.009657183206486314,-0.010874865654180025,0
