,FAM50A,RAMP3,CKS2,SPP2,HSPA8,MTARC2,PRDX1,RAB10,MMP12,PSMA7,SEC61A1,VASP,RPN2,PAEP,H2AZ1,HDGF,CD63,HTATIP2,APEX1,PKM,PPIA,class
TCGA-BC-A112,-0.012819128367831221,0.020253620746898515,-0.04273026771299925,1.8161683723914539e-06,-0.163247022711434,0.04199247916427733,-0.026278787283503285,-0.05581168880035978,3.576273275846678e-05,-0.04690535892235758,-0.1535657635345666,0.057273092970694245,0.1530287126854663,1.879675259630971e-05,-0.05670096160016697,-0.05762063043930593,0.061151904084068814,-0.057270723831920285,-0.11161298177677122,0.05037283579770133,-0.13394548830179723,0
TCGA-2Y-A9H1,-0.0011980709033716287,0.033172945149907235,-0.012145032017775151,8.757788075320701e-05,-0.07231402103485816,0.06194590613052042,-0.004901306878696135,-0.007190667267869433,0.00017241087397565108,-0.046396913515876485,-0.10359288364224842,0.010543082116145696,0.090467130977576,1.0872222070366612e-05,-0.014949997535574048,-0.019093419814083277,0.03578632681673331,-0.036000275551210686,-0.027626220681568003,0.0016860852285268005,-0.05084686578180032,1
TCGA-CC-A8HS,-0.00856688671037929,0.010172571093633292,-0.11436955987648215,0.0001166582598382806,-0.06285380824429213,0.12917286964598587,-0.0041653627261935555,-0.043577588735900424,2.4781782347471876e-05,-0.06649858605334191,-0.22766727880745527,0.029244346657219037,0.21881334462985122,0.0,-0.052615650273286574,-0.06084233352890316,0.055852903552459865,-0.03682117278184285,-0.14631993876082267,0.019166790533177172,-0.05573660500740177,0
TCGA-2Y-A9GX,-0.010602143737907646,0.04333466194872598,-0.04239522163643071,8.044097790290492e-05,-0.09003435526807879,0.0918710009836574,-0.01032673644507281,-0.032123650933463754,0.0011152133807130048,-0.0482424523189651,-0.11729908222234973,0.02253048087405155,0.10342187256723293,8.340380494533158e-05,-0.023000736360707597,-0.02618918606740742,0.043342703436710636,-0.07625401018531575,-0.05619310262746219,0.01179605869933036,-0.0559787768503346,1
TCGA-DD-AACC,-0.007048493234851785,0.08032387848001882,-0.09342407143523085,0.0004975210063647272,-0.10545728556364958,0.07890292168370043,-0.006019509862667467,-0.018371336113258845,6.0113239107923747e-05,-0.04665371610657556,-0.132060962917918,0.01877434575029048,0.15320672499854754,0.0,-0.01992958148527952,-0.025823624393519602,0.05970401090259826,-0.04892587511716041,-0.04357961831501156,0.009214465938832383,-0.06658156108892109,1
TCGA-DD-AAVX,-0.006828030953407893,0.051237945360564446,-0.0613265101706798,2.2247224018222608e-05,-0.13967476243758312,0.12086781825526657,-0.01048071809400674,-0.020728876951363846,9.979063092529506e-05,-0.044111528612675206,-0.07992601042798202,0.011381856091588193,0.06539985659133463,0.0,-0.010876773818201584,-0.01813668299704045,0.021639522240147372,-0.09027996006823957,-0.0577918738919476,0.0027795086345633766,-0.04977837980560894,1
TCGA-CC-A7IL,-0.007960667439238149,0.009262290460322831,-0.030272831180794976,0.00018428215773548363,-0.0736766704146905,0.08967796061439753,-0.004430651809367996,-0.021974065224735655,2.79665897174281e-05,-0.06545467067213602,-0.09755743880875481,0.009870124136903927,0.1880992868542871,0.0,-0.016458272611513933,-0.035628904511802915,0.026259817951327487,-0.08113155488715515,-0.05285736713882776,0.000890309554655347,-0.10425599206434745,0
TCGA-DD-AACG,-0.016306482692170096,0.009557699961241334,-0.14356205341541167,0.0002675113905226875,-0.07024700788620952,0.05783161484213033,-0.010050245135737452,-0.017011295669533837,0.0004581146351221408,-0.04936307240008726,-0.060953180551192004,0.03282966386070819,0.15574569543985264,0.0,-0.039783540239433486,-0.032489802669342,0.04093460383240741,-0.07799493803694003,-0.036881904060694734,0.0020273959701448945,-0.10946939006679866,0
TCGA-G3-A25S,-0.04842417312775367,0.013337954818924129,-0.06790049182478525,1.8899680071945098e-05,-0.04176108296279443,0.08079401114982533,-0.015271921973617781,-0.018356504745729068,9.653947340179808e-06,-0.1051181965367798,-0.23406141710159942,0.021037605730467524,0.22607751266056414,6.0874423112882184e-06,-0.04007222963964678,-0.035169036831846884,0.0673227859871665,-0.1522483333303185,-0.036083451342473837,0.0022539815768722713,-0.1305227754819936,0
TCGA-DD-A4ND,-0.007092027032171546,0.031808510954015594,-0.04955976389146508,0.00019019260285614993,-0.05952225549250793,0.10966345514777638,-0.0043736320865227,-0.03134518599415565,0.0020557268071532027,-0.034789752724319375,-0.14502858623653161,0.024692949870953353,0.22015623014374044,1.051315482841134e-05,-0.014939022467239726,-0.015238864581909543,0.04719971779755826,-0.022868648303032736,-0.07187323757547755,0.01031052298670898,-0.08018275058129765,1
TCGA-CC-5260,-0.016272933438126403,0.03597545006446645,-0.10664134898421511,7.090568442657009e-08,-0.2285626890618789,0.0700418455886936,-0.0035358544104532896,-0.11496500190127025,0.0,-0.05838095533815624,-0.2926802171632832,0.07021214098175532,0.21949226804467492,0.002654433812557764,-0.07479301595947688,-0.04321831685265289,0.12363146855422401,-0.0622566786267038,-0.12922424874990707,0.11920650750272593,-0.18999881981077169,0
TCGA-DD-AACZ,-0.028300831325183153,0.0029370735014076846,-0.12664480131118183,5.550768431017302e-06,-0.22972220716464767,0.00983196093356817,-0.02270629552236724,-0.0425525674660769,0.0008032349587643762,-0.06525636529974939,-0.2384143640745124,0.04205843509612991,0.2661751279876272,0.00027731681640312994,-0.039625018156533326,-0.0335613500248573,0.08613883125488166,-0.11868758803056544,-0.08570847420316983,0.015909252802528674,-0.19449237296440794,0
TCGA-CC-A7IF,-0.008168916484710421,0.02309275890645681,-0.04531917095358365,0.00010611897619224899,-0.014013978483718836,0.17586403226617628,-0.004037332737996485,-0.024151770679986424,0.0,-0.03568935256186835,-0.08881979826508993,0.007894142804709453,0.08681934344019657,8.15834175326281e-06,-0.03045088336417046,-0.01740275008303569,0.04186632973080243,-0.04624575691894539,-0.04414301726121874,0.004659027925603261,-0.08086590669020297,0
TCGA-2Y-A9H5,-0.005241023458760031,0.024861885616967914,-0.03682457996521838,0.00028830438497571263,-0.07533430155870598,0.10559771370753239,-0.0040694632490021745,-0.03358047918436536,0.00018415485115236467,-0.026827943257778056,-0.12612578561968038,0.022367010913034654,0.16641291825801,7.2648488488624825e-06,-0.02594166378146181,-0.024313466642159196,0.040357125567884095,-0.043853762189226125,-0.06161548285250283,0.008899560921978706,-0.05375148912288022,0
TCGA-DD-A3A7,-0.02661280461962162,0.01835757279361282,-0.04371775042854562,6.716148986939148e-07,-0.013944677749929893,0.04931588177781629,-0.0032436760676303536,-0.01678874433169603,2.4781782347471876e-05,-0.04896691634812277,-0.1778040036850515,0.01571316821872146,0.09337443104364367,5.4728527994764035e-05,-0.021838822413926852,-0.028860352003873196,0.08934046401331691,-0.04835878361866698,-0.02633721743379853,0.012184844300433035,-0.1296342670677118,0
