,DDOST,PTTG1,KIAA2013,ARCN1,PON1,GPLD1,SEC61A1,S100A16,PAEP,CA9,NUDC,DAP,EIF3D,HDGF,LSM10,FAM50A,PCNA,DAD1,SPP1,AGR2,HSPA8,HTATIP2,HSPD1,BRK1,ILF2,SLC25A15,SLC17A2,RAMP3,class
TCGA-RG-A7D4,0.03897889646106915,-0.04830213900853111,-0.0050676113664346574,0.011081090468394688,0.018077991461398178,0.0011107205086618383,-0.0833613547962656,0.002246543597516109,0.0,2.557869929320949e-05,-0.017113123543662703,0.023286004534587144,0.01855756024057743,-0.0757078986034091,-0.08127733531801148,-2.0458609944699243e-05,-0.12010926829120065,-0.046219758873083196,9.41852956574292e-05,0.0,-0.06512397302351335,-0.04166103607707787,-0.08727868545558524,0.046980498852733234,0.0724232843219302,0.002906021514926218,0.03103936548482111,0.015999536166816902,1
TCGA-2Y-A9H7,0.02052608369200765,-0.015797344179352812,-0.0035765977970820704,0.01896376537270983,0.03875476629275709,0.037420619651307156,-0.12451784051596362,0.010261892004119472,0.0,5.286013194639437e-05,-0.007782205128272764,0.012366682846444273,0.014103734867269032,-0.09483572538992298,-0.04859234737645718,-1.6899772732810328e-05,-0.02392481740355982,-0.04866312765931075,7.906016707218225e-05,2.34489365694357e-05,-0.10689844280211866,-0.026432126864780112,-0.03588206773480176,0.05421519087459246,0.04436777178335718,0.008975805909085002,0.019866798661277264,0.0645559616984889,1
TCGA-DD-A11D,0.030824673596143232,-0.004580970695857443,-0.008638048229569404,0.022264560495301556,0.16452313120731651,0.08876008270541258,-0.14943196235732134,0.010681449829799607,6.776189112945121e-06,3.939534378983629e-06,-0.016828298963635493,0.017540573321047373,0.013247537678696889,-0.09966080733337089,-0.06840088294070054,-2.0559575234180666e-05,-0.024978394628570297,-0.04376440550791931,2.264905242806962e-05,0.00023662108720066938,-0.09779457767612487,-0.10980883871620817,-0.024595359477862615,0.04087805184514406,0.0337062681459588,0.025604116883834602,0.0032031723392191066,0.034220616231350254,1
TCGA-DD-A4NB,0.0271114888381924,-0.0019541416523192546,-0.006087853921619393,0.01719362856754604,0.05758250629046712,0.0016503559557914773,-0.14905280725056183,0.004768126395561671,0.0017468389737929765,0.0009750002014793341,-0.011659947084215005,0.015222485390970939,0.00878233713263508,-0.047837900708906256,-0.06521418159510155,-1.4258382342728327e-05,-0.023890745251852873,-0.02453354423568357,0.0010809212904921257,0.0037928423192202868,-0.13152428697310814,-0.07834242315764968,-0.052009557783541584,0.04294906739167953,0.03289381198352403,0.024328678760177427,0.005665745269658128,0.08042360198407249,1
TCGA-DD-AADJ,0.016941334420823944,-0.012468872294759023,-0.004143106482194514,0.011362552841637364,0.08955573232521706,0.010223050167428046,-0.10959419900844926,0.011464732174663782,0.0,3.779942396166748e-05,-0.01031510333304975,0.006753160365790468,0.014152869294023353,-0.07815608326890676,-0.05351196057173473,-1.0742440059251725e-05,-0.02375576711239845,-0.04709999614947215,6.503955582884948e-05,0.0,-0.048444561856882166,-0.05198125857560152,-0.03710685302698253,0.05015415208458094,0.04857924496926736,0.023453545413809042,0.004522685978550066,0.033284968773593354,1
TCGA-MI-A75G,0.02164445617137906,-0.0046555056139006125,-0.008953080020906558,0.016971309364757794,0.24477864632470137,0.017471865372785427,-0.10774791345432341,0.007899104911888964,2.6967863742428056e-05,3.920684932194233e-06,-0.032965663617802635,0.023617593818524216,0.010009936584124492,-0.10289264924147422,-0.12888894130940604,-4.424828142680218e-05,-0.04599848401279721,-0.03941466097520267,1.1867011848804225e-05,0.0009413867538962784,-0.08125480596151263,-0.07393267817779112,-0.0315751123969133,0.06954036363769531,0.04051584634113065,0.02827911111060139,0.007480460491130366,0.02962742172925908,1
TCGA-CC-5262,0.05518716486282307,-0.02328587910220528,-0.0073850817988525466,0.01893718726857931,0.05947556270277059,0.007197112324536846,-0.1926768633566888,0.010601856267724448,0.0005090062055749944,0.0001588757038388836,-0.035101855726780345,0.015544162388870799,0.02243839001161643,-0.12696261671298534,-0.1583837415996157,-3.545680364098584e-05,-0.05767181902928066,-0.08551083242122248,0.003575123232987314,2.099282265998888e-05,-0.17610672669847816,-0.12197483682454856,-0.04140750117283003,0.08036070856510048,0.0751307438988855,0.0031999470247014022,0.011095121764081152,0.0567323789309638,0
TCGA-DD-AAW1,0.028545286644845437,-0.0010600348239396165,-0.007132848299153901,0.01402544841504569,0.2108190831164551,0.020997074758607064,-0.09313717234328311,0.002257844348660873,0.0,3.882986038615443e-06,-0.015687262678233102,0.020794756500299813,0.010961027417118092,-0.08310915489666977,-0.056850316217267875,-4.073720537470008e-05,-0.036955102841982876,-0.04716011179518684,2.1549298414717528e-05,0.0,-0.08693216630907563,-0.052333107975683704,-0.03558510609293352,0.03101153782542794,0.045357923870954,0.008548027329938767,0.01337227335022968,0.05896170221041518,1
TCGA-DD-A4NP,0.025013722285331857,-0.0007181107653562369,-0.007456905318291082,0.013953179017857623,0.11697404240332403,0.0008731725141608697,-0.07972056257924537,0.004664710571042459,2.3467321603273144e-06,2.1846508828909214e-05,-0.010978509513672104,0.020081980631481967,0.006881563000650197,-0.049248968865246594,-0.07867110387905699,-1.627851719399836e-05,-0.02137938870347138,-0.030557150077569182,2.126744076601135e-06,3.517340485415355e-05,-0.049728368802497716,-0.01973873243814064,-0.031913582502628476,0.033906937785776976,0.02689295384463541,0.004649008975273747,0.024433916260480606,0.04844892862042554,1
TCGA-DD-AACL,0.062381374596648116,-0.07565309790788666,-0.013640780638076324,0.018931525957049153,0.005147664906599899,0.003861812968542912,-0.24834195524187977,0.009560873391954166,0.0005683883072819436,0.002200371321513277,-0.03203052966704372,0.012212474459204389,0.023386306711808885,-0.104380202495899,-0.18298769071694915,-6.740004404494484e-05,-0.048732350212540895,-0.0634341155291907,0.00017280887902899314,0.007614648245863295,-0.08861732157811114,-0.04842993033916396,-0.04944510110113579,0.07802551606386852,0.09260342092284628,0.0025401340791282923,0.005302876691767011,0.020060727040716365,0
