,SMG5,SEC14L2,ARCN1,LDHD,KIAA2013,CDC20,DRAP1,HSPD1,PSMA7,HSPA8,MMP12,HMGA1,CKS2,RPN2,SPP2,G6PD,ADH1A,S100A16,PPIA,GSR,SEC61A1,DSG2,ATF4,class
TCGA-DD-A4NH,-0.073846809591791,0.0007448777154623546,0.04887486193337932,0.004851033666617561,-0.0004476594562408415,-0.00730174613936711,-0.02176058662470967,-0.09861882609553592,-0.02695777410492899,-0.1108694876654726,0.036670285508507754,0.0024716023328910674,-0.10121023579536975,0.34523733156934583,3.232542619907064e-06,-0.0016327211269989259,0.0008981503339748197,0.0642209056740678,-0.07890582407877904,-0.02359990046985071,-0.5184519358640514,0.012049138548787284,-0.04522762207692892,1
TCGA-DD-A3A2,-0.011779096263277167,0.02288048291824678,0.012554956084747737,0.0839613833050531,-0.0007706142290185652,-0.0002004455672993006,-0.011550888025758418,-0.052506682983074746,-0.01961655366529751,-0.03996380436183775,0.0,0.00018510454420253157,-0.009682176178472437,0.06692171721856639,0.005869934515900646,-0.00019295774509775097,0.022764571378324036,0.005543649911514567,-0.06885128783768704,-0.005909478043858647,-0.08148065571447705,0.00013690225548563923,-0.005958444944020055,1
TCGA-DD-AAE9,-0.07014175129671836,0.016696989812159835,0.021142979156936532,0.05038785965350935,-0.0007583450552053716,-0.005677823848043871,-0.028192086963171235,-0.0895275822618668,-0.03308697690744697,-0.04503970519888317,0.0,0.0019354215863606101,-0.036084286295884484,0.13695821906337535,0.0008121852383277379,-0.0013644998776103424,0.00016896412277322647,0.001508254840962419,-0.11683506296941282,-0.011930439416038273,-0.18061840352042538,0.0001355716167407321,-0.017464331362742686,1
TCGA-EP-A2KA,-0.06706401546893062,0.0006813791269127206,0.021513647733390106,0.03809473508341222,-0.0005229893109264585,-0.015293370392538825,-0.05979474543746741,-0.14239624021731503,-0.069449674628472,-0.12190235529994096,0.002306024454153814,0.0038470595594853694,-0.05011518451254681,0.1395408227628504,9.132155528139655e-06,-0.013486972645372792,0.010784532548839529,0.04140588990904114,-0.09328004982169322,-0.013205969090160209,-0.1909638340538426,0.0027079777919192098,-0.02347412390759439,0
TCGA-DD-A3A3,-0.049001840979903455,0.0014240305199106826,0.00993039933882948,0.02213512226634039,-0.0005488855805924754,-0.005806869146754929,-0.026381640974045207,-0.07555724539136688,-0.03309399757959769,-0.08552627786406544,0.001253786205022344,0.002376913808103947,-0.02641383114406095,0.1611856996944736,0.00010047819976877792,-0.0007299561545939789,0.010740689803671257,0.014554441121891885,-0.10225785926843664,-0.006249263586449314,-0.1514253165123712,0.001024668601198402,-0.022293566461557012,0
TCGA-2Y-A9GZ,-0.0417588063737277,0.0293831559940425,0.025094327279381115,0.07138851242460853,-0.0007466830292272047,-0.004903467408156201,-0.01500419498898205,-0.053241842846235586,-0.02770831516082863,-0.06196891009178711,0.00010806771207296181,0.00034844732743801056,-0.015057206790641669,0.13210671879771188,0.007316902519271058,-0.0007672702434713604,0.006632274750878774,0.016048078144903784,-0.03851060042102759,-0.0099054793059322,-0.1434701920280772,0.0043029786305501215,-0.010371889326234781,1
TCGA-DD-A1ED,-0.01668634921443545,0.01116106615332449,0.0198161197241215,0.054843434630012074,-0.0004994900783223843,-0.0002442930351460226,-0.012565912888850212,-0.05964653871130961,-0.025045202597628994,-0.05346606519900823,0.0011030936430481582,0.0003294732011233194,-0.011394054235689606,0.08466985273525705,0.0029812435989755976,-0.00037755413917615557,0.033300820759035156,0.010769600146506865,-0.029461049341892982,-0.008853877351627402,-0.08223943646465032,0.0007936236545105823,-0.011422443585281947,1
TCGA-G3-A25Y,-0.07736801650230524,0.0011001351715661538,0.040939668810631616,0.004113815373636568,-0.0006212841516444686,-0.01541602479583979,-0.038651947693963525,-0.11916598377496083,-0.04454689806654067,-0.12799174867805252,0.00022791246273715663,0.00956002961110626,-0.07216027941253625,0.2941066841409922,0.010434718817668706,-0.0023532721798357296,0.004364978883704429,0.06128952037748628,-0.12207327290460152,-0.03501305591687526,-0.22915171132869744,0.0045934673042460055,-0.0361754305051954,0
TCGA-DD-A73D,-0.03702757092656077,0.010267840690048444,0.023712001971268243,0.053213659704302974,-0.0003344329134796906,-0.001110915382278725,-0.01671525674416457,-0.07462548080525463,-0.036238946673248285,-0.03020824068515658,3.693707558159438e-05,0.0011818520309937403,-0.018012066551258258,0.08966596489606068,0.010811508170830835,-0.0004932856747912871,0.039421174160246916,0.003631792545008728,-0.07874915695058152,-0.009417060372283388,-0.06366739936828587,6.376830292901177e-05,-0.02195385480600068,1
TCGA-2Y-A9GT,-0.03581950086004983,0.021183624185774193,0.028594972629850335,0.039571612536976414,-0.000730843869667196,-0.0018679190597946226,-0.01757126220288694,-0.04316072489211212,-0.025434335052703073,-0.06442980265809509,0.0002156001042099585,0.0007038964273403694,-0.018376745286051543,0.11389953204046706,0.0028284391721143296,-0.0007893932210666458,0.008076278655146714,0.011845486375544789,-0.03505241281638044,-0.013807627777932917,-0.18818108632992472,0.0020713950985143037,-0.010422751840547811,1
TCGA-DD-A114,-0.06426260753770792,0.0015613434520312978,0.06822418357324579,0.01676471774023938,-0.0012081926374251358,-0.06542190336068243,-0.04196605190882882,-0.07124727128939536,-0.04182481185727497,-0.1371509343739863,0.007162580743213519,0.0067119074892529,-0.09311426836480807,0.3026070262532419,0.0006295888794144061,-0.021084252744161546,0.0027246945880442046,0.06288948565363785,-0.09224267384809652,-0.07337677574374486,-0.36936599900367173,0.017827258174100146,-0.020462857892522397,1
TCGA-WX-AA46,-0.009799266556525946,0.011768713905205274,0.028035039514497033,0.07521434355974022,-0.0005005487787587302,-0.0005719216534872147,-0.012948980887700252,-0.0723633288504574,-0.02505147439808364,-0.09232001563908682,2.9375681486086837e-05,0.00032012038335333624,-0.012165319904332162,0.062401314124212834,0.012242264483183225,-0.0002858742509979497,0.019971626329137418,0.010148262565928677,-0.05385514512666537,-0.011315458404250989,-0.08200428739901716,0.001657361735195118,-0.018007946353117716,1
TCGA-NI-A8LF,-0.022925790277339198,0.010884158654259502,0.016719966925594226,0.02919636154676212,-0.0004891620366555845,-0.001446077638917906,-0.01702537815061862,-0.037538184317395654,-0.01741310791004622,-0.024847485189336056,1.4587468255049955e-05,0.0009109868639392891,-0.013481281584979484,0.09091040516965151,0.0023042708096974846,-0.0005619463211536806,0.01714517528962012,0.016225493724053047,-0.040838723469184594,-0.006997500978491847,-0.0973593859823292,0.0022045869190381825,-0.010361296945205238,1
TCGA-EP-A2KB,-0.05302502826862948,0.0014746689849082348,0.021291920344776182,0.01473006390101315,-0.0003551151106986675,-0.010949466085156283,-0.029773483893215724,-0.0915835962724974,-0.02281640441516676,-0.0529897795422207,8.986683425014719e-05,0.0010616732255244738,-0.057665460749595804,0.11962186134177058,0.005081405612200411,-0.000944707868902265,0.030288664664700864,0.017569566868389456,-0.05333568752347476,-0.015485511521360745,-0.08560343717326026,0.0025786243523902553,-0.013735853001533712,0
