,APEX1,CD63,CKS2,FAM50A,HDGF,HSPA8,HTATIP2,MMP12,PAEP,PPIA,PRDX1,PSMA7,RAB10,RAMP3,RPN2,SEC61A1,SPP2,VASP,class
GSM3212484,-0.084443517,0.014863195,-0.64150249,-0.018938246,-0.012585244,-0.020384305,-0.0798491,0.025285376,0.006149701,-0.079705981,-0.008496055,-0.049158971,-0.045490827,0.14404658,0.062596046,-0.059959456,0.000108343,0.032806093,1
GSM3212488,-0.090412797,0.014959056,-0.513158311,-0.020613395,-0.01199482,-0.022715104,-0.093353029,0.028834296,0.005355937,-0.081829829,-0.007947686,-0.048580081,-0.049444851,0.126982525,0.059172767,-0.05695062,0.000184652,0.032719092,1
GSM3212489,-0.101124623,0.01520926,-0.505404759,-0.018042315,-0.012041553,-0.021995021,-0.07827111,0.014987453,0.004836486,-0.080529188,-0.007716162,-0.04906689,-0.046756301,0.187410092,0.059910941,-0.053393219,0.000184018,0.033635136,1
GSM3212490,-0.094981372,0.016967396,-0.513686512,-0.018778451,-0.012054376,-0.021578798,-0.081098254,0.023479431,0.016400342,-0.083765439,-0.007210834,-0.046680259,-0.053458269,0.184126725,0.05982549,-0.062460741,5.38E-05,0.042813492,1
GSM3212491,-0.094502107,0.015814666,-0.615997839,-0.021692379,-0.012242746,-0.022369134,-0.094719232,0.061507889,0.005240879,-0.083176252,-0.008396281,-0.048632772,-0.046924417,0.087123311,0.062149934,-0.057808389,0.000245565,0.037145508,1
GSM3212492,-0.090020382,0.014626777,-0.514290873,-0.015562312,-0.012100982,-0.021438112,-0.077849658,0.017662836,0.005247236,-0.080139312,-0.008349814,-0.046196705,-0.046280924,0.1942989,0.059078851,-0.05501923,0.000242383,0.034300884,1
GSM3212493,-0.089797991,0.015022188,-0.510855338,-0.02089614,-0.012752544,-0.022269527,-0.083775671,0.019702908,0.005253975,-0.08079922,-0.00862397,-0.050877986,-0.04939871,0.167988,0.056767113,-0.05869617,0.000247152,0.035840867,1
GSM3212494,-0.097263398,0.014818333,-0.602856943,-0.018041632,-0.011568488,-0.022087879,-0.080533021,0.016828745,0.005325922,-0.08179944,-0.008406916,-0.052399086,-0.049407005,0.176603166,0.061114713,-0.053172217,0.000232482,0.029470589,1
GSM3212495,-0.09686839,0.015840402,-0.515540863,-0.019570724,-0.011690577,-0.020918503,-0.085398697,0.022120095,0.00424283,-0.081237797,-0.008121533,-0.050652152,-0.048220043,0.170903642,0.065769987,-0.055221784,0.000170375,0.032736847,1
GSM3212498,-0.099135382,0.014529681,-0.269844366,-0.015860559,-0.012854735,-0.022663579,-0.081232062,0.040175771,0.005407967,-0.081578269,-0.007874722,-0.050984964,-0.051406894,0.14570258,0.065504207,-0.054318255,0.000286116,0.036913024,1
