,AGR2,ARCN1,CA9,DAD1,DAP,DDOST,EIF3D,FAM50A,GPLD1,HDGF,HSPA8,HSPD1,HTATIP2,ILF2,KIAA2013,LSM10,NUDC,PAEP,PCNA,PON1,PTTG1,RAMP3,S100A16,SEC61A1,SLC17A2,SLC25A15,SPP1,class
GSM3212498,0.02619419,0.02141431,0.005457314,-0.064184779,0.012193653,0.025708575,0.016283507,-3.85E-05,0.026145611,-0.038194241,-0.027663663,-0.029205428,-0.084433436,0.074584445,-0.00679043,-0.395326701,-0.018969916,0.006332555,-0.113946189,0.012245181,-0.16555039,0.208852994,0.009523222,-0.046784089,0.043833376,0.036074044,3.41E-05,1
GSM3212501,0.054129565,0.021785303,0.010461286,-0.063163989,0.013471948,0.028352978,0.014083637,-4.79E-05,0.042955209,-0.035854056,-0.025661486,-0.024823243,-0.079341709,0.060284196,-0.006875027,-0.474208559,-0.022598999,0.005780405,-0.107311317,0.018333835,-0.152590272,0.168373917,0.009979925,-0.052720452,0.045022686,0.033042381,2.86E-05,1
GSM3212502,0.016144619,0.021473584,0.005764366,-0.063700529,0.014018684,0.025880643,0.014314304,-5.50E-05,0.021412151,-0.036586377,-0.025597933,-0.02330165,-0.083354724,0.068029473,-0.00595674,-0.410353855,-0.021303846,0.005337954,-0.104659485,0.030808394,-0.123061137,0.215857833,0.009785032,-0.046746767,0.047091959,0.035273689,3.10E-05,1
GSM3212503,0.036249981,0.01989724,0.004880105,-0.064158237,0.014494374,0.026011111,0.015481608,-4.36E-05,0.047471502,-0.037527115,-0.025545869,-0.024906954,-0.068246993,0.069415394,-0.006604657,-0.443306804,-0.019865457,0.006577065,-0.098957448,0.00967962,-0.1475148,0.195291694,0.007330328,-0.046950062,0.017207012,0.040206001,5.01E-05,1
GSM3212504,0.019021936,0.021050711,0.004486491,-0.061362513,0.011823053,0.028398339,0.014290096,-4.43E-05,0.041203676,-0.03138155,-0.026618198,-0.026896437,-0.09319845,0.060592105,-0.007431836,-0.498389052,-0.020726991,0.006563154,-0.097459408,0.018135002,-0.147570588,0.233067567,0.009672469,-0.050130678,0.018113408,0.041712683,4.66E-05,1
GSM3212505,0.014118621,0.021645782,0.004624436,-0.058431708,0.012530215,0.02189502,0.01470562,-3.72E-05,0.03363895,-0.035122476,-0.027075778,-0.02469104,-0.080435149,0.061618467,-0.006849856,-0.39908553,-0.017467268,0.006163267,-0.103169346,0.024181971,-0.141931042,0.310094611,0.00936222,-0.047901162,0.04171659,0.03530525,3.04E-05,1
GSM3212506,0.015134583,0.021387329,0.004663532,-0.058915678,0.012081252,0.027768588,0.01370587,-4.08E-05,0.049233149,-0.035750947,-0.025282718,-0.02310444,-0.080716122,0.058055712,-0.006917297,-0.441300918,-0.021099144,0.005874749,-0.099299059,0.018358747,-0.126990677,0.31597027,0.009583229,-0.047379032,0.042423316,0.044561074,3.16E-05,1
GSM3212507,0.019301828,0.021461659,0.008554255,-0.062046262,0.012847596,0.02861018,0.015313506,-5.17E-05,0.025492588,-0.036533503,-0.026556813,-0.025895875,-0.084713317,0.069452835,-0.0064089,-0.478707002,-0.021123782,0.005275818,-0.107313493,0.010410386,-0.16410063,0.186768855,0.00913198,-0.050071584,0.041720597,0.028450065,6.88E-05,1
GSM3212508,0.027327428,0.021255187,0.004673856,-0.059789847,0.012740044,0.026890675,0.014820448,-5.04E-05,0.044485365,-0.034888728,-0.025930131,-0.02403312,-0.08693498,0.061244403,-0.005931733,-0.466858157,-0.020268733,0.008416496,-0.101595848,0.01961537,-0.144771648,0.272711662,0.009289102,-0.049559629,0.045539138,0.036029841,2.99E-05,1
GSM3212509,0.015545734,0.022006164,0.004934864,-0.063995404,0.012313139,0.027472012,0.013581207,-4.36E-05,0.041365478,-0.038836431,-0.025563203,-0.022209395,-0.086228972,0.068920044,-0.008372944,-0.437206112,-0.020318447,0.005980946,-0.111620734,0.023880779,-0.173338712,0.171568628,0.009949065,-0.052237518,0.034779451,0.040094104,4.25E-05,1
GSM3212510,0.016660199,0.021222361,0.005055565,-0.060219043,0.013607409,0.026742104,0.01524645,-4.58E-05,0.031784168,-0.037878988,-0.022893683,-0.024846627,-0.080043301,0.063120588,-0.006008069,-0.401042172,-0.020107867,0.005577743,-0.103835029,0.025162494,-0.14472833,0.234441731,0.00885054,-0.051342253,0.036636779,0.03700871,2.87E-05,1
GSM3212511,0.014767239,0.019544114,0.005495517,-0.065900508,0.013312241,0.025217717,0.015363926,-4.36E-05,0.032949037,-0.035270824,-0.028019893,-0.026472463,-0.096031317,0.069310898,-0.006158555,-0.458981195,-0.018740525,0.006240298,-0.107239454,0.019071974,-0.142115005,0.271000494,0.008378373,-0.040733952,0.035270604,0.033720497,5.51E-05,1
