,LAMC2,ATP5F1B,PSMB7,SELENOK,PERP,FUCA1,PLAUR,TK1,CCT7,PTGES,BEX4,PCNA,HSPD1,C16orf89,COL5A1,TPI1,PRPF19,GPI,SLC6A14,EIF5A,PFDN2,MDFI,KLF4,AMBP,CDC42EP5,AGRN,SEMA4B,TOMM22,S100A16,IGFBP1,GTF3C6,C4BPA,HSP90AA1,PLP2,SPRR2D,GJB2,ANGPTL4,MAOB,GAPDH,TSKU,SMS,CCL20,TM4SF1,S100A11,GHITM,PTTG1,TCN1,PTTG1IP,class
TCGA-MP-A4TI,-0.09019578383522192,0.009165864448454936,-0.063143674980686,0.03418410758423211,-0.011637082855119909,0.02718382626289193,0.003984659681487442,0.004335313927356798,0.14702010905067692,-0.001814697896148647,0.02346827781473129,0.03543990904549949,-0.0023865912858670227,0.0008861035564147907,-0.01998107492004606,0.3016637509401141,-0.05877170046698972,-0.05054374680358695,-0.0012511337883308635,-0.008415060598196739,0.007632235597377404,0.005994029834916811,-0.00045752566750344344,-7.220763037922818e-06,-0.0289190808531151,0.007531617885792081,-0.03431841657668647,-0.04171505690073809,-0.11234949112183652,-0.00026200530792451867,-0.15768820120699353,-0.00923214002582507,-0.059068916182947406,0.0016135911726635139,0.00012138929932705237,0.05614983828852832,-0.05617538785634893,0.0032357586140268624,-0.33353932369243766,-0.015583830218940133,-0.0012499579423554206,-0.0014204512382896956,-0.029126731992381638,0.11827338121497029,0.006146429536652023,-0.08058202334653027,-0.0010109435799223636,0.01308935881110531,0
TCGA-55-6712,-0.06558330625467845,0.006629699805664004,-0.03639035995094637,0.028359762544099623,-0.022986985762728864,0.09791401053048326,0.0015988375548424323,0.005498599915419531,0.11693590185988285,-0.007917690755284933,0.01132515817857982,0.027260788561741002,-0.003273309020658268,0.003006635543123957,-0.006483720151300959,0.18021989458953672,-0.04941215300840866,-0.039544019194441386,-0.011470154217042844,-0.006293403018466147,0.003647894700073688,0.0019946223419095117,-0.0004877965049915245,-0.0,-0.03519201479181067,0.005622535205742795,-0.015262129913426629,-0.028482822712164676,-0.04390130297405541,-0.00011160670763899298,-0.08642355291785922,-0.0009928736184714178,-0.039423463353787436,0.003157792584414442,6.0160341447622035e-05,0.005037429352824611,-0.009926091849503722,0.002240067968809179,-0.3029432892511398,-0.015250361975955216,-0.003379197742037678,-0.00015603386780070825,-0.07745860003342107,0.060193020892818784,0.007566718550669823,-0.03558983225298057,-0.05492542755968302,0.020542935236954007,0
TCGA-50-5941,-0.018139464898060394,0.007002568115209084,-0.05145988725019144,0.04386597151671518,-0.007293353340608455,0.0376316034771788,0.001689022289684001,0.004003114319354425,0.11188076208718496,-0.004382507623341626,0.028232778361889994,0.039791658627264,-0.0023049619451990426,0.004182370152241846,-0.009586906607261398,0.19827114801822196,-0.05620980968439237,-0.0511118498561943,-0.011924802178254966,-0.005368760385957895,0.007630054142500695,0.002632615390205096,-0.00015441491278241217,-6.35109123894544e-05,-0.0185420674085113,0.004951092707701471,-0.013793764628800883,-0.023826563975964464,-0.0765259741659178,-0.0,-0.1320481333090662,-0.00701970168656823,-0.07624536522049297,0.0009185370675224458,0.0015768172428181106,0.0030181654922762187,-0.001989025367397498,0.003757300555917726,-0.23751373153692398,-0.004985950903336908,-0.0007456325657318706,-0.0014704110381887625,-0.06464289383428191,0.07800485931076863,0.006395030683619466,-0.041407492315684226,-0.00011983808155780436,0.013014242774882166,1
TCGA-64-1678,-0.0004978628593701763,0.0069993770209190315,-0.07154801226854896,0.10543987414924637,-0.004357932444804135,0.005936649610499581,0.0001713185214077668,0.0014661202692439047,0.22042826282147931,-0.0008382170461737562,0.021388740793619097,0.05425428689344066,-0.004171971532021266,0.0006292936889910076,-0.000531491619049765,0.2592432424591012,-0.03954057902465812,-0.02464933710943574,-0.0034968609855278894,-0.010395378878793406,0.007611411621202132,0.009046529710005946,-3.4032979054297855e-05,-0.0036803466763474938,-0.030911396167466486,0.00041612231197042725,-0.013929477873300521,-0.057352998923335174,-0.0015628428120838045,-0.00016614580423114785,-0.06890029711308325,-0.0009290732923848143,-0.06443983712003251,0.0014778443731196737,3.731866521771945e-05,0.0008473861267521505,-0.009742773799939257,0.00013317303384053868,-0.14305924189266717,-0.0074372542529182505,-0.0009289413766935306,-0.004527665192511415,-0.023037643752506623,0.032421713830191386,0.017905693240087586,-0.12745108040225925,-0.00041226635942884937,0.004735870749424389,1
TCGA-4B-A93V,-0.0006990348259577272,0.00465621631675151,-0.07188805539558425,0.033451690275888735,-0.00515267447486747,0.008489087921870907,0.0009348540543131883,0.0007492332743437805,0.06567030775851698,-0.004063996104617564,0.011258828685316559,0.03959769929612721,-0.005191310058594437,0.004039373518331627,-0.001945983925012328,0.11568432417233475,-0.04563848931414513,-0.07763537568487086,-0.0010697761420276526,-0.007693653564527708,0.01247206901017948,0.007159319678183048,-5.3093250338196355e-05,-0.0014754004494381154,-0.37594632688858,0.0012271779151720255,-0.016036501220401553,-0.0194533095909752,-0.0016924663198474407,-5.4443077055901075e-05,-0.12006521328977704,-0.009813510173423124,-0.02723657799684375,0.0015703991449192273,0.0,0.00042798210821051253,-0.06175208318430387,0.0013562135674561058,-0.14390435949734506,-0.006338383411748016,-0.0009471136275058866,-0.02101308781501927,-0.048168444469932827,0.04560304503809405,0.00555227522839465,-0.022609810353442665,-0.00015922963051640928,0.00300357471231669,0
TCGA-62-A46V,-0.0029233287780353824,0.008350365097541683,-0.03507513803076226,0.06884680790132412,-0.005192613335050957,0.024057052305956107,0.0012845795601764294,0.003203178091428712,0.12408039515703921,-0.001092287370884103,0.02806079514835941,0.018304737065212084,-0.0026685237950241523,0.012293078995037919,-0.010503080968022814,0.12165271776563293,-0.048889943825395486,-0.07108617009460856,-0.008510635000092063,-0.0069971977222232,0.008204051171914896,0.001118108037573298,-4.375166153394617e-05,-3.1149988486578394e-05,-0.01047586768780831,0.0036311369370400693,-0.011845557908295822,-0.0379035531421146,-0.07455009937465258,-1.5683190921452986e-05,-0.11270071284958527,-0.02378467104169477,-0.058560189568652415,0.0018989141944043455,0.00010223250734476464,0.006464005634351879,-0.003830349697893457,0.004823923737027734,-0.14047690002354796,-0.0027185241042548963,-0.001009635871656592,-0.000812739749614068,-0.04647566436899544,0.08308080583248999,0.007336537437704531,-0.03054724457323394,-0.005195844405876363,0.007136348608717717,1
TCGA-05-4250,-0.06724946300264871,0.008951277180258337,-0.04864895708678422,0.05258317633747495,-0.018828747618842165,0.031179538810045336,0.007473765247255764,0.01348829951970387,0.20138038163817765,-0.0006113445250693007,0.016028677678065557,0.07491970516529507,-0.005933078271426281,0.000590403613809887,-0.012822805579553101,0.1952349268858882,-0.06051385066490342,-0.07542116776997958,-0.01978478137657855,-0.011730718824342267,0.010032867693874658,0.004035555746986651,-0.001124457059887662,-8.549937939313467e-06,-0.021369279606361258,0.00283670795266536,-0.08115106312053187,-0.042304117039587204,-0.10252887815892403,-0.04792613511081984,-0.11601524765759735,-0.0010328998890170834,-0.11194183097953261,0.0051829343245253625,0.003212661725177702,0.019254552247465896,-0.025596171056136742,0.001258595295160708,-0.18486300712846399,-0.012816521047388875,-0.003023372410674618,-0.0005306800741774694,-0.11065234384600632,0.1179057099430996,0.01020844734664534,-0.05059235949585931,-0.025593499840410247,0.01675784261640563,0
TCGA-NJ-A4YG,-0.01670600078586505,0.004093727694861488,-0.0424632308939952,0.03754983263068857,-0.011428024529230437,0.028054926342105605,0.0025133528713824787,0.0011511133188710388,0.10694180929610474,-0.0028503397804628483,0.023083935007435188,0.01816843841155134,-0.002288464001522777,0.014054050802919797,-0.0071900351603345685,0.10977269665762818,-0.04187614375395966,-0.04109363704312096,-0.005438557656778699,-0.007611871317660682,0.009289480007291935,0.0030316642503763285,-0.0001263263812583698,-0.0002885288069687443,-0.020267418792813297,0.001799479840432483,-0.01927314224973577,-0.028994054683099277,-0.1301792524386047,-1.529911277643781e-05,-0.12603855825909052,-0.006988125821240353,-0.042683481681945,0.001456976675492099,0.014859240455243188,0.01741478260730062,-0.003890267390454046,0.0017971083428112266,-0.08542514972477003,-0.011442987351698903,-0.0007485588918056937,-0.0002357483085897424,-0.07008262373927475,0.13766467109485356,0.004518325987586458,-0.02240797316759376,-0.0007131356835053097,0.00907543013389595,1
TCGA-64-1679,-0.14086455627636457,0.007883088974312745,-0.04374017778523712,0.03072276177722616,-0.038154999663785265,0.05852885907764761,0.0035872970163746774,0.0031935100646558853,0.10754786726751166,-0.005755183095929567,0.03440992614065612,0.02952644439816472,-0.002157670507267563,0.000812792684622676,-0.043766144635615734,0.25036427268414446,-0.05360004575862337,-0.09043589946544281,-0.0054213637760540875,-0.006247661120910616,0.005776709287027854,0.0032519869876379516,-0.00016077053534065277,-8.647791306287011e-06,-0.022975182113457795,0.011013533022735224,-0.04395757599436094,-0.021139218580575013,-0.051655716391495896,-0.00027442383461334267,-0.0923797781787279,-0.0056852049222050165,-0.08060085435924357,0.0015206780289547927,1.100859168974938e-05,0.07246896210213714,-0.022372651526239556,0.00486044209553953,-0.278422319223773,-0.013721641298951818,-0.0019843075311709725,-0.0022624629254130637,-0.04842537215798919,0.09901934192631864,0.006132657654372424,-0.04753586731416312,-0.00030253275875845,0.014700383738969541,1
TCGA-38-7271,-0.004603781659799475,0.004438883246197041,-0.031198389209384603,0.03436948194398257,-0.0050044300136846825,0.03793877508006844,0.0008862426513272506,0.0012981379695785375,0.08528958053523672,-0.004441784887610876,0.029207072253682916,0.019020762194466925,-0.0014345190187425173,0.0033021047969314238,-0.004274708109625373,0.0784570579192756,-0.03982419168539117,-0.02530253598644024,-0.0076716864068292895,-0.004707229179757788,0.0051469987232530354,0.002307803549906118,-0.0006474214671258658,-6.073024587795617e-05,-0.017834953044813917,0.0017730702056472567,-0.008831229555689877,-0.024780557003474563,-0.01634475706761558,-5.3290842620855556e-05,-0.065956822032293,-0.01161911119598539,-0.039542073180492125,0.00046846450627209356,0.0026897628321252256,0.00586747482519237,-0.005853651125227362,0.008401680613240186,-0.06333953723869008,-0.004310877477731811,-0.0005868402805106154,-0.0002898110872244812,-0.028865286934298014,0.056689207807686125,0.004947124349385264,-0.009659690259215703,-0.0007204441784378812,0.00546644028789887,0
TCGA-86-8076,-0.009074978207801319,0.0064181338086702405,-0.039895985993481486,0.04155375116811713,-0.007413698402286085,0.028845731107871718,0.0015261836081543964,0.0005627685332391897,0.0988955302524592,-0.007339280811077834,0.024909464702726276,0.01598486297981835,-0.002634271514982738,0.0045531580308916485,-0.005448386096642809,0.10793139473783298,-0.03942582266845554,-0.033560471972344734,-0.007076475771026222,-0.006182764584009772,0.00683624878056622,0.001776053528877444,-0.00020531046557798217,-4.445396917135657e-05,-0.09659352712518024,0.0031315479165661122,-0.01937646995862576,-0.020548817936300822,-0.028571722120675314,-8.769784311179833e-06,-0.09022341155364322,-0.024322323990791737,-0.05744486061226393,0.0011026506358573249,0.0002834827512743203,0.002397130247754369,-0.005846488475297904,0.004416361550621183,-0.16440954108995007,-0.0031816348236757977,-0.0006643874532547585,-0.0023112521696140127,-0.012122353397124029,0.05131633822098742,0.007543913467872812,-0.010351125533788284,-0.0007956526614001771,0.005156763843079579,1
TCGA-73-7499,-0.0022519869467331256,0.0058106410813238835,-0.11005255459014303,0.07092587843347642,-0.009502211776766047,0.041731687923541844,0.0006644958183561518,0.004983162701736875,0.11934903820496016,-0.0037840729226334855,0.06489115595693216,0.06372756327300103,-0.0017769453281981553,0.0058066753254135085,-0.0018869164299968892,0.0863811844981601,-0.043196519473203465,-0.021474004107007505,-0.0023823423583487534,-0.008267594252165037,0.012619030469659679,0.0007554935324968768,-7.089361097484633e-05,-0.0009358940650767248,-0.008322052127291413,0.0011622313124550624,-0.008488427386240676,-0.0429241139408934,-0.0887502881125868,-4.6025364377651825e-05,-0.14250238280406247,-0.007889696800895376,-0.11304483883722105,0.0016312484552714617,6.204423851921512e-06,0.012548515351919105,-0.0007988480572010834,0.0013891135210318917,-0.06984894109796175,-0.007064820125972109,-0.0008847252920363197,-0.00020975875406897994,-0.059229016348119785,0.21465020197142873,0.008599434319687977,-0.07962155977064536,-0.0076777597358594065,0.015359378993909814,1
TCGA-95-8039,-0.018556231785571045,0.005961566413371347,-0.06751668595358779,0.029195344106154923,-0.013796131945041775,0.06574388933282896,0.001128283429256024,0.004315710283809129,0.12708217004975791,-0.005310645124599451,0.05863676259513241,0.03745516406673958,-0.002118259981402669,0.011689437393313566,-0.0067129865032012825,0.1458418090602136,-0.0383378899228669,-0.03734942076964652,-0.019286626777887405,-0.004704296916686204,0.006289161849234889,0.005069686887583141,-0.00017780131704791882,-7.805436905589748e-05,-0.009826130932327495,0.007892684810258722,-0.025140534287864662,-0.033724435483979985,-0.050633938402522685,-0.0,-0.1038953699707499,-0.009072800192927728,-0.035399546532085185,0.0015964296378632482,0.0005769192961225103,0.01273551155753235,-0.039364844708892906,0.008425475558743293,-0.10906902929542876,-0.012516807389947093,-0.001171981887261898,-0.003098352324658302,-0.08655210218238903,0.06458380327112502,0.007002408035791146,-0.02657962679441591,-0.003356121039823135,0.010701866598559871,1
TCGA-MP-A5C7,-0.002028621385344667,0.006258118992082483,-0.04624457941092583,0.06084993683041608,-0.004486716689481253,0.04876549333743013,0.0006750669228064455,0.0008133317834266179,0.10005837739604179,-0.001374933654083912,0.026268671318148695,0.021207403539088104,-0.002281719685568851,0.04889360335218002,-0.0021835726543971007,0.08962309839270644,-0.05140253296246182,-0.01908107415505719,-0.0005667141482099406,-0.005726381627861048,0.010051219354522994,0.00039926032621309383,-0.00015078250023572008,-0.011241394797920813,-0.005157375298812107,0.003933301389386434,-0.01642066507391284,-0.02743678164546625,-0.02882958640228114,-2.2820643116318326e-05,-0.06862566513900854,-0.020136158427756623,-0.047693981604478596,0.000738238666803914,0.0,0.003717356664892258,-0.00106749648880189,0.0026840108570180036,-0.06925347343228433,-0.02133783508281542,-0.0007361905990751155,-0.003753565848519765,-0.07237238608164574,0.04426167698165603,0.017779847997802578,-0.006542690895007948,-0.00017954476897304828,0.009481445059055993,1
TCGA-50-5933,-0.07371513162285222,0.008898720884138447,-0.05236721609925404,0.04647266748728307,-0.009045857313431696,0.026144270138491778,0.00533782544079728,0.006813534509424593,0.16887136766328184,-0.001738301623626848,0.017067722833275425,0.029637731657211314,-0.0039153799608418385,0.0017594964135949722,-0.025187247754205135,0.19674736309146743,-0.057976207794149706,-0.06067103415441138,-0.0004050700720606282,-0.013891672479528584,0.015180129838093939,0.007405578103520015,-0.00029610978526057875,-1.2994111689361953e-05,-0.030344804259952257,0.002411199355337671,-0.03175621070152858,-0.03008525238352859,-0.08304231050238776,-5.892398874774479e-05,-0.1061782631852242,-5.711372714839674e-06,-0.06558427467209987,0.0024638046357031477,0.015465486823871406,0.05526531118571882,-0.04493261125405908,0.0024568576210622943,-0.19165544905812953,-0.012899462975895731,-0.0018346912680928832,-0.00024152868157323348,-0.06583607820907214,0.11997133270899038,0.018468908907299415,-0.03548631923871296,-0.0001069730069428422,0.01590268713146164,1
TCGA-MP-A4T8,-0.010544286416742649,0.008835239631855367,-0.06270746550144785,0.0252034392800591,-0.0149008777012957,0.030843167091921402,0.001714050275326381,0.002130091341245427,0.1697886181787246,-0.07057181638762527,0.00546001767248694,0.021065528868420193,-0.0046723233871270925,0.0013026261229169237,-0.020349059443978416,0.13685856588673548,-0.04344438294668668,-0.03674142254753268,-0.004451979260001887,-0.008686061710755047,0.009478671140423136,0.02091458862067274,-0.0002963021799929247,-0.0012882151128649725,-0.034819970333858814,0.004576621097774252,-0.028781408002619448,-0.02009304609177609,-0.15996709424143785,-0.00020384947546680423,-0.16269018188180503,-0.000486497900834885,-0.058120422603644264,0.0032889940335770066,2.2892343388307288e-05,0.03020886499214195,-0.05844830272779987,0.0011277230948936105,-0.18734568306657493,-0.01304450163923709,-0.0011984414935153215,-0.006505325078274421,-0.028235032176278093,0.10394942857615053,0.009668656327189279,-0.03172484802356806,-0.0001079462931929425,0.01049003282627353,0
TCGA-55-6971,-0.009934740776678242,0.009069638935331725,-0.0328740365986783,0.04435930200010534,-0.003948199925907268,0.04404139902616638,0.0036982180252266615,0.0014710385734809529,0.09096342604577194,-0.0030271338060389955,0.04748078188813417,0.021632346237116674,-0.002214409201097537,0.003522212330187143,-0.009709024576666527,0.10119510846619953,-0.04277086239837734,-0.038505600466895766,-0.035705067081375136,-0.004360826012243605,0.0029539149084721163,0.001471019983081965,-0.00034320031994958055,-6.443236492845527e-05,-0.017710618928845453,0.0021897846079844407,-0.017891146893542997,-0.013903038873931867,-0.007976461771532217,-0.0,-0.062203544928789,-0.013002877882322454,-0.09515256284277773,0.0008456934973352568,4.375800044042641e-06,0.0073269491567042105,-0.00923030091526029,0.006373839960025675,-0.12433216744573243,-0.004962984619782098,-0.0005209862385452981,-0.009269803542109661,-0.01735080100758894,0.04277073943001359,0.004137256760121899,-0.018822482871352412,-0.0002947287726440094,0.0037420652379805677,1
