,CD79A,PMEPA1,PRR15,ITGB4,FUCA1,SERPINE1,MRPL51,PSMB7,HSP90AA1,TPX2,SPRR1B,MRPL15,RHOV,GFRA3,KLF4,CCT7,HMGA1,FXYD5,PLP2,PYGB,ERRFI1,APOL1,TCN1,AGRN,NME4,TOMM22,LAMB3,NIBAN2,CMAS,NPC2,KLK12,CYP4B1,GOLM1,IER3,C4BPA,MARVELD1,GAPDH,TNNC2,PFN1,EIF6,IGFBP1,PLAUR,CYP24A1,COL6A1,KRT7,PSMD8,GAA,class
TCGA-MP-A4TC,0.003183884113896919,-0.049076653070540564,-0.0019513189539838635,0.04258051110039741,0.028124714621018065,-0.023533832293867563,0.10341028934435446,-0.04909134531199423,-0.027241369210448747,0.002924441081156849,0.0011472647333296666,0.05519046935084199,0.004429035987864967,-0.00013736815081930465,-0.006969970650489259,0.019136199000221937,0.007006543891714014,-0.0632673031435173,-0.006761734904962928,-0.018282462236460947,-0.006312011847071449,-0.08269875247973195,-0.003105680105475948,0.009125153112501668,-0.0021907175762354266,-0.04299839473393616,-0.0005333138281723041,-0.05513906390400121,-0.001968156783755902,0.030013156135043954,7.875676416020599e-06,7.568567408057443e-05,-0.1213618191206834,-0.025774662767197004,-0.0015602231739495678,-0.04896763224358795,-0.11328273369129409,0.0001444883215730125,-0.1122465905255445,0.03188233913606575,-0.0032009473995416415,0.04933703888998158,-0.0030710762848205207,0.022927267135485704,-0.03312463610513375,0.06648562208475785,-0.030105027447757924,0
TCGA-86-7701,0.01874643765779996,-0.03478756761763175,-0.000602925310381625,0.0071064741363579525,0.02494697515774548,-0.004988978606916906,0.11764500810109532,-0.035664440839988994,-0.06238827496153685,0.0021323866766441665,3.8035942570641165e-05,0.03109653968832771,0.000367090264561715,-0.02913167521596386,-0.004109638446648976,0.015257168614916685,0.002107385222765683,-0.017946196010914316,-0.0009617783059831969,-0.0033014947620431953,-0.0029828288351021128,-0.04599279402328403,-0.00010928090151075615,0.0017965148252501112,-0.0012224649375687084,-0.03642599309910832,-0.00016900097925425257,-0.005796253865706909,-0.0014361238454151414,0.013342674926726448,0.008510522024744163,6.358998472435222e-05,-0.03604072465173981,-0.01346370965501001,-0.03169856278759607,-0.009692557725143505,-0.12966629832225082,0.0009181392787583708,-0.04781794794507438,0.010762643602547842,-8.788421685151696e-05,0.005928945731014545,-0.0017214017770236431,0.003115763806969287,-0.01979113013901708,0.03243400068819527,-0.006639003000936667,1
TCGA-L9-A50W,0.0022946996489184865,-0.038721236933431914,-0.0027236804041801,0.02122447497486325,0.056938965774858526,-0.00735349192464637,0.10438975940112195,-0.051401858102758595,-0.023392460702506706,0.0003203561208199346,6.066657966114568e-05,0.023648819145436307,0.0007628911587670967,-0.03266973173776999,-0.003592628344393245,0.012377413263310759,0.0028677658447183907,-0.046404219045072644,-0.0015269599964940863,-0.010951675903048576,-0.010636359027241027,-0.04360672048184894,-0.006015054237481467,0.00616718790540138,-0.004078397360436346,-0.04024918450869576,-0.00027027384799403325,-0.03217550306171896,-0.0017409844820453922,0.14956359575613515,9.220416037170969e-05,0.0006101692754845733,-0.037597181297267725,-0.05917614822197166,-0.04537278969301168,-0.01987122948801223,-0.08335042974377317,0.0015282160151489786,-0.04734702985413821,0.025158846193357974,-0.00017523780119267063,0.006801988724049276,-0.0006537715174169563,0.00547361068189221,-0.011197264155479699,0.052234748876212087,-0.022804351082689505,0
TCGA-78-7158,0.0009237999419785766,-0.024069273482625744,-0.00027531709717941216,0.02069305894330105,0.028732707042514693,-0.0017511657059962851,0.13189420702970228,-0.053943683827952796,-0.04943197224336824,0.0007407693712745103,2.089917809061066e-05,0.04068178094793666,0.0003966677028829831,-0.07747430994224201,-0.001309812860771581,0.022445832044005576,0.008177682885239462,-0.06376665911019318,-0.0021478054071950546,-0.011620991026870591,-0.0035727113782084543,-0.015676602480879626,-0.002088109405493587,0.005151907932376957,-0.0045737027503979155,-0.0703427099111064,-0.0004619461389832382,-0.025881060243051104,-0.001918275489950824,0.14588910082493206,0.00027970584119927706,0.0008980315270311271,-0.015496147842669842,-0.10207733901571173,-0.06678201336982449,-0.03110173004194851,-0.1254663655057067,0.0012501801621202032,-0.08981239152964512,0.026837511719211928,-0.0,0.007945657984665086,-1.501485342838986e-05,0.001639782888695785,-0.017701400395247275,0.05159890059601688,-0.01580510844085477,0
TCGA-49-4507,0.005123916832774522,-0.033865572169644344,-0.002271388225089259,0.02822541748590578,0.012932848801438938,-0.013309327379084442,0.3072086290246536,-0.08445046556117657,-0.024912993029131834,0.0016496970021750445,0.0006408925293823315,0.05092737674997513,0.009307399910978462,-8.187654641923512e-05,-0.022239013691857365,0.019105109107784596,0.007525644338693255,-0.08178643540365427,-0.0014845872836900037,-0.007389393966552022,-0.009574616734877698,-0.043733190567760566,-0.0017731249811443783,0.0017040099709401102,-0.007468220622181531,-0.04995203142898278,-0.00024850995688509373,-0.013073881165730295,-0.0010408420490491909,0.009325981593190872,1.7899264581864998e-06,9.087869344422394e-05,-0.03459672032299603,-0.023069626436677506,-8.573291650564876e-05,-0.045615729577732085,-0.2085948167493823,0.0002077943675831417,-0.11169564508741767,0.030057400519627332,-3.912339157489201e-05,0.01265349983192102,-0.0052067320742467576,0.0037768229016473085,-0.4597287646906007,0.05447242039197474,-0.014365388645988108,0
TCGA-05-4398,0.005726915944191956,-0.02987624344443147,-7.160094418338894e-05,0.012635317702825789,0.02729999974790664,-0.025088500481847763,0.23935631819088832,-0.05660572698523754,-0.038771012616106285,0.0021751309741078416,0.0030648228183796774,0.051660348506907545,0.0034780601876683893,-0.00042627539318432006,-0.006060668168717628,0.01370752697791016,0.008877314335082149,-0.055181150557711556,-0.0027933621532564706,-0.005218249847017376,-0.014742807151781705,-0.026763423430772166,-0.000988885730339747,0.007395140850151432,-0.0025858304001813623,-0.07999269631326125,-0.0004807827428455983,-0.03640605531634981,-0.00175854491816598,0.02845777784399016,0.00013732866533809347,0.00015699295476484336,-0.059429300701879885,-0.04620774896382548,-0.0007063275191536243,-0.02968809462224989,-0.38529114508456286,0.03367784874165355,-0.06443405486859183,0.05834598213782984,-0.0023197532382778344,0.05074580563031638,-0.002815136114660718,0.004517861608133982,-0.055758828615757865,0.06057733350231854,-0.01570770135060245,1
TCGA-86-7953,0.0037292291932638786,-0.02036702502427042,-0.0009912315103314088,0.005651889097585358,0.09349840125702703,-0.024174613221938403,0.10816539323397771,-0.08046298200595253,-0.03840012377917066,0.0022069786575079236,0.0,0.04796733404771319,0.0003724548471553152,-0.02076321736521677,-0.024992213840247524,0.016076238099006317,0.015559897485965658,-0.020262880249754808,-0.0012041577210364655,-0.003814101639289006,-0.007267965166655742,-0.021329751099831012,-0.004739478091213343,0.007188636501920309,-0.0030906851455112174,-0.06259547052052597,-0.00028775514219416416,-0.03493863693818545,-0.002456321821622913,0.028794148863032328,0.06626118658539558,0.0006183861983636045,-0.06991048810785337,-0.06498534147287809,-0.029987617541098188,-0.014629064304240854,-0.1334913733419855,0.0049877368607003925,-0.07403197326770031,0.02049352991662332,-5.16291091164264e-06,0.020177485064612647,-0.01916307894588851,0.00349814732992734,-0.06337000258829811,0.049193026501275994,-0.026032625097812626,1
TCGA-86-A4D0,0.0016880785461524388,-0.017731088564550634,-0.0006086840485043201,0.0013050617917967754,0.015809161535196584,-0.0010858481471638117,0.16543518277682273,-0.06988288777885203,-0.047506398941287734,0.0028813312163724516,0.0,0.10155395319278439,0.00020327626610507478,-0.05875490212668034,-0.004341615965763555,0.020125078969673176,0.01279311434855386,-0.0043347956192224795,-0.0013632107598267086,-0.0029430393943691425,-0.005145233851327327,-0.011849953466840646,-0.004159436438541041,0.0010304639001169384,-0.001490304760263228,-0.5089129936650711,-0.00016871212749993672,-0.008773430786534711,-0.0022337568714512583,0.004789765745944089,0.014867762520289964,0.00010220715426649626,-0.08123004032392507,-0.006555849850424133,-0.00777924216697689,-0.004121688409823784,-0.14588083898280743,0.0017265480777658507,-0.07608641704850208,0.019515295037490457,-0.001204062531691059,0.00283952225982397,-0.002345961201311799,0.0007414830574123191,-0.014441049112232904,0.04172102439863479,-0.016392441442728466,0
TCGA-NJ-A4YQ,0.020583104315882523,-0.010721399803883442,-0.00044163629622794427,0.01368915147970147,0.03834681978978311,-0.0015058789152388949,0.05966235401878253,-0.0303084757814466,-0.029750450490267085,0.0008088948724206079,0.0,0.013695573647421543,0.0075980853027734505,-0.0002483513596194437,-0.0062491286128441206,0.01174812334428076,0.0024888693374286765,-0.03677605345733015,-0.00041292574712117034,-0.003171583974086648,-0.0009800897047003957,-0.02466178143365883,-1.9258460184087144e-05,0.004202640560100343,-0.007256931919006467,-0.02417750222586203,-9.560422582729203e-05,-0.012260769836435188,-0.0009983741558537834,0.010967605156941519,6.902690751570502e-06,0.0010506437015866887,-0.10764581816923949,-0.00725217457418791,-0.001274376892258768,-0.011094873963797854,-0.0892289996254946,0.0008021722798251658,-0.0466916821625335,0.014112397686668532,-0.0,0.007010945312162894,-3.702544815843125e-05,0.005195052418816612,-0.03142137909807359,0.025178234933323367,-0.024387896198216696,1
TCGA-75-7027,0.0032343806298871375,-0.054250551842112416,-0.0030788976170948597,0.07877792753597171,0.018999955144505386,-0.02419755951552104,0.1804154884221994,-0.03961238803126471,-0.04251644849182749,0.0026784982193994297,7.167304335776823e-05,0.04499752102931813,0.0005768451229312334,-0.0011604200970389894,-0.022853106896826247,0.023866920897757868,0.017568619862039347,-0.022696487016057525,-0.0028112072019805937,-0.007000942070311864,-0.02265212222006735,-0.0649152097446034,-0.0014684069088782656,0.0048053968991930655,-0.003907149209087908,-0.045124165877226834,-0.0004994426127446166,-0.015120540838837687,-0.005384530579245041,0.007723162077861866,0.002090643282271874,0.0001477909483360494,-0.06250697245694137,-0.10140781321957158,-0.004485233185907348,-0.04434513114727282,-0.3032253434384581,0.0007385167736884415,-0.09860412412036607,0.026126996361494136,-5.646216738649188e-05,0.034030510711093365,-0.046984394879414526,0.00910042426584925,-0.08633220835889334,0.054594648274471254,-0.006637265876976605,1
