,HSP90AA1,GPD1L,TNNC2,SEMA3C,AMBP,TXN,CKAP4,CPXM2,EIF6,PFN1,ERRFI1,PSMD2,CA9,SERPINH1,IER3,MUC13,MAOB,PSMD8,SERPINB5,PFDN2,CYP4B1,AGRN,TIMM23,GPI,PKM,PSMB8,PCNA,TM4SF1,CTSL,TSKU,MARVELD1,SELENOK,PYGB,PRR15,HTATIP2,COL1A1,CDC42EP5,class
TCGA-MP-A4TC,-0.02162768547678801,0.02505749329749427,0.00027258195079673224,-0.04624592790812641,-4.535352059401329e-05,-0.0018403342951425782,-0.014069432060517658,0.0197566414090838,0.014047896926788211,-0.15119701207416242,-0.015039618972664377,-0.02630768632408532,-0.00022131902544030756,-0.21030845709969223,-0.01892150686749895,7.149649940479628e-06,0.0022495328485547484,0.18770590033102208,-0.001849055137561622,0.037959874880196726,0.00011122340490479478,0.027402911905472137,0.06361358655269336,-0.17371239595397056,-0.030883674924990046,-0.00458414242830723,0.0005893361757560392,-0.09343789804557771,-0.018628225857620705,-0.01836750208569352,-0.1492337054480747,0.043158989539845136,-0.052645510001267125,-0.01861188976842403,-0.005153310628459449,0.2661946579774336,-0.04102351102425545,0
TCGA-86-7701,-0.04953179768181191,0.041610150761875096,0.0017320998194348632,-0.02860175546504681,-0.0020587184053946317,-0.000880268791954905,-0.016139497117878154,0.0047071081402766946,0.004742202488440302,-0.06441113996391482,-0.007107180757499032,-0.01520605500746193,-0.0018122951636563413,-0.09858362347263441,-0.009883880033670304,0.0053325509918558415,0.0028215104821156353,0.09156947185894493,-5.7836740041115803e-05,0.015538338729248695,9.34482609133771e-05,0.0053949492009901295,0.050731917231521914,-0.07390722570880941,-0.009279027021291707,-0.002730011414702032,0.0007356411303990083,-0.034521797392166945,-0.005363163314875928,-0.0017174343969303318,-0.029539028911938714,0.05903189929887333,-0.009506863641574863,-0.005750766368822164,-0.005181998119162197,0.05679218162788218,-0.005733599584412897,1
TCGA-L9-A50W,-0.018571929284959918,0.026464478785026713,0.0028830295633105536,-0.021348527549588218,-0.00043487048784951975,-0.0014421198179260743,-0.01344247083081073,0.0045513387430322775,0.01108541241634956,-0.0637768097098924,-0.025343233013794667,-0.02447369796499031,-3.121816528573146e-05,-0.11539766523029843,-0.04344196100983323,0.0003224517332120029,0.0031339818600665398,0.14747204371307257,-4.0551892788553507e-05,0.022748920616053527,0.0008966704097189815,0.018520117393391995,0.05068675839393981,-0.09300930920071054,-0.02473938067258356,-0.003786483426079829,0.0003712681454592792,-0.18201310542698532,-0.009023063419261027,-0.0037744837420852755,-0.060559538463153366,0.03040927992613282,-0.031536045628183816,-0.025978756237426383,-0.007058546455566469,0.026126318112343862,-0.10288185938007667,0
TCGA-78-7158,-0.03924542631898318,0.06210143472265378,0.0023585058205960233,-0.17284527731977942,-0.0002128824482035916,-0.002339956297809634,-0.013746223751648225,0.006367488392677385,0.0118250607897361,-0.1209779752145508,-0.008512692803719567,-0.02720341029418726,-4.2100663639508046e-05,-0.18028989048923608,-0.07493626933734093,4.098007924929644e-05,0.0019943016582723446,0.14567688153867311,-3.666081691393382e-05,0.05438827116776603,0.0013196965655867768,0.01547122305516307,0.05039029816647306,-0.12906283595964146,-0.015570765777542213,-0.0055280891694729035,0.00046029144994090153,-0.09095268406311162,-0.0035797843167933866,-0.0018280746389452646,-0.09478560035161697,0.03691557382372671,-0.03346338099414446,-0.0026260040438822485,-0.006252014711635736,0.018828917492224567,-0.004395776201392396,0
TCGA-49-4507,-0.01977912245735462,0.006589345450190952,0.0003920108799365098,-0.013016098161196183,-0.00017745437115496048,-0.00783042860189718,-0.013814426909692779,0.0009643340911677449,0.01324379816000601,-0.15045488437415258,-0.022813421614325195,-0.017874260981012115,-0.00029009902731073954,-0.06532487569779101,-0.01693570538613489,0.00412432608305066,0.0016354572434474732,0.1537895621981347,-0.0017661116936628413,0.05977336203477333,0.0001335502106700524,0.005117156341820171,0.08914092812633612,-0.12271333208363715,-0.019342420140088305,-0.011212271480828153,0.0008993390802500482,-0.15503745119344972,-0.057273677535088746,-0.04550385907976848,-0.13901845034571164,0.061508860520621766,-0.021278228771264354,-0.0216647448539093,-0.007612853861323699,0.013485352934740532,-0.04446030069303146,0
TCGA-05-4398,-0.03078139208054563,0.022262636984864,0.06353436463720284,-0.02525454179857325,-2.1473147635088602e-05,-0.001183346737683394,-0.015586624427210753,0.0100233740510539,0.02570822484719364,-0.08679316250355626,-0.035127659377436275,-0.02810042820203047,-4.454818679626986e-05,-0.08170510882089976,-0.03392169462109993,5.81532009940449e-05,0.0028254918406649837,0.17102529190761803,-8.814478001689504e-06,0.04344529228537532,0.0002307080063318342,0.022207670462824902,0.06060045405374799,-0.22811878793189622,-0.027285995411243574,-0.005208105184133818,0.0005068888530243175,-0.07043053641356481,-0.017414572179282474,-0.013157559051823475,-0.0904774065066533,0.05455409503168489,-0.015026281523633696,-0.0006829374960641809,-0.005984776359636496,0.04385021036886394,-0.02673674276945491,1
TCGA-86-7953,-0.030486933052068507,0.020914367350360407,0.009409528941503197,-0.01248755556390714,-2.715978137110719e-05,-0.0021418439392851814,-0.027651235082540717,0.1203182157397099,0.009029795295324132,-0.09972163166491202,-0.01731736718203631,-0.0777821249375957,-2.2358695472080003e-05,-0.09256029803665822,-0.04770656346009482,0.0002409879973835383,0.0038627989132025754,0.13888448419206018,-2.0911224088092216e-06,0.032080680272974615,0.0009087455369018749,0.021587536160100528,0.08197389233545792,-0.10431060901652801,-0.03587118646191675,-0.003284731031716875,0.0005577018134541059,-0.024579767341762367,-0.016738874217072035,-0.00749098397856238,-0.04458352126359745,0.036021458132684946,-0.01098294766864553,-0.00945447261074942,-0.008351434249577603,0.0582853021104394,-0.007891740543033729,1
TCGA-86-A4D0,-0.0377166597794539,0.01703253609497643,0.003257189495027445,-0.008127914572611493,-0.018133602198964618,-0.0034039544828189977,-0.014193344553523165,0.0005485071328500232,0.008598768490998403,-0.102488983080017,-0.01225953919670163,-0.03358622792013688,-1.4265097064668142e-05,-0.03238019199077082,-0.004812732530683747,0.009958091387292103,0.0011985847278726688,0.11778911292271176,-0.00045041188491516085,0.04289736784744561,0.00015019787880923448,0.0030944917995937397,0.0917409770343537,-0.10229085971119853,-0.011771236271943611,-0.003015499781938399,0.001228097408766049,-0.05449032372463287,-0.003735473647910025,-0.013411525660845502,-0.012561253340586618,0.043270125669748874,-0.008474668666969233,-0.005805693831565249,-0.011070708827528227,0.012316575081348088,-0.003604401681866896,0
TCGA-NJ-A4YQ,-0.023619715331689488,0.02613587121503815,0.001513324277902379,-0.011759662666387567,-9.175366089404228e-06,-0.0017764288401308928,-0.013446926904992636,0.002670837551617757,0.006218160695364453,-0.06289405137953774,-0.0023352579296193844,-0.027235421959402838,-1.7190547726874042e-05,-0.029040920749668207,-0.005323913342697082,3.317887455427351e-06,0.003276592817940738,0.07108459105459639,-4.940607564610648e-05,0.023733869119428153,0.0015439668239968956,0.012620565114794147,0.04852388074758389,-0.08294815301553085,-0.026700024855479378,-0.002798998891167075,0.0003957022542956503,-0.004670111413178433,-0.02660483716893285,-0.02637623275674269,-0.03381272643244315,0.03660824119028975,-0.00913277728503371,-0.0042123744282543014,-0.006444035073187809,0.013270542774424654,-0.008461482619465664,1
TCGA-75-7027,-0.03375499845355076,0.010203022685200182,0.0013932360807885813,-0.01529723430013398,-0.0019515096601750912,-0.0029361700255716404,-0.027351576705338294,0.003656714219000155,0.011511995726739242,-0.1328205059537765,-0.05397316978581092,-0.021979570930577556,-4.693485582966767e-05,-0.1086791006521731,-0.07444476195801816,0.0014345645591178258,0.0025064936454200666,0.1541346427435241,-0.008832159897500698,0.05701464985179168,0.0002171852558324902,0.01443064749445238,0.08871928298761525,-0.14954495767632528,-0.033233797851715305,-0.003346894579369228,0.0008570735174826047,-0.04719595897462643,-0.019655034065223294,-0.024866255973226378,-0.1351461758814144,0.04371906850969921,-0.020159656889423505,-0.02936685616702456,-0.012481674814016158,0.13086530988480144,-0.025718978044193406,1
