,GGTLC1,PTTG1IP,EPHX1,ITGB4,INMT,EIF6,COL5A2,METTL7A,CHMP2A,CDR2L,RANGAP1,SERPINH1,CCL20,TOP2A,KRT7,CYP4B1,PSMB7,SEMA3C,BAIAP2L2,CCT7,LDHA,RHOV,TK1,PSMC4,IER3,PFKP,GOLM1,C4BPA,S100A11,SLC6A14,TIMM23,TXN,ATP5F1B,MARVELD1,TSKU,UBA1,PMEPA1,ABCA3,AMBP,GPI,CPXM2,PLAUR,EIF5A,NPC2,LAD1,F2RL1,TMED10,GFRA3,IGFBP1,KLK12,SEC61G,SPRR1B,class
TCGA-MP-A4TI,0.0005072753837938079,0.08349748175570146,0.009366334032630529,0.014429792201805606,-0.0011003516426221546,0.02012548075878565,0.033161017737175676,-0.017675056354339802,-0.03441642073639275,0.0023896186000677876,-0.03173649118462337,-0.08913916338927351,-0.0014485832895045697,0.02223639017816446,-0.12666927654924456,0.003190623547386499,-0.0567454203870568,-0.014421915959303129,-0.0005725995123199638,0.09307793734028046,-0.22036367026394774,0.0076036582231757775,0.00044935858426152953,0.022899701627007215,-0.024208978928295266,-0.0495032827697232,-0.02943217965172328,-0.0020690049989098517,0.09209776000562321,-0.0020422021083243845,0.007144267362281414,-0.06002336179709945,0.029920631115767447,-0.14885515424440782,-0.001098582908556182,-0.0018409569953662813,-0.07388968568131957,-0.013294552764818226,-5.51555228954551e-05,-0.04123520396922931,0.002610682129448023,0.0461360338983372,-0.03920129041211131,0.08010745705140472,-0.04854014614027913,-0.0018635697008393673,-0.03697398831273229,-8.57530036033793e-05,-9.947344948042728e-06,5.0006911021658325e-06,-0.003454124436456649,0.0006325805877269138,0
TCGA-55-6712,3.4570409202216114e-05,0.13104410879934303,0.011828950737479882,0.004112680706235004,-0.0005504679596409222,0.024202864563739608,0.013088379087561575,-0.018536549181465037,-0.03352015298837472,0.0016698283546871557,-0.022123661310778378,-0.04483016427663344,-0.00015912412013876787,0.015087366856740113,-0.21136325437026993,0.0007395815285691049,-0.03270297894578345,-0.004102886970388407,-0.00011446131451934883,0.07403172679182045,-0.20064288480394077,0.0014093341319708224,0.0005699340612503089,0.02224951712737187,-0.006361024449359751,-0.02192599951753822,-0.05804296274676481,-0.00022251184169181713,0.04687142901684973,-0.018722516603201296,0.0039764207140778225,-0.029502764025716766,0.021641690580203328,-0.09526010058177263,-0.0010750750477066555,-0.0021644251514402317,-0.05273293932079948,-0.008765856743503362,-0.0,-0.03226127464555498,0.0031341399050624796,0.018512000904581518,-0.02931761649585942,0.07760391105917464,-0.021500154985183362,-0.002913747581829857,-0.11517822840464728,-9.167358959826743e-06,-4.237282168803444e-06,0.0,-0.003467203131989645,0.012828160324391505,0
TCGA-50-5941,0.003365344109599553,0.08301831390992574,0.031153915983637138,0.004853416033472069,-0.0015073832889552557,0.02090146218936478,0.020750533409112575,-0.024294405244043752,-0.02901130537334543,0.0041885367407592956,-0.017976607207962708,-0.0493587709700224,-0.0014995325437485373,0.015796517477142974,-0.07654593682835979,0.004241645246234386,-0.04624553347545648,-0.006883941516586843,-0.00022657911125294064,0.07083133477709716,-0.13543779417331672,0.0065031813832878375,0.00041492584235506414,0.024214478195611167,-0.028439267633758623,-0.02438369705158497,-0.0291295327249113,-0.0015731778157326642,0.0607412482697016,-0.019464629903627358,0.005410633556365011,-0.044819537625245674,0.02285886493483158,-0.03938697307479752,-0.0003514848640130212,-0.0017335137984803158,-0.017267966712984088,-0.030376020292184096,-0.0004851256804870153,-0.04169868059554352,0.005129456175963291,0.019556196975602062,-0.025010198392162994,0.16803774680309314,-0.030056289351961706,-0.0017836088788561533,-0.05709140529511179,-0.0005784786532518796,-0.0,1.648648898103514e-05,-0.0033946939630954505,0.011862340780095225,1
TCGA-64-1678,0.0006690452609701585,0.030210286630841576,0.012681639895547506,3.069908677235881e-05,-0.000422504157876741,0.008929408455300906,0.0032437571887657026,-0.014202374814380832,-0.014858809435891756,0.0003415449776712539,-0.004491763762425133,-0.04286099848106752,-0.004617335647678111,0.03034213305846942,-0.017955700156418706,0.0001653955417775947,-0.06429815868776981,-0.0021694426731749318,-0.0014639467374752036,0.13955239298491096,-0.18630281655054692,0.0007020177981663388,0.000151964480446805,0.018634518786821406,-0.02076751374319336,-0.007091441402400807,-0.0091495829264236,-0.0002082136190439794,0.02524631653065497,-0.005707860297410351,0.010239076494221915,-0.06841395584385374,0.022848448071736423,-0.03413215672003232,-0.0005242896190509475,-0.0006701170613799236,-0.009287204179321648,-0.005446335787592957,-0.02811218763230463,-0.02010971698168098,0.00043229246323709194,0.001983596528406976,-0.04842653972792948,0.027237939710683667,-0.0015315679901555964,-0.00018193370982945542,-0.04902087916449467,-0.00854832747562063,-6.307924215158784e-06,0.13057061345361076,-0.009951039560673149,1.944859045503171e-05,1
TCGA-4B-A93V,0.00016258628384013368,0.019159909080555752,0.033880933729415474,0.0002687311605475757,-5.5686614972913124e-05,0.014963394455433179,0.005950648292966775,-0.008757968589718407,-0.0261487419421756,0.001809846929592101,-0.013962851933024975,-0.026323011828927198,-0.02142925223281832,0.005152934014116259,-0.02442991825765432,2.9670119263925432e-05,-0.0646037457509119,-0.0003461482027534095,-3.383453803186689e-05,0.04157565131826458,-0.07428555924545424,0.004961521286359767,7.765859845033616e-05,0.012002589889687337,-0.03406379072776255,-0.025289422449095003,-0.10552628866505233,-0.0021992952391177104,0.03551042723476659,-0.0017461754394776626,0.00751462065334677,-0.08691212078689099,0.015199540817148301,-0.01717725548607848,-0.0004468246628841909,-0.001462254891538608,-0.013193673472692534,-0.009718120706590257,-0.011269790026561808,-0.06333742063155096,0.000236044663865578,0.010824125969947569,-0.035840638839589115,0.017785878471322847,-0.01071979613805529,-0.0002181585803360752,-0.04165045787778069,-0.0205899876959818,-2.066996549794855e-06,0.0,-0.006461914731961398,1.062116196237026e-05,0
TCGA-62-A46V,0.0009028795750090832,0.04552301960377049,0.30599785966011006,0.004515969601726919,-0.00030450191249566767,0.012456693394867274,0.02909716513052946,-0.031058683498188612,-0.03536772726553906,0.004358217512106447,-0.03121494334350871,-0.07097482787778314,-0.0008288360686176238,0.00930400707295032,-0.051751530781825025,0.02319276135211971,-0.03152102650500538,-0.0035840873241684574,-0.001071934799862699,0.07855488150674148,-0.154772917123501,0.004388729733454586,0.0003320118442217467,0.022665944689681757,-0.06110347334085096,-0.01879660441014541,-0.014750394267676367,-0.005330357116013842,0.06469381392527535,-0.01389174914982876,0.00958750542258747,-0.04989974545347558,0.027258552116995398,-0.08306589514230701,-0.00019164249580970786,-0.0023241648956706857,-0.022466690906344622,-0.006003498463755363,-0.0002379379982615906,-0.057994369405049546,0.011246132606414399,0.014873392176690868,-0.03259622159329606,0.2707024086705156,-0.05533681582918967,-0.001246845572510434,-0.0614320047888679,-1.128014872009931e-05,-5.954311048791763e-07,2.3961206207430386e-05,-0.008288748025084426,0.0015799543374449294,1
TCGA-05-4250,0.0002059109996330498,0.1068988694038321,0.010013618918616775,0.013441770936263036,-0.000672762113818483,0.04138248787873235,0.033870985777039994,-0.014548685265998793,-0.030472283213864675,0.004547456286119484,-0.02622655979169181,-0.05259625874913584,-0.0005411901984415373,0.037743223102433276,-0.2565870659386776,0.0020182887248901917,-0.043719430681312954,-0.03221797039515403,-0.0009012974110872663,0.12749324337134793,-0.2639175225542071,0.008589140043205302,0.0013980724989770207,0.03973542544008283,-0.07188140075560612,-0.040388535289394435,-0.05075563731925661,-0.0002314820862521296,0.09181145973915697,-0.03229432584814881,0.008349243729223452,-0.04115951847876183,0.02922014219516891,-0.11199887971481255,-0.0009035013069315629,-0.0032810086317395645,-0.0702926625885534,-0.006011426331715379,-6.530837465373763e-05,-0.06153099905074437,0.0004804161765889513,0.08653433777483643,-0.05464717811710177,0.039131823402396716,-0.12638395232977,-0.0028461785105734333,-0.05189872764682456,-1.9337397805884535e-05,-0.001819573052738194,1.3528185402701251e-05,-0.004450603358778893,0.08153193741557647,0
TCGA-NJ-A4YG,0.0005925236850242288,0.05789248907954195,0.07096693502214112,0.005503267909103061,-0.0019440543525064528,0.017607173370617273,0.014219675177055106,-0.01143110043800582,-0.03358425623823297,0.004540696928903602,-0.018336199746412908,-0.06314339898393562,-0.00024041730623801928,0.004233614211191543,-0.05183319125158701,0.0025353155343821256,-0.038160494915911176,-0.005241820653208247,-0.00026753208455904446,0.06770450035027524,-0.07077138714628614,0.005005589222531775,0.00011931377057343827,0.015365681732547733,-0.04955387074313349,-0.010595866186142543,-0.018607867628242288,-0.0015661013824219115,0.10719747511659115,-0.008877255187660254,0.005192999394801236,-0.06528191082692167,0.013363378537307395,-0.09019113587918368,-0.0008066739787836285,-0.0014659460074986426,-0.030382544699943607,-0.053448130873104974,-0.0022039162807565077,-0.03352550241072187,0.002831363170773162,0.029100636576647288,-0.03545965886058857,0.11141423529780628,-0.08180712425465664,-0.0037423639029427725,-0.03855274610928385,-0.0005923530372331799,-5.808491186372373e-07,0.00035974445400443924,-0.0029211873784118813,0.17496956181611856,1
TCGA-64-1679,0.00033397652062214337,0.09377426662068636,0.013078566417482347,0.010176819560853588,-0.00041148224755567736,0.019954646727633737,0.07938070478150097,-0.01635065940077813,-0.04064148144137687,0.0054220149065153204,-0.01576743950923201,-0.12902073966194516,-0.002307271026651449,0.02017948537848202,-0.11692955662891326,0.004686303099024285,-0.0393080506794557,-0.015884226071757292,-5.940817586894032e-05,0.06808819361680483,-0.1635266452886407,0.004336889593709622,0.00033100974589714196,0.05364023025854178,-0.035480611801112755,-0.02545894192588436,-0.039850969623885554,-0.0012741051772357458,0.07710491993181097,-0.008849189940127514,0.005989301117595988,-0.028521878648954984,0.02573319718828535,-0.1268414155535824,-0.0009673078053716329,-0.0025822196406221163,-0.0637247598075727,-0.00980414464401276,-6.605582386293634e-05,-0.0737804970234934,0.01032650447246709,0.04153520500628672,-0.029104529330395673,0.06474424408058534,-0.020471808050414365,-0.0004545706203028558,-0.07692612286011831,-0.0011090395530518524,-1.0418829169865424e-05,1.197007533297379e-05,-0.004997926637824307,0.00010325972753575661,1
TCGA-38-7271,0.0007704893052064365,0.03487061549724027,0.020166722585563554,0.0017527892442489234,-0.008113085364151462,0.009602551301556345,0.00841890403405611,-0.05199691301448839,-0.022793921074594332,0.0020506751619435402,-0.01203581185057963,-0.054349429019649446,-0.00029555079875323044,0.004556718662609383,-0.025167046544625843,0.007008989184147773,-0.028037102870985174,-0.0032143737865054462,-3.727169745097718e-05,0.053996547030863574,-0.0482848656526282,0.004343959397745533,0.00013455298738691314,0.013064989952065887,-0.020312885442733734,-0.0040369535289812505,-0.01839629173627029,-0.0026039465476190896,0.04414306077959952,-0.012522349168854124,0.0033109346468911238,-0.027575153415821698,0.014490088624189738,-0.051243863329983964,-0.000303895528338093,-0.0018106423837757903,-0.018197286126844524,-0.041779075742530765,-0.0004638856654589518,-0.020642617501114586,0.008893270046061025,0.010261283088678531,-0.02192847644514792,0.08017568547603897,-0.02465464627275175,-0.0018711298337666968,-0.0435796155480817,-0.00023714970864739302,-2.0232505910690376e-06,2.7119537429850913e-05,-0.0022559459473233765,0.024810737742499575,0
TCGA-86-8076,0.0004130466092617741,0.032895178527819625,0.014556421237270911,0.0027148981670894906,-0.000548549223943669,0.010794089985148914,0.010461182857838352,-0.031140571444632333,-0.022887278793137886,0.0013645423344523018,-0.010898180614968535,-0.04535082603837097,-0.0023570265423297973,0.0029438950759572324,-0.042793153841362105,0.007813714303587804,-0.035853385119708495,-0.0038388551616098904,-0.00011032109976451143,0.06261042810748635,-0.0904546538586021,0.012149847609369708,5.8331386284979245e-05,0.012195022230405724,-0.02805981132895671,-0.007871322646835772,-0.022280391150226928,-0.005450849941756141,0.03995928545624167,-0.011550798063231938,0.0050337701741838764,-0.04330252387520148,0.020951064159936226,-0.039854829569257955,-0.0002242895096681251,-0.0014530615291025058,-0.01519197293000487,-0.016232528650012016,-0.00033955994699556575,-0.027379705593670572,0.002588047174102185,0.01767078353216191,-0.028802210890723896,0.06027673957319869,-0.03800455502124782,-0.0008581026789779013,-0.04179963051634085,-0.000531838122988386,-3.3295535252427407e-07,0.00013378691058173347,-0.002886703114630853,0.0024416667210701583,1
TCGA-73-7499,0.0032835048578165505,0.09797802060669408,0.02667051207045477,0.0007455563166942506,-0.0002744729775044452,0.02025450302494302,0.007294073386585169,-0.0210685297572612,-0.039372687162932636,0.0012207956604643696,-0.012480048836598187,-0.03506146371585684,-0.00021391302832575893,0.04702016169312105,-0.04721010496295708,0.013576587303248438,-0.09890109305163756,-0.002523043456221861,-0.00023176414435392806,0.07555947530847566,-0.07614485240703689,0.0023688577082399812,0.0005165086022184736,0.030222759998105156,-0.02063633554073583,-0.007486035085740393,-0.012860899500371328,-0.0017681514876586536,0.1671449871750262,-0.003888652542475895,0.010427359049759034,-0.1661379023772291,0.01896799252466828,-0.021609873034689128,-0.0004980348562180718,-0.0013212375399542058,-0.008447769183703425,-0.0015479928698503775,-0.0071487910990788,-0.01751917883787915,0.00356635418192532,0.007693806761820786,-0.03851432315984453,0.06538711481949355,-0.02461028605467766,-0.002136746182843672,-0.05303049396981364,-1.3233782942874889e-05,-1.7474080179923581e-06,0.00046656974371744284,-0.0036426730497483117,0.00016164787055761653,1
TCGA-95-8039,0.004377644242600524,0.06826758468161717,0.039356365499313956,0.0068244282977360585,-0.002097062704424255,0.019487024044553426,0.012331473110596706,-0.029115733816124985,-0.0267356189721278,0.0027511280709591477,-0.02369443670345841,-0.046677111195946176,-0.0031597152239465315,0.01135973972284697,-0.11484421365272726,0.00915230940579362,-0.060675320667495446,-0.003814617024312679,-0.00021156106810921445,0.08045529511123549,-0.059679636671173236,0.008354691293383747,0.0004473266517051901,0.026718918676162245,-0.02671232918509007,-0.02195130935000542,-0.02364773640423067,-0.0020332955198651384,0.05029046732927588,-0.03148119748313537,0.007350463475311091,-0.06288037206420123,0.01946066631573423,-0.07445695726362576,-0.0008823729773167914,-0.0021601450799356076,-0.03718552711101919,-0.040501791093270914,-0.0005962153192041741,-0.03047085111346844,0.00264254307695555,0.01306373108371868,-0.02191481659149713,0.18463471516662902,-0.06251652498976835,-0.0012413027013293261,-0.045734027271838125,-0.001160176227249636,-0.0,6.095579259271614e-05,-0.0033006450325499645,0.014522518135101328,1
TCGA-MP-A5C7,0.0012042605079535665,0.06048247261466595,0.1820861551904593,0.002574248558332243,-0.0011819267629237962,0.015301089071554686,0.005617804993676933,-0.016107148195232228,-0.021255443077996466,0.0038798942699481698,-0.014350700371882961,-0.03593044388132031,-0.003827905258309082,0.0021654513217060503,-0.03841269818083469,0.0298855158745662,-0.041558685016326376,-0.0005727963506614232,-0.00025002405376795147,0.06334662272919891,-0.053398066634094035,0.0019447610834162315,8.430245764424225e-05,0.010876467516267705,-0.0035561529147663785,-0.012960608249136363,-0.023914684555011622,-0.004512692867453114,0.03446592345824479,-0.0009250368258662498,0.007299908684076666,-0.07212944138371384,0.02042871906885357,-0.048969573291736235,-0.0015042117758111567,-0.002147254453778045,-0.006524922195952167,-0.04447288643466867,-0.08586696515274825,-0.015566950107464833,0.0010697459725103804,0.007816203370878138,-0.026676165499326738,0.10787790968018043,-0.046563206279831786,-0.0006051356034038301,-0.06710170216912907,-0.0070916046931297225,-8.664130158752096e-07,0.0007106666361275839,-0.0021125757797955244,0.0,1
TCGA-50-5933,0.00010863173263431338,0.10144380238849297,0.018803326901177562,0.008871263653486512,-0.0005080177356622182,0.021005279038554026,0.08268206495674589,-0.018307579236795136,-0.030226133464409,0.007753110480791302,-0.022805654597283807,-0.09887323706631024,-0.00024631215956721263,0.032185243189083265,-0.06162189411600992,9.495783312350227e-05,-0.04706092404284283,-0.021642707204619756,-0.0009796392577336352,0.10691189579047618,-0.20143586493970317,0.002097777295606006,0.0007062280315277684,0.029175472517862875,-0.023991050313112567,-0.08764047673574356,-0.029939946512081102,-1.279969613175852e-06,0.09341993011347888,-0.0006611882461306866,0.008688192098671185,-0.05018495108795911,0.02904857981195263,-0.1345374545683105,-0.0009093483024249801,-0.0018497409168914273,-0.0801677234736197,-0.013531228093668786,-9.925502623817922e-05,-0.04949736864785986,0.02824940160128393,0.06180354538787132,-0.0647139115429104,0.03315117141547575,-0.04740833135643838,-0.0005861095754447844,-0.05320030313939991,-8.065206862660072e-06,-2.2371197226174768e-06,6.0008293225989985e-06,-0.008500814892511324,0.05643500737940202,1
