,ACTB,ACTN4,ANO1,ANP32B,ANXA10,ANXA2,ATP1B3,B4GALT1,BIRC3,BTG2,CALU,CHCHD2,CHPF,CLTB,COX6B1,CYP27A1,DDIT4,ERO1A,FLNC,FSCN1,FURIN,GANAB,HERPUD1,HNRNPF,JOSD1,JUP,KRT16,KRT18,KRT6A,KRT8,LRP10,MAFK,MMP14,MYBL2,MYL12A,NDRG1,ORMDL3,P3H4,PLSCR1,PRKCD,SERBP1,SERP1,SET,SFN,SHC1,SPINT1,SREBF2,TIMP1,TMEM45A,TMPRSS11E,TNNT1,TNS4,TPM2,TPM4,TUBA4A,YWHAG,YWHAZ,class
TCGA-05-4389,0.018782301247907307,0.04320124534912371,-0.0016576501473384519,-0.2719760322210885,-7.111644628835053e-05,-0.0011438114284141466,0.0496884190711376,-0.03976237560655388,-0.012872667898012754,0.0011802183604197867,0.03226807123841676,0.02335942901102796,-0.03170786602197414,0.0005192317017132722,0.005734889110820588,0.006414425925328531,-0.00216948814598792,-0.03829023839770186,-0.00039859776582483697,-0.015277710969892718,-0.027655375996896173,-0.006262382925834704,0.03869996969806373,-0.07047944257520766,-0.01918764228220719,0.020147456004078766,0.00014771157195656566,0.0464509551572386,-2.069146772913954e-05,-0.07325187229294924,-0.040848880126030815,-0.00916867384956231,0.000126155867570414,0.02088397424827117,-0.0015021010058373758,-0.00504251664483874,0.024891309728821174,0.002583836921761231,-0.03079691268221206,0.10520641493789218,-0.005265957655705311,0.05068274907100675,0.06903009620317709,0.029536546913774202,-0.0008803713707598827,0.019806082675622207,-0.029048647164676655,-0.05444990789408245,0.00045967424654796545,-5.359880879841055e-05,-0.005435681456946275,-0.001271642616344112,-0.03717939224455639,0.033009552604695465,-0.003173068402403698,-0.03606732322419923,0.03260531461417471,1
TCGA-78-7150,0.02503698844382998,0.11037108642460941,-0.006820700391256695,-0.33899895690980664,-0.047878630765541386,-0.0012603982093113216,0.058474072116356635,-0.07650604677335592,-0.07559881733091474,0.000275262869609145,0.06200513070285618,0.02486802116286603,-0.07312642428551552,0.0008582665703739059,0.011984326968394328,0.0009287044495187772,-0.0047889379988458065,-0.2818315258272883,-0.0008142028445569901,-0.04181900026178078,-0.2369738962168478,-0.015082745706936919,0.03857375624473568,-0.08162017965968896,-0.08412304620675727,0.04716195347686097,0.017884852522612786,0.10341387928537671,-0.00031534755279566683,-0.09466018655645798,-0.029411246814215957,-0.0647390689161258,0.0004002108384021918,0.028428953520454214,-0.0022084897375653214,-0.0315795556349929,0.010240966101769527,0.0026238109487628767,-0.03700802900520987,0.0588850467315567,-0.007855590055975364,0.036600337497112695,0.09408086431137899,0.1199045315459562,-0.0004650195443829455,0.04760395603624704,-0.08724195606410946,-0.04947983922339051,0.0048066555923749685,-8.27763971783425e-05,-0.006119700345433096,-0.003428288876628196,-0.14478909284414268,0.14704691665025046,-0.004736028314500476,-0.07192045445170826,0.03082735222540135,0
TCGA-86-8278,0.018065066415351577,0.06765185992390231,-0.0025707077975455914,-0.35498271946837034,-4.856962051661456e-05,-0.0021080966532712004,0.024306852765219635,-0.054020639317471,-0.021456892591475082,0.0032589652433434786,0.03624683298487831,0.013335163321383188,-0.07980530637293659,0.0009443245134564259,0.00363287070395274,0.002449984255423343,-0.010637645706300812,-0.05703528435495423,-0.00020609679937717197,-0.01302599836280765,-0.015207612076233664,-0.013491269167679641,0.13189277197216331,-0.04139574810561928,-0.03284247143459201,0.02630858243353956,0.02272145963513931,0.05539843568480853,-0.002634990759280648,-0.09449512514203064,-0.04276652132142229,-0.013230846947012048,0.0003161181669549739,0.008785390744464924,-0.0011157012814238193,-0.012753982052211711,0.03336176120049815,0.0047061945167835495,-0.03401703470165063,0.09161454909045287,-0.00420180868642589,0.0656371296868913,0.07885068947750223,0.05020983927231542,-0.0004894471021793982,0.0940495623624611,-0.06337055841149833,-0.06550310722934902,0.06995054557724412,-0.0038180656516980075,-3.597925932196173e-05,-0.0015168598568244447,-0.09115833959440207,0.12925744153248442,-0.0010524660911082771,-0.020712761640798837,0.02166520994352196,1
TCGA-73-4658,0.03807196049385138,0.042738667050068437,-0.010994678220775047,-0.2812637551783898,-6.698286156353226e-05,-0.0015773937938241504,0.06934147424828106,-0.031238356241324587,-0.022776403928201495,0.002868193010174367,0.07413701227189073,0.02117525443539467,-0.041529089206933115,0.0009255153321106256,0.005023732700427502,0.0019178944651322232,-0.011826812329135895,-0.05146522290681563,-0.00040901585802460654,-0.025699234761811615,-0.018617697778286646,-0.008350391132123606,0.04629948613876295,-0.06629968392847331,-0.054147636351072156,0.01865549844287822,0.000863544574515307,0.04469816975037481,-0.0001345438727578348,-0.06082250766490045,-0.02968704064849468,-0.009947814415451766,0.00021242711189029825,0.0036279551927977816,-0.0020830417106051822,-0.011936349136451547,0.019427812889675163,0.0028626984786692257,-0.033625753736814736,0.1411488556267573,-0.0051793062431956995,0.030296010884585375,0.07755937166064443,0.02450511725704964,-0.0006356759482152526,0.02509516479877205,-0.025777599494185007,-0.1540448328168217,0.0024211922589599064,-0.0005069560496620103,-0.0316375899632077,-0.0020902520051494433,-0.09349087546395435,0.14012524281231611,-0.0015894053005074337,-0.05115551244236408,0.03649640939640445,1
TCGA-49-4487,0.029601506668803342,0.02795123895182153,-0.0029369035782733847,-0.36326894146355915,-2.5200775055284054e-05,-0.000575233612789663,0.04522366434323271,-0.03318340698561225,-0.016425338334660446,0.0016369547713537818,0.040881407281433,0.011861949222733347,-0.021172950403192125,0.0005259905675591169,0.01174813222503123,0.0015351920805325233,-0.00497152201896579,-0.01972238750939281,-0.00016005573272722884,-0.027356877610908333,-0.01747049680451518,-0.01189407245485792,0.03896345717998715,-0.09031463680993278,-0.023996478911822543,0.01945393563219182,0.0007533735755220615,0.09884664877468774,-4.0346952571295595e-05,-0.0922967371443469,-0.011849589249792748,-0.008428731084700915,0.00034105409435008133,0.06593412499852158,-0.001974753276629081,-0.006062696449899286,0.0135746766995362,0.0022770746947443155,-0.020110151058692557,0.0769168524845639,-0.005158559013740269,0.03667911004153715,0.14274514773709027,0.015628185239894805,-0.00033786081010587436,0.022162550071029227,-0.021301102172222457,-0.14633050221871624,0.005635179791299261,-2.411972387010231e-06,-0.0011162345818911054,-0.0002445142094009742,-0.03905121404739018,0.10480438349270739,-0.00043235228035676834,-0.029811115856512273,0.01890187201956211,1
TCGA-05-4390,0.02773326166270445,0.032307634102597266,-0.001418830457960674,-0.28584567418728446,-0.0,-0.0003032387798565384,0.03893855864874307,-0.037226646760944,-0.002358662578616479,0.001496173774432743,0.05216956897068051,0.045123561961486695,-0.04645196953760467,0.0005265914424533891,0.006091710128214712,0.0004953839734682812,-0.003988091653773355,-0.08876032114054122,-0.0001554143390869469,-0.010630202010828801,-0.02885280451456737,-0.009636651184684368,0.03813772378864226,-0.0932259854882053,-0.019011201323115744,0.020191628847114097,6.577954995501661e-05,0.09625598262796918,-0.0004884060274403366,-0.13396586571440297,-0.06431868142654154,-0.010796393837707884,0.000188191353833654,0.046667503478993316,-0.000941354550966035,-0.045149793366958804,0.016546944929603683,0.0049683710903135675,-0.012306224071609142,0.18023953178206512,-0.004343646175187363,0.04229769589309363,0.04946079790310673,0.011574305265771584,-0.0004093437775098024,0.013993864165655063,-0.022808984871820665,-0.06890181216136734,0.0029334813308962027,-6.36244354013137e-05,-0.0004037213589053984,-0.000905785242645817,-0.18017697681739037,0.048189400973769225,-0.0016349828655446647,-0.03979529074160233,0.06968126212483362,1
TCGA-44-6776,0.014876003419081187,0.07134357606455385,-0.0015636903643511625,-0.35583779911396163,-2.7361512525075417e-05,-0.0013519749599230698,0.014541170296875149,-0.045408250991679056,-0.010232202655839292,0.004272949300323643,0.028441344679546704,0.010233698228835093,-0.026542614943448666,0.0011160161147481373,0.0071102478008674645,0.0006934819029493331,-0.010358065814545412,-0.01924069491923282,-7.076177474362708e-05,-0.005982662839195186,-0.04144431534314073,-0.010227728275329515,0.03808410048114261,-0.045877634804795585,-0.017367392848855655,0.022915870636239063,0.00031257818319013823,0.09512613815772933,-0.00027300615697936224,-0.14084004515870963,-0.02720594200837593,-0.007545191461527878,2.949628320706302e-05,0.0010752166918993088,-0.0020043408387036463,-0.00441085201051751,0.038760386698014494,0.0011875894831630855,-0.007408980323800372,0.18678849093466557,-0.005553771718455445,0.03690445900965635,0.08541004400212757,0.022383086197289927,-0.0011272097717195807,0.02925637752894185,-0.061714285664921764,-0.021520868937737487,0.0006848575065901516,-0.0002372725853557802,-1.3034093226392163e-05,-0.0005492078791950576,-0.022914827926245218,0.04348069600710092,-0.0008971503466596132,-0.026092321984546977,0.025186650763299498,1
TCGA-49-4514,0.020710901684760027,0.030993464011537433,-0.0007768348323018726,-0.42636741011890056,-0.014248067279742168,-0.0004077091325712425,0.024020644803295094,-0.01128063819516565,-0.005111460019861952,0.00046692917222171593,0.0061371527533405175,0.014569379295852544,-0.0266274854138254,0.0006603161892422573,0.007313793002241065,0.0041862734157257185,-0.002119064455240127,-0.01059085208467072,-6.502403272548476e-05,-0.016367780484626976,-0.026119656207316284,-0.0034382363449906844,0.029071370242030117,-0.03954717086203963,-0.0130750747617836,0.02339047188001401,0.0007278638093244344,0.0806808710901612,-8.77061702619692e-05,-0.04773390529726197,-0.0040765459671131005,-0.0021295385194888368,3.144991661984379e-05,0.025119782933120612,-0.0008471176892365015,-0.0024421086727073322,0.013151173548509726,0.002794540090658993,-0.008159413484729424,0.04551655281524572,-0.004029153402900282,0.025358677405595255,0.04396077982931105,0.0500218852694074,-0.00014319148406739037,0.008317581424050499,-0.006034357275478147,-0.06807704771355663,0.0022496251445124037,-8.015649613727967e-06,-0.005040864577571778,-0.0009373091562442634,-0.014050918171082628,0.055094603529050344,-0.0015974203769729294,-0.018689038624840715,0.02105318876149755,1
TCGA-50-8457,0.015006158406900552,0.040200349866411786,-0.003219579551901365,-0.2755547567828931,-3.4877121115654064e-05,-0.0003708927660115806,0.012422206447463923,-0.015894081443979788,-0.019204290174014815,0.004335263193349664,0.016263743133850723,0.008379538487192,-0.021992316819978458,0.0005989917882966584,0.0030498023401672107,0.003762652894212874,-0.004889457224792768,-0.01285088026311286,-0.00020991454042901058,-0.009031201759517538,-0.014303935655383872,-0.007555550965153651,0.0589749053950976,-0.03792641982087141,-0.02555250604437065,0.01701024107605411,0.0009440284438506152,0.021358937694423433,-0.0008181304856063866,-0.024303144037259573,-0.03345977014891694,-0.012628240949389018,0.00018004419950714377,0.001459081359193287,-0.0010017665754924875,-0.010880133381760873,0.0281575440772633,0.0009063528396532442,-0.012304800918094362,0.1206076081326672,-0.004083950954255975,0.02647453325657087,0.053438102143623246,0.015156226393632977,-0.000554472484894071,0.02131255842912472,-0.03562358959542399,-0.052080616001439636,0.000960812252549884,-1.2898507506396667e-05,-0.00039182290944526617,-0.001167312804167273,-0.033256385127752634,0.04190165720761533,-0.0007906542002195911,-0.02029430874981904,0.013761443288816275,1
TCGA-55-1595,0.017813404517588494,0.03889908491275944,-0.006151074467967985,-0.3172942112928281,-2.341581801502162e-05,-0.0006508095237289363,0.02899888191279688,-0.03245049570330517,-0.006617501764204316,0.001880608754434629,0.03036229345316909,0.01327600698920287,-0.02541900066444841,0.0006039769402153276,0.005050460511762041,0.0020746122264394228,-0.0028829328513860428,-0.018550786822358518,-0.00014117294061514652,-0.010853926089448733,-0.020212043251733227,-0.007558409442432899,0.03970328677008929,-0.06119054825811831,-0.06033213002615812,0.02004855969423318,0.002314370753370745,0.14656031781095902,-0.002347910739544102,-0.15589337638816325,-0.028031215173346977,-0.013482887844531543,0.0002966727743619321,0.011253004260741033,-0.0019305793405926973,-0.03067378997000802,0.025095178031047258,0.0032662520821741983,-0.01697248569138297,0.17737981226616478,-0.005223173294139168,0.029647983209616795,0.09775481111819335,0.012847778193789494,-0.00046278905493877436,0.03122823234947602,-0.0286256177609098,-0.040603008286462995,0.0012776390687507244,-0.00020375448632250007,-0.012614550285015914,-0.002307207396239554,-0.065032337661472,0.06411621282643709,-0.0007610922416950836,-0.030510551615920298,0.03301571473405897,1
TCGA-55-6969,0.013047627617372874,0.026436993206917916,-0.0040835818937215666,-0.3125791583110824,-3.165950118781258e-05,-0.00026382259884992563,0.04945870433915667,-0.01662461979601791,-0.00738720625723153,0.001896914481040797,0.04085470279312429,0.011653490460682705,-0.030539247652992433,0.0004208421492921254,0.003274341432210828,0.0011833674342214804,-0.005385783856414387,-0.030143220473384184,-0.0001248223236905082,-0.010041479877677149,-0.013491445184495486,-0.01272113165233238,0.10019250781456207,-0.02769220109332465,-0.013975168645836146,0.016764722250811222,8.744614176915841e-05,0.02353240831601042,-3.4039437715171655e-06,-0.0242789540023866,-0.011864928652842981,-0.0045543607194494995,0.00021230574920496465,0.026724717480528206,-0.0007617756770607266,-0.01184076067351025,0.016461942678507403,0.001512712449104837,-0.016106302711251942,0.0800597940803544,-0.0052694336584430375,0.04767024369625219,0.0705481272396022,0.0033910230142418524,-0.0002712300167263404,0.0062415700570987,-0.019647655902731195,-0.056829526418493,0.003123936985599897,-2.047404146904662e-05,-0.00011193834123339169,-9.586531798135951e-05,-0.10198390482511319,0.04548327332745056,-0.0009039762534317255,-0.0311242264147675,0.03819471292181928,1
TCGA-80-5611,0.04851270846041733,0.058564673360644824,-0.0006993945292329197,-0.45787430732213225,-0.0,-0.001738391762845402,0.05925493138323021,-0.029972611895563227,-0.015986295680554312,0.00025914442335670673,0.034070047524258455,0.027811366990666733,-0.01961774044403918,0.0009673445072927763,0.006148226237162718,0.0032866850414430783,-0.012668229062825083,-0.13261372755576592,-1.3623659030467878e-05,-0.014002347765195461,-0.004725851646531404,-0.009400131503862225,0.030185661752570998,-0.12960584428493174,-0.02875603965398925,0.03643366157611477,0.006576116955579124,0.03870223524525708,-4.506173183246533e-05,-0.06054500409082459,-0.03900931383599135,-0.009854731676646801,0.0008854752703092164,0.04528093111134901,-0.0023618928100820656,-0.020074612733466876,0.024365209774724186,0.0008784191822304078,-0.05017047398234659,0.1392787958188844,-0.005628653416777108,0.037927705331836245,0.12078304999764591,0.06133855307329185,-0.0005232003144641737,0.01696083639272252,-0.018478522199265383,-0.032656584211486546,0.0056497899634010374,-2.4102396482264594e-06,-0.010926364206299364,-0.007932721487052421,-0.013284445527221241,0.13098527295965537,-0.0006126205870413664,-0.04237382573421311,0.02442773579078756,1
TCGA-62-A470,0.011703331540944172,0.015385427496830594,-0.0011998844576217073,-0.24854692809273085,-0.00014155179054817986,-0.0009015684073601023,0.023339675653586037,-0.025484519012377742,-0.004391680948644521,0.004792373043551874,0.01997652462798824,0.013449799788325046,-0.017581522952975995,0.00030014833957969105,0.0032247350977805066,0.001542119847505932,-0.0008972463553169478,-0.06058105035029848,-5.040419928061584e-05,-0.003473237012578988,-0.04025846787123703,-0.009637066436451286,0.027773596077332676,-0.05176986992526142,-0.017415281985250396,0.029659992706804923,3.5535438502371374e-05,0.04693429806202476,-1.14240017673485e-05,-0.040648122337117974,-0.017136619971030186,-0.019822722847173208,6.968994671732822e-05,0.006708653222643787,-0.0009358776328873004,-0.011317669870186692,0.025579782262566058,0.0011893378108005564,-0.009568292338495944,0.07162048194904776,-0.004647198086398322,0.04148694421957863,0.047033279915181934,0.024392500393229204,-0.00023554062292265222,0.02037260053259301,-0.037101837111036914,-0.011848563635831356,0.0011502438297698089,-5.158363359288404e-06,-7.701729542089942e-05,-0.00026456465578428577,-0.023892009652500053,0.03194449130183164,-0.0005711105642122374,-0.024289103106635332,0.033724105141109136,1
