,ANP32B,ANXA10,DDIT4,ERO1A,KRT18,KRT6A,LPL,ORMDL3,PGC,SHC1,STC1,TNS4,YWHAG,class
TCGA-55-6979,-0.18858230634927586,-1.7078996690881596e-05,-0.004151011035615506,-0.04860782817946424,0.008119408466602767,-0.00037695100410069346,0.0004399682548236107,0.016164231925529463,-2.6216875798252917e-05,-0.009161493641704387,-0.001465758722688793,-0.008077783125279556,-0.06394235905776322,0
TCGA-75-7025,-0.10731927132075232,-2.6512563319469216e-05,-0.005017968145884638,-0.03047842938100506,0.008809583754799332,-0.00010147823023835305,0.0008012874623357,0.017305576136880527,-3.119416718009672e-05,-0.013774115952887748,-0.00017138032499991305,-0.0038537916342633103,-0.028957659079093073,1
TCGA-62-8394,-0.2066698000334743,-6.481995052814457e-05,-0.011323668793466761,-0.09776168581399788,0.01319178773828226,-0.00027536278029691174,0.0004637192932883608,0.020900673569351307,-8.722331707025891e-05,-0.02344387128899928,-0.001040424463582227,-0.004424562769529362,-0.07786621305530197,0
TCGA-MP-A4SV,-0.18308098428767502,-4.5047286573936027e-05,-0.008852596537514973,-0.09246657587902896,0.013120717569329985,-0.0002870893165223295,0.00037961170994642106,0.018659514435202113,-5.028949007987587e-05,-0.01420322429791957,-0.0006320468144230518,-0.0019049230232297152,-0.10976755475435539,1
TCGA-75-6214,-0.22293225040741005,-0.0001138676195484683,-0.00337917679657151,-0.09347235247747901,0.007693188987569035,-0.08228299648375216,0.00021020232833757674,0.00978075044835329,-9.18281370199208e-08,-0.009212362641261308,-0.0003402425651929882,-0.04594664180043017,-0.08876142110415679,1
TCGA-44-6777,-0.11678145268056897,-0.0,-0.004270094091947444,-0.06595840839258497,0.004590383657348175,-0.00018804622160749338,0.004184708485584616,0.009396009265795143,-1.0479527881558026e-05,-0.016092526616307976,-0.001061525186193786,-0.00392617669265546,-0.10126210316017079,1
TCGA-73-4662,-0.10896943647389051,-2.3154076050725385e-06,-0.003067049348291368,-0.030944280975159884,0.012181748660507568,-3.489240325541179e-06,0.0028387975128336494,0.03248082036982311,-1.1328680204787182e-05,-0.02197542428171199,-9.836339350836175e-05,-0.000103292991586492,-0.0827503741531725,1
TCGA-78-7149,-0.10691438970793221,-8.547522035161347e-05,-0.0038868143614504466,-0.06242675584170889,0.014650000390691559,-0.00029244233670652227,0.0171689512053776,0.029903314198004332,-0.03658366222913361,-0.012114992562870089,-0.0007423005366381413,-0.001931519838633171,-0.05318490884214982,1
TCGA-O1-A52J,-0.11235979461584436,-4.8096288667744413e-05,-0.006215519629559649,-0.06777598583279515,0.005872076415658449,-0.0,0.002087323676488218,0.020290304349617823,-0.0016616210826678206,-0.016447736537760667,-0.00024898175170032607,-0.005682748589968123,-0.07031323366668094,1
TCGA-78-7540,-0.13597401063733885,-0.037860410379171386,-0.002771568142378088,-0.11481159904868896,0.01893848509750082,-0.000978548588705253,0.0005621523303439339,0.013211137712933379,-0.0001013310308199898,-0.007888895577335568,-0.0002365569416145685,-0.014832470293704332,-0.07686644652663714,1
TCGA-55-6978,-0.22946889257930175,-9.067915625608343e-05,-0.03752531205057266,-0.12593272391356916,0.017634941836182163,-0.0011659134612824525,0.00038785333054446123,0.008457905001587902,-2.4312101145835957e-06,-0.016441081396626925,-0.005675815849959784,-0.0065062763892643986,-0.14202253640724866,0
TCGA-55-7816,-0.12041868688341642,-5.0824343172730873e-05,-0.0018395450322574835,-0.02543041303558197,0.0066035907987630395,-0.0001686934648456914,0.0009579038806281835,0.009578128956735201,-7.089453175170913e-07,-0.013792714107194666,-0.00019611702657022464,-0.0001787027858480542,-0.06850584510488894,0
TCGA-49-AARO,-0.12955833956264295,-0.00011002771089649157,-0.004952215488535533,-0.15661059572359923,0.01483288463697275,-2.800252853203582e-05,0.0023623877639478087,0.009851300762451217,-7.981596199252092e-06,-0.012526112259094863,-0.0004932284500568523,-0.030886864344493434,-0.051732716206572084,1
TCGA-55-6983,-0.19278784887882883,-0.00011957590166394416,-0.010263760926362742,-0.054645585551154466,0.00953885488740112,-0.00040998573825108854,0.0024517232409526843,0.0136124689649693,-0.0002017855099100741,-0.013845872870656514,-0.0006752908747306157,-0.00406865218222848,-0.06372047016009146,1
TCGA-86-7714,-0.22249618188534306,-7.959500202784013e-05,-0.011390222551229772,-0.08859635408819994,0.008111298108361744,-2.8289733952877213e-05,0.001366340761123969,0.022375226156578863,-8.120083576930075e-07,-0.00876121325950437,-0.00021765813172647743,-0.0038091507048802556,-0.048454463340709436,0
TCGA-78-7143,-0.21309345057127824,-0.00018835038498293046,-0.00682432473242319,-0.08847226062619351,0.008483496875665155,-2.487076729413765e-06,0.00399925664597088,0.023284386702181827,-1.4203210426556838e-05,-0.01441887393302309,-0.00014601880716960875,-0.001308459016613136,-0.13440055145309274,1
TCGA-55-8620,-0.2808809997682116,-2.1663962245480682e-05,-0.0024040607265236914,-0.03396188410412681,0.00643171561981087,-1.0874086093345934e-05,0.0004984437830593323,0.012528888499721646,-9.677149440855873e-06,-0.014968334904597291,-0.0003160064694213454,-9.905140795352263e-05,-0.14240346015574679,0
TCGA-55-8092,-0.09674495990423798,-0.00013078614244493893,-0.013216336146677493,-0.03363661710018925,0.00434384082123185,-0.0004069578598249841,5.6466376945652065e-05,0.016793742343784362,-8.587822402200083e-07,-0.010351429581793204,-0.0004906576699027863,-0.002522838317563853,-0.07645425858903458,0
TCGA-50-5068,-0.09185159983715459,-1.842009911560183e-05,-0.0032332412705215266,-0.030318073659175895,0.0027905584214431706,-3.079819832001321e-06,0.00016474015501381038,0.006257935005452489,-0.00012071903441116953,-0.004332282727485271,-0.00019880448927886774,-0.00025261759571438945,-0.02668550518760506,1
TCGA-78-7159,-0.11293017394824206,-1.2413794239077025e-05,-0.001480745681941252,-0.09905710493500187,0.009100863522857312,-1.3840856983101174e-06,0.006148766630118315,0.020321118896187443,-0.02325916602205608,-0.014473680008646753,-0.0015022653064578823,-0.0012154918474773975,-0.06153172362495267,1
TCGA-MP-A4T6,-0.08187593088954292,-0.00027405485361227383,-0.0014467977514143328,-0.03933698967759915,0.012070237826949392,-1.8851674963738244e-06,0.00046033653856528465,0.021680205836760752,-2.7337156141522163e-05,-0.020450655671612163,-3.613395238511739e-05,-0.0007336549001878675,-0.04757179277957001,1
TCGA-55-7227,-0.2332620004164514,-1.6620500135421687e-05,-0.004930128005695003,-0.07420087471701499,0.007573923777587662,-0.0003928359081746765,0.002559469104268605,0.012435068796468034,-1.1653689903228476e-05,-0.008772365562839874,-8.72484391965647e-05,-0.001956065396378059,-0.06686414950826963,1
TCGA-49-4486,-0.1325590440748074,-1.2872290794536935e-05,-0.006166714927720306,-0.01809486765154256,0.012966148003828469,-0.003039928832272542,0.007754309153251323,0.022074486695803322,-0.009622037769842827,-0.008853330955593201,-8.916805541702408e-05,-0.00031627611728788887,-0.031134319689277143,1
TCGA-44-4112,-0.1827839167947122,-3.6908972714522644e-06,-0.02019417044542759,-0.10910958646957852,0.010216344791772023,-0.0012284050833299952,0.0006359937656399318,0.012111987629825413,-8.492096441636245e-06,-0.025727853128237527,-0.0017663292193256213,-0.0038047005187735335,-0.16267394454148573,0
TCGA-49-4490,-0.14716310618476838,-5.842392357947886e-05,-0.01471883638661194,-0.12674753142511355,0.014807749307031635,-0.0008184468434702637,0.00031350960742594587,0.02019880385458571,-8.34478164004998e-06,-0.010745005403494627,-0.0006433349105900275,-0.011476265093498873,-0.09924096741661964,0
TCGA-MP-A4T9,-0.11576117781751243,-9.169931109198173e-06,-0.01673599682492384,-0.13606365219615427,0.01673362600947686,-0.00041651202313318657,0.0033138387836724272,0.01974555326116455,-0.0003378505048973817,-0.015562092100202764,-0.0011002110989661025,-0.007342528939459583,-0.10287995257551714,1
TCGA-MP-A4SY,-0.10216995931488901,-1.9153693604337683e-05,-0.021179586377939905,-0.1411879286206518,0.032032085893120635,-0.011568930723042607,0.0019434438422667108,0.020309739314513964,-1.3023316311439453e-07,-0.018445217845815626,-0.0017914573720467716,-0.006326669659363416,-0.17772978653411017,1
TCGA-MP-A4TJ,-0.11217303863195592,-1.842009911560183e-05,-0.004628570921317817,-0.049695513751734983,0.010540808092456652,-0.00010373920908327466,0.0011679370712296064,0.012974995931820594,-0.000589112808678425,-0.010628243917465006,-0.0008481240857326804,-0.005319571683164859,-0.045401971210752526,0
TCGA-55-6970,-0.15693953220240645,-5.061801972277391e-05,-0.013391725117815344,-0.08773034207911688,0.00854676181364883,-0.0014639838020867391,0.001081902342772702,0.009090987000503908,-4.626888509432576e-05,-0.02960546122593957,-0.0005425211834355501,-0.015331238808446782,-0.10811692136293424,0
TCGA-49-AARQ,-0.09814075682883146,-3.219792060717208e-05,-0.009397438454083844,-0.047914745238581045,0.017791189601681995,-4.308081312620895e-06,0.0005188530698885587,0.01088798683746021,-6.393118463237082e-06,-0.002283026398184391,-0.0003333394747060814,-0.0003311216600032817,-0.025966356467394962,1
TCGA-50-5045,-0.11365569597175648,-1.1875060786411632e-05,-0.008352709879238106,-0.05509995713340561,0.012715670532699255,-0.0003997043952603302,0.0028719331329619636,0.00817293615671854,-1.6555661577179527e-05,-0.008238916465478537,-0.0003615051377996057,-0.0029786347227132672,-0.04081666536498099,1
TCGA-49-AARR,-0.09205254830122764,-8.894833175922228e-06,-0.005416135859398498,-0.01869191938173943,0.005729531124892347,-0.00024845713204234467,0.003180132840549869,0.0109791935661176,-9.130777757680791e-05,-0.010691912532519249,-0.00041057203397589637,-0.013509513405165392,-0.03723695189792731,1
TCGA-86-7711,-0.08977450295176784,-1.9990449818052015e-05,-0.010203470317290261,-0.22223517265892168,0.006313371442151806,-1.2527044951592676e-06,0.00023240550024722224,0.008830586301394265,-1.5408211110971805e-05,-0.020028861392578808,-0.002358143136139869,-0.00730178192291991,-0.10215895839970018,1
TCGA-62-A46Y,-0.14970343831394886,-4.487535036563856e-05,-0.0061529193543587695,-0.07570867405823703,0.007399089617493681,-0.00022967267536859058,0.0011557796557703085,0.013382279818291687,-1.8311745725582957e-05,-0.007471977342301197,-0.000503921841590823,-0.001189764209047911,-0.08532236030266901,0
TCGA-NJ-A4YF,-0.0702298740273283,-0.0,-0.002224322924567499,-0.04066958217048171,0.00864858203105511,-1.97071804726275e-06,0.00012098986059535833,0.011666622344357344,-0.007743137557961601,-0.010743407510697661,-0.001483039032626301,-0.00039050383086485305,-0.04331932028030609,1
TCGA-49-AAR3,-0.12583625503834847,-4.8073363839971415e-05,-0.0028176782337342955,-0.050633412502024404,0.016362431148569754,-0.002789827907502403,0.00018627702675072877,0.006357506345095411,-5.993476908116679e-07,-0.011249807742361957,-0.0003610271157211776,-0.005980771990802661,-0.052365598923512544,1
