,HSP90AB1,LAMC2,PYGL,SQLE,GSTO1,PLA2G4A,ATP6V0E1,PSMB3,TMED10,TNFRSF12A,RPL13,TGFB1,SSR3,NDUFA4,EZR,OAF,BCAM,ALDH3A1,CCL19,MT2A,RPL36AL,AQP1,ROMO1,TCEAL4,EEF1A2,SMS,RPL35,HSPA5,SERPINE1,CYBA,FXYD5,MANF,PPDPF,EPHX3,CCT7,NSDHL,CHGB,HSPH1,SPINK6,CCL26,PFDN2,SF3B5,CDC42EP4,class
TCGA-CV-7410,0.08700374183973071,0.002441439568587767,-0.027716089124877417,-0.000347140174557935,0.016582975477240438,0.006081982810647978,-0.10214057871941558,-0.033133377189484566,0.040303123559748556,-0.02417651687384233,-0.026640029183567098,-0.006380167896478238,-0.04449785394757973,-0.042050016279130575,-0.16565525369625086,-0.017052346900986722,-0.010145231467446801,8.212196777292316e-05,0.0302375723056354,-0.021519901350682644,-0.03838450283705221,0.026325561212105747,0.021446567871557368,-0.02595849664456953,-0.0008050580708623172,-0.013963634023466797,0.0024143280151430755,0.002871561256794099,0.004633359947916483,-0.005928762531844037,-0.007801523818946577,-0.004870249026213324,-0.014275806948939245,0.0014094416649607585,-0.020182197457484445,-0.03191995267395972,-1.8785065129087965e-05,-0.04310816798402308,0.004043582131677123,-0.0008858469162098151,0.010247297162204757,0.01606742597144564,0.02379296988873693,1
TCGA-UF-A7JH,0.08916457312937975,0.0010991005251534565,-0.021546280031474213,-0.0008143836240043332,0.018331894956085858,0.0016176616166132176,-0.10647468620603907,-0.031244059062455472,0.03862887863592615,-0.037639694636175516,-0.05957264819758966,-0.006782894684218029,-0.029371222165915332,-0.06636685166451282,-0.059733767233046964,-0.022728707027441154,-0.014440762322413373,0.0003194097986083709,0.0010283333382696005,-0.01582924140353565,-0.060639630575010116,0.023330043597399486,0.03676752065907186,-0.03365417038770616,-0.012142395158521519,-0.012515912530620406,0.005355223066634727,0.0059348498254974,0.002989607497764604,-0.004846094315523353,-0.002930867544394161,-0.010011231310445684,-0.026903844521282902,0.012850553978470649,-0.025086727721751197,-0.07106307176574475,-0.00911758469456854,-0.04055915426375364,0.00880646120796251,-0.009265419768874975,0.024191199623885655,0.014239444994128658,0.07249017418030321,1
TCGA-CV-6935,0.09710866865511321,0.003420012414890331,-0.015490782539828832,-0.0006247309466843957,0.024410466139244916,0.01153385048865542,-0.12559407617180401,-0.02764675732341997,0.025897799244633323,-0.035684895975822924,-0.05388467770854115,-0.008779090398931608,-0.03923695119653277,-0.09242422490687084,-0.11927055035179276,-0.00914530901388605,-0.02294855830474322,0.012831171140918838,0.00035196151188473536,-0.008598106057627614,-0.022959580527286198,0.01234255783419178,0.03524234045772772,-0.03738909370930415,-0.008718873228508534,-0.020738207883356136,0.0033762277379754922,0.0023922421435110595,0.018241803529906613,-0.0018581011545567097,-0.007179697017210721,-0.0034015097324822563,-0.03398352915928978,4.8504928437141514e-05,-0.019663136013263298,-0.06415641427607392,-5.642772459625652e-05,-0.04237257570024867,0.0004145805370949743,-0.016798909510062965,0.021214770543326524,0.02044766109636881,0.023471892494641492,0
TCGA-BA-A6DJ,0.06533464038572846,0.005386470256277904,-0.014904785034499567,-0.0005615465698611836,0.048429246971536756,0.0036025627033293237,-0.12895194878496238,-0.035351169612898414,0.030234287080272666,-0.06651196201112289,-0.0268425857833204,-0.008586290259587728,-0.02833725262872642,-0.07154297709685503,-0.15559513678602818,-0.03642597676701862,-0.01527594561650438,0.0007350961211477164,0.00039301221131254075,-0.10600438682141382,-0.07651614826986616,0.00486203334166307,0.023328751499362026,-0.035111750468934166,-6.252932087262794e-05,-0.01735830378804209,0.004056592208279751,0.00445617677078463,0.008187237692395287,-0.0009804991748009009,-0.013043965294024063,-0.007101789885458971,-0.017692660946992483,7.320085502460121e-05,-0.018605789796455885,-0.0559982042508537,-3.8005305512131645e-05,-0.036842734219906,0.07437010673507637,-0.001051783539689996,0.018841525234887142,0.015010515774098931,0.06636049527818366,0
TCGA-CN-4736,0.05581260981669059,0.0017021292462413688,-0.022242885375323197,-0.000303644173787305,0.03447858804487362,0.006584727995380832,-0.14327149055508215,-0.034663424092664416,0.04498460696266401,-0.050467115997095566,-0.02564330425538496,-0.006215422101135337,-0.039075423001970165,-0.09472356810486883,-0.12753622972565287,-0.03387353867247914,-0.05862178398740298,0.00028470452971257723,0.003984912681090927,-0.01738209786013488,-0.04274077199233212,0.04214656185610064,0.029266770963908267,-0.026755853597746928,-0.07371297009975726,-0.0073143563452224974,0.002205280008260579,0.003145080074765009,0.004382205418564966,-0.0065454782280497245,-0.008616147486908261,-0.0036572169915084943,-0.02612115502453735,0.0014685896902512346,-0.01995837002183435,-0.0298347387704951,-0.0005130923470449179,-0.028891645455107737,0.0010056292551373451,-0.001268403561948578,0.007959222628894796,0.015749149875916597,0.0429979595170312,0
TCGA-CV-6952,0.05720388666566182,0.009402641547929223,-0.019183136633132137,-0.000887956311937583,0.028484263449850247,0.005931697119805873,-0.10727034329297716,-0.028617810939414456,0.035829492193870924,-0.04892436576866875,-0.016176631122598727,-0.006318101000178926,-0.031219887261632086,-0.04705261542376784,-0.15290365295307393,-0.019019374702659787,-0.039988073146305224,6.544300505796214e-05,0.0012261484668622063,-0.04198998892451493,-0.03716065363076432,0.008607421895937281,0.02911460835557356,-0.02829119350974043,-0.005899671939972624,-0.014830655665400516,0.002720503967873275,0.003041991553841409,0.014756972783217161,-0.001409240015799636,-0.007866332688803443,-0.0035920916970088143,-0.0165523581363696,9.673392473364102e-05,-0.01739345697494042,-0.03755930187060074,-0.0016598309477960547,-0.049029629003514104,0.03209874823503787,-0.0007961826269888383,0.011731198391525196,0.010837983108922948,0.0476062727067699,0
TCGA-CV-6951,0.06542602071830435,0.0017076113129705932,-0.017381903328850545,-0.00018850151754305384,0.04732411861295473,0.008338211717552103,-0.11378437715659556,-0.037689037552668794,0.04414565160766,-0.017212113539159975,-0.04221127060239832,-0.008036683395256136,-0.0336313919330895,-0.08218398173282897,-0.15261842806173054,-0.005334129727863659,-0.046394370693670146,0.05545000547813555,0.0002834830465154527,-0.00970775461908126,-0.04172368831085642,0.009195058677277542,0.03140121970606899,-0.05278578534535892,-0.018141880983365354,-0.01223142397725257,0.0030335395221765607,0.0018456095934454434,0.00522925625071767,-0.003933470173848909,-0.0022702059073586704,-0.0031329555285416217,-0.03667659206457884,0.015554826922832646,-0.017293203567585718,-0.03591761254020958,-0.012847710106481013,-0.006057158611428247,3.875980447504402e-05,-0.002839877366185889,0.012349556998005683,0.019359255508705396,0.052243310193450625,1
TCGA-CV-5973,0.017130890218727435,0.0012627017827158593,-0.02043875122151246,-0.00012410306733356765,0.024528987431240143,0.0006238325127827781,-0.08808274039919037,-0.04033220576569509,0.02324867082991893,-0.06547885536253158,-0.04011877162689609,-0.008301983975025408,-0.01633067501673024,-0.035841227893426975,-0.11562857558841162,-0.00809098882368591,-0.03702741281936041,0.00043782277126772664,0.00013193521992076285,-0.03066117310939236,-0.07567940810359973,0.00653528725664833,0.06125109781179814,-0.059657479444204874,-0.00035531301762937827,-0.00867276050424369,0.0023524253325978087,0.0009546311270807933,0.00909210575084241,-0.0022991852091337572,-0.013292811159628631,-0.0030724851988413082,-0.04677697155139472,7.075688463605771e-05,-0.00889879843113908,-0.030667066958931212,-5.719446194846419e-06,-0.01096247392261474,0.002852503298211553,-0.0010639393141937588,0.014935616765638152,0.019909093445490522,0.011429473060378417,1
TCGA-CV-6436,0.021626752602803646,0.0003602362248608465,-0.007702985770882356,-0.0003051911318409865,0.03206852647987853,0.0019312502250530752,-0.08353412911951048,-0.04224808587333552,0.01230335859565686,-0.035111347244910864,-0.04603639864678332,-0.003163421188761997,-0.015094704326728338,-0.044060263174675,-0.0524498823831308,-0.011484321515841382,-0.009266938703409942,0.00030079602513436197,0.00034187261550692533,-0.035623858832558995,-0.05214018024741993,0.0051310565899065855,0.05031690015192476,-0.01976825518620889,-0.0008605410530030695,-0.011676663815582626,0.008123144580029525,0.00107390557934184,0.0005867519923309442,-0.006975948433671067,-0.012526335778743878,-0.0039802538635079245,-0.047737328711632214,0.0012640451362810378,-0.01472816420724052,-0.04144764101956347,-1.5127520732745965e-06,-0.007648208387558579,0.04134158279506205,-0.0004005636744104388,0.026073827817412965,0.012511371401661597,0.006112573421918118,1
TCGA-CN-6012,0.051700325568225805,0.00030841067160781885,-0.006541493389545861,-0.0007775234162747848,0.016119143779171664,0.002650768394230661,-0.07821448317370695,-0.025121419120046687,0.031831511287927806,-0.0074179501740884715,-0.019611039346983543,-0.0033234823539637815,-0.03225876591774625,-0.060111547546731973,-0.08817745840987708,-0.017628752602551766,-0.00866294178261322,0.025357783060419487,0.004702276739377905,-0.005176421353595133,-0.030904373263511226,0.02070858458400182,0.022453959438791683,-0.029773729299581064,-0.0009371075683573079,-0.0078307931102372,0.001783456834378029,0.0019513778491262346,0.003305468411350661,-0.004896276229309164,-0.001954332418050146,-0.00316851516466161,-0.0171467940305301,0.0056593090762517275,-0.01810288857940657,-0.04028486611750944,-1.7634959100776457e-05,-0.012788166204432733,0.0,-0.002218243419868033,0.007083879694079686,0.012941846993779947,0.036362270387695066,1
