,ACTB,ANO1,ARF1,BCAP31,BSG,CALM3,CERS4,CFL1,CHCHD2,CHD3,CHMP4B,CHPF,CLIC1,CSRP1,DDIT4,DHCR7,EHD2,EIF1,FABP4,FMOD,FOSL1,FSCN1,FST,GRHL3,IL12RB2,KIAA1217,KRT18,LMAN2,LYZ,MBNL1,MORF4L2,MYL12B,MYL2,OSR2,PLS3,PPIB,PSMB5,RALB,RPL22L1,SDF2L1,SFRP1,SLC25A39,SLC25A5,TBC1D2,TMEM14C,TPM2,VDAC1,VDAC2,YWHAB,ZNF385A,class
TCGA-CR-7377,-0.26034188945289616,-0.033484408136222506,0.06525916626519386,-0.09323902749272069,5.942562963047701e-05,-0.0006194621514782593,0.00027423404370158504,0.1438805803240345,-0.004022712667277152,0.0340685944510596,0.0280335026683487,0.026951427227972106,0.005672426698872236,-0.02878102827996288,-0.04510686254211687,-0.001720029870963065,-0.028907703787445574,0.02334804567213549,1.835400539827304e-05,0.07812541301180596,-0.0349399687039089,0.2328097747793557,0.001838485567785198,0.032359804136409424,0.0007163190290262412,0.01942777922351772,-0.0024466312016381496,-0.008323377380463978,0.0009099337271688187,0.12566771131266904,-0.07887313370040601,-0.021895413171965254,0.06259314771164816,0.0004980079218416401,0.011859444896808543,-0.027395946403106056,-0.06518451086748063,-0.03632088306056235,-0.00717535123288992,0.011121899547662097,0.015597036220281326,-0.045617913905115985,0.0037964023761511657,-0.010208884905726905,-0.012985200490216503,-0.09958113515387769,-0.015535612360468012,0.006804501517960692,-0.11469127059693392,-0.05966147216235575,0
TCGA-CR-7371,-0.2002420474374321,-0.073111360329869,0.06818188654367091,-0.11383758386533317,4.013873343339309e-05,-0.000650516366754792,0.0006878639982788703,0.06495059153034019,-0.0041804252783414425,0.05070403237209412,0.025237675632203284,0.013669919972038999,0.0036943581869254916,-0.02869245575657665,-0.018306296154753807,-0.014464232304520697,-0.020559858639913903,0.040696985244789353,9.478552988136542e-05,0.034224292530773893,-0.010110981088647003,0.09516853954769341,0.0037362073158685553,0.019362002233830135,0.0005335945797157114,0.016957364631556497,-0.009079423310207568,-0.0063932857027537895,0.002945162423910577,0.12531608718559095,-0.08701352253879605,-0.01880409116699359,0.002076435144105467,0.0004895529258340147,0.012202313528255312,-0.02929673621268101,-0.06467914539313485,-0.0420787128400127,-0.021426033149609357,0.024698051358144305,0.006705474831328454,-0.0677655361852774,0.005327325255703084,-0.008033038744245349,-0.011251410245708271,-0.013889300267390823,-0.01269473832648316,0.01020248274165551,-0.08959669617072888,-0.06684799246667951,0
TCGA-WA-A7GZ,-0.22336452417419955,-0.038257207076988174,0.0582865835119992,-0.40620882627849186,8.94017732306711e-05,-0.0010191598807749208,0.00033483035890765055,0.08786609709506794,-0.007358708391046386,0.09536345547910725,0.0459118554564262,0.02322038829811237,0.00531377531341043,-0.02325078702876098,-0.04851955209689135,-0.0007515404041358225,-0.04208635329705136,0.030907358763558598,0.011921542211752342,0.016463456987716108,-0.00838846637893959,0.14047366672773096,0.010790807965344708,0.010365932062746133,0.00010490881608145886,0.009381034919507644,-0.009870152098031201,-0.006236420808683353,2.3169188944111094e-05,0.06212474439427908,-0.10902709690670757,-0.005762627605344098,0.0310058257918249,0.0006552766189118069,0.015370572539886808,-0.059454425344095056,-0.04228710597731695,-0.026209021301598676,-0.04534381147877608,0.00980780792412732,0.010758699510965369,-0.08240758429387515,0.006043038824360117,-0.01183350513122071,-0.0280730592224657,-0.049845219434111805,-0.011819321969838682,0.006568985877418274,-0.12416441654934884,-0.08678863001984033,0
TCGA-CV-7097,-0.34451363409770375,-0.06809751832910502,0.07939510971442691,-0.1472591014670212,0.00011028198531898096,-0.0005770254121548497,0.0004161785463742597,0.08531665998050417,-0.005345161519979556,0.05278764713753764,0.02957048724656328,0.01827337022768041,0.006522793392792904,-0.019252078261424166,-0.06429655652908949,-0.004217123919121882,-0.01976808064011213,0.032856122285404334,1.9486031000869585e-05,0.015415891611519274,-0.01326364550072791,0.17536747964106186,0.005634165134338341,0.02327250588243746,0.0005326732015644679,0.020429211142255748,-0.007358174365344158,-0.01220271877967087,0.00012399857492385006,0.09385409237003807,-0.1312406816418574,-0.022567557683981932,0.03498499403319116,0.00016692845786727475,0.01893088926263173,-0.04473578242018158,-0.07978480402901009,-0.029078668712981624,-0.01133934698702571,0.009521756753358718,0.005321354292360236,-0.07941723567494732,0.006347033618785565,-0.0186376425323602,-0.02561847188483709,-0.1593281739302943,-0.031167361722441222,0.009231671159654932,-0.14557864979485802,-0.07762436889421286,0
TCGA-HL-7533,-0.37580836624423136,-0.0010713317594412053,0.08767471061816642,-0.11979337011671799,5.2710508813820404e-05,-0.0007098047536750045,0.0003928674797507636,0.0954925642879958,-0.006626395872955647,0.0510343100455395,0.033853583799087254,0.0060339383315572235,0.00839020289314752,-0.039186255796536035,-0.06549485965030517,-0.0005325938183064329,-0.02305416795386348,0.0302409464338928,0.00021434553299700112,0.004995189968238647,-0.005860595723197501,0.1604071809509977,0.0006326205472152284,0.034423007245308425,0.0017272807952026655,0.015625714584972247,-0.00868787003762047,-0.008585412943893924,8.178765225689733e-05,0.13755148111039184,-0.12098548758150761,-0.025171433950493014,2.0860099296827105e-05,0.00028961968406325306,0.012130317132938941,-0.04196643618702144,-0.0695616719420743,-0.028250331543916842,-0.01919125565726569,0.015404282211059658,0.09176386706250406,-0.055134634712929995,0.005642559296370745,-0.008069773084524686,-0.012351023749232004,-0.04253753467846317,-0.022621402095828597,0.01160190550845852,-0.09764345011225342,-0.052382181815981727,1
TCGA-CR-5250,-0.152620621928522,-0.012701052040243938,0.05554513793352584,-0.0918572235965992,6.781508635602188e-05,-0.00047056819322966056,0.00022397257968262635,0.05161072226331819,-0.0030143300745841517,0.12202960731674548,0.023699014799191356,0.011337985103640917,0.00455819627990119,-0.04417416067377302,-0.01996083776483379,-0.0004958839156738714,-0.022569189302325668,0.029449390719921545,2.0769962965556175e-06,0.05636875322915818,-0.004435146675835966,0.08577180302569287,0.0017198776853003743,0.038172664453279735,0.0006482536759799496,0.049925150973634626,-0.009640583753064553,-0.007326463282889471,8.453014205781121e-05,0.11336352476185017,-0.06312374277270764,-0.015975255986350936,9.42876488216585e-06,0.0007089716148885617,0.007567264361385898,-0.01579269558659009,-0.04726963909979995,-0.012318422280059438,-0.004936455479168469,0.009516321410100923,0.0006571991238629374,-0.030662002596908888,0.0034881009878191542,-0.010880979471141534,-0.025862362280569633,-0.02900650769698398,-0.01048211580714683,0.004883180055410335,-0.0751143505490284,-0.04610831038245552,1
TCGA-CV-A45O,-0.10961083450658964,-0.001171056556698553,0.029817898578904652,-0.04299854096165484,2.613492718165086e-05,-0.0001663585593681954,0.0006821836735561286,0.037310850488573494,-0.0011571360919911881,0.008113746105113211,0.017008683585026656,0.006852271255118767,0.0017904888646429857,-0.007426874218645712,-0.04036651043205744,-0.0008798090661189049,-0.003855587371439166,0.011356087306201112,8.895773926128861e-05,0.0018068652166760909,-0.010213353094242228,0.030166040673652007,0.0003840602886755644,0.028015704273102834,0.0006763382150710172,0.008758990741993142,-0.0004569699254634912,-0.002062954040649766,8.16762739188967e-05,0.02525768168312074,-0.03854877023483692,-0.01286485324594687,0.0,0.00021656188152978611,0.005394080583343304,-0.006453589947886993,-0.021867323043177886,-0.012867478893353067,-0.005388616932929118,0.001850446844055699,0.0013949780560777122,-0.03676797598585822,0.0011461145518524994,-0.005415996041427725,-0.005076605932008255,-0.002127213132665227,-0.005458812559551156,0.0036168897176753426,-0.030838755447803522,-0.050851476122152676,1
TCGA-CQ-6220,-0.17592981087198561,-0.008360023127169245,0.039472836761369555,-0.10913827132737869,5.668935767849762e-05,-0.00028469689886253396,0.0008984336092444909,0.07088093146780364,-0.004069704467070273,0.01152344835119837,0.06588029051951261,0.017287969033397195,0.0062000520746528405,-0.01330368385622553,-0.05670124527274225,-0.0012198585005057073,-0.01929357408560255,0.022623183356954336,2.8418205893020553e-05,0.006138702591254739,-0.018515634241958324,0.17291519750756054,0.010189615381241175,0.03802143531374203,0.002859048066323142,0.020412281623444748,-0.003673163641293867,-0.006699827532030098,0.00011394282790167526,0.07548239620443639,-0.08894630618689245,-0.021369966992642826,0.0005600519459212141,0.000469807768775251,0.016269595699888912,-0.026634055056111633,-0.06365461834471993,-0.032692487524648615,-0.00471714328235163,0.012724231319796263,0.0030792770092496033,-0.05472690465659339,0.0054853718710490135,-0.014204941191603494,-0.010384738563743416,-0.01857611104919321,-0.011887991256628106,0.0069388511927619715,-0.08648220196447554,-0.09104772643755736,1
TCGA-CN-6020,-0.2552282194809465,-0.13528925918502874,0.08644916254801509,-0.16640155860159894,7.055509220241066e-05,-0.0006758087045600642,0.00022046180502314366,0.09214983089646052,-0.005046371606388746,0.03708814676965472,0.031876341686129114,0.032803217140074274,0.006635605609925778,-0.022062688826600143,-0.026651773341343638,-0.004113364625376254,-0.021495633883615202,0.026771712932881758,0.00034135419993671696,0.02287415137671201,-0.04084636139445097,0.15665829477317417,0.008310827352484115,0.022335578285965798,0.0005978927790550203,0.018121708477213474,-0.004011781946299882,-0.007116519087103152,0.00015311909440281394,0.09982841924594203,-0.10398747574433669,-0.021267517592892398,0.000692638737051847,0.0005371014571362839,0.01586150685727923,-0.026929122886453855,-0.03943406043497027,-0.02752502692818629,-0.007296968023433813,0.00809198321666486,0.0009894533402462948,-0.0746050495210289,0.0058587464077588264,-0.01761889088406642,-0.018013170919262824,-0.020916790747722774,-0.016862657475285103,0.009051194600056872,-0.09022942463675881,-0.07506277558898904,0
TCGA-CV-7427,-0.2995187866908195,-0.006876708238465588,0.06094787547661964,-0.08076777968028893,6.094219477301602e-05,-0.0007185667870549384,0.000982457619299811,0.06907703753209744,-0.003107782104768432,0.0242670389476067,0.022692888497687573,0.015492652605132296,0.0045473185330596666,-0.015424473440546801,-0.04362057134747831,-0.0009416432371838015,-0.017112907623505366,0.02310022768145159,8.337154439794014e-05,0.007397883067179559,-0.017124446872550082,0.10344201501928212,0.0029751513634149783,0.0417387752751077,0.007648488326632562,0.02385133297338718,-0.0018872588653824581,-0.006479902248158323,0.0007596020260865868,0.06998070593865117,-0.07893276526290248,-0.022848159063725598,0.0006120353133689072,0.0017068992110820984,0.015892266871494733,-0.02681858405455015,-0.05249022059012999,-0.04616773286212321,-0.015399479795121825,0.006896690017099092,0.008250045345359202,-0.05355806536686343,0.0034271008613867616,-0.01758293786162557,-0.011381420574015397,-0.003941868705905043,-0.015119878911298967,0.008880749613335981,-0.0916656844087031,-0.06523727158627221,1
