,MME,TNFRSF1A,RBP1,TRMT112,POLR2L,NQO1,RNASE7,SPINK6,PLA2G4A,PSMB7,TPI1,FXYD5,CCL19,F3,TMBIM6,MSMO1,TOMM22,ARL4D,GAPDH,HSP90AA1,ALDH3A1,FTH1,HSP90AB1,PSMB3,APRT,KIAA1522,CAMK2N1,CDKN2A,CALML5,LYPLA2,SERPINE1,SOD1,TMEM230,RAN,CHGB,TCEAL9,F2RL1,IL1A,RPS21,KLF3,USP14,PGK1,class
TCGA-CQ-6222,-0.0005866069063115879,0.003345969493311433,-0.0205342561073662,0.011744211927393802,0.004821966934252865,-0.0012818862149870036,-0.029179371137369733,0.02261557284450254,0.003591247786705399,-0.03781046214079686,0.0428276037607177,-0.015279881306185124,0.001074652583685166,-0.006027942312143185,-0.05588457855574808,-0.007023383085828595,0.008781649432870428,-0.036160057966489835,-0.11983605612134693,-0.0003379041772154262,0.00041494320585450925,-0.031790825760075365,0.03083890161775713,-0.018878125345581566,-0.01515659486536824,0.035573622309766254,-0.005611854011961791,0.0005001657893277931,0.009040396226812594,-0.023799815828231936,0.0012815847044570622,-0.029506378002308677,-0.0064028265694681405,0.0010014493910800507,-0.0025679197910654875,-0.048497253790261236,0.002130576224386161,-0.0007236946331924412,-0.013156901219741805,0.001473590024288763,-0.002582973591031033,-0.03988444537982826,1
TCGA-CN-6989,-0.002746538064767445,0.005375260177810733,-0.010878774511135088,0.020165260173418346,0.003459780090367019,-0.013990599125773835,-0.07163308327262526,0.0003457066334841271,0.0038264998386808376,-0.044100028226715535,0.09748219781657479,-0.010632975471959882,0.00043741995958451784,-0.0042560671680319335,-0.09835107618801776,-0.006822407149500707,0.017982463786498773,-0.02444381632385005,-0.18670230909643062,-0.0015798904288347457,0.03624452078666059,-0.07819941726145503,0.11920803489398574,-0.027880841486915754,-0.024279990362124703,0.04425809841659708,-0.018279364313781733,0.0016085273625969117,7.414387992641207e-05,-0.021909495415037738,0.03397706050009645,-0.05525596788910305,-0.01376317292948166,0.0024188691843076574,-0.00034365835306614804,-0.11404490194676041,0.010798551440985099,-0.00140364562557417,-0.016516097266192974,0.0023500216034679266,-0.006336729426160395,-0.08108313499865755,1
TCGA-CR-6473,-0.00011932066119087759,0.003783939546084611,-0.018582869095982744,0.024960781258504275,0.006362648788516493,-0.0009244358067082854,-0.0016720190724782208,0.0,0.0034329856227330023,-0.05271231771798966,0.13380719138441083,-0.014251826351238324,0.004372228609156007,-0.01206261338610021,-0.12285000638371014,-0.003519463050919469,0.020566904268355782,-0.03882831574518003,-0.2990729733509797,-0.0009353659190546032,0.009949295084581804,-0.040383123383561245,0.0648659580112134,-0.030931462277421135,-0.01610380456659485,0.11658529744164534,-0.0037118491542790667,0.2427377274123671,0.002674395665375209,-0.0263614327722345,0.003082995556027626,-0.07227543118099293,-0.011383183764266218,0.0025008218926133477,-1.8418446989175904e-06,-0.23190281661470843,8.502401634261948e-05,-0.007791314784458063,-0.016402440324342578,0.003515367064087626,-0.0071445290505454465,-0.28956721674263136,1
TCGA-CV-7423,-0.0005313359039229422,0.004453227578863646,-0.004909817845831656,0.022443138466783343,0.005575101593073958,-0.006815101299981862,-0.052471132114999486,0.0001339896929757794,0.05236140933182976,-0.039506562185555386,0.050527573883088095,-0.006845813500456527,1.4340437972471871e-05,-0.045613646518767426,-0.09190262890113243,-0.011681529230638336,0.01186417421786766,-0.05672601295115101,-0.09753726152532388,-0.0006415319516808962,8.41449917582851e-05,-0.007910008612495967,0.05670955583921673,-0.02223586182511619,-0.025775051269163556,0.08084836722253105,-0.01116353560859856,0.0041938319847008325,0.007403570131585013,-0.030332054719232553,0.03907786037999582,-0.026061925872320826,-0.011614391084801445,0.002000463256502723,-0.000741327557438393,-0.06474857307055863,0.011528331454866689,-0.012626555810766547,-0.01584289157759647,0.002439118028034992,-0.004975976168974978,-0.05323324685607987,1
TCGA-CV-7415,-0.0002328070600447755,0.003908866593611502,-0.02220613851929055,0.030643339899837658,0.004569907531784496,-0.00404982966939953,-0.009805877077062678,0.005462247022279526,0.0011200306439717092,-0.08199261784280812,0.06269496235563471,-0.014417786968632752,7.175160178492914e-05,-0.006151129424318607,-0.09120526788405223,-0.02079588804902948,0.009659516186108125,-0.0767329719106811,-0.09248872449263437,-0.001394375959353399,0.0001361033746472808,-0.022089084800706867,0.08381418454320289,-0.03437851115268287,-0.04801367004906862,0.037714683919477715,-0.04382779977400674,0.0007201514984129534,0.019299222729529577,-0.04036599483925571,0.012554633637843728,-0.08865664175232316,-0.008287256346857903,0.0017278381893593509,-0.00015078236737895624,-0.13114029735384766,0.006858660743326674,-0.0005534462676219681,-0.018312940900277293,0.0017463614669495189,-0.004841618945437792,-0.08550699611153811,0
TCGA-CN-6016,-0.0019352666203019443,0.006352139743016135,-0.013930915807529714,0.015589912940162437,0.006392705902164257,-0.0009405429423842289,-0.016965511790543866,8.641325404000179e-05,0.0025581682375279357,-0.03462573917229732,0.043077652911117204,-0.01082847514758757,6.416595663486585e-05,-0.003275473847767017,-0.07025970238207097,-0.006163323303830016,0.009727363332395246,-0.04277685474271881,-0.10587107551973675,-0.0003677716689445161,0.00032935505214267893,-0.040208559854135954,0.04838033252084088,-0.01880875989923783,-0.020764090257688612,0.04690962501746582,-0.026843569071805778,0.002083539465426534,0.02112772902667608,-0.036402077830526965,0.012694404661111597,-0.034297577165152734,-0.010233916778301353,0.0009357055789791441,-0.003565263761653425,-0.0704023830853557,0.0047749196218457544,-0.00027302687635247117,-0.012756649006036503,0.0014788441421741483,-0.004177134470423468,-0.038180568480157204,1
TCGA-CV-7180,-0.00010285386468837415,0.003166220397380659,-0.013816107565629527,0.027584765505551813,0.00791380354317085,-0.005913863629076805,-0.012090196919277402,0.0009006459381257105,0.07314914456960407,-0.042067480242870846,0.050483210324146245,-0.008724945476386642,8.620184402977828e-05,-0.013055385315378714,-0.07637660612926982,-0.009294887999370017,0.012840883250410006,-0.07588641523102023,-0.08607782366862875,-0.0005451802302056351,0.003780096412471707,-0.02123337262505675,0.03807355453841524,-0.023750791951350807,-0.02898826117530927,0.052489693215358166,-0.006451498384802589,0.054836781330394144,0.004388124064290054,-0.02964359449081226,0.001630581166256134,-0.02409046436215347,-0.009696655379306189,0.0021240167732820016,-1.709430998941353e-05,-0.08285333144629735,0.004362787743786241,-0.0014592523733737636,-0.032148671632387306,0.002437924113587845,-0.004741250518617973,-0.03364165594690022,0
TCGA-CV-7425,-9.140344327934859e-05,0.0037545503211057108,-0.006542140343999315,0.02056933595138018,0.005719294540463111,-0.0007942275708466852,-0.07656488591943855,0.0278838681329988,0.012174177320490764,-0.04506206490572809,0.062267835484085904,-0.007224616024137001,0.00024454875515383755,-0.003305788622815611,-0.08723195277404089,-0.04466692361102999,0.01320864305788052,-0.024495591335743912,-0.08467648737087344,-0.0006175012563215794,0.000854137906114493,-0.0029772731007332498,0.04544604662146314,-0.016435507771723836,-0.019585873174116655,0.054676656273211256,-0.005064343778237317,0.00021126188717828008,0.007514453207411007,-0.03302845508781079,0.003059882591792124,-0.031075156475066548,-0.008593427648118034,0.0018214325103588797,-0.0001023567856733608,-0.09528069435606012,0.00937794656445678,-0.0038079470821914658,-0.01922666789877901,0.004428456735542864,-0.004229342381922075,-0.1262958983051416,1
TCGA-CV-7446,-0.000577791899353846,0.005203254997307749,-0.0024828165063214866,0.012842803994806865,0.0025581412506362213,-0.016010122057439853,-0.013899714107571471,0.0025854988588299523,0.013408994581037746,-0.02179605041531579,0.06310125059120593,-0.005109778432206155,0.0001663681132212191,-0.004339781448248807,-0.1331708168853571,-0.018751483332079752,0.01393281719484848,-0.03713959642209587,-0.10261259024405936,-0.002078116701686503,0.0028407982934139423,-0.018090527332469106,0.08484058135028566,-0.013616044350338445,-0.018370153797985143,0.10393017570463688,-0.02187674321073398,0.0003905364273646664,0.0017272997784140013,-0.0193197602263917,0.007647187524216803,-0.04308872149375662,-0.019728260257320458,0.0027481304126645584,-0.0006869383812752211,-0.07751075504525681,0.027737675832621277,-0.0002973595271471559,-0.017019175259109766,0.013195500197045214,-0.007848344418672661,-0.09916789866194532,1
TCGA-CQ-7072,-0.0027415943907622784,0.0037316397382794837,-0.058766308633922223,0.02997913405204466,0.003877873077431794,-0.0012026305738795469,-0.005419391385063803,0.00025782783925151314,0.007871866940596443,-0.0417777864551205,0.06392383366239042,-0.01801216726813058,0.0002674722270837996,-0.008523888782441624,-0.05615401241826332,-0.0026432218963102464,0.018230044688026283,-0.018566668496557952,-0.09955174282205241,-0.0012158049721344426,0.001206292185586366,-0.02500613786980672,0.05648730038506751,-0.017747770159075905,-0.0210676710752503,0.0687408502486121,-0.015652716697254227,0.0020134580961079303,0.0006617600856504023,-0.02386594446235989,0.023083441178174548,-0.054918808248766104,-0.01354855263517407,0.0013776177515720193,-0.0006398568484039709,-0.17477413676921855,0.003599785172562053,-0.004103963426967257,-0.033723620796773456,0.0018599309018882556,-0.006569040635570079,-0.046071534942436466,1
