,S100A10,BTG1,ALDH3A1,RPL12,TMBIM6,TPI1,ROMO1,SERPINE1,BANF1,TRMT112,SOD1,LAMC2,PSMA7,RPS21,LAMTOR1,OST4,G6PD,SELENOW,RAN,FTH1,CIAO2B,KIAA1522,GSTO1,ELOB,RNASE7,MME,HK1,TNFRSF12A,LMO4,GSTP1,RPL36AL,F3,PSMC3,TCEAL8,SPP1,CHGB,PGK1,PSMD2,PRPF19,CXCL13,TMSB10,MT2A,CDC42EP4,CTNNAL1,NDUFA4,class
TCGA-CN-4739,-0.042117713680900296,0.049364357082518726,0.002018558179205464,-0.07025084672270049,-0.05566165460529308,-0.0007933735610318484,0.03129902611089607,0.0014495189936224752,0.032653808479635546,0.01943901242218924,-0.012286743331824408,0.004648215208142664,-0.11749931331895946,0.07372161181443439,-0.0031787216978786674,-0.06233919070575305,-0.0077731105598626915,-0.006061421631452368,0.0430583118345981,-0.016982771483300883,-0.026056020837817124,0.08518057203020989,0.007401033086313686,-0.04064503518980098,-0.016166148223124992,-0.0002547342507570748,-0.01977392781261669,-0.011872898128030393,0.01173596483565253,0.0378983262493556,-0.00036770136216274517,-0.0017888070089259163,-0.030009839697356128,-0.026612198589374338,0.0004956889189238694,-0.00032532702401339315,-0.06295663569825692,-0.0012262459470280351,0.0033505607191563038,0.018262781072845964,-0.000818277116485215,-0.004155183211781921,0.008026917523443469,0.007272070619142412,-0.004076257781646568,1
TCGA-D6-6515,-0.05300683765435166,0.046685509778465556,0.0006528382076997018,-0.0805524651278465,-0.0858376337659924,-0.001066761265925443,0.033769969209340236,0.002039101209804357,0.024839984713920755,0.029168853623800308,-0.0276440910029191,0.007154250431610083,-0.14717569601494498,0.055861978963933044,-0.007644395686888159,-0.09601322295864335,-0.009150303556924911,-0.007832893956966146,0.12646989117706514,-0.0646913157881078,-0.025538252975951675,0.043970724363265094,0.035270627340599194,-0.05232552765622682,-0.01994372167923516,-0.13846262712944588,-0.030640823787931915,-0.0454769242933713,0.006521924054197529,0.017880620744479755,-0.000899514873549643,-0.005476725390825818,-0.07760297972773064,-0.06997756950074029,0.002458030668193846,-0.0012715681145318767,-0.07419879321776522,-0.0010755776076248485,0.0032665850279026613,0.007430111474884308,-0.0033241009185445277,-0.018662506774344136,0.013747981234302474,0.022372239087081584,-0.004135858872489429,0
TCGA-CV-A45V,-0.04930253434206775,0.043185704749577024,0.0037600990951889095,-0.06946802245596184,-0.037396348016069565,-0.0010421140046289095,0.04327998512509652,0.0019763156409531475,0.013134515801871834,0.018570501530837138,-0.025156490726508354,0.0018036661404769343,-0.09991310193096375,0.05793726304151886,-0.0054629944540051335,-0.06795766367385601,-0.00955170193793418,-0.007744557059127845,0.06879920558411154,-0.01551453240893585,-0.016132339113390595,0.044998286905297974,0.019501966268979466,-0.041001559954232304,-0.016090616784439567,-0.0004231812229468486,-0.02425624299745629,-0.014426579376067257,0.01139032779842567,0.027549816526939042,-0.0005930105245091904,-0.0028520622895178323,-0.06013891420791743,-0.01060436265326482,0.00635456612765468,-0.0006082903375994589,-0.09824164432562661,-0.0006926191991136006,0.0020960456173971893,0.007600801195594164,-0.0016586212078453218,-0.009800480344031663,0.008300956299054241,0.003622638276682795,-0.007090729582483574,0
TCGA-CV-A45R,-0.06058977386679316,0.06497519546187483,0.001383597916329982,-0.053457486236410175,-0.04208677481077021,-0.0006105910081814643,0.04045382675713728,0.004420774928361405,0.024482042237862746,0.029791843961225244,-0.03027637110129878,0.009656799212453616,-0.13012603102356532,0.05843343163509162,-0.006429069621984023,-0.06537437134745196,-0.008140345348957708,-0.012958039780287619,0.10376052224347758,-0.04205606305103633,-0.0349388220006214,0.052415111268781275,0.03412046473443376,-0.0513793248148464,-0.0015707200840438635,-0.00034016834137488616,-0.012801575000387113,-0.04453109238913206,0.009199474198344831,0.032087533144347036,-0.0005124597647095227,-0.004297902327341713,-0.04832385119297505,-0.04300632325381345,0.017238562546155956,-0.003989768271925861,-0.04903755505546724,-0.0008569209629603662,0.0029096933996270963,0.0113000081310034,-0.0030474341675515424,-0.0110689144735471,0.008688065189420443,0.006877412161572532,-0.0032781954973758643,1
TCGA-P3-A6T6,-0.07005862306077475,0.08664509763417648,0.0025483804880283623,-0.17691396162327777,-0.029949797626565283,-0.0013203571257128953,0.07688339924489528,0.00148407164378083,0.04635161998765654,0.0611944596911336,-0.046919041401507544,0.0006302282261818006,-0.161741791327772,0.21735322202262386,-0.005494245729838765,-0.15633771949839204,-0.03779664214490845,-0.01920541747086952,0.11397273428044769,-0.033685229578044124,-0.05933526002608626,0.06012423303761878,0.020330138805781637,-0.09395059275118088,-0.013365058559964517,-3.336656656517491e-05,-0.022850923463281565,-0.01581037899162477,0.007139379313406056,0.04148771371219166,-0.0011595543212367214,-0.003027010046885234,-0.09264599249458379,-0.12627667323457298,0.0006161930495351088,-1.9047249649496086e-05,-0.06367264131911733,-0.0005440770480642641,0.0050114130750797655,0.006584171610030822,-0.001731514442774763,-0.009737439288567871,0.0017543481724566006,0.002217208943032014,-0.007782084814701249,0
TCGA-CN-4723,-0.07332234510642328,0.04493115336433812,0.006575746799031797,-0.1339909692501121,-0.04540592143865661,-0.00170204273843053,0.039735772217529525,0.017442443734841873,0.023936301046736327,0.03298061700918169,-0.04068838804518019,0.025275143413079994,-0.15615044267787268,0.06299926878964605,-0.005825101498364017,-0.08512572002925134,-0.02607706494335265,-0.00928555782768036,0.137325506964433,-0.03732669824811086,-0.02742811099530428,0.09550701368554067,0.0239169311319448,-0.05414500865373182,-0.03783315514653325,-0.0015885206662808115,-0.026523375281342635,-0.05475521645891942,0.004050537804661955,0.029646413663702825,-0.0007689041256172744,-0.011120097282755625,-0.09135806839879171,-0.06855301666975469,0.005036020407130909,-0.0002837777477090096,-0.14777257986769826,-0.0038685917269306396,0.00388155614567765,0.02663392522478127,-0.0015476649063382788,-0.017131707407185053,0.01938735794265894,0.041470565670861416,-0.0038922425592285907,1
TCGA-CV-7428,-0.06276103558538643,0.031367561975879706,0.003586316417637076,-0.15201479986657312,-0.05796047968016687,-0.0012502172082071814,0.04319650457439324,0.010108129056476371,0.03302912691239438,0.04358095143798817,-0.047801251850815796,0.00773735247862677,-0.16981700948656575,0.08387335106668811,-0.005264629267548614,-0.08038196065187862,-0.016945487037225926,-0.008413045782443184,0.11056418728420905,-0.02986826072306448,-0.03452152005577348,0.10009629105778663,0.025827693002891106,-0.07506199741116483,-0.04548878808325883,-0.0004102681080356544,-0.023657074996995608,-0.03123083232801938,0.0051728164631418515,0.03386673362945127,-0.0007021440517947163,-0.005406002261387929,-0.08069053193411674,-0.019618743314717326,0.004976735105906992,-5.320093867617872e-06,-0.11600336471896368,-0.0013424290714184844,0.0038700498035638474,0.011544685744790789,-0.0023792115621547676,-0.03682675790842214,0.030417944238159078,0.03744274269648214,-0.004849262056142641,1
TCGA-CV-A45T,-0.0755284371105856,0.044977505925112723,0.0017466440009438215,-0.09726638891204012,-0.030783039715093077,-0.0008699108094516203,0.049104450891808704,0.011269505314619548,0.028990048391638535,0.030465332239325446,-0.01895227388250091,0.014272741802647641,-0.12885006552532605,0.07582592732007529,-0.006726091265783329,-0.07457667565066338,-0.006944059768353565,-0.012860140907932518,0.07114138917055077,-0.017246940050759222,-0.04750479141328869,0.023456743806655984,0.0315515833794541,-0.05561082971956801,-0.044857745864584256,-0.0005876159058606442,-0.014346218514236394,-0.052649006666629576,0.007536435703028637,0.02200761031290108,-0.0009021453644104083,-0.019768633596599586,-0.07796444643086964,-0.06615442314664766,0.00013223726145445154,-0.0013803082059791376,-0.06630479693441071,-0.0007967107391454339,0.0024213362011977504,0.07186337591432806,-0.002416144619443453,-0.06099642575537573,0.006712974607001609,0.024071647672497986,-0.004500298540335663,1
TCGA-BA-4074,-0.13653794752068124,0.04969037187130397,4.405526169421291e-05,-0.18198107411133882,-0.05722309120146854,-0.0016411674408859927,0.1667933959500737,0.005785421401621148,0.10823100644542448,0.060652662525957746,-0.0655399318854218,0.01585175166700501,-0.525535502102093,0.32935978008880723,-0.015744508754030967,-0.49458878613337437,-0.0037605204527874293,-0.051158003658874476,0.32109129389936425,-0.013598082348813694,-0.09183106522686241,0.014480848596542983,0.1664492718973762,-0.1374549881383387,-0.009448023187784354,-0.0020909330728613442,-0.003199421021914311,-0.0717675888538467,0.005328322460185599,0.06220951852418021,-0.001259312744401242,-0.022358580876704223,-0.10517924991078902,-0.2075360115093578,0.011403983532594343,-5.669512378429318e-05,-0.3427907791900816,-0.0008657924736030779,0.0012320617280531915,0.00257799134658298,-0.00888615020329351,-0.03556686236699885,0.004328937639691783,0.15145421227526532,-0.02972896700841869,0
TCGA-UF-A719,-0.051527511309249596,0.025131942399086133,0.027011047093364507,-0.057276884941104854,-0.02507586064663643,-0.0010396218859416544,0.026805489794129105,0.0006046845989667402,0.025295687871224264,0.02975140224508846,-0.06568245558664568,0.002931214576009389,-0.12120821464678319,0.034808421503603575,-0.00596626734372615,-0.07426220745690865,-0.0328337014358419,-0.0042791959694830775,0.059240163807899766,-0.04199349119148476,-0.026689245715805724,0.09015099008389699,0.009884179424007248,-0.039937825512338834,-0.07846097352442721,-0.0002115906114734243,-0.029917748938989925,-0.007919466045813298,0.00620890266542571,0.03623506900055996,-0.0012226422397300049,-0.004163945068734884,-0.07579973405605638,-0.0912987935331057,0.0037404188383147207,-5.845535237259143e-06,-0.05592687878730198,-0.001010846781667317,0.003787739165014553,0.0030229109312329776,-0.001503444564710979,-0.004009540167830763,0.021298583796944555,0.00613448121368926,-0.00457459665236152,1
TCGA-BA-5153,-0.021287493422721314,0.10464690671171631,0.006702744338795023,-0.07213811053172103,-0.058100678507794934,-0.0009312887853782218,0.018064888918913134,0.0038168231613757205,0.020884304089391802,0.027833409719355023,-0.03255795884715841,0.016918076854423328,-0.11943539279342104,0.045182423355098256,-0.0033985089852175084,-0.056765075106884375,-0.011429377262150282,-0.009843218811688306,0.07163839990672216,-0.015214443750089887,-0.021965196904320465,0.16091394056796476,0.030418470264019632,-0.05424961177818844,-0.0005252982045149882,-9.532645900513688e-05,-0.019254401423346473,-0.015770061344554748,0.05882733489961508,0.017842947398536223,-0.0004934676950374502,-0.001300324376415844,-0.10316021672067759,-0.07815023555754871,0.0030031880732449404,-5.2412776621716815e-06,-0.07222170268103284,-0.0026788814597620606,0.004791758586387306,0.0011134118639674073,-0.0014279020181044069,-0.0017280064252024267,0.17293672529827364,0.027249313071101417,-0.0024377165549988216,1
TCGA-BA-A6D8,-0.06359764538581929,0.03914807133140156,0.008367375454159255,-0.3071513744194079,-0.03357330531216519,-0.002251231477189917,0.3646080607828997,0.002572568894653303,0.06881340873185371,0.05518994377240273,-0.09087003839829287,0.00212994015906108,-0.3559161182895533,0.3769403936034354,-0.01395351828461844,-0.13667779352859144,-0.041752030868311384,-0.036480548889960315,0.060345035172835196,-0.10527563744909088,-0.10948031618100344,0.03629319720070212,0.23719147897647516,-0.2468768163944305,-0.00028468258271379483,-0.0004382618964324218,-0.019760464277773167,-0.018063729355698187,0.013896719818514482,0.0848996338617819,-0.0011323683282903547,-0.0008105421343146311,-0.22342259815069976,-0.0593641552258565,0.012214349857008098,-0.0017463569361397294,-0.041470542297498636,-0.001940310864459499,0.006025761342731202,0.01303074558346113,-0.007866725872051235,-0.031641022288544596,0.007286639716855411,0.0485606179559485,-0.009702458481143292,1
TCGA-CR-7404,-0.06472284049715617,0.10051155420109083,0.003046792074302818,-0.08526735916293982,-0.05781257613248831,-0.0011170876711533739,0.040371609354458694,0.003236714876165431,0.028857145200662203,0.035316903047186154,-0.032900356314773935,0.004575804645395152,-0.1473028990374453,0.07272326874499072,-0.008185574275630646,-0.0896495995840654,-0.01018041685468253,-0.010573036775674779,0.07902233518444901,-0.020723500905311547,-0.03928281237909928,0.0894840979454675,0.016634924517114853,-0.06912981024701932,-0.016798609264404716,-0.0003062944738667715,-0.02033319360763423,-0.014162902801563626,0.01794480404650926,0.04052518216984833,-0.0006966227468843744,-0.002473932756415496,-0.08414537511698103,-0.0529348314928618,0.0019383591150770052,-1.9690915327306645e-05,-0.0921170511977971,-0.0018153415324132873,0.0035663147528949314,0.032945100549371976,-0.002043539688468637,-0.00792204128589353,0.017775417507697493,0.013559408956201323,-0.004187707369346397,1
TCGA-CV-7406,-0.0460451624288631,0.1139167254451297,0.0032224506842964025,-0.10197569168083839,-0.073093091405154,-0.0031671424799318768,0.04076435816527889,0.0099244564306264,0.03524237963225397,0.03489712278303264,-0.04627544622573609,0.006565140301078021,-0.1300074856021839,0.06830068267225765,-0.007503833702030943,-0.13407646075881005,-0.005499373426874974,-0.01702727633749336,0.08452000850760526,-0.03322634080055465,-0.045604456659902044,0.1272954254371238,0.018090621920088194,-0.09269653057370658,-0.01014449816660189,-0.003792674085952805,-0.016686838580811568,-0.028002720159264995,0.019475751280734838,0.0309051405732763,-0.0013339971254776976,-0.004620144586745026,-0.08758050259195793,-0.1210065605102478,0.004307137664250309,-0.0025743211743519626,-0.06930227554539552,-0.0018794857292734038,0.004271149041099157,0.0071017650584865874,-0.0018389268235269752,-0.0067984360600628355,0.03268550194152487,0.003485595695895704,-0.006502113158206298,1
TCGA-CN-5366,-0.14214860979872673,0.03633800734207161,0.00030823936367851176,-0.12651829666310832,-0.05709539715909814,-0.001365656090539227,0.04804618096547908,0.03129766358996047,0.04111820949122792,0.048950252614927,-0.03920897334925198,0.06501315596656347,-0.17678697804797142,0.07917074522722393,-0.006113794650248984,-0.15381720638932214,-0.010579123125589769,-0.009336827829721143,0.09586708904847545,-0.02327224708065653,-0.02130916596505044,0.04297460507609945,0.029597306454416966,-0.06518787382306175,-0.017756147602568117,-0.0012256390781424857,-0.015940515935307854,-0.07585788322918102,0.003999456876634119,0.03453816258741129,-0.0013082413612645297,-0.013079157209400949,-0.06430583811381894,-0.022771121403884136,0.004136499500725629,-0.005185107979757029,-0.12933941548127828,-0.0024554966575589263,0.00481260762201788,0.0047598699100386554,-0.00332574913197341,-0.022102820915638283,0.015512897769243755,0.034007864339378274,-0.004360930903506858,0
TCGA-UF-A71D,-0.13353522143295402,0.06399720443563504,0.012200642773561619,-0.1235223646230113,-0.03596605166292606,-0.0009216979759967093,0.05175577603942178,0.0013481350887793485,0.04116860757758691,0.07073039334340464,-0.04580634576452917,0.0030067607443871876,-0.1873658919970098,0.1557463918694507,-0.0072427925782176305,-0.1120577372823071,-0.013832943191607123,-0.0038571948514529142,0.09155936037157417,-0.04370531205084816,-0.04621355523776754,0.1019926863534432,0.01916192110889574,-0.06359129885165479,-0.04278367759632846,-0.00016607188141146487,-0.03617692512378279,-0.014000543678679365,0.004009059668072893,0.06075883638645537,-0.0005745461637667456,-0.0009507050287191573,-0.05049612427044604,-0.03371073888073159,0.001326360157789519,-1.9244290163111563e-05,-0.05493407866125272,-0.001501472157010973,0.004364978900622951,0.015164005063861508,-0.001476949270487718,-0.0025094660589380373,0.014974479474056595,0.005673492333886156,-0.006621523430741828,1
TCGA-CN-6995,-0.08119312853822225,0.035035548390409586,0.00017747624106146021,-0.13475977619658724,-0.07731501952777475,-0.0025902649342423706,0.043939280725341395,0.03456381262487018,0.058390323367969225,0.028477575946439532,-0.057772760966555245,0.014015457686123422,-0.22205446355895306,0.09022647765545284,-0.010826226369544613,-0.14050755462880973,-0.008142382299521633,-0.017050419838111487,0.10576984222859155,-0.012277367645022805,-0.04364287985960094,0.044315351517694355,0.06613035792728147,-0.11919641727001037,-0.16508334851423603,-0.00041596371407684186,-0.027324593984273626,-0.04234830837411007,0.0018153083093420275,0.05866804737718106,-0.0006491562021905183,-0.005205927364831816,-0.1031420565640547,-0.01553344475735528,0.02125508002624919,-0.008651641735794113,-0.15523910020737802,-0.002724489819340403,0.0025056025867356882,0.012850455403990215,-0.005531360777138303,-0.09108221009101569,0.02050171411382564,0.016496129221954536,-0.006504561855183114,0
TCGA-BA-6872,-0.10353370467979794,0.04783557601881223,0.0004331243360119045,-0.10556863626967819,-0.042055008225386305,-0.0009161993730990687,0.04165214822070459,0.03681302507410911,0.04152444083346736,0.07013550674642502,-0.030994194510363265,0.02289124551074025,-0.17439376973867288,0.08782853923949233,-0.02662623648067594,-0.10963265163482293,-0.028269395525732974,-0.007262894607140748,0.09517126006567785,-0.21551879716790556,-0.02626698222821404,0.04304990240123276,0.04389983321408149,-0.06263574857517107,-0.09834335199102837,-0.0005832577295781161,-0.019764794749681725,-0.05467202729513111,0.0038073164417666812,0.059879683708252036,-0.0009273440543461386,-0.010500536839139093,-0.06779920832218794,-0.0718610826507678,0.0020400385990884504,-3.3181622492846284e-05,-0.09312886092994654,-0.0018230124149188323,0.005010918158861567,0.005290818186603377,-0.0026847774554779004,-0.04700777064797139,0.009104795798292086,0.01730105922053568,-0.004759134521565064,0
TCGA-CR-6478,-0.06955622450616013,0.03868054521495805,0.00013103062303836157,-0.12248536483609776,-0.05559765373586406,-0.0017132839297101046,0.05203251823790289,0.0455417414706559,0.05756626555246135,0.04608112089703914,-0.06962267698208274,0.018169788694721488,-0.13182618149783845,0.059682241574389075,-0.003520476849576812,-0.09895011560333727,-0.008925810163195477,-0.01052423237486368,0.08397440938238995,-0.02954455278890656,-0.03747747093978961,0.05462760397859047,0.03275502754869924,-0.06124953680436991,-0.01649448046598517,-0.0010265234580386256,-0.028781716381655224,-0.042339872230927715,0.004777917528864544,0.03609605663547727,-0.0007155988328861201,-0.011162350839587587,-0.23874940858429883,-0.07333485906217656,0.024824091879751705,-0.00018664991053082063,-0.20316366684503878,-0.0015720774849253558,0.004959763324174619,0.02761116074911558,-0.003542491022223004,-0.042028717025396685,0.013213956953625075,0.027407005213859366,-0.004044124682978445,0
