"","A2M","ACOT7","AGPAT2","AREG","CCL21","CD59","CYBA","EIF3D","FASN","FSTL3","GPX3","ICAM1","IFITM2","KLF5","KLK7","MFSD1","MSMB","PFDN2","PIR","POLE4","PPDPF","PYGB","RGCC","RPL31","RPL36AL","RPS21","S100A11","SERPINA1","THYN1","UPP1","class"
"GSM1932990",0.00113727188929002,-0.000808149264684887,0.00456968128581532,0.00869286625621155,-0.00301375453435832,-0.00282959566738792,-0.0126241447415143,0.00431941785876985,-0.0031471413888656,-0.00920426631497838,-1.25635780368301e-05,-0.000118141496801866,-0.00199888658062944,-0.000570254220779147,-0.00594558424795047,0.0040595283374696,0.0112759543107712,0.000455681321501655,0.00658753354312228,0.00388728471154112,-0.00132259391146334,-0.00342680680003077,-0.0107615519758569,-3.89760994076034e-05,0.00481858906601587,0.00241696055292501,-2.60224400612036e-05,-0.00248332770691747,-0.000844564846123537,-0.00935049740888799,1
"GSM1932991",0.00116480540233692,-0.000778275041923958,0.0046611266762102,0.00981505851757009,-0.00349676226132897,-0.00275277484631741,-0.0136807024944064,0.00430744254340863,-0.00306804328799547,-0.00910616741637357,-1.37017857795181e-05,-0.000137480486031314,-0.00211055294249594,-0.000549531128807962,-0.00718451806751861,0.00437164129172025,0.0104839099134362,0.000464973599766338,0.00678605813481978,0.00402629404435443,-0.00133676795773447,-0.00292374044012496,-0.0121677172564378,-3.9338724929298e-05,0.00497670052675005,0.0023099635093128,-2.57637876532754e-05,-0.00257108727444228,-0.000816998191182444,-0.0104938299376277,1
"GSM1932992",0.00109206013829004,-0.000802479765040791,0.00455603745960266,0.00991670162314413,-0.00301690727294399,-0.00276611627162142,-0.0126581767798539,0.00460207646036897,-0.00314764777671062,-0.00883999199041388,-1.26549060995505e-05,-0.000116443488899174,-0.00196826831745677,-0.000525952702293977,-0.00553645841992035,0.0042382210446124,0.0105110660624775,0.000503277329246831,0.00723012092451032,0.00399025895276234,-0.00131503732874009,-0.00289840975604628,-0.0108820040295123,-3.70487795265678e-05,0.00472844964809308,0.00237964061681772,-2.6606636564583e-05,-0.00253733897927618,-0.000835942493327041,-0.00968858914007547,1
"GSM1932993",0.00112309651900877,-0.000762478711834778,0.0044931865999875,0.00694323413221068,-0.00304886337563558,-0.00269077702965289,-0.0127353473795959,0.00402587549713833,-0.00276550598473144,-0.00891699368465459,-1.28307320313612e-05,-0.000118155250201725,-0.001904642981493,-0.000427671455344295,-0.00622247894656894,0.00384135731808767,0.0110535860748911,0.000430138824647192,0.00604001390091483,0.0037804584795291,-0.00129465436270384,-0.00264599105361018,-0.0110840911373552,-3.44665891508824e-05,0.00440988597197194,0.00207632690869885,-2.38343349596937e-05,-0.00244555656175874,-0.000780352566129315,-0.0092332452842794,1
"GSM1932994",0.00101698619396448,-0.000782635031559865,0.00467114319629025,0.00627728106224252,-0.00329835325075136,-0.00264147191882184,-0.0133680807558397,0.00425175469926772,-0.00315050102658781,-0.00889397537714542,-1.16798882299748e-05,-0.000121086734979518,-0.0019733765933476,-0.00049856319331875,-0.00573687172367824,0.00423817046519364,0.0138273989150335,0.000464590217140235,0.00715198811748277,0.00385333164955685,-0.00130037365642796,-0.00289133930955445,-0.0105410767830787,-3.76745245932747e-05,0.00469123672607503,0.00228630243663631,-2.67045208283337e-05,-0.00242734283079763,-0.00081398406042631,-0.00977214800098814,1
"GSM1932995",0.00118767443252359,-0.00079583173584917,0.00459401263618216,0.00840501699320961,-0.00339636288759292,-0.00273516175607023,-0.0138032616622046,0.00413617437754481,-0.00282647419726779,-0.00896525866296005,-1.3283429843103e-05,-0.000122942942736407,-0.00198170082944589,-0.000418277192368493,-0.00567053900068514,0.00421367758320329,0.0135556514970934,0.000451033901328684,0.00591253646513039,0.00381333602858188,-0.00133834292545419,-0.00274781132990266,-0.0111398159456415,-3.59658602910385e-05,0.00463040019416277,0.00219733735035126,-2.52931106962822e-05,-0.00276540355568174,-0.000824369754105532,-0.0100063118579471,1
"GSM1932996",0.00106270597676525,-0.000795419194262965,0.00431572936660504,0.00647269422452917,-0.0027252439336332,-0.00236980431478448,-0.0112553179360666,0.00432605877699951,-0.00306230394422836,-0.00862797321050404,-1.15703828336659e-05,-9.68247094892488e-05,-0.00180768289399324,-0.000377418266120986,-0.00518413541101564,0.0039043005943267,0.010619438587772,0.000478618711960288,0.00573624385060945,0.00405733539243498,-0.00135392058135123,-0.00377126685279221,-0.0104980901960608,-3.91558018011466e-05,0.00454118851342464,0.00249719619810662,-2.29901699403825e-05,-0.00199751296313641,-0.000892896037107586,-0.00885278604199998,0
"GSM1932997",0.0012294105960792,-0.000789263509395902,0.0046812927183953,0.00801392236425925,-0.00301788909531374,-0.00279527445433756,-0.0130160705483715,0.00466443069935377,-0.00299340515362719,-0.00919031475141286,-1.36559711864619e-05,-0.000127228014420607,-0.00203989798462121,-0.000535495003197484,-0.00541811437290028,0.00434788497142613,0.0121624557900454,0.000511445526553614,0.00672006301544836,0.00386833203707986,-0.00138446230604912,-0.00308764776693033,-0.011771254505428,-4.11071409956297e-05,0.00476861653972703,0.00239427328787182,-2.71685680383938e-05,-0.00262572267264334,-0.000967986832889777,-0.00966243370478432,0
"GSM1932998",0.000949568430283165,-0.00083969369357523,0.00484175305943483,0.0108244552261005,-0.00284944576937175,-0.00274945736338058,-0.012435555429912,0.00424672956616648,-0.00291100632245499,-0.00963749410505605,-1.12407162237049e-05,-0.00012172427107773,-0.00193973524220463,-0.000531329185845068,-0.00963268184381236,0.00370812351136445,0.0119273028849058,0.000486733317582398,0.0065696048811313,0.00370962522540524,-0.00143376766322655,-0.00320264418238599,-0.0108685926176086,-3.61261044413978e-05,0.00451830809114217,0.00241210788093406,-2.68835531228947e-05,-0.00210863748164546,-0.000787750385458838,-0.0123096876242446,1
"GSM1932999",0.00116591338283263,-0.000773003430145904,0.00455048831046126,0.00811336738697837,-0.00340745458294196,-0.00270509119056878,-0.0131669677023573,0.00435179409126724,-0.00297772273210276,-0.00943460243952703,-1.25338788302085e-05,-0.000119984972379363,-0.00201897034566519,-0.000517933621692733,-0.00555089804275607,0.00421050001846054,0.0106838102667252,0.000481199573536425,0.00666417983677271,0.00379076924356241,-0.00130915293996521,-0.00299051639241631,-0.0115943249635941,-4.02173747056719e-05,0.00463836523876088,0.0024037123040582,-2.57063754760337e-05,-0.00249537187075327,-0.000820650124074443,-0.00941260258595868,1
