"","ABCC5","ALPL","ASH2L","B3GNT7","CBR1","CD14","CD59","COL18A1","COL5A1","EIF1AX","ELN","EPHA2","ERH","FASN","FGA","LAMB3","MAGEA1","MYADM","MYEOV","PDGFA","PFDN2","RBBP7","RBM38","RGCC","RPL36AL","RPL37","RPS21","RTCB","TM9SF2","class"
"GSM1932998",0.000111863773109551,-0.00560100055807828,0.00919764295529354,0.00569618447592656,0.000942935046703872,-0.00459457604996709,-0.00407096767250285,0.000927898165765599,0.000609094620898856,0.00252139515379896,-0.00133763306575501,-0.0099987724850098,0.00827599833643558,-0.00200847886500482,-0.000512036123772836,-0.000606254592622977,-7.00429478267638e-05,-0.00470837909114438,-0.00765523303435425,-0.00027274153226214,0.00255217949420737,0.00106749096986308,0.00190872457228368,-0.005112309953467,0.0057478582857504,0.00112465133161484,-0.00129077930114617,0.00507985554298091,-0.00397511559956131,1
"GSM1932999",0.000124055034354391,-0.00593755366617137,0.0106905392994736,0.00552544185874629,0.000965079118125211,-0.00529016188109463,-0.00400527716292264,0.000908614124557444,0.000604982523223706,0.00257325559478745,-0.00141206579498898,-0.00869709525970369,0.00821350832209946,-0.0020545105406123,-0.000511612862356179,-0.00052254643022343,-7.0473524387618e-05,-0.00507510746892623,-0.00782085261598909,-0.000264773611473207,0.00252316338298147,0.00118837407536367,0.00200687236554373,-0.00545367601864859,0.00590058613360492,0.00115496027383997,-0.00128628661782209,0.00554730035986094,-0.00405544110598445,1
"GSM1933000",0.000147447299181089,-0.00561760665093581,0.010418205156006,0.00547452658358673,0.00133459090499536,-0.00456078808495419,-0.00412957121958082,0.00088393327851307,0.000546342323959853,0.00295288740019545,-0.00140224176523619,-0.00858733604963766,0.00906930267183056,-0.00227735896456377,-0.000512112243821413,-0.000529439630668347,-8.27766965992662e-05,-0.00503557301531661,-0.00695668236534371,-0.000278886168073696,0.00256860943468035,0.00124646366703881,0.00196945994278316,-0.00511062535742105,0.00643967865220658,0.00125192050423762,-0.00128345374745261,0.00602511346459236,-0.00459063560128967,0
"GSM1933001",0.000121464134320967,-0.00559563354037564,0.00904520952407949,0.00555121780188267,0.00114110977296778,-0.00475914802641433,-0.00391628325752733,0.000904311185412641,0.000560490906964255,0.00263215617018308,-0.00135651422896896,-0.00840331780177905,0.00855146379222672,-0.00204492133785735,-0.000505703417765131,-0.000484519057547826,-7.34760028936523e-05,-0.00473384871543742,-0.00720133469717237,-0.000254303002899081,0.00244726453461711,0.00117963122945981,0.00196417750205315,-0.00530292742059249,0.0061436882960713,0.00114786668834702,-0.00123908902669917,0.00538757858191101,-0.00406351092763088,0
"GSM1933002",0.000111294738595496,-0.0061354709424972,0.00968044386030675,0.00554029607791757,0.000946681446982416,-0.00521098737976845,-0.00450941270381224,0.000909852874147316,0.000581695067818877,0.00257653084735975,-0.00137553901649352,-0.010259884928031,0.00824692851934873,-0.00202228048472899,-0.000540060544916164,-0.000546042528789713,-6.91503338259201e-05,-0.00474234519231322,-0.00742342891240388,-0.00025801309312997,0.00242235369649821,0.0010776774653303,0.00196303781024558,-0.00534147921367571,0.00634497987340083,0.00112734476801828,-0.00125497861431297,0.00576851431931149,-0.00431978351736615,1
"GSM1933003",0.000153032338850135,-0.00599670368306197,0.0111026338572562,0.00564136096257791,0.00104894965290878,-0.00500157033128798,-0.00411629449137793,0.00090854630670208,0.00056125885903812,0.00271193706556606,-0.00135030857665617,-0.00891191584862098,0.00851848848698292,-0.00212689200585982,-0.000542098528637624,-0.000547876036453509,-7.2144708202821e-05,-0.00512238898191527,-0.00724949598479232,-0.000272666800827482,0.00255669772238906,0.00112119084929988,0.00193050096622075,-0.00561868836705719,0.00617057307199984,0.00114579063968189,-0.00123882983018341,0.00560323954183958,-0.00419795734277782,0
"GSM1933004",0.000155094619629232,-0.00587989762574412,0.00954278094688807,0.00567737666422779,0.00121212301867761,-0.00480491358824205,-0.00422762484054346,0.000902550848440621,0.000550392618693433,0.00274421408419796,-0.00131544433053085,-0.00884933436910602,0.00834138920074238,-0.00209035816228918,-0.000578740787828661,-0.000575404993204211,-8.14921557258015e-05,-0.00518709851948186,-0.00717273870782787,-0.000266792734067776,0.00261743982196033,0.00119849990271934,0.00193686849108064,-0.00534610478740225,0.00609562676564425,0.00126487809442073,-0.00132762180390229,0.00607822623325661,-0.00419074696168265,0
"GSM1933005",0.00010952132420416,-0.00607047850515569,0.0112183057328229,0.00540321555164233,0.000810477844501955,-0.00444654876450328,-0.0038827214624737,0.000904017660742821,0.000582114124122817,0.00232006100821438,-0.00140328876723981,-0.00887288652583859,0.00777979315193625,-0.00207699937240545,-0.000557818356624912,-0.000573156582009366,-6.86411179542184e-05,-0.00479437500576243,-0.00716703963659181,-0.000275726092673039,0.00245226440870184,0.00109119534601837,0.00197885477574447,-0.00542136404578405,0.00569195875742168,0.00123699914077308,-0.00123972822676015,0.0059781189037544,-0.00398474688656915,1
"GSM1933006",8.48443783165655e-05,-0.00537959632412879,0.00835826761717192,0.00544202976002292,0.00086876413197342,-0.00440591572910025,-0.00337254344009499,0.000863303235705711,0.000531636429985089,0.00191474864379571,-0.00132849575037983,-0.00821966915466229,0.00672003707227594,-0.00180795644877136,-0.000570761263714368,-0.000505004154034638,-7.33475478468952e-05,-0.00472853194652039,-0.00805390228242404,-0.000249729825572216,0.0019732027539497,0.000864927718768293,0.00179128890812465,-0.0045887121632728,0.00492020593306332,0.000923564110122634,-0.00100444279214066,0.00434710422619639,-0.00316746759666064,1
"GSM1933007",0.000125427806291701,-0.00572768660254882,0.0122180749121975,0.00565466231419418,0.00101283304762151,-0.00464853889977819,-0.00406575712227943,0.000934531259583172,0.000580569127091141,0.00228200711199482,-0.00143049355829317,-0.00887742218520272,0.0085211713528588,-0.00222491643165074,-0.000515321079177449,-0.00052401991750238,-7.63066229890439e-05,-0.00481912739347549,-0.00722811856719754,-0.000266180255857068,0.00254846969338186,0.00104966528466078,0.00202178593087443,-0.00522008944608937,0.00600146506912137,0.00113598880593413,-0.00125780470137526,0.00538227846971834,-0.00385787343985864,0
"GSM1933008",0.000120706364557978,-0.00609962851813823,0.0106648642333064,0.00563568248427717,0.00106103262680869,-0.00537985849762153,-0.00391183660220187,0.000900767134761562,0.000564017594968761,0.00255749008170608,-0.00131405315636325,-0.00901224038846486,0.00868665652104387,-0.0020793208684183,-0.000491458436159652,-0.000564127903766316,-6.95712388150583e-05,-0.00499158628579029,-0.00825785269898971,-0.000264411968378126,0.00249999806537846,0.00114611674937084,0.00203911509355505,-0.00510532650178581,0.00614368265961635,0.00112966334470063,-0.00127370112263574,0.00529863669545448,-0.00403056307307681,1
"GSM1933009",0.000124286344881244,-0.00531873707655852,0.00923810274708029,0.00564497173031052,0.00109129496773429,-0.00543752766021676,-0.00382787149284593,0.000887205550002423,0.000607989877418884,0.00239416433980872,-0.00136210374302156,-0.00862532663352715,0.00752160110718566,-0.00196143936443111,-0.0005055997487207,-0.000477978666675121,-7.09621254064117e-05,-0.00497254024483133,-0.00740761810561276,-0.000250793697355389,0.00224965768101134,0.0010724780145179,0.00187849101961175,-0.00545496043979524,0.00555473171606366,0.00103768373189619,-0.00114132658478123,0.00510916365363153,-0.00383403832752784,1
"GSM1933010",0.000106758545390519,-0.00524210623482621,0.00975929378077563,0.00543365790075733,0.00088150526163003,-0.00425125524845207,-0.00380358686190151,0.000899161288785253,0.000533389909872831,0.00235027882509433,-0.00130901608224547,-0.00877360829428824,0.00739463590652212,-0.00187602445715222,-0.0004944383165767,-0.000496835922006883,-6.98803362040875e-05,-0.00424802712563659,-0.00748562094899633,-0.000244080616178809,0.00221680150019676,0.00107050745428061,0.00189136239430144,-0.00476502922123299,0.00555991889637229,0.00113571256139816,-0.00119855537708396,0.00533276355426113,-0.00364208510947875,1
"GSM1933011",0.000113930367021313,-0.00563291314424958,0.0101928221380148,0.0056335154706876,0.000860460882817192,-0.00446859058120538,-0.004158295415965,0.000895932324344089,0.000581322239017417,0.00281648190907483,-0.00138132506117882,-0.00837250642133099,0.00864174224100089,-0.0024619523133005,-0.000511586280619776,-0.000490772134490499,-7.09709979851131e-05,-0.0051531453593469,-0.00735663002553068,-0.000251896419238055,0.00277981337054229,0.00129392182177681,0.00223837496494892,-0.00509705510906402,0.00578054018438876,0.00119115917032008,-0.00137518891641142,0.00543746018087341,-0.00431644826592531,0
"GSM1933012",0.000108576970403791,-0.00659154594028403,0.0092458212886918,0.00549723198823442,0.000922521245326025,-0.00493728836583396,-0.00421282551763624,0.000939012904359053,0.00061219293905914,0.0023731641416625,-0.00144470792850575,-0.00871202279169718,0.00766358428770369,-0.00200065838576771,-0.000559985173312226,-0.000483744055364056,-7.08352458700747e-05,-0.0050227190199136,-0.0071505399495418,-0.00026561275946962,0.00232576998650101,0.00106120978588388,0.00190575721735345,-0.00549667750953264,0.00600527401721959,0.00109213601268373,-0.00117991061445421,0.00527939998277001,-0.00408213109173371,1
