"","ADAM8","AGPAT2","COL5A1","DBI","EIF3D","ELN","FASN","KLK7","LAMB3","LMO4","LSM1","MFSD1","PHPT1","RBM38","RPL36AL","RPS21","RPS27A","SERPINA1","SOD1","TRIB1","UPP1","class"
"GSM1932978",-0.0051267546164944,0.00540473532446437,0.000803407767595299,-0.000115344096812965,0.00487030628876682,-0.00195064372224196,-0.00248191331504168,-0.00546494908396661,-0.000370109014966762,0.000734569445643983,0.00167279689692261,0.00349109694215327,-0.0242215907249906,0.000199901431449598,0.00938421024229683,0.000586569714131393,0.00197996762661002,-0.00263497032105821,0.00273740252517884,-0.00558672446106612,-0.0086624422851671,0
"GSM1932979",-0.00492503251049567,0.00564613065686032,0.000604822153788503,-0.000133047726591692,0.00474820136173788,-0.00179945692264349,-0.00265193629202221,-0.00639108512838873,-0.000484520118329541,0.000733440139514915,0.00164936629820496,0.00327180582210824,-0.0244098206631978,0.000196659364011233,0.00993528958893637,0.000608834993192684,0.00217737691190305,-0.00186851819531008,0.00336688924591676,-0.00463347720198606,-0.00862892815493863,1
"GSM1932980",-0.00496804897761648,0.00525959093912581,0.000617855062772268,-0.000120999400022078,0.00468062844657858,-0.00184409721812849,-0.00247499059134038,-0.00634568806027471,-0.000421193552498587,0.000741554352966248,0.00161047509175376,0.00304841640574406,-0.0231321037743038,0.000204557062565162,0.009155431892577,0.000632513520208796,0.00212648402554929,-0.00182725669867883,0.00299403848547205,-0.00548787911536152,-0.00868147051032871,1
"GSM1932981",-0.00501893906394419,0.00540234297848012,0.000621397811178292,-0.00011525723993337,0.00483173387740387,-0.00190701013506816,-0.00257772227954567,-0.0070225155524545,-0.000437912339572562,0.00075442523652737,0.00163541182249544,0.00323862089984851,-0.0228065800053308,0.000194155505158063,0.00858604464360866,0.000595093817796484,0.00197385045950412,-0.00239704891590417,0.00282228396295731,-0.00529536396830881,-0.00857206027139244,1
"GSM1932982",-0.0055147411100561,0.0053401211415087,0.000676102240931963,-0.00012268525328386,0.00494869437403108,-0.00191009877598361,-0.00272224530419636,-0.00565270946160822,-0.000439220217328596,0.000797523082445421,0.00180221645432797,0.00318650374664698,-0.0241023347272222,0.00021722255345259,0.00971091978092829,0.000620016609027481,0.00210985816591736,-0.00226941410410769,0.00296751436367988,-0.00595318405964302,-0.00855359510277186,1
"GSM1932983",-0.00504075762190243,0.00555498356161875,0.000703275176472771,-0.000125904995999632,0.0052298896620489,-0.00199604216913446,-0.00291413061846909,-0.00575231135922466,-0.00045642168170579,0.000801470363596519,0.00173797259802619,0.0032509705527687,-0.0238516771157965,0.000208371388997766,0.00996068000373807,0.000588455556627737,0.00195365220428105,-0.00214666946562779,0.00316825882114232,-0.00527044492721072,-0.00882796157332114,0
"GSM1932984",-0.00535153880139092,0.00561839189148545,0.000683744494798844,-0.000122589735085661,0.00498435289967731,-0.00188158585137941,-0.00270034850197092,-0.0062069836758653,-0.000376275908546457,0.000737096240247336,0.00175545432300231,0.00308161877647518,-0.0246874979443004,0.000208266124567547,0.0094717091699413,0.000583819866293992,0.00197439910154575,-0.00238976251335994,0.00310244270416213,-0.00591579113604424,-0.00880716427003914,1
"GSM1932985",-0.00506991939471634,0.00514109319385442,0.00069817586822492,-0.000119034281357473,0.00466685784527181,-0.00185143748735992,-0.00248335925977084,-0.00561655537691459,-0.000343285289721604,0.00075401821413129,0.00175711886218927,0.00322653164418315,-0.0233705288587901,0.000191629147611147,0.00914513863472657,0.000570857441594744,0.001977224701421,-0.00203511072574376,0.0027732375693771,-0.0050814881732717,-0.00832087790970635,1
"GSM1932986",-0.00501870106630841,0.0053372533389376,0.000683092159171178,-0.000116270401552433,0.00493696955986605,-0.00183048213459496,-0.00256965724617435,-0.00751570781867574,-0.000474545944102821,0.000744384677862649,0.00168287519204715,0.00311788014681262,-0.0233473394534521,0.00018958406958853,0.0102938953729576,0.000605424019165274,0.00198885555166624,-0.00219398710174266,0.00261385759373222,-0.00551387522872498,-0.00917593963292553,1
"GSM1932987",-0.00530986506863123,0.00543415204182882,0.000709114986782298,-0.000114264851931165,0.00457586208258744,-0.00184123835333729,-0.0024644644559957,-0.0057631272626174,-0.000380413692015392,0.000719617132370712,0.0016387336665582,0.00333351430207833,-0.0233108200925229,0.000195092611496404,0.00914178445741816,0.000568648545277912,0.00192047330991378,-0.00242509878481709,0.00260069669681227,-0.00500651395571527,-0.00878505007891062,1
"GSM1932988",-0.00495348190123414,0.00555711419323121,0.00060736544611456,-0.000125314671516738,0.00541638559580485,-0.00181134324978236,-0.00268788456737414,-0.00681065414137825,-0.000515063585091653,0.000772337626720927,0.00180589379834539,0.00347171944217854,-0.0245487945447725,0.000204534486044316,0.00991617377289429,0.000640987460662108,0.00211193845528241,-0.00199381375150583,0.00323050601326527,-0.00527067706095088,-0.00917374326275064,1
"GSM1932989",-0.00494069226982372,0.00522456913670387,0.000590392337481631,-0.000111290307002237,0.00413399957901034,-0.00182036649495238,-0.00246462431714663,-0.00599297565365474,-0.000395260676685729,0.000682668597644412,0.00160052328757214,0.00290238690524125,-0.0218024786592559,0.00019369190185815,0.00787231059625803,0.000528061155598875,0.00185182136211288,-0.0021351006831488,0.00243695513848244,-0.00538686653094288,-0.00879618109773559,1
"GSM1932990",-0.00495762542942023,0.00535708332204605,0.000655605425624205,-0.000123116870080102,0.00495561160035847,-0.00188340133719164,-0.00279887850767259,-0.00628575068081482,-0.000401390238186649,0.000765105115161942,0.00178809880367054,0.00314976503899031,-0.0235988456927608,0.000206426558609185,0.00964232775860387,0.000637804788630241,0.00209797081889773,-0.00231608755345281,0.00297987306403531,-0.00520293544777279,-0.00836108774629965,1
"GSM1932991",-0.00509831302313853,0.00546428567274019,0.000643315980673909,-0.000129939311534704,0.00494187247771222,-0.00182080479957585,-0.00272853340805095,-0.00759556797968153,-0.000421576452752169,0.000745163235590832,0.00190097347875073,0.00339193171201012,-0.0239160735744297,0.000206660165621086,0.00995871965380468,0.000609569645651774,0.00215376654227984,-0.00239793693703372,0.00293209911298001,-0.0061227120691441,-0.00938344016007656,1
"GSM1932992",-0.0048661491093716,0.0053410885273807,0.000636348805169926,-0.000119884239366198,0.00527990211607733,-0.0018593810350584,-0.00279932885860406,-0.00585321741834095,-0.000371587808510325,0.000748508114232653,0.00176950426410758,0.00328841169813193,-0.0232214994250619,0.000197376261787509,0.00946195259075418,0.000627956537721968,0.00215046000653562,-0.00236646142690805,0.00300098512290218,-0.0052062945577483,-0.00866340477898176,1
"GSM1932993",-0.0051953273928912,0.00526740783265353,0.000665965361791088,-0.000115602113292608,0.0046188342891418,-0.00189922707433887,-0.00245947490344397,-0.00657848743598822,-0.000419313523523911,0.000725593152365181,0.00153988458220434,0.00298048738103499,-0.0228885389169086,0.000197323203610894,0.00882448478948231,0.000547915953169899,0.00184771235657976,-0.00228086011289468,0.00262558133242736,-0.004987419806313,-0.00825624248947292,1
"GSM1932994",-0.00514646968617624,0.0054760281399517,0.000655317854254237,-0.000124536997317701,0.00487798254266847,-0.00183143520426145,-0.00280186636765483,-0.00606509702646773,-0.000424754209495415,0.000749003612665525,0.00172910112288509,0.00328837245384746,-0.0241733417688759,0.000201158559512457,0.00938748697726494,0.000603325793041549,0.0020110054965103,-0.0022638729889386,0.00303569369675303,-0.00516359808046386,-0.00873812197717142,1
"GSM1932995",-0.00542884880478703,0.00538560720874635,0.000640644896269324,-0.000117466986993443,0.00474537875164133,-0.00189803196542423,-0.00251369636941399,-0.00599496919019026,-0.000382271869945114,0.000731114570143392,0.00160375081194141,0.00326936856546829,-0.0235494599305729,0.000206737752970224,0.00926574889743324,0.000579849051567703,0.00190586740730196,-0.0025791669531763,0.00276818712373091,-0.00534118810656958,-0.00894750811669221,1
"GSM1932996",-0.0048312644908747,0.00505937293352818,0.000609885081354908,-0.000130584131227533,0.0049632306389632,-0.00185847210843066,-0.00272342918045738,-0.00548073685112791,-0.000396679343987916,0.00082725657789004,0.00175427818435957,0.00302932471248241,-0.022112377967912,0.000273146067785413,0.00908723019542569,0.000658977942926753,0.00217210774469969,-0.00186299009143807,0.0030624444084091,-0.00562471611389662,-0.00791604100398134,0
"GSM1932997",-0.00503069255345931,0.00548792652677455,0.000602706112394443,-0.000125143053053829,0.00535144031871201,-0.00184488267202554,-0.00266215473473323,-0.00572810251909734,-0.000431196416190228,0.000808520480301166,0.0017954342333005,0.00337349931767829,-0.0248339782049661,0.000205582035070479,0.00954232930038282,0.000631817911320911,0.00211037770339627,-0.00244889290446361,0.00312047662211118,-0.00521000935587543,-0.0086400169440946,0
"GSM1932998",-0.0051413377547537,0.00567603579809308,0.000675437243399938,-0.000120260232128946,0.00487221727320298,-0.00185890515016368,-0.00258887416385036,-0.0101837992588681,-0.000488767102489299,0.000703304001860796,0.00164904175630797,0.00287711202519502,-0.0239902349226695,0.000194811757110923,0.00904144489855137,0.000636524230935688,0.00205516940768008,-0.00196663090915428,0.00295807514796771,-0.00596055846096091,-0.0110071554330379,1
"GSM1932999",-0.00516103341940391,0.00533458320404246,0.000670877255800317,-0.000122000010725303,0.00499275642833898,-0.00196234411803612,-0.00264820773104657,-0.00586848317949834,-0.000421280939928921,0.000794399451913345,0.00185106756818737,0.00326690311098594,-0.0235261285852496,0.000204829097663454,0.00928168749887335,0.00063430874623187,0.00201625744881312,-0.00232732060089723,0.00299858288642662,-0.00552407676210956,-0.00841662135186954,1
"GSM1933000",-0.00481906617990923,0.00543415843477168,0.000605849962528953,-0.000125090816639929,0.00540527053717711,-0.00194869168975042,-0.00293545323672499,-0.00697904374089474,-0.000426838290997822,0.000764421266373093,0.00184721154394289,0.00339300843435835,-0.0233696120505061,0.000201010642176687,0.0101296860158587,0.000632911767963257,0.0021638757865987,-0.00209096410788627,0.00313857779209103,-0.00519467618183945,-0.00803088709835794,0
"GSM1933001",-0.00505067079594774,0.00540723928224062,0.000621539610039559,-0.000124849707490059,0.00492497670062963,-0.00188514425297748,-0.00263584751172997,-0.00565191035614303,-0.000390622980411417,0.000823954928609586,0.00165921319199465,0.00312028144844943,-0.0238684937861908,0.000200471495997405,0.00966408989945229,0.000611034116428885,0.00203102946916883,-0.00203839101839577,0.00315577422753991,-0.00535591850479729,-0.00850662711484233,0
