"","A2M","ATP6V1F","BAG4","BOLA1","CD14","CDKN1A","CTTN","EIF3D","EPHA2","FASN","FGA","FLII","FSTL3","GOLIM4","GPI","GTF3C6","MFSD1","PDGFRB","PHPT1","RGCC","RPL27","RPL37","RPS18","RPS29","S100A11","SERPINE1","SNRPG","SOD1","STEAP1","THYN1","TM9SF2","TNFRSF12A","class"
"GSM1932978",-0.000687822705166843,0.0188429861341593,0.000450392242835463,0.0238532674642325,-0.00305363470791252,-0.00719444289998776,-0.000341964284562667,0.00476899524958859,-0.00508474512370002,-0.00238514553628456,-2.79834912621824e-05,-0.00126820944429159,-0.0056686622385802,0.00493953585109691,-4.25997567769114e-05,0.00722948411429239,0.00681663116052687,0.00129317949556924,-0.0125088725900306,-0.00651788780784458,0.000461530026047132,0.00106396525589742,-0.000215806565136973,0.000248147464169406,2.39822646405381e-05,0.00153711780203017,-0.000210044362631315,0.000103984653813837,-0.00513844365510166,-0.00112808089509323,-0.00756416257476083,-0.00865109042728652,0
"GSM1932979",-0.000544115466972365,0.0188565672513053,0.000436757277518636,0.0253793296867982,-0.0022238007517506,-0.00678669925268128,-0.000355056323433041,0.00464943032236923,-0.00511285265040396,-0.00254853945586798,-2.46627649170224e-05,-0.00124337225162958,-0.00519453096820329,0.00543048289623513,-4.8974399623478e-05,0.00769442502728845,0.00638844864170978,0.00106857062102021,-0.0126060810822968,-0.00652445937308826,0.000472260019651243,0.00117030697701247,-0.000217364753090276,0.000250783782156495,2.58371072850854e-05,0.00130667457895718,-0.000271989448650245,0.000127896723059869,-0.00478172203784613,-0.00118678117673808,-0.00776595370713014,-0.00853460769367392,1
"GSM1932980",-0.00057992054764284,0.0179191506685424,0.000432286752727654,0.0236216562609316,-0.00209981356209072,-0.00662186278142956,-0.000348612357216747,0.0045832630441143,-0.00494861980711498,-0.00237849272394215,-2.30385763780349e-05,-0.00118457511344867,-0.00509737804068329,0.00480225605528264,-5.50594690710388e-05,0.00722430250691072,0.00595226388896534,0.00106786757892293,-0.0119462236042817,-0.00581855774201519,0.000464512032627831,0.0011525478097529,-0.000218468479301293,0.000242844129705091,2.32090409187288e-05,0.0012542629068718,-0.000227540461980255,0.000113733385044195,-0.00399291302932774,-0.00105519378651798,-0.00735035070684642,-0.00882170712073464,1
"GSM1932981",-0.000648853908527461,0.0170667649864581,0.000430714191375465,0.0241823931790746,-0.00216472110124357,-0.00682707493346821,-0.000335542720234828,0.00473122521303475,-0.00543998475467672,-0.00247721898729423,-2.60504558070628e-05,-0.00115120899398437,-0.00519606853239491,0.00502093329108996,-4.53895710194618e-05,0.00680274829673739,0.00632365256790159,0.00109777751186758,-0.0117781117986888,-0.00651494515963092,0.000449731435988303,0.00107075067679936,-0.000217416864218544,0.000234398119650485,2.33589821841541e-05,0.00135026519378662,-0.00020922257230713,0.000107209012249043,-0.00394884046908172,-0.00105613378742733,-0.00691604356888689,-0.00859923430220681,1
"GSM1932982",-0.000630089602361562,0.0181672800123114,0.000482359287679468,0.0247720813765168,-0.00261173322256469,-0.00695789101450883,-0.000361671367976378,0.004845752723161,-0.00528905800693048,-0.00261610717692068,-2.25291428055918e-05,-0.00126694435819779,-0.00533686290416952,0.00499084872717738,-4.39750881884781e-05,0.00741352129392955,0.00622188987944058,0.00119106430473783,-0.0124472846415504,-0.00643137035939936,0.000461280633298463,0.00116994652174535,-0.000229779355420344,0.000246500114385944,2.35966498587123e-05,0.00124531004549852,-0.000220996943518375,0.00011272582346094,-0.00487947763385612,-0.00119664944842756,-0.00744314121654652,-0.00862292897873003,1
"GSM1932983",-0.000638551394305905,0.0184983571087832,0.000448860465163784,0.0246790687134884,-0.00233043587597097,-0.00700800267400785,-0.00036807628683124,0.00512109864870508,-0.00558103859822439,-0.00280051103907108,-2.31486092258463e-05,-0.00129255335510575,-0.00536830719318367,0.00498453562555129,-4.79661124014483e-05,0.00756127697830582,0.0063477662004682,0.00121273178330775,-0.0123178363257628,-0.00654862862170164,0.000458181158651564,0.0011599197212523,-0.00022464009198306,0.000253276865105465,2.45002574242585e-05,0.00129987734882877,-0.000220745271728927,0.000120351425732536,-0.00468229218181403,-0.00113112631923648,-0.00751011862348279,-0.00883576772379418,0
"GSM1932984",-0.000652836671359121,0.018393591785253,0.000421014258108798,0.0251494622531645,-0.00233783103716468,-0.00683430912149977,-0.000374688255557698,0.00488066948800728,-0.00507381720741244,-0.00259506411318015,-7.33946223347292e-05,-0.00123355507859119,-0.00543566854648211,0.00485611366694541,-4.65169772583727e-05,0.00727354433347975,0.00601709403223531,0.00121023347572805,-0.0127494832960446,-0.0065867402655085,0.00046148090403384,0.00105490690908595,-0.000219637302290221,0.000244942156592316,2.4507088157346e-05,0.00123768854149702,-0.000204825774838086,0.000117851294284346,-0.00524866918322664,-0.0011337305907293,-0.00763396666988435,-0.00867130753277063,1
"GSM1932985",-0.000609855770910834,0.0176893838507317,0.000461030614662541,0.0235457624432484,-0.00262077395685295,-0.00666650632971766,-0.000339935522398157,0.00456977889582419,-0.00486876282102806,-0.00238653510480638,-2.20969944556759e-05,-0.00120093162596199,-0.00510061643135454,0.00484974277575485,-4.66941535096958e-05,0.00715114768570978,0.00630004738069495,0.00124050769784324,-0.0120693546173505,-0.00614209197902277,0.000453127591776815,0.00104839794745344,-0.000215766078969772,0.000231869834476949,2.24598649255317e-05,0.0011830228816207,-0.000217510018954497,0.000105345905814989,-0.00467912857712434,-0.00109038962037004,-0.00696439663204381,-0.00829325993060826,1
"GSM1932986",-0.000567105823556214,0.0174978393045,0.000447510211771076,0.0243325890667747,-0.00233289784133153,-0.00705740400415305,-0.00034598424303208,0.00483427180599891,-0.00568043989567401,-0.00246946840300548,-2.39985433166142e-05,-0.00116742076393188,-0.00546368298303451,0.00503640226323991,-4.47021454623166e-05,0.0076746342641739,0.00608789710389482,0.00118576147979665,-0.0120573788012241,-0.00610212643820315,0.000439844289556493,0.00106325710499633,-0.000218112615467279,0.000262275556576673,2.39537236565803e-05,0.00148656085081815,-0.000209110212477061,9.92916001584956e-05,-0.00493066962584422,-0.00109629419767571,-0.00752188898580731,-0.00899353344218208,1
"GSM1932987",-0.000628503543299056,0.0178607071022364,0.000423678976548755,0.0242272427567938,-0.00262396628387535,-0.00684564518457531,-0.000325652706038171,0.00448067600696167,-0.0052098388541098,-0.00236837699404154,-2.41031110831145e-05,-0.00119944585729192,-0.00550424724854643,0.00456376965368531,-4.10498635551156e-05,0.00709158945992998,0.00650893912203814,0.00114723624467326,-0.0120385189320223,-0.00620695306753551,0.000434608107213779,0.00101960805260366,-0.000215086331922899,0.000238934486709164,2.25808330763992e-05,0.00149847463489577,-0.000199109758723734,9.87916622438071e-05,-0.00450784657026406,-0.00106903625276795,-0.00697897068182408,-0.0083672948671396,1
