"","ARHGDIA","CD9","CLIC3","DLX5","DUSP1","DVL1","DYNLT3","EFNA1","EIF4EBP1","ERLIN2","FABP6","FBN2","FGG","FN1","ID1","ITGA3","LRP10","LTBP2","MOB1A","NPTX2","OAZ1","RAD23A","RPL36","RRAD","RRAS","SERP1","SMAP2","SOX2","SPARCL1","SYPL1","TGM2","TIMP1","TIMP3","TINAGL1","UBB","WNT10A","class"
"GSM1932978",-0.00583633759572016,0.000656041870667241,-0.025307741606162,0.00165541744454437,-0.00314010849237102,-0.0095597949251835,0.00520274798019131,0.0041664992772135,0.00196875524865975,0.000884913364630801,-0.0292739599563928,3.07273342447795e-05,0.00039631767232349,4.75414284499584e-06,-0.00580666365088527,-0.000229231500713067,-0.00483732226423651,0.000662074494351915,0.000286168052276903,0.00478488616897383,0.00539740448172524,-0.00131093280304285,0.00103959529769887,-0.0101467869187257,-0.00694550529266824,0.00064891756454258,0.00536448379538826,-6.36618637160483e-05,-0.00269430324939096,0.00230648216303162,-0.000398067549276809,0.000768457183894765,0.00071221582054403,-0.00144032464730646,-0.0133959190198875,-0.00731089948932231,0
"GSM1932979",-0.00581985698259889,0.000888097295056558,-0.022817742759219,0.00188401175799888,-0.00222801157882255,-0.00940411819892487,0.00619762534141999,0.00499976761792516,0.00197769190880959,0.000926005657928371,-0.0317472636330475,6.82762375922407e-05,0.000322138247679712,3.95095266464379e-06,-0.00598793086781713,-0.000249412631432527,-0.00503365281637175,0.00057477205368581,0.000292761523482413,0.00467543786901231,0.00524695104105919,-0.00140875773584744,0.00102812081567751,-0.00977036048982076,-0.00573913254245797,0.000669649940058088,0.00402101758099929,-0.000117973262265985,-0.00274945421517079,0.00262245619900382,-0.000302671338864703,0.000574494403425239,0.000601122436197655,-0.00162477485636745,-0.0142955001489848,-0.00779209112484559,1
"GSM1932980",-0.00539630726367132,0.000752872201892536,-0.022978203777722,0.00230183047295519,-0.00237556092566054,-0.00956886500917014,0.00460546774181374,0.00447548547278528,0.00192653526945464,0.000887892370453448,-0.0346112953286251,2.7985175227377e-05,0.00031266727382206,4.22656195490449e-06,-0.00660933343986074,-0.000226647912495446,-0.00434794089217483,0.000636231228992599,0.000275237773423165,0.00471603551565148,0.00470696345536907,-0.00124275071559022,0.000998482515380026,-0.00967005990418048,-0.0060434411316629,0.000713839297989564,0.00416405932932948,-0.000102709128926117,-0.00245903234145593,0.0023189451235784,-0.000315567952767657,0.000607163090426981,0.000684658538710833,-0.00142145684556276,-0.0133300914711749,-0.00818107830883662,1
"GSM1932981",-0.00541195013054794,0.000777142772449781,-0.023291975493132,0.00196064358803543,-0.00260085499857022,-0.00977941218239436,0.00587191721153584,0.00483542556315838,0.00190828079717881,0.000938229296544534,-0.0310270643778894,5.14356708889868e-05,0.000349553970158147,4.11298064485983e-06,-0.00594896079466255,-0.000253197090712491,-0.00440638132273324,0.000641795283457517,0.000268018130683952,0.00498375377603423,0.00471344387791147,-0.00125235335967059,0.000878397278479337,-0.00987233021321475,-0.0057124035547233,0.000638000562225558,0.00417384881781997,-0.000113309763449549,-0.00235702201173447,0.00231763326030412,-0.000344357693136409,0.000613895786145221,0.000682776975380077,-0.0014482491397438,-0.0121423168559611,-0.00809722091667445,1
"GSM1932982",-0.00604403000254089,0.000741758404130026,-0.0243453724531378,0.00224779770544122,-0.00257386306246278,-0.00974837711872568,0.00477979009852905,0.00401713597757455,0.00200896201779612,0.00100593043793577,-0.0345456809889097,3.92933808927269e-05,0.000300534648630091,4.47251405184003e-06,-0.00516449893234448,-0.000240046626628508,-0.00476763233529536,0.000727407486751325,0.000294862969280141,0.00472996761615079,0.00537327364582971,-0.0014076554918211,0.00110816828411902,-0.0103009539229269,-0.00673396899281329,0.00066252111458542,0.00521833948780684,-9.12360177945066e-05,-0.0024080313603882,0.00233866782770449,-0.000376446939636145,0.000628710469284337,0.000711322906654796,-0.00149546768914189,-0.0135482328996117,-0.00812300793994857,1
"GSM1932983",-0.00586104588733887,0.000783732797378408,-0.0242752770128844,0.00203961359092545,-0.00255858590524364,-0.00987381366154405,0.00530263033359994,0.00445285784297662,0.00200467946280385,0.000923678382174412,-0.0309367029996796,2.97658059430933e-05,0.000305765472097268,4.22199693589925e-06,-0.00774119306824924,-0.000245816485853826,-0.00478235888002894,0.00067640076336741,0.000269320199085892,0.00480339449113721,0.00516628903086104,-0.00136675262971379,0.00102109130503184,-0.00993420393770541,-0.00606177136734481,0.000653856187461872,0.00445826044533692,-9.93817472549884e-05,-0.00230387407713922,0.00246871906421358,-0.000323383177414815,0.000593150543054578,0.000746002474662279,-0.00153552759795681,-0.013235051441503,-0.00797744241332064,0
"GSM1932984",-0.00567867856056192,0.000656102222630669,-0.0243129339801086,0.00173520546092854,-0.002707437496614,-0.0098447018020466,0.00492867859323549,0.00475159487199585,0.00202960462857157,0.000902849313295051,-0.0312937425855722,2.7809362508326e-05,0.000978065432937675,4.47525859833732e-06,-0.00633378719639073,-0.000246082047846648,-0.00514363241249066,0.000684471996609927,0.000262675058389056,0.00492590449603428,0.00515964844639341,-0.00133527954987182,0.00101507737496411,-0.00994902829542711,-0.00601657144871502,0.00066690305639972,0.0049130973516067,-8.31486027310616e-05,-0.00233282611720129,0.00220810041165496,-0.000383336772047286,0.000670856999717294,0.000764296137139607,-0.00136783325360058,-0.013341566923242,-0.00791603812946159,1
"GSM1932985",-0.00572445468272964,0.000768545310586685,-0.023889503634165,0.00191689455138561,-0.002629860380556,-0.0094408300633575,0.00535178294355699,0.00376903315742548,0.00197676305619846,0.000960941153126606,-0.0301083928861609,4.78147351150486e-05,0.000305690808656719,4.58355798782388e-06,-0.00548835101413624,-0.000216821066730339,-0.00465043884755641,0.000684619233792867,0.000279391301625575,0.00459677338883531,0.00510231253865663,-0.00128299260369112,0.00100187306759869,-0.0094727278817765,-0.00595809288867949,0.0006342272078914,0.00459016605019284,-0.000103524531086111,-0.00248984907842116,0.00217634631278036,-0.000336895288712028,0.000614441118028347,0.000798550970625779,-0.00128710236207128,-0.0129329249459401,-0.00770013606847199,1
"GSM1932986",-0.00570369229843907,0.000740914142089044,-0.0240223980601934,0.00200626556435987,-0.00242373883319641,-0.00961489225380164,0.00578329112521111,0.00439639313486867,0.00202712291063565,0.000881602472360923,-0.0307902069101275,3.35752663419908e-05,0.000307528448721497,4.54203005170509e-06,-0.00651680475264168,-0.000265261994570776,-0.00466508571215469,0.000638146198104417,0.000263063998475673,0.00469392354341362,0.00506065708055471,-0.00127498552752492,0.00101513536026626,-0.00984528769444732,-0.0063427552048088,0.000660814508357381,0.00444629724223146,-9.65249142247008e-05,-0.00219840797015479,0.00240305915974401,-0.000317846129017481,0.000649995979687658,0.000733237659031343,-0.00137937423264571,-0.0126430756260121,-0.00793910149925563,1
"GSM1932987",-0.00551529898510505,0.000679020791144291,-0.0239246007480829,0.00168365326982152,-0.00263659002040057,-0.00950809724430278,0.00493700840209261,0.00420390999888302,0.00199635254809941,0.00084894662605814,-0.0298338346419442,2.96476036247119e-05,0.000314184221876963,4.47837536492399e-06,-0.00568847169900461,-0.000229884403040887,-0.0045772920640799,0.000600790099625633,0.000258161488009464,0.00486108137956918,0.00507839774813143,-0.0012292662499934,0.000940699960743232,-0.00952725383022227,-0.00603293110200623,0.00060645792604605,0.00475486526116612,-7.32378964282334e-05,-0.00234368906341968,0.00217623522596413,-0.00038108932485585,0.000718576526523415,0.000659499256242575,-0.00137547522500165,-0.0127263132193989,-0.00793795218487665,1
