"","ADH7","AREG","CD14","COL5A1","CTSE","ELN","EPHA2","ERH","FASN","FUNDC1","IFITM2","LAMB3","LSM1","MYADM","MYLIP","NPPC","NTRK2","PHPT1","PPP1R15A","RARRES2","RPS26","RPS27A","RPS7","RTCB","S100A11","SERPINB13","SNRPC","SNRPG","SOD1","TIMM8B","TOR3A","TXN","class"
"GSM1932978",0.000202084906821645,0.00421950699293529,-0.00683079619078994,0.00120696855766298,-0.0077018465364998,-0.00293880186393907,-0.00808012168135021,0.00837985549082007,-0.00268128483788698,0.00145304313468778,-0.0129080339748361,-0.000364368718903752,0.00202093644093866,-0.00245533584574717,0.014702546912614,-0.0204314542671061,0.000423093063097163,-0.00683387609453586,-0.00326866854791253,0.00177758578184435,0.000740854418745276,0.00206189843704708,-0.000127114635453247,0.00199413773773879,0.000397506583857117,0.000429248533051765,-0.00601047235512022,-0.00343870804022513,0.00276015485773269,0.00351478026687961,0.00381153862511854,-0.00265241953718211,0
"GSM1932979",0.000435804283014702,0.00402430693878772,-0.00497450781024101,0.000908631148520894,-0.00396240864133268,-0.00271102677441514,-0.00812478709336292,0.00934014730370408,-0.00286496572130359,0.00164161518057105,-0.0118643760391775,-0.000477005335346085,0.00199262950728244,-0.00235137163339942,0.0138813533144481,-0.0210940214488703,0.000819414345655805,-0.00688698326200457,-0.00310492045870303,0.00152262123465125,0.000770870557985304,0.0022674764936445,-0.000144570433646449,0.00208970585097764,0.000428250643030754,0.000565348791120286,-0.00629068986055486,-0.00445283221226788,0.00339487365196975,0.00396195943444001,0.00417764697852139,-0.00332516540686481,1
"GSM1932980",0.000385130343743493,0.0043736687826947,-0.00469715596437649,0.000928210634795181,-0.00404884754725362,-0.002778280974699,-0.00786380619352117,0.00836027426315279,-0.0026738060133911,0.00162959633490254,-0.010736404712168,-0.000414660948337649,0.00194564433144077,-0.00218393861940132,0.015174351632512,-0.020797222599194,0.000432992595009619,-0.00652648840426639,-0.00323877666404246,0.0015608113752197,0.000716302408748211,0.00221447766607817,-0.000142415847502067,0.00208412869100832,0.000384690383017847,0.000475650662547406,-0.00616510397607367,-0.0037251426617026,0.00301892388638547,0.00398132807100302,0.00394147106811615,-0.00295785067599066,1
"GSM1932981",0.000414812395378145,0.005273884080327,-0.00484235020455525,0.000933532945714055,-0.0075279292359582,-0.00287306435080197,-0.00864462970967809,0.00785316730733707,-0.0027847901143611,0.00156804041063963,-0.0118264674831037,-0.000431120431304622,0.00197577085066522,-0.00226757182965766,0.0156340375516648,-0.0204863024194901,0.000717902563351975,-0.00643464517529578,-0.00325302776233599,0.00151755175170647,0.000673125658139216,0.00205552814233858,-0.000132650938899563,0.0022182687527233,0.000387175662914961,0.000531802607309715,-0.00593533686045146,-0.00342525422999307,0.00284574180034,0.00328148639116176,0.00388554519959995,-0.00295386269608394,1
"GSM1932982",0.000204491857017528,0.00363908354556234,-0.00584228928949073,0.00101571602800512,-0.00699731061397909,-0.00287771763708683,-0.00840479340380782,0.00844987707289025,-0.00294092264017212,0.00157860555281691,-0.0127765964448667,-0.000432408024211517,0.00217729056869427,-0.00239211012194302,0.0160764278111669,-0.0216287948695938,0.000551739992533576,-0.00680022922462,-0.00333067325660773,0.00170636536683104,0.000785012701391919,0.00219716383047352,-0.00013887064754985,0.00227199571619936,0.000391115010045973,0.000553487485991135,-0.00625759408048678,-0.00361801648481146,0.00299217930536812,0.00349379438117873,0.00408198312158989,-0.00269315582842337,1
"GSM1932983",0.000388184064740182,0.00405038465632501,-0.00521304413498262,0.00105653823578053,-0.00677353183956461,-0.00300719828037655,-0.00886877707434637,0.00926987891463366,-0.00314822205738163,0.00150363289120774,-0.0118396885611598,-0.000449342698280317,0.00209967639416684,-0.00220861991416308,0.0145192904580689,-0.0205296284263339,0.000516256222858645,-0.0067295087224827,-0.00320826487434761,0.00164912617550483,0.000743995002234289,0.00203449408586421,-0.000132883376364775,0.00217435700433238,0.00040609232607144,0.000843740092158384,-0.00630196313073677,-0.00361389627994126,0.00319459228056316,0.00388842409500357,0.00391081037929872,-0.00302309657825512,0
"GSM1932984",0.00019607593461477,0.00396368895373765,-0.00522958666339357,0.0010271970722507,-0.00657652190638571,-0.00283476061986337,-0.00806275623014682,0.00832066570865342,-0.00291726687288587,0.00142593838339121,-0.0128261877301089,-0.000370439965542938,0.00212079638495574,-0.00236985934162969,0.014514439450932,-0.0212040900512996,0.000428116696510683,-0.0069653270898261,-0.00333504605183421,0.00174093770997365,0.000722506110538869,0.00205609948711863,-0.000130601849855541,0.00213713884992073,0.000406205545628291,0.000407596910353182,-0.0058454617254478,-0.00335327275608615,0.00312822912303371,0.00359932724119733,0.00400825392623507,-0.00269391142031235,1
"GSM1932985",0.000412029501503477,0.00367529782668813,-0.00586251286540769,0.00104887748744173,-0.00386269940179826,-0.00278933968144958,-0.00773690619185135,0.00794346278933473,-0.00268284693502197,0.00144983812357904,-0.0120343657987577,-0.000337961022769461,0.00212280734510667,-0.00229057192788718,0.015287223223721,-0.0209083318463507,0.000611713696035083,-0.00659375762302699,-0.00323366455312939,0.00175605006709774,0.0006981618277151,0.00205904200996002,-0.000134127985119524,0.0019849526726086,0.000372272773829256,0.000551492047715121,-0.00601341793337124,-0.00356093085117077,0.00279628775028726,0.00351293041430762,0.00388554666356935,-0.00289017727388723,1
"GSM1932986",0.000294432647414062,0.00552757835632185,-0.00521855140262115,0.00102621706107407,-0.00714117505907468,-0.00275776875485599,-0.0090267347613371,0.00898383272825616,-0.00277607721872348,0.00144456973032378,-0.0119107119120339,-0.000467185858007931,0.00203311221309437,-0.00225473978647258,0.0131335697707737,-0.0201225532954119,0.000527918598898666,-0.00658721496756785,-0.00319702490676993,0.00165971677162207,0.000735223094414352,0.00207115414332012,-0.000130579364931699,0.00212276079514286,0.000397033516396515,0.000811377220918697,-0.00612879001304664,-0.00342341474881769,0.002635583064018,0.00358295658028596,0.00378129457683244,-0.0027420111690431,1
"GSM1932987",0.000251454912159943,0.00445855927976209,-0.00586965390791939,0.00106531144872495,-0.00765769171095311,-0.00277397386465049,-0.00827890697711141,0.00774567882445109,-0.00266243431602754,0.00137417811834413,-0.0121085134062705,-0.000374513573049667,0.00197978403106381,-0.00229052322102384,0.0136255634006134,-0.0206459389070007,0.00043394083038962,-0.00657691140037131,-0.00311212713280004,0.00161649316696879,0.000700457927981224,0.00199994225303655,-0.000122235084914293,0.00194085755990744,0.00037427782369121,0.000514679898031055,-0.00573086944362236,-0.00325969390291322,0.00262231277832505,0.00335611106817886,0.00379632846178581,-0.00251916343321822,1
