,ARHGDIA,CD9,CLIC3,DLX5,DUSP1,DVL1,DYNLT3,EFNA1,EIF4EBP1,ERLIN2,FABP6,FBN2,FGG,FN1,ID1,ITGA3,LRP10,LTBP2,MOB1A,NPTX2,OAZ1,RAD23A,RPL36,RRAD,RRAS,SERP1,SMAP2,SOX2,SPARCL1,SYPL1,TGM2,TIMP1,TIMP3,TINAGL1,UBB,WNT10A,class
TCGA-18-5592,-0.07031644017310022,0.06038663388370732,-0.0025657943876728688,0.003302150347007564,-0.009006065065698843,-0.04219689636068352,0.019099481870903066,0.12345259384318252,0.005572177440636955,0.0038531582992441626,-0.0010274710853761168,0.0030169348016533194,9.288111930523476e-06,0.00016760942992931496,-0.05667792443137496,-0.005394971546036209,-0.1008568442480446,0.003811938353703867,0.004318803534274692,0.0006700861527398776,0.07524925498985989,-0.012109151633895416,0.02168873026835071,-0.0007852122499957736,-0.00787905865303448,0.00658267369093663,0.007481319563286408,-0.0016621212581539857,-0.0067270757085611185,0.03878360224038736,-0.0019781202595197,0.006105044134964442,0.0020988237653675646,-0.006446927210153098,-0.10235261390216498,-0.0252972584819688,1
TCGA-34-5927,-0.05666456687975906,0.029801355578866377,-0.0027733675145068257,0.05079620551382291,-0.014964671698381699,-0.059898210257329665,0.018731532380715933,0.0209733883832328,0.007558917242101097,0.013070200658834427,-0.006740343676687615,0.0004363795031324121,0.00016496265651109613,0.000346822149345273,-0.013058039203304688,-0.00235782278430511,-0.03637234010687024,0.007317194940392358,0.00558855547662976,0.004290524215960948,0.10690487673028472,-0.01075614562445013,0.017610655273554664,-0.0019651407872583377,-0.00585546184341654,0.024249602886445388,0.035838254498100616,-0.0021900459982722178,-0.00822960275403828,0.02566985552444696,-0.003878880331799803,0.013867555071135813,0.006889350443071068,-0.0008628569349650612,-0.10267156774660835,-0.00993594010494104,1
TCGA-22-5485,-0.09273839025239351,0.02633982799998698,-0.00934966813958668,0.003112354564211858,-0.020100722830412664,-0.053174787570435506,0.038182523197351805,0.08114937487691667,0.007057980235297757,0.003332283336724752,-0.006179099838021914,4.956365715160739e-06,0.003029661076850411,0.00022488170167273371,-0.020043999109268313,-0.004008559813758963,-0.10447727470054972,0.005537618800568996,0.003733797601355159,0.0005915719757158238,0.23015594552498977,-0.01412712244600793,0.03155873786213306,-0.004994359884356793,-0.010489893819517619,0.01870399281204555,0.013744032507844464,-0.0028431289108486486,-0.10964776499458466,0.0293974195560573,-0.005889194282186192,0.015753987499718344,0.0036142073285643744,-0.010962084892456724,-0.2447787125625483,-0.0005672341063912427,0
TCGA-58-A46L,-0.06533786483402639,0.024657718784176774,-0.004384296649045741,0.0030899624194588335,-0.0046508564076940965,-0.02920146640493429,0.033344494609677366,0.13720183782574571,0.00911316754470779,0.0035122955759227564,-0.005509503745372116,0.0008466341799317304,4.045459516481542e-06,0.00035261735768698875,-0.024105064788771013,-0.002805373268832987,-0.05333419158293023,0.008520998761628847,0.00550959306654595,0.0008636160112640714,0.05381010100791722,-0.023099176878040854,0.021829020968662658,-0.010115329504847805,-0.008866159291768741,0.018943599821242593,0.011199826402590199,-0.0019547960589244733,-0.025289251238149915,0.03022423978717425,-0.0026851869727323894,0.006283352259826244,0.013410966182137161,-0.0013591953810481643,-0.08017088510561843,-0.0031123609047435507,1
TCGA-22-1005,-0.027334934200911504,0.002860318304939003,-0.013715055136605127,4.8379317183219114e-05,-0.014248730704806879,-0.03296950942428595,0.0039615493489282665,0.035677592640113366,0.003395675780862195,0.0014551025421339731,-0.009497700170863675,1.41204300489283e-06,0.005460502053500202,0.0001750756557920655,-0.011268035403962753,-0.0030902972799301486,-0.03222612820689353,0.0041432283655922116,0.001621964318357011,0.0006861004889487512,0.050397697027754665,-0.002928940907916581,0.008016928012938495,-0.011982104266340327,-0.009118144251541112,0.008470353814007596,0.030091522715721516,-3.246356351465592e-05,-0.01929165228490866,0.005971572808191317,-0.008895043279644632,0.015222678457786468,0.007131915470845064,-0.0016696470151589973,-0.04738177945627075,-0.0023666811225514185,1
TCGA-60-2726,-0.03275286599031942,0.029548959452145227,-0.00925511987945021,0.001876821233071185,-0.019313121254511092,-0.05456825502879065,0.01693333325607266,0.041597517133928695,0.011148510353603775,0.003841682897900051,-0.05517651001392844,1.065462938495357e-06,9.505185367993216e-06,0.0001238348774807183,-0.022586227899824746,-0.0010364040971398449,-0.048154013323095206,0.0027698216113420807,0.0037325385693787075,0.0007924500583358598,0.1160360580245426,-0.006036096871493401,0.03405814661445234,-0.006663150410114157,-0.01489132439009218,0.018208253504288174,0.018678064741282637,-0.0012590093769951425,-0.021242340401228195,0.04257369933582751,-0.002808247729347142,0.01799137242890134,0.0047842706328957785,-0.0030401499971694054,-0.07049125860462277,-0.0022624338021660123,0
TCGA-77-8008,-0.07527990784293113,0.006205713703533571,-0.024240441717125447,0.001977482008031938,-0.013016771064781071,-0.04588938695502955,0.016959723633577367,0.06310583159371294,0.023855742147275743,0.02178187067357016,-0.00998340998631931,6.989003651446544e-05,2.745650084844546e-05,0.0028509752604739965,-0.015069052821143054,-0.009021000561240528,-0.11516947317370874,0.02021425485543366,0.0031539842656333025,0.0017584619749354724,0.08788148464902802,-0.006031819551738305,0.010741628074576863,-0.004094781477105714,-0.03594340859064247,0.009912345139368128,0.017306671882342875,-6.140984289320637e-05,-0.015501589816045554,0.02084309860956488,-0.006265876544943737,0.018049805344926763,0.08385650020849536,-0.020515467407344692,-0.07033079015714479,-0.009368295306545652,1
TCGA-63-A5MW,-0.06647224885997623,0.030094145690388558,-0.0040247967377940235,0.14808973122186656,-0.025395386210028244,-0.057987518328772074,0.01942883689148464,0.046748965325422415,0.007339581801234288,0.008567577946914859,-0.00014179559391572653,0.0013479270464376817,1.355064488447476e-06,0.0005530640319675536,-0.04380642231051677,-0.0018995839862426666,-0.058172407993562235,0.012602767126479212,0.0027295012708905973,0.0024496343359503756,0.14583296755388322,-0.01103054096738121,0.038917955887168974,-0.001050675301143125,-0.022050289261240624,0.010558662186370653,0.009464246963192879,-0.0007748921355422139,-0.025020311172420814,0.059416782488084754,-0.0016751056147496501,0.011561790980619291,0.09755136643570825,-0.005781010991947115,-0.13277566266293286,-0.0028456848967189,1
TCGA-18-3421,-0.02720356478989579,0.015352756713298431,-0.00435809739833617,0.000357849777604106,-0.009546883874321385,-0.026506020107793665,0.007056219493342556,0.08245082102812047,0.05030826816428723,0.006821909582067726,-0.06514845966569174,9.754333509350758e-06,3.867196178438209e-05,8.714972883722235e-05,-0.01644940752315598,-0.001408907275518989,-0.03216253901143661,0.001134585556101195,0.0031291529528954263,0.00022979174699715453,0.16577485505858222,-0.009748295556353561,0.06436102948671849,-0.004471688922366812,-0.013958641309882695,0.02164536839329267,0.008717634369336437,-0.000315772133718593,-0.011594718875487157,0.028915338604815048,-0.002594141882650245,0.013841425519615643,0.002979706581344993,-0.0015292986666773018,-0.12712262022773105,-0.0005690822204098941,1
TCGA-58-8392,-0.07258460990146551,0.036209333776562005,-0.01083443669495113,0.01357241276932012,-0.015811513629169917,-0.028705297528585867,0.04196062249941377,0.12494461160628803,0.0203741818935098,0.010101752499819955,-0.004854076793627931,0.004268588404022028,0.00218403505622965,8.56705267227213e-05,-0.06299883480250955,-0.003906360141821523,-0.09234276452330964,0.0037366831890874217,0.006238587136194348,0.0001452871698949684,0.12860024788351226,-0.013727272258531554,0.021670544517609112,-0.006320469333082748,-0.007147521720140661,0.008720906647929441,0.007348224827376703,-0.004788008694384355,-0.018437901603668764,0.029715336444707075,-0.0022373753744281406,0.005135153620948443,0.0025092044512294892,-0.006352606596357459,-0.14923652869674736,-0.005975774006308032,0
