,SEPTIN9,B3GNT7,MYEOV,RPL36AL,CBR1,CD59,EIF1AX,FGA,ASH2L,RPL37,FASN,LAMB3,MAGEA1,CD14,EPHA2,COL5A1,RBM38,MYADM,RBBP7,PDGFA,H2AZ1,RGCC,COL18A1,TM9SF2,ERH,PFDN2,ELN,ABCC5,MT-ND3,RPS21,ALPL,RTCB,class
TCGA-22-0940,-0.05606735482453587,0.0053432171146679435,-0.0007230960034797954,0.03360796788125108,0.008905055061670285,-0.04823188743140821,0.012341807490862269,-0.00025439124665950795,0.02988088892424631,0.0953111079839191,-0.02279698704171683,-0.018726640968723972,-0.0,-0.03310255816336414,-0.03913313918166867,0.01436370239010265,0.009675276786830792,-0.012365934173153657,0.011400790473624849,-0.0004424210736148101,-0.07132849388643187,-0.010734498206753436,0.003919991267750836,-0.025504610374101122,0.053203733170424344,0.009310817734794733,-0.007685577486927368,0.0008106402743490026,0.010281795026476572,-0.023152921435798196,-0.01901783247780966,0.0303330496215261,0
TCGA-52-7812,-0.08221873917905088,0.026804760822306973,-0.037600911134546826,0.09530725296201263,0.004966749118101448,-0.026336589640256692,0.01052559718894014,-0.00020044702060618652,0.027252094480622806,0.051363501650833795,-0.06434963256503093,-0.025526742236486752,-4.563489111875055e-07,-0.03290736732562801,-0.016947132890539885,0.009346093915654347,0.006760247171760999,-0.03488036119149017,0.012470596909947085,-0.00024359342527460919,-0.06327697963589597,-0.005621274743965628,0.01078266081457528,-0.03436796770464635,0.1087952024303063,0.03094598909499188,-0.002205022595809346,0.0002340991510865518,0.010011513951540804,-0.04916945868771361,-0.017098218436346298,0.02920502481812066,0
TCGA-77-8150,-0.03960496029874194,0.00463107992092597,-0.0007501655019288261,0.044219266853820376,0.022407534729648283,-0.015169203656455537,0.01075069312964514,-3.231481537690818e-05,0.04583767922716352,0.09379635000196648,-0.027825725072513127,-0.012456737896195646,-0.0,-0.029600615999146335,-0.02971963118289697,0.009436410718836384,0.005896182531362447,-0.007079441736308179,0.010637174742860784,-0.0002218151482815342,-0.042362515422025744,-0.009422575023334216,0.0090109759284773,-0.019085610988316636,0.06808953834715314,0.007743015766789094,-0.0013507537289850877,0.0026821398455805384,0.022551180633318808,-0.03003521819231182,-0.007677978011951675,0.04919491724162361,1
TCGA-56-7730,-0.07074890342448965,0.007651837014060998,-0.007836943986604549,0.07295838516940396,0.0024405003553133815,-0.03129084273269682,0.021684030452849334,-0.0006493167704351089,0.05154883620164402,0.06692314238281032,-0.03686981263816208,-0.0179221858644413,-2.071545258421096e-06,-0.006583232315176555,-0.06083209617671043,0.0030981337000247403,0.006202259552719286,-0.019607610636068563,0.021501243261400682,-0.0006228184963298318,-0.06088308225761782,-0.008725960615710026,0.004975585860584963,-0.020244078269934566,0.08758078927609868,0.01606577552714984,-0.0008069310391511806,0.00641187715284741,0.026273659075235954,-0.02714988236177409,-0.052044183284332766,0.05513665288216538,0
TCGA-85-8354,-0.032454324577639616,0.0029572457026038838,-0.0021730971913588608,0.03702610145278504,0.014889910638339922,-0.010095120301798906,0.005728634495474521,-3.524218181470108e-05,0.028080803125104872,0.06139528447444845,-0.09513498401683691,-0.008143138516100717,-0.00047735380050075745,-0.009380917331309965,-0.04586572781053578,0.0021052761687653052,0.008812830881845842,-0.0062436213083822125,0.004843660175548184,-0.0005293085253776986,-0.06913704798879076,-0.004859215484537457,0.0028305101483100123,-0.024908879572636204,0.06027922650867767,0.013515233367867197,-0.0004406814359319622,0.002970776892242964,0.03617059372030594,-0.04932227138286058,-0.007819424629802762,0.033818595228240024,1
TCGA-34-2596,-0.07044869606737086,0.011845776950719636,-0.0003632499761932799,0.03843234572662805,0.02179654729442722,-0.02753356817112653,0.012682374725825028,-2.6273889583017534e-05,0.068131574555311,0.05168767822164855,-0.05501539769811021,-0.03016701132207539,-4.22702349986446e-05,-0.0319708362888405,-0.023204702375305173,0.008860516011197401,0.005831446717636958,-0.010030790395711166,0.015069512759411825,-0.0004843636951466922,-0.0403169831570511,-0.0054889014039187865,0.010860019370338495,-0.03285438185536671,0.04588704800498605,0.008747459511298352,-0.007937930027451535,0.005186466076955899,0.018345144385851782,-0.011338505152333981,-0.01599411760862117,0.0580475953229136,0
TCGA-43-3920,-0.025245431549149315,0.003919216247384389,-0.00046382856174791186,0.05514761529059987,0.009213898058305262,-0.034095143962392674,0.026069503531389808,-1.936406350370426e-05,0.039237320018519775,0.057232249830377106,-0.00714398413575463,-0.002614097404139763,-5.45663436434147e-05,-0.036129893890549554,-0.05366719544328901,0.008199651517994901,0.0046905783215124225,-0.008471670560859236,0.009703443665407173,-0.0010973784102915572,-0.052025240429716534,-0.022353443904250366,0.0023622583487510726,-0.03529556065979271,0.12095031098693895,0.00958375765913876,-0.003380452551805679,0.0006020063630050395,0.01438375315595167,-0.06576944303517147,-0.01283295522694186,0.05614469349957415,1
TCGA-22-1000,-0.03546662445488621,0.012473451106580399,-0.0015487157061752311,0.04577073765758759,0.0032190261066197393,-0.0434348288024213,0.00630705014209131,-0.0004585104053767068,0.023262595775298846,0.03659868796321299,-0.02235497189321712,-0.028825275212227795,-0.0,-0.05848757670294031,-0.058166558215415505,0.05352484122562146,0.0046076011280420555,-0.03204433432523404,0.007260448555384584,-0.00047288956745510476,-0.014678660887483883,-0.019830508365040588,0.022646814829799862,-0.035662250152636715,0.035155489764519446,0.005336377242968048,-0.015877230091384323,0.0006288527590219282,0.018313164991687687,-0.02037281477527319,-0.03676203683544821,0.03196522816058727,0
TCGA-77-8145,-0.05779832031071705,0.011555517314063091,-0.0002681825460115045,0.030248374719944102,0.0031360291990780303,-0.020215315582500854,0.005917061786324415,-5.4554525063320655e-05,0.02244753833910767,0.026994499003790327,-0.11630888085992344,-0.03925595160402415,-0.0002794054903139224,-0.027290955256807407,-0.10085177163003223,0.07140320700107061,0.00722600768068319,-0.029309730420345993,0.007960433871539064,-0.0020122058527391458,-0.03074195371646794,-0.013512136442863516,0.03783564715163922,-0.03930628963975136,0.05116416719999635,0.013187857961188102,-0.00885442308849142,0.002957416598381666,0.023068750462873752,-0.013217663499259734,-0.11773327058935061,0.05982614322759984,0
TCGA-18-3406,-0.01029973963950741,0.0011915086969499103,-0.038292723226645405,0.07209842920864089,0.0051117606010556375,-0.03603944789584963,0.030026519006250692,-2.840476409250636e-05,0.029216262450005685,0.04143090171173369,-0.005451382491139927,-0.0006321696778885676,-0.00040506138311337855,-0.013705612560671532,-0.0413306183010818,0.004932683496294995,0.0010565445236126005,-0.009444728823981223,0.007474924164532609,-0.00014050532934692045,-0.02458861370066431,-0.01767580903498264,0.0006922330424731781,-0.03408241789259802,0.07114332637007072,0.005850294277063265,-0.0045787846101751645,0.000374673510181098,0.015271999841606914,-0.03789721958403352,-0.0035676366667209513,0.026886197830702122,0
TCGA-22-1002,-0.051126525931291945,0.015167515672366598,-0.0030800064358039304,0.046765666413928056,0.0028350288353081515,-0.037014517001212874,0.010392416483198344,-0.001454683894511715,0.058342989033868205,0.05269013380442047,-0.06688314510699697,-0.014261306805245651,-2.997999579324669e-05,-0.025906540225821745,-0.06953273174070126,0.014140307578593853,0.007382644136881759,-0.04434287491860394,0.00742636811828706,-0.000777356208003296,-0.030897860222159446,-0.040953511341086477,0.007572245248540546,-0.03604245815212935,0.055787228630168,0.007132692044374311,-0.024190161596890532,0.0006435203651587023,0.024442479298358525,-0.016349098176229638,-0.09669797639436069,0.04497445598690339,0
TCGA-66-2791,-0.053105207363173236,0.005331401042010987,-0.0016321124543909572,0.05317072696100422,0.011864725127830067,-0.022908517276957995,0.01292570966567806,-6.261254080551383e-05,0.02823484764219125,0.04612718686421508,-0.025416325361909593,-0.007419144137172206,-4.969214108477452e-06,-0.04553183438663164,-0.032066026397955624,0.01879469225006813,0.004401232767035673,-0.020138637035112754,0.01041341088653896,-0.00042899698193972285,-0.03337189218839796,-0.006137038579647154,0.006757424279013498,-0.06095806833718595,0.07261056453679077,0.0075893612117460384,-0.002793340798825377,0.00353463052252229,0.017918163432059722,-0.015019270403631966,-0.00691080181082881,0.031201759144993225,0
TCGA-39-5022,-0.036382368404350725,0.004571835445520949,-0.00453786912472957,0.04427390068288678,0.009298799850415955,-0.02218279111362399,0.00725607123597273,-3.363885390707599e-05,0.02839839447093109,0.04878826854159646,-0.03305461311355327,-0.010135554048167182,-3.1672228532240235e-05,-0.03775014957697255,-0.01794829932468067,0.011252529733706499,0.007791204793583803,-0.015488410010729642,0.008820569547888794,-0.0002947021039213828,-0.024117931694684132,-0.011527113311887136,0.007357068467227629,-0.029976314702597158,0.034373494201053456,0.0058640261069410095,-0.010097782315990978,0.0016629449738122352,0.010481616412950406,-0.014082334376111963,-0.04161790705061254,0.030094348805570537,1
TCGA-63-A5MR,-0.05791701073529273,0.008806639300118232,-0.00453705866070415,0.04714229748803489,0.006557018833002723,-0.038670086276608104,0.009620362403117939,-1.2547333883543413e-05,0.03960617031312452,0.0567303705914738,-0.060896156893025404,-0.11037771347157199,-3.9005359347865825e-05,-0.019433821064061295,-0.1606695541350752,0.008911521779820958,0.006864744024259255,-0.004932299789223504,0.007396287055491036,-0.001222600437020632,-0.031879814753752476,-0.004811421196399214,0.005516705230453218,-0.02390999940764147,0.05828664375634407,0.012354913548721681,-0.000458042047463039,0.0013570284314250029,0.01902505843991313,-0.025771394950687445,-0.004644004568143378,0.027886833252311265,1
TCGA-85-8070,-0.06349970351945922,0.012846095027595173,-0.000698457897107025,0.03666164825001455,0.04082264305654708,-0.011051486617617306,0.01201545438880117,-0.0,0.13110526757804866,0.2134488555443819,-0.03554033911778672,-0.003956804121328943,-0.00020126380975219886,-0.0048069824815306205,-0.025151009107198474,0.0016915693502868533,0.011534156360027433,-0.004264735748020004,0.013405072400653242,-0.0001328796211397496,-0.09525881602250877,-0.0035463974092979603,0.003502098858439771,-0.02666806117300054,0.04453878229873197,0.01706583894996492,-0.0012822723532282254,0.005409729304955764,0.004664743615242233,-0.05745727215549524,-0.0045587192994820894,0.038036254516982,1
TCGA-22-5491,-0.03460919220805465,0.003702424136553274,-0.01904339215889308,0.05834127454295245,0.013289681752163567,-0.0416055553002357,0.051057165382767916,-2.7763432929456327e-05,0.18706745911891115,0.046974964377089326,-0.025182390228186708,-0.005751829599274409,-3.4765423081382555e-06,-0.015767977476103937,-0.0607293243068939,0.0004914924826048023,0.002990606875220835,-0.0018633887189561694,0.03405871658161637,-0.00015770180417499217,-0.05595834976761666,-0.005345624513535406,0.0014227548423537116,-0.03537283381855965,0.08125879626434435,0.011659006856777987,-0.0006497040166983543,0.006712022923474696,0.01718877417583625,-0.042666257351216985,-0.03464750987620849,0.09628906049106364,1
TCGA-66-2769,-0.043917904879026616,0.006146983575541413,-0.0008434499112546773,0.038265953689819,0.006734991111411824,-0.06628380334894782,0.008923128468206932,-0.0011939620886298422,0.1439325852979678,0.04771093720980064,-0.024061079326802053,-0.011973847627442575,-5.689687791413352e-06,-0.0482579198631372,-0.03095134688686865,0.01907052666732724,0.006304647968334279,-0.01893472512778603,0.0075351539640567036,-0.007948146402570756,-0.05553982820062705,-0.013745173337799206,0.00713431203852809,-0.03573917962055666,0.052894017082913976,0.011722731129804393,-0.013670612527731133,0.0004110758666383911,0.014710221254624494,-0.0345631352870225,-0.038971542546994205,0.0623002458296457,0
TCGA-22-1012,-0.035704984418447445,0.005131785999764523,-0.0005529796045441207,0.03447558707158286,0.004580440815661124,-0.02319112801277938,0.012828625655114253,-0.00015087832813302904,0.035992882848052354,0.1273016190713705,-0.06204555322713103,-0.008814478758379879,-6.44904651018999e-07,-0.0252202678856618,-0.047808081778205364,0.010289693167288455,0.010668228133480446,-0.008280797939050894,0.01389824618046431,-0.0012516070710695234,-0.0417959283647566,-0.00894840010751085,0.003462993558222616,-0.0388232894361021,0.0488475965110252,0.01255411420680635,-0.0007431732220087807,0.0008229558123750876,0.018982247037033526,-0.032040971617994254,-0.01146169677373647,0.06589827035634316,0
TCGA-58-8387,-0.01927952426400406,0.0006105517913161906,-0.00042508838133283196,0.0352174460010144,0.00394767591631357,-0.007032579891684122,0.008280886916325305,-3.454913039656636e-06,0.0897801157032756,0.098470587727533,-0.016208805359088772,-0.003246088700138526,-8.412960924123613e-05,-0.011079792860139296,-0.02139622681329959,0.0011151817611355504,0.0043679194642801105,-0.0032443094259642885,0.006781164850126688,-7.083642747606771e-05,-0.050521180390691464,-0.005968610519157027,0.0011045871614221209,-0.01494969261733861,0.055206250486666504,0.014088497654215286,-0.0003091988303432416,0.0012282034730322245,0.015702516868250787,-0.05106543015611329,-0.0014046422892562908,0.029860818283979573,0
