,EPHA2,IFITM2,NPPC,MYLIP,MT-ND3,SERPINB13,CD14,FASN,RTCB,LAMB3,S100A11,EIF4A2,SNRPC,MYADM,COLCA2,TIMM8B,COL5A1,FUNDC1,CTSE,TOR3A,RARRES2,ADH7,SNRPG,TXN,ELN,SOD1,RPS27A,LSM1,RPS26,PHPT1,AREG,RPS7,PPP1R15A,NTRK2,ERH,class
TCGA-66-2727,-0.029287102299269886,-0.019880168982096685,-0.0004750393496846654,0.0673755015457556,0.017521992496445985,0.0018220663783606525,-0.03356327230100186,-0.07594176759975585,0.016798928919423858,-0.017021854299575742,0.017752955990246684,0.019960557954598307,-0.07351236510312231,-0.0023683825502082458,0.001889887935187426,0.011061653970045522,0.014177852085805366,0.0024768875133533434,-0.04286447772905498,0.0693368533495739,0.006517535078918336,0.03154159869333989,-0.038485742548353435,-0.16888058789937438,-0.005912140216297786,0.0739003442715502,0.07918214986411892,0.0042443883494980746,0.008402480167228424,-0.023574104563496776,0.0017043457917458008,-0.010253394161448399,-0.017806237476240907,0.00867048089142389,0.051273764401439915,0
TCGA-77-6842,-0.04135720158645127,-0.039597148865494536,-0.05284998424834556,0.02391835449118643,0.019676702629622584,5.363150937112063e-06,-0.07777265108230523,-0.06496749779587159,0.030983623513394246,-0.03822678403480923,0.010087294867678433,0.006964327670262969,-0.045675411435486646,-0.006886382030164321,0.006454965589455707,0.010248054610524441,0.03346874723611619,0.002618845728901312,-0.04901863731228365,0.03065952783680732,0.00533261107569074,1.9715040720358926e-05,-0.022421129890297042,-0.015885157244610395,-0.00485908278512571,0.022888339231498172,0.13509814760100422,0.0012753552521387013,0.007104514200306077,-0.026860747884417967,0.0034462273735881357,-0.007313645367461392,-0.06299419834812615,0.014165068859939975,0.057735972381626546,0
TCGA-18-5595,-0.07287523290045674,-0.0174878386072919,-0.0003214278424211948,0.09537219388070259,0.019056932421391386,0.005990498461203199,-0.010138380653298931,-0.18870595425375725,0.015237627107921054,-0.025356057530645036,0.01623811165288412,0.024811656615365548,-0.051104114165098656,-0.003153821953926042,0.0015655664281485307,0.007117925914063193,0.01109952595914053,0.002565036263891326,-0.011694767889451112,0.027275257344271196,0.0033020450240260606,0.034884012133012926,-0.024775913694483946,-0.15011246748118515,-0.005008455366227445,0.051807303558483585,0.08845983253504626,0.001833388318970641,0.0030849750769023545,-0.03180323271912291,0.0030460470817260843,-0.0071844277298124945,-0.026955239015476362,0.05400090500135266,0.073050878398585,0
TCGA-63-A5MJ,-0.07513088135025865,-0.021172881501194972,-0.0030543868877741754,0.0416816206540644,0.03376959836755551,0.002168451511971213,-0.031389050507281996,-0.10927050956391252,0.03867899280533667,-0.007584208224006759,0.0255935013206533,0.010024119081442278,-0.038266390349837996,-0.00415290202140813,0.007025333796409541,0.013881329077128857,0.0455593311798752,0.003384921495198423,-4.422046903477158e-06,0.0791062002320687,0.0077875534361755835,0.011198029073245517,-0.050234152144438694,-0.13966170599095776,-0.0040509552870241486,0.06970716359300229,0.14329528294007945,0.0031225853727461636,0.009896842860353515,-0.03924335036739673,0.004245733450152907,-0.008043899389594789,-0.18808162106106222,0.02733297719001378,0.0955645797189933,1
TCGA-21-5784,-0.1936725146527823,-0.06547705718876119,-0.002386161878727663,0.01661247965584409,0.029004014572131965,0.018134006555306875,-0.023855516817381617,-0.021703703269427783,0.017739296309536128,-0.020781694293144862,0.04533661720414162,0.00924450950090324,-0.03258829032234892,-0.0036626410241696996,0.0018100434147808266,0.014778681162602907,0.007736000067984179,0.0026999833199177993,-0.02698639162210464,0.034482788116744774,0.011993793592836343,0.0011682438815481726,-0.021558584608695096,-0.03499216861846515,-0.01631920065685818,0.03218517146536808,0.0584551362759544,0.011792281089883352,0.007550836665236885,-0.01172302440116426,0.0036462654154240806,-0.005484066171967551,-0.026180710642460435,0.004869238251873053,0.03395883729103184,1
TCGA-22-0940,-0.0380319365004012,-0.053356549939904706,-0.00020514761969384987,0.026221832780928093,0.01866128903638346,0.002653720442995098,-0.036710230645144344,-0.031745156401583485,0.011572801928526668,-0.014863402265907924,0.021963082213689956,0.007659308947217878,-0.03409346454810651,-0.005621775091373311,0.0010125119244166687,0.009746259035842095,0.02392911121204263,0.0022047964923624956,-0.013021598424328696,0.03749269453304769,0.01148121236078328,0.00014696105079821126,-0.036632476549946454,-0.08761027268234708,-0.016091224447524064,0.04814948010176422,0.10076489424103305,0.0017439252528492794,0.007008357977954521,-0.02950022907765011,0.0028891303889793845,-0.00871343482458774,-0.06654795712660927,8.831040411657595e-05,0.05449443222557642,0
TCGA-52-7812,-0.016470242240591702,-0.04504400836189942,-9.868617273902398e-05,0.03390714326672706,0.018170733326271307,6.0239219257753924e-06,-0.03649376699185961,-0.08960785679367107,0.01114243281684288,-0.020260667090949085,0.019145694259099955,0.002991974802569409,-0.08107390029666206,-0.015857236742383166,0.0027127456950819637,0.009970848315388466,0.015570060882073843,0.0037504018716060738,-0.07767053259994337,0.06924468553941539,0.004463768238261624,1.627673001500044e-06,-0.01963718875886399,-0.07511451568525133,-0.004616635973208506,0.060334137750648886,0.11322114974789416,0.001945115005797011,0.012424353165774794,-0.03220745254778424,0.021894036544952124,-0.007751395917554118,-0.019055304462331578,5.7681901419950814e-05,0.11143452596296274,0
TCGA-77-8150,-0.028883323689318306,-0.03476019642790936,-0.018918238997073664,0.03713753817181968,0.040930022318706856,0.0005686800416510752,-0.032826630352987156,-0.03874775174447215,0.018769066751651197,-0.009886957654678178,0.009504563376964625,0.007748880427490205,-0.041014197704964284,-0.003218440973138068,0.00680182536780656,0.008579497272629872,0.015720523539191292,0.00267187354437005,-0.005862582798243451,0.066975769830011,0.00521772964048653,0.000903113770841058,-0.023835164642449263,-0.09943039247310395,-0.0028280609314523643,0.017472078535163423,0.10776099922433154,0.001847355197128277,0.005967132438586943,-0.01791645557620654,0.0016573270563444785,-0.0106064241104229,-0.053762468053004296,0.06577716408999906,0.06974136045762237,1
TCGA-56-7730,-0.05912028698333262,-0.0210838536109094,-0.00865397988519027,0.046986098657761474,0.04768625952801128,0.008186407253091684,-0.007300703936173927,-0.05134178330468488,0.021035984537288537,-0.014224903357332383,0.02602486369931621,0.011904403511417817,-0.07988277495095192,-0.00891397087609476,0.0012343334969547213,0.017359848809863323,0.005161314530489887,0.004168898220307595,-0.016654047106593364,0.06438220212988732,0.0024221934764602406,0.01407404647728726,-0.04123491714017258,-0.1376921610954464,-0.001689464257792107,0.04130517089761485,0.10106159686087167,0.0029082542466781726,0.007431432327386739,-0.02891538049378309,0.010591470348460613,-0.01156533436552018,-0.017686383701051207,0.07323093571576364,0.08970546052061525,0
TCGA-85-8354,-0.044575070748530767,-0.011369165811143379,-0.0028991306109650544,0.10830329987944258,0.06564903329565161,0.0008608755389389259,-0.010403293823875958,-0.13247693396281338,0.012902623012217531,-0.006463238317750519,0.014444604207359353,0.0140363005290571,-0.0317908091842984,-0.002838462040953856,0.005388169699727392,0.008410864965865655,0.003507270354554317,0.0015655078346082263,-0.0058675923898403965,0.03799498704869621,0.002478717928568781,0.00816774153497109,-0.04074008037423412,-0.07126185364604691,-0.0009226507581895925,0.027451049712985155,0.26687626576659185,0.001642855085596318,0.005719769997193946,-0.015611425900378546,0.006839829611144207,-0.005527222357668364,-0.03526999358628855,0.01751470116399798,0.06174157390544452,1
TCGA-34-2596,-0.0225517243365367,-0.025450123456398036,-0.0019031478888216625,0.03974967112073269,0.03329613563750297,0.002887267703599841,-0.03545516839784354,-0.07660979063706563,0.022146580428979372,-0.023943665347622572,0.019111569302847416,0.009452046012410812,-0.0359566189167719,-0.004560176918604318,0.0029014861459022586,0.011506781942755812,0.014761115711651257,0.0031789331547299117,-0.0010690839548742118,0.0777171483458695,0.0032649210567960232,0.010428515177600578,-0.03438821264307437,-0.15922071532025805,-0.016619572691541407,0.05783947611683308,0.09811495050625153,0.002469235658618737,0.002981706766585769,-0.018640113488204012,0.0023130049888469596,-0.006988151868204779,-0.015275438388065322,0.07358559136589103,0.047000247511382286,0
TCGA-43-3920,-0.05215700585068053,-0.025621693001248832,-0.04824642381457424,0.039391574557823716,0.026106275643504095,0.008620982860305689,-0.04006749965851803,-0.009948108199779138,0.02142057674106427,-0.002074818508289183,0.018973953418718943,0.01266697066879209,-0.0626710126589597,-0.0038513731251096505,0.0012071798000206694,0.021013924408040785,0.01366015305422183,0.0031980835684904813,-0.001219866477261307,0.04319815860556094,0.019985298937140374,0.0001376274748129672,-0.055007179159457166,-0.030740084219715857,-0.007077623098307682,0.02413610290515076,0.15956700737632748,0.0040344932707016435,0.0047257601115010105,-0.03418070611054892,0.03562755055991652,-0.011433254677854334,-0.011153041937679326,0.004681678692676822,0.12388451208164658,1
TCGA-22-1000,-0.056529756997666006,-0.05275186630985094,-4.7100218807261446e-05,0.019290344615506543,0.03323809356253767,0.0024975154643255507,-0.06486182789995908,-0.03112964348334937,0.012195518047750707,-0.022878724573211058,0.018254844635050397,0.004619346176898167,-0.028287484570128262,-0.01456792814895741,0.0007164921135782345,0.005477895262220484,0.0891693411287441,0.0014448969417587283,-0.0341790209893373,0.02380579476970513,0.013827041363303844,0.00013820963522956213,-0.011033224177569741,-0.04344274735806164,-0.033242013816139226,0.022475902503742037,0.0631487345259503,0.0011596261166462625,0.00497271752359134,-0.025234673490775978,0.01026119291055957,-0.004214245150542494,-0.016966501396052665,0.00041681977145415893,0.036008346410445514,0
TCGA-77-8145,-0.09801381271204208,-0.06728683175537235,-0.03761966746312977,0.04438530209910816,0.04186940305533553,0.004553257408337288,-0.030265251919789935,-0.1619619122051029,0.02282514004887078,-0.031157589927425317,0.023423974846586322,0.006167126813136219,-0.03203838560563004,-0.013324728249782206,0.0016615532239542341,0.006956511569499288,0.11895368163590228,0.002920331509913021,-0.0059318821486678735,0.0459774249993141,0.019601752230166285,0.0012185567985317665,-0.01099110639976036,-0.047999694128384715,-0.018538425968978995,0.019262590459560087,0.035466865470747816,0.0009389661186250498,0.0023528775313982554,-0.014428377685739745,0.009372171998645207,-0.00286166187592177,-0.07758180692310628,0.008986557434496119,0.05240538728602197,0
TCGA-18-3406,-0.040167578773884514,-0.022672550860025464,-0.0,0.010692026026776064,0.027718428783489655,0.014793353724699232,-0.015199314679917378,-0.007591134278815561,0.010257743484027726,-0.0005017553462182637,0.017388192658995844,0.01640107570446475,-0.03858481351951756,-0.004293742834464094,0.000508915103366242,0.011864807080475012,0.008217570146676274,0.0031578582250533917,-0.0044678135427579,0.02022640434152679,0.006243000298304074,0.00013504695966022408,-0.02840679705208981,-0.024863405086227166,-0.009586560149125959,0.026563238886795435,0.11160486337667866,0.0017210362495401978,0.0063049353741302105,-0.013711473221592928,0.013948328778165382,-0.007890960062045118,-0.01784343601043391,0.00010615924410267542,0.0728692320284592,0
TCGA-22-1002,-0.06757608751971886,-0.0820475526441518,-2.975537632585723e-05,0.045828643685868954,0.04436269832046986,0.003220058917550425,-0.028729956827329827,-0.09313581212140408,0.017158857334618607,-0.011319250485867566,0.013059400554028345,0.008368787645478281,-0.043519891268395214,-0.020159064912256053,0.0018830233681454268,0.004959156257281711,0.023556948162182255,0.0024173577948824088,-0.040193746939784294,0.017722999931984455,0.008570301127744439,0.0011627216741679008,-0.013395799037621928,-0.01838248150975087,-0.050646723728897225,0.02236636810449906,0.07879239462915359,0.0021636570413990953,0.004399878632845359,-0.01015988694653052,0.027958077863612547,-0.004285476870724662,-0.057775204792906966,0.0005509128503332861,0.05714060214348638,0
TCGA-66-2791,-0.031163691574186535,-0.03309357824967488,-0.0006747044042263472,0.03850962244837672,0.03252117222194898,0.0019957914111082536,-0.05049410785054242,-0.035392625450498566,0.01190423590479839,-0.005888601376173918,0.018257240424263608,0.011635266068918182,-0.0635489681684719,-0.009155384985308554,0.005219132664887717,0.011792850799074448,0.031310888295617345,0.002597516170965143,-0.02359260977900806,0.05334375381269148,0.010928369543869079,0.00406923240321439,-0.05712041928812165,-0.0849479991011248,-0.005848392502551589,0.031159495765995637,0.10706435886929198,0.0013676033554568692,0.005156144814990472,-0.018203632958656076,0.0009646135330582433,-0.005745187069541526,-0.01254857508903453,0.01618871110822945,0.07437206474470835,0
TCGA-39-5022,-0.017443235949908324,-0.04736668345310553,-0.0004272911913594205,0.03347073987362091,0.019023961569636337,0.0015172135882511246,-0.04186433843028775,-0.04602905906659483,0.011481731716408232,-0.008044625689004464,0.013260947206297457,0.005108570346117991,-0.03453221207709249,-0.007041308516127339,0.001542114443134738,0.0047954374437734005,0.018746074521859744,0.001980492681961566,-0.006868861317726319,0.04074679152424207,0.007864499451314127,0.002087432408382147,-0.011035192885234624,-0.039290223583344885,-0.02114163599875572,0.02515129264988317,0.05237043928021562,0.0010977215772777298,0.0035578085507350604,-0.01845319883153733,0.0021502943207272244,-0.003088357800654865,-0.009817031342025568,0.005802233669382619,0.03520737998018592,1
TCGA-63-A5MR,-0.15614832871050016,-0.02154070272682358,-0.0005979983335973786,0.0067362926726307875,0.03453016847418812,0.005773528212585893,-0.021551810287814065,-0.08479883860472083,0.01063951042409604,-0.08760718803009591,0.02698069158575619,0.00853122029161728,-0.0268927349955623,-0.002242311798686459,0.0006488304425294496,0.0076242796674064976,0.014846088421103232,0.001960311911987534,-0.008126794506443434,0.021263542770757145,0.005631516489801734,0.00026935493201611746,-0.02709660115741094,-0.04288495865868342,-0.0009589985143820182,0.03371315577411225,0.10304348842640627,0.0021479807841236587,0.0043904751553288735,-0.019010747901208033,0.07248036017812574,-0.0073708295188617285,-0.08917098819646875,0.005788413491336581,0.05970065197609282,1
TCGA-85-8070,-0.024443262188740076,-0.021107100738933675,-0.0029942281956044777,0.05678998042915038,0.008466433016851386,2.447418758981163e-05,-0.005330870041320808,-0.04949047090279384,0.014511763410550015,-0.003140529657237393,0.019185467633458738,0.014960786437964174,-0.03882083679311271,-0.0019388252325941175,0.034170010736225324,0.012852023302935205,0.0028180583255322886,0.006378017471496687,-0.000250294039417791,0.07627641994497072,0.0018014793919526183,0.01002557225121317,-0.039090910718319646,-0.17209267231847444,-0.0026846820910655174,0.04568465311907594,0.32681121916133316,0.008795639435162822,0.006037930427744194,-0.04749663508648867,0.002707974871200886,-0.014218290065342804,-0.03130244399859397,0.016190712099259284,0.0456192734749142,1
TCGA-22-5491,-0.05902040710380788,-0.01423235097899302,-0.005750214014596564,0.043705595002445356,0.031197342706249777,0.04497796910530557,-0.01748644582387133,-0.03506686716523619,0.03673663673289895,-0.00456524783284703,0.028010553605482616,0.027104899059942962,-0.050850112351819354,-0.0008471298762463216,0.005385522272847713,0.03323369076887284,0.000818798521211159,0.004046439792178783,-2.2821472830532466e-05,0.05239725975874099,0.0009810870509175309,0.005758837768380268,-0.058613809714127545,-0.07964591896398383,-0.0013602794552437436,0.027011267260383436,0.12611715270662072,0.009807174951164534,0.01096279218142031,-0.00901055402154616,0.009634318121818005,-0.011562980035335003,-0.018682191892092692,0.013550631214379629,0.08323009875218342,1
TCGA-66-2769,-0.03008037903472595,-0.037867648640962266,-0.008688320679643395,0.014091133092792286,0.026698809878509155,9.962886848486884e-06,-0.05351729494402978,-0.03350542442395998,0.023769070834650068,-0.009503685912204102,0.023532570097160047,0.006143089130740133,-0.0661128042036637,-0.008608065075785614,0.00031429408487515585,0.010043931451647305,0.03177041274602996,0.0020105092086629655,-0.02859208942254556,0.03880573503688041,0.011865699000625302,6.832187125858507e-05,-0.03685856377592968,-0.02497925223608715,-0.02862203847310385,0.018282927432147843,0.12188366690896148,0.007426209962502059,0.004826935298358354,-0.0303961258846388,0.0026054131704429484,-0.008874770152289877,-0.02306228253587368,0.002124812354757772,0.05417720256265143,0
TCGA-22-1012,-0.04646276706690626,-0.028251689384904306,-3.483920946695847e-05,0.05754751803709189,0.034452466481381214,0.0016384297807831012,-0.02796889129975568,-0.08639939074465143,0.02514180538330227,-0.0069960834817579115,0.04021694703465113,0.00571354315759122,-0.051371992313431036,-0.0037645990135963584,0.0001539959015940663,0.007594148989754568,0.01714204356583588,0.002160763568205541,-0.014198017517678215,0.04256200427254868,0.008294102868817137,0.0009232422642654476,-0.040950396995199714,-0.049382488537052835,-0.0015559750895848242,0.0291156760746083,0.1089147091562729,0.0015786908304184003,0.003853850982512346,-0.019252443409863325,0.0045047950108968934,-0.00876911737988329,-0.028038627945125082,0.009122091226916726,0.05003261761586522,0
TCGA-58-8387,-0.020794139098679207,-0.019154284584578057,-0.026211296686991688,0.009466457449541717,0.02849981011316968,0.0007804411053868792,-0.01228732079825461,-0.02257101169841026,0.011392634098319749,-0.0025764322721601616,0.008991152737767181,0.010733150306848302,-0.059162204485537814,-0.0014749211555071934,0.00016397646664489122,0.009587595841427673,0.001857829385426541,0.00221267220364931,-0.0021155938241572466,0.04180489722824968,0.006935811967257354,0.0002504145210745747,-0.14042603280330576,-0.027356048491371864,-0.0006473668096415399,0.018937266151672155,0.05050974321675626,0.009301649007770587,0.008679783620918641,-0.021491185397557167,0.006094782734758362,-0.0111802670991299,-0.0097940211815465,0.014311327964280479,0.056545529726966866,0
TCGA-63-A5MI,-0.03889193900821535,-0.015535366854832935,-0.014498394337401356,0.03377796557603682,0.03216454788630627,0.00579854769662266,-0.00474702719730222,-0.17697905858106236,0.020433007084777143,-0.02327025806206789,0.011941792312014183,0.012396249591893758,-0.05978818835447079,-0.0016313119148119628,0.002213553442645516,0.013850954755183246,0.016822581013375006,0.0014769149650127166,-0.02340688380906202,0.02169162797165864,0.0035081202337410695,0.0009089733936464581,-0.02330706928319341,-0.035390631649813015,-0.006030088471080038,0.02734804062916833,0.12718575118615552,0.0057631758648809765,0.004391814867637698,-0.006178651514169107,0.001703970642261216,-0.010120538191723157,-0.008734353056310706,0.003015706920999676,0.09305039441596638,1
TCGA-98-A53D,-0.07510791565889635,-0.14415033225042584,-0.0002269283557983718,0.01949068435261683,0.059338739146987306,3.4623116755494985e-05,-0.050297086789726164,-0.06532126531222911,0.009756679147592973,-0.008943873475225586,0.008447381132423404,0.005852273725974916,-0.02202561570809846,-0.06585341755513577,0.000405712312171679,0.005149655639403831,0.1400646101114178,0.0011395680505025508,-0.17417119231065972,0.019482687488003317,0.02571098452851688,2.1385484691241453e-06,-0.009230411549000053,-0.018379961894888597,-0.08293701714437965,0.014250217570273909,0.07430673609606796,0.0014469935924352906,0.00240654249781538,-0.02694695824371157,0.0412996857170138,-0.003962590581414998,-0.0512683283898305,0.00011827190980325715,0.027999327388027635,0
TCGA-63-A5MY,-0.06433750747961083,-0.007548658171222281,-0.009485136762258938,0.029639992603683288,0.0639831994823117,0.01738845159202049,-0.002884807737834395,-0.06545228179772128,0.013574972142517856,-0.006233595914640806,0.028700556823630208,0.014026847665008378,-0.07485244652209454,-0.0007846436029885844,0.00026453183095977525,0.015978548094219083,0.001802292317345485,0.0031759901257753654,-0.0003632881609933542,0.030552005406687652,0.0010117058712486074,0.0016854375718160528,-0.031891577168523005,-0.03956136060675125,-0.00018944501902412632,0.04978669581003007,0.06047167209156173,0.011771034758214302,0.004434320285435861,-0.015711714600960824,0.0001348870813463464,-0.00971618933357484,-0.01223003507192332,0.019105168874149474,0.09246624212553722,1
TCGA-39-5024,-0.11684542909430719,-0.03126999890703942,-0.0006408121832856724,0.02305078721307736,0.07049294458270244,0.011929322064991997,-0.009854987602044112,-0.05876014606356256,0.015719487286993215,-0.017390963643134624,0.03401368874150323,0.00804123751607402,-0.04934341026413285,-0.0010960563443438785,0.0038933575120800147,0.010211061285267154,0.006140677881596679,0.002312249617934324,-0.004954733476619099,0.028345911340831913,0.0017099745605214946,0.0011654566400434141,-0.029517985923026895,-0.037247615370208154,-0.007624252251505432,0.03947960839831718,0.13295250480719106,0.003007189774642564,0.0066465166949165495,-0.012699936607561427,0.000992687219488022,-0.007007931378253437,-0.012643262266980352,0.0015135229350843617,0.06170027597404825,1
